"[0.5625, 0.5875]","[0.5321, 0.5509]","[0.5122, 0.5034]","[0.5093, 0.4549]","[0.5197, 0.4216]","[0.5379, 0.456]","[0.5328, 0.4218]","[0.5311, 0.4613]","[0.533, 0.4877]","[0.5552, 0.4595]","[0.5481, 0.4278]","[0.5453, 0.4759]","[0.5484, 0.4951]","[0.5726, 0.4672]","[0.5652, 0.4413]","[0.5607, 0.4856]","[0.5639, 0.5013]","[0.5912, 0.4805]","[0.5822, 0.4552]","[0.5764, 0.4854]","[0.5793, 0.4982]"
"[0.5625, 0.586]","[0.5316, 0.5532]","[0.5125, 0.5069]","[0.5096, 0.4577]","[0.5193, 0.4244]","[0.5376, 0.4588]","[0.5318, 0.4237]","[0.5303, 0.4645]","[0.5334, 0.489]","[0.555, 0.4618]","[0.5483, 0.4289]","[0.5457, 0.4779]","[0.5501, 0.496]","[0.5723, 0.4699]","[0.5652, 0.441]","[0.5611, 0.4864]","[0.5651, 0.5031]","[0.591, 0.4833]","[0.5818, 0.4566]","[0.5769, 0.4864]","[0.5806, 0.5001]"
"[0.5628, 0.5862]","[0.5315, 0.5546]","[0.5128, 0.5085]","[0.5105, 0.4598]","[0.5189, 0.4261]","[0.5373, 0.459]","[0.5314, 0.424]","[0.5302, 0.4654]","[0.5339, 0.4884]","[0.5548, 0.4618]","[0.5484, 0.4291]","[0.5459, 0.4786]","[0.5508, 0.4949]","[0.5721, 0.4701]","[0.5653, 0.4415]","[0.5612, 0.4871]","[0.5658, 0.5022]","[0.591, 0.4834]","[0.5819, 0.4577]","[0.5766, 0.4874]","[0.5804, 0.5002]"
"[0.5625, 0.5866]","[0.5314, 0.5543]","[0.5127, 0.508]","[0.5102, 0.4598]","[0.5181, 0.4256]","[0.5374, 0.4592]","[0.5317, 0.4243]","[0.53, 0.4654]","[0.5332, 0.4896]","[0.5549, 0.4619]","[0.5485, 0.4301]","[0.5457, 0.4788]","[0.5502, 0.4958]","[0.5722, 0.4702]","[0.5652, 0.4424]","[0.561, 0.487]","[0.5654, 0.5025]","[0.591, 0.4836]","[0.5817, 0.458]","[0.5763, 0.4874]","[0.5798, 0.5005]"
"[0.5624, 0.5875]","[0.5316, 0.5551]","[0.5128, 0.5083]","[0.5102, 0.4598]","[0.5186, 0.4248]","[0.5379, 0.4594]","[0.5318, 0.4251]","[0.5303, 0.4662]","[0.5336, 0.4906]","[0.5553, 0.4621]","[0.5483, 0.4305]","[0.5459, 0.4792]","[0.5508, 0.4961]","[0.5724, 0.4701]","[0.5651, 0.4427]","[0.5612, 0.4875]","[0.5657, 0.5028]","[0.5912, 0.4832]","[0.5816, 0.4577]","[0.5764, 0.4875]","[0.58, 0.5007]"
"[0.5621, 0.5875]","[0.5314, 0.5559]","[0.5131, 0.5085]","[0.5105, 0.4602]","[0.5188, 0.4258]","[0.5377, 0.4598]","[0.5322, 0.424]","[0.5301, 0.4648]","[0.5329, 0.4901]","[0.5549, 0.4628]","[0.5485, 0.4307]","[0.5459, 0.4794]","[0.5504, 0.4969]","[0.5722, 0.471]","[0.5654, 0.4422]","[0.5613, 0.4874]","[0.5655, 0.5035]","[0.591, 0.4842]","[0.5822, 0.4571]","[0.5769, 0.4868]","[0.5801, 0.5004]"
"[0.5626, 0.5883]","[0.5316, 0.5559]","[0.5132, 0.5086]","[0.5106, 0.4603]","[0.5188, 0.4255]","[0.5379, 0.4596]","[0.5316, 0.4245]","[0.5301, 0.4653]","[0.5334, 0.4903]","[0.5552, 0.4624]","[0.5482, 0.4302]","[0.5458, 0.4792]","[0.5506, 0.4969]","[0.5725, 0.4704]","[0.5649, 0.4423]","[0.5611, 0.4879]","[0.5657, 0.504]","[0.5913, 0.4836]","[0.5815, 0.4575]","[0.5765, 0.4879]","[0.5802, 0.5015]"
"[0.5627, 0.5879]","[0.532, 0.5567]","[0.5133, 0.5089]","[0.5104, 0.4606]","[0.519, 0.4267]","[0.5377, 0.459]","[0.5314, 0.4244]","[0.5302, 0.4657]","[0.5336, 0.491]","[0.5552, 0.4618]","[0.5482, 0.4302]","[0.546, 0.4794]","[0.5507, 0.4971]","[0.5725, 0.4699]","[0.5651, 0.4421]","[0.5614, 0.4879]","[0.5657, 0.5041]","[0.5913, 0.483]","[0.5818, 0.457]","[0.5764, 0.4876]","[0.5797, 0.5016]"
"[0.5625, 0.5869]","[0.5317, 0.5558]","[0.5132, 0.5085]","[0.5107, 0.4603]","[0.519, 0.426]","[0.5376, 0.4592]","[0.5317, 0.425]","[0.5301, 0.4655]","[0.5331, 0.4918]","[0.5551, 0.4617]","[0.5483, 0.4304]","[0.5458, 0.4791]","[0.5502, 0.4983]","[0.5724, 0.4698]","[0.5651, 0.4427]","[0.5611, 0.4875]","[0.5652, 0.5043]","[0.5913, 0.483]","[0.5819, 0.4574]","[0.5764, 0.4866]","[0.5796, 0.5002]"
"[0.5626, 0.5869]","[0.532, 0.5565]","[0.5132, 0.509]","[0.5106, 0.4606]","[0.5187, 0.4258]","[0.5378, 0.4593]","[0.5317, 0.4248]","[0.5301, 0.4654]","[0.5332, 0.4909]","[0.5552, 0.4619]","[0.5482, 0.4307]","[0.5459, 0.4794]","[0.5504, 0.4968]","[0.5724, 0.47]","[0.5651, 0.4426]","[0.5612, 0.4874]","[0.5655, 0.5029]","[0.5913, 0.483]","[0.5819, 0.4575]","[0.5765, 0.4872]","[0.5799, 0.5002]"
"[0.5626, 0.5877]","[0.5324, 0.5568]","[0.5134, 0.5092]","[0.5103, 0.4604]","[0.5193, 0.4257]","[0.5383, 0.4593]","[0.5319, 0.4249]","[0.5303, 0.4657]","[0.5336, 0.4906]","[0.5557, 0.462]","[0.5484, 0.4309]","[0.5461, 0.4796]","[0.5508, 0.4962]","[0.5729, 0.4701]","[0.5652, 0.443]","[0.5613, 0.488]","[0.5658, 0.5028]","[0.5917, 0.4833]","[0.582, 0.4581]","[0.5766, 0.4878]","[0.5801, 0.5004]"
