"[0.4273, 0.8572]","[0.6232, 0.79]","[0.7532, 0.5998]","[0.7542, 0.4104]","[0.7033, 0.2948]","[0.6025, 0.424]","[0.6222, 0.2939]","[0.6347, 0.4602]","[0.6217, 0.542]","[0.4817, 0.4367]","[0.5101, 0.3046]","[0.5339, 0.502]","[0.5151, 0.5623]","[0.3645, 0.4686]","[0.3977, 0.3626]","[0.4289, 0.5417]","[0.4083, 0.591]","[0.2374, 0.5106]","[0.2918, 0.4131]","[0.3248, 0.5285]","[0.3015, 0.574]"
"[0.4285, 0.8685]","[0.6199, 0.7906]","[0.752, 0.5978]","[0.7611, 0.4157]","[0.708, 0.2998]","[0.5906, 0.423]","[0.6223, 0.2905]","[0.631, 0.4565]","[0.6162, 0.5337]","[0.4735, 0.4364]","[0.5131, 0.3083]","[0.5311, 0.5011]","[0.5067, 0.5572]","[0.3571, 0.4657]","[0.4008, 0.3637]","[0.4288, 0.5414]","[0.4054, 0.5907]","[0.2283, 0.5067]","[0.2909, 0.4145]","[0.3272, 0.5309]","[0.3047, 0.5758]"
"[0.4269, 0.8796]","[0.6159, 0.7946]","[0.7474, 0.6034]","[0.7548, 0.4203]","[0.7036, 0.2958]","[0.5863, 0.4245]","[0.6178, 0.29]","[0.6271, 0.457]","[0.6129, 0.5385]","[0.4706, 0.4382]","[0.5094, 0.3095]","[0.5275, 0.5043]","[0.5055, 0.5652]","[0.3545, 0.4678]","[0.3972, 0.3675]","[0.4244, 0.5492]","[0.4034, 0.6031]","[0.2253, 0.5109]","[0.2905, 0.4186]","[0.3253, 0.5367]","[0.3023, 0.5844]"
"[0.4263, 0.8879]","[0.6149, 0.7971]","[0.7477, 0.6075]","[0.7554, 0.4251]","[0.7064, 0.2955]","[0.5883, 0.4204]","[0.6193, 0.2911]","[0.6286, 0.4543]","[0.6147, 0.5406]","[0.4711, 0.4344]","[0.5101, 0.3084]","[0.5288, 0.4998]","[0.5083, 0.5676]","[0.3547, 0.4655]","[0.3983, 0.3681]","[0.4262, 0.5463]","[0.4066, 0.6026]","[0.2267, 0.5129]","[0.2938, 0.4207]","[0.3283, 0.5382]","[0.3065, 0.5873]"
"[0.4221, 0.8901]","[0.6148, 0.799]","[0.7489, 0.6103]","[0.7569, 0.4256]","[0.7066, 0.2953]","[0.5883, 0.4244]","[0.6195, 0.2906]","[0.63, 0.4552]","[0.6173, 0.5434]","[0.4714, 0.4389]","[0.511, 0.309]","[0.5295, 0.502]","[0.5098, 0.5718]","[0.3548, 0.4692]","[0.398, 0.367]","[0.4251, 0.5469]","[0.4064, 0.6063]","[0.2256, 0.5147]","[0.293, 0.4204]","[0.3273, 0.5395]","[0.3065, 0.5913]"
"[0.4204, 0.8932]","[0.6148, 0.7992]","[0.7469, 0.6107]","[0.76, 0.4275]","[0.7084, 0.2994]","[0.5891, 0.4254]","[0.6214, 0.2906]","[0.6307, 0.4557]","[0.6169, 0.5446]","[0.4722, 0.439]","[0.5128, 0.3109]","[0.5289, 0.5042]","[0.5072, 0.5732]","[0.3552, 0.4691]","[0.3999, 0.3677]","[0.4247, 0.5469]","[0.4044, 0.6038]","[0.2261, 0.5141]","[0.2937, 0.4211]","[0.3259, 0.5407]","[0.3036, 0.591]"
"[0.4199, 0.8993]","[0.6121, 0.8031]","[0.7449, 0.6131]","[0.7591, 0.4277]","[0.7073, 0.2999]","[0.5866, 0.427]","[0.621, 0.291]","[0.6291, 0.4581]","[0.6135, 0.542]","[0.4709, 0.4409]","[0.5127, 0.3124]","[0.5291, 0.5059]","[0.5059, 0.5712]","[0.3546, 0.4711]","[0.3988, 0.3678]","[0.4256, 0.5471]","[0.4047, 0.6036]","[0.2247, 0.5157]","[0.2918, 0.4213]","[0.3264, 0.5404]","[0.3048, 0.5917]"
"[0.4181, 0.9016]","[0.6122, 0.804]","[0.7437, 0.6127]","[0.7586, 0.4277]","[0.7084, 0.3004]","[0.5878, 0.4263]","[0.622, 0.2898]","[0.6319, 0.457]","[0.6163, 0.5399]","[0.4713, 0.44]","[0.5135, 0.3132]","[0.5307, 0.5054]","[0.5056, 0.5671]","[0.3547, 0.4705]","[0.4007, 0.3689]","[0.4289, 0.547]","[0.4065, 0.5997]","[0.2256, 0.5159]","[0.2931, 0.4236]","[0.3295, 0.5423]","[0.3082, 0.5918]"
"[0.4197, 0.9012]","[0.616, 0.803]","[0.7423, 0.6127]","[0.7598, 0.4276]","[0.7105, 0.299]","[0.5868, 0.4271]","[0.6199, 0.2899]","[0.6321, 0.4557]","[0.6168, 0.5432]","[0.4719, 0.4411]","[0.5133, 0.3133]","[0.531, 0.5054]","[0.505, 0.5715]","[0.3553, 0.4715]","[0.4005, 0.3698]","[0.4282, 0.5478]","[0.4052, 0.6022]","[0.225, 0.5165]","[0.2919, 0.4239]","[0.3281, 0.5423]","[0.3067, 0.5924]"
"[0.4202, 0.9021]","[0.6156, 0.8024]","[0.7444, 0.6131]","[0.7582, 0.4282]","[0.7096, 0.299]","[0.5871, 0.4263]","[0.6206, 0.2897]","[0.6317, 0.4565]","[0.617, 0.5405]","[0.472, 0.44]","[0.5132, 0.3126]","[0.5306, 0.5059]","[0.5054, 0.5691]","[0.3556, 0.4699]","[0.4012, 0.3695]","[0.4279, 0.5497]","[0.4047, 0.6032]","[0.2257, 0.5149]","[0.2938, 0.4233]","[0.329, 0.5433]","[0.3066, 0.593]"
