"[0.4222, 0.5899]","[0.3462, 0.6532]","[0.2807, 0.6172]","[0.3482, 0.6016]","[0.4671, 0.5926]","[0.2636, 0.3189]","[0.2861, 0.2471]","[0.3215, 0.391]","[0.3474, 0.5234]","[0.3825, 0.2627]","[0.4292, 0.2667]","[0.4595, 0.5008]","[0.4809, 0.6826]","[0.5005, 0.264]","[0.5682, 0.26]","[0.5894, 0.5181]","[0.5975, 0.7087]","[0.5986, 0.2977]","[0.6778, 0.3066]","[0.6875, 0.5022]","[0.6981, 0.6463]"
"[0.5823, 0.581]","[0.4803, 0.6459]","[0.3598, 0.6564]","[0.327, 0.631]","[0.3751, 0.5809]","[0.2469, 0.3584]","[0.1806, 0.2828]","[0.1594, 0.2638]","[0.1551, 0.2326]","[0.3872, 0.2929]","[0.4013, 0.3646]","[0.4489, 0.5676]","[0.4913, 0.6943]","[0.5501, 0.2923]","[0.5888, 0.3789]","[0.6163, 0.5966]","[0.6515, 0.72]","[0.7123, 0.3116]","[0.7446, 0.3922]","[0.7461, 0.5668]","[0.7676, 0.6676]"
"[0.5755, 0.614]","[0.3972, 0.6408]","[0.2402, 0.5852]","[0.2202, 0.5012]","[0.2718, 0.4347]","[0.2658, 0.3365]","[0.2304, 0.2523]","[0.254, 0.3147]","[0.2611, 0.3577]","[0.4494, 0.2961]","[0.444, 0.3083]","[0.4716, 0.5402]","[0.487, 0.6834]","[0.6346, 0.3155]","[0.6198, 0.3503]","[0.6247, 0.5818]","[0.6294, 0.7399]","[0.7955, 0.3773]","[0.7898, 0.4371]","[0.7643, 0.6021]","[0.7517, 0.7104]"
"[0.5755, 0.8615]","[0.3558, 0.8488]","[0.16, 0.624]","[0.1234, 0.3856]","[0.1846, 0.2089]","[0.3009, 0.4]","[0.2898, 0.2329]","[0.3247, 0.4095]","[0.3482, 0.5879]","[0.4736, 0.3852]","[0.4475, 0.2418]","[0.4821, 0.5065]","[0.5116, 0.7058]","[0.6486, 0.4064]","[0.6236, 0.2824]","[0.638, 0.5395]","[0.6523, 0.7244]","[0.8262, 0.4475]","[0.7918, 0.3216]","[0.7719, 0.4888]","[0.7635, 0.6231]"
"[0.6321, 0.9696]","[0.376, 0.8908]","[0.1711, 0.6395]","[0.1343, 0.3961]","[0.2129, 0.2181]","[0.3372, 0.4115]","[0.3126, 0.2543]","[0.3375, 0.4308]","[0.361, 0.6081]","[0.5073, 0.3976]","[0.4673, 0.243]","[0.4918, 0.4855]","[0.5137, 0.6858]","[0.6796, 0.4175]","[0.6316, 0.2764]","[0.6342, 0.5279]","[0.635, 0.727]","[0.8577, 0.4647]","[0.7879, 0.3174]","[0.7608, 0.4884]","[0.7503, 0.6407]"
"[0.6567, 0.9984]","[0.3854, 0.8972]","[0.1782, 0.6615]","[0.1304, 0.4146]","[0.2193, 0.2264]","[0.3423, 0.4096]","[0.3173, 0.2488]","[0.344, 0.4279]","[0.3703, 0.6113]","[0.5142, 0.3957]","[0.4721, 0.2402]","[0.4924, 0.4865]","[0.5149, 0.6903]","[0.6868, 0.4134]","[0.637, 0.2743]","[0.6364, 0.5307]","[0.6431, 0.7318]","[0.8658, 0.4597]","[0.7942, 0.3069]","[0.771, 0.4696]","[0.7681, 0.6156]"
"[0.6623, 1.0149]","[0.3835, 0.889]","[0.1789, 0.6666]","[0.124, 0.4161]","[0.2197, 0.2254]","[0.3438, 0.4153]","[0.3168, 0.2481]","[0.3434, 0.4242]","[0.3712, 0.6061]","[0.5156, 0.4015]","[0.4752, 0.2434]","[0.4948, 0.4859]","[0.5153, 0.6887]","[0.6871, 0.4172]","[0.6424, 0.2773]","[0.6379, 0.5273]","[0.6418, 0.7272]","[0.8663, 0.462]","[0.7988, 0.3109]","[0.7741, 0.469]","[0.7704, 0.6127]"
"[0.6645, 1.0209]","[0.3827, 0.8921]","[0.1808, 0.6712]","[0.1251, 0.4208]","[0.2191, 0.2281]","[0.3465, 0.4195]","[0.3172, 0.2491]","[0.3429, 0.4221]","[0.3694, 0.6027]","[0.5185, 0.4097]","[0.479, 0.2504]","[0.4977, 0.489]","[0.5145, 0.6932]","[0.6902, 0.4269]","[0.6483, 0.2862]","[0.6425, 0.5318]","[0.6439, 0.7329]","[0.8699, 0.4717]","[0.8042, 0.3183]","[0.7808, 0.4719]","[0.778, 0.6169]"
"[0.6698, 1.0247]","[0.3847, 0.8927]","[0.1795, 0.6738]","[0.1201, 0.4216]","[0.2181, 0.2309]","[0.3448, 0.4212]","[0.316, 0.2516]","[0.3419, 0.4247]","[0.3685, 0.6061]","[0.5177, 0.4109]","[0.4777, 0.2529]","[0.4974, 0.491]","[0.5145, 0.6959]","[0.6899, 0.4275]","[0.6483, 0.2873]","[0.6438, 0.5327]","[0.6451, 0.7348]","[0.8698, 0.4722]","[0.8058, 0.3204]","[0.7838, 0.4735]","[0.7808, 0.6176]"
"[0.6689, 1.0255]","[0.3825, 0.8911]","[0.1807, 0.674]","[0.1222, 0.4231]","[0.221, 0.2346]","[0.3474, 0.4231]","[0.3177, 0.2518]","[0.3432, 0.4208]","[0.3687, 0.6015]","[0.5198, 0.4123]","[0.4796, 0.2553]","[0.4987, 0.4933]","[0.514, 0.6992]","[0.6919, 0.428]","[0.6508, 0.2898]","[0.6449, 0.5365]","[0.6442, 0.7403]","[0.8718, 0.4718]","[0.8076, 0.3216]","[0.7846, 0.4754]","[0.7799, 0.6212]"
"[0.6703, 1.0271]","[0.3866, 0.8933]","[0.1854, 0.6737]","[0.128, 0.4222]","[0.2232, 0.2344]","[0.3466, 0.4235]","[0.3203, 0.2494]","[0.3486, 0.4178]","[0.3736, 0.5981]","[0.5197, 0.413]","[0.4848, 0.2566]","[0.5072, 0.4941]","[0.5201, 0.6979]","[0.6926, 0.4288]","[0.6564, 0.2904]","[0.6535, 0.5355]","[0.6502, 0.7374]","[0.8729, 0.4713]","[0.8148, 0.3189]","[0.7936, 0.4714]","[0.7867, 0.615]"
