[0.8449, 0.5954],[0.6821, 0.5426],[0.5656, 0.4292],[0.5262, 0.3036],[0.5418, 0.2038],[0.6554, 0.2697],[0.6224, 0.1243],[0.6175, 0.0353],[0.62, 0.0],[0.7492, 0.247],[0.7395, 0.0896],[0.7414, 0.0],[0.7429, 0.0],[0.8347, 0.2552],[0.8351, 0.1074],[0.8381, 0.0142],[0.8376, 0.0],[0.9197, 0.2839],[0.9313, 0.1664],[0.9352, 0.0913],[0.9352, 0.0219]
[0.8371, 0.6066],[0.6802, 0.5415],[0.5651, 0.4249],[0.5204, 0.3014],[0.5359, 0.2066],[0.6545, 0.2705],[0.6209, 0.1252],[0.6156, 0.0372],[0.62, 0.0],[0.7492, 0.2486],[0.7443, 0.0883],[0.7472, 0.0],[0.7506, 0.0],[0.8356, 0.2563],[0.84, 0.1052],[0.8434, 0.0123],[0.8434, 0.0],[0.9182, 0.285],[0.9313, 0.1664],[0.9367, 0.0932],[0.9381, 0.0265]
[0.8419, 0.606],[0.6817, 0.5393],[0.5646, 0.4254],[0.5194, 0.2981],[0.5374, 0.1997],[0.654, 0.268],[0.6214, 0.1235],[0.6161, 0.0369],[0.619, 0.0],[0.7482, 0.2473],[0.7433, 0.0883],[0.7463, 0.0],[0.7487, 0.0],[0.8327, 0.2563],[0.8385, 0.1063],[0.8429, 0.015],[0.8434, 0.0],[0.9153, 0.2853],[0.9299, 0.168],[0.9357, 0.0948],[0.9376, 0.0262]
[0.8424, 0.6082],[0.6807, 0.538],[0.5651, 0.4268],[0.518, 0.3016],[0.5359, 0.2038],[0.652, 0.2689],[0.62, 0.1243],[0.6146, 0.0369],[0.618, 0.0],[0.7477, 0.2473],[0.7438, 0.088],[0.7477, 0.0],[0.7506, 0.0],[0.8322, 0.256],[0.8385, 0.1063],[0.8434, 0.0148],[0.8439, 0.0],[0.9148, 0.2847],[0.9308, 0.1686],[0.9367, 0.0959],[0.9381, 0.0271]
[0.8395, 0.6109],[0.6792, 0.5429],[0.5636, 0.4281],[0.5204, 0.3025],[0.533, 0.2036],[0.6535, 0.2708],[0.6205, 0.126],[0.6146, 0.0385],[0.6175, 0.0],[0.7477, 0.2486],[0.7438, 0.088],[0.7467, 0.0],[0.7506, 0.0],[0.8327, 0.2568],[0.8381, 0.1052],[0.8424, 0.014],[0.8424, 0.0],[0.9148, 0.2858],[0.9303, 0.1689],[0.9367, 0.0959],[0.9386, 0.0287]
[0.841, 0.612],[0.6812, 0.5445],[0.5656, 0.4309],[0.5204, 0.3052],[0.535, 0.2063],[0.653, 0.2713],[0.6205, 0.1268],[0.6141, 0.0396],[0.6161, 0.0],[0.7477, 0.2489],[0.7433, 0.0891],[0.7467, 0.0],[0.7497, 0.0],[0.8327, 0.2577],[0.8381, 0.1071],[0.8424, 0.0159],[0.8429, 0.0],[0.9153, 0.2877],[0.9303, 0.1708],[0.9371, 0.0981],[0.9396, 0.0301]
[0.8478, 0.612],[0.6846, 0.5429],[0.569, 0.4311],[0.5228, 0.3066],[0.535, 0.2068],[0.6549, 0.2669],[0.62, 0.123],[0.6141, 0.0372],[0.6175, 0.0],[0.7497, 0.2448],[0.7453, 0.0864],[0.7501, 0.0],[0.7545, 0.0],[0.8337, 0.2538],[0.8405, 0.1038],[0.8444, 0.0131],[0.8453, 0.0],[0.9167, 0.2831],[0.9337, 0.1667],[0.9401, 0.0948],[0.9425, 0.0262]
[0.8507, 0.6071],[0.6953, 0.5418],[0.5748, 0.4284],[0.5253, 0.3033],[0.5355, 0.2006],[0.6608, 0.2577],[0.6263, 0.1129],[0.6219, 0.0265],[0.6258, 0.0],[0.7535, 0.2366],[0.7492, 0.0765],[0.7535, 0.0],[0.7589, 0.0],[0.8376, 0.247],[0.8434, 0.0956],[0.8497, 0.0052],[0.8517, 0.0],[0.9206, 0.2773],[0.9367, 0.1601],[0.9449, 0.0885],[0.9483, 0.0216]
[0.8468, 0.6011],[0.687, 0.5325],[0.5719, 0.4178],[0.5253, 0.2943],[0.5282, 0.1924],[0.6608, 0.2462],[0.6277, 0.1],[0.6243, 0.014],[0.6287, 0.0],[0.7565, 0.2257],[0.7555, 0.0631],[0.7603, 0.0],[0.7647, 0.0],[0.8415, 0.2374],[0.8512, 0.085],[0.8575, 0.0],[0.8594, 0.0],[0.925, 0.2691],[0.9444, 0.1506],[0.9541, 0.0795],[0.9595, 0.0123]
[0.841, 0.5888],[0.6802, 0.5191],[0.5699, 0.4027],[0.5301, 0.2814],[0.5238, 0.1812],[0.6685, 0.2257],[0.635, 0.0831],[0.6326, 0.0],[0.6379, 0.0],[0.7652, 0.2077],[0.7662, 0.0486],[0.7701, 0.0],[0.7754, 0.0],[0.8512, 0.2213],[0.8643, 0.0721],[0.8696, 0.0],[0.8711, 0.0],[0.9323, 0.2566],[0.9571, 0.1421],[0.9673, 0.0713],[0.9721, 0.0047]
