"[0.5551, 1.039]","[0.3479, 0.9819]","[0.2172, 0.8472]","[0.187, 0.6921]","[0.1854, 0.565]","[0.367, 0.6257]","[0.3393, 0.4335]","[0.338, 0.3183]","[0.3455, 0.2244]","[0.4986, 0.6005]","[0.5036, 0.3862]","[0.5124, 0.2556]","[0.5256, 0.1526]","[0.6118, 0.6172]","[0.6324, 0.4123]","[0.6406, 0.2904]","[0.6474, 0.1906]","[0.7198, 0.6656]","[0.759, 0.5043]","[0.7726, 0.4036]","[0.7796, 0.314]"
"[0.5546, 1.0364]","[0.3559, 0.9651]","[0.2283, 0.8396]","[0.1858, 0.6948]","[0.1855, 0.5729]","[0.3731, 0.6182]","[0.3421, 0.4327]","[0.3398, 0.3228]","[0.3489, 0.2274]","[0.4997, 0.5951]","[0.5062, 0.3878]","[0.5129, 0.2596]","[0.5221, 0.1556]","[0.6109, 0.6117]","[0.6326, 0.413]","[0.6396, 0.2932]","[0.6434, 0.1946]","[0.7202, 0.6573]","[0.761, 0.5033]","[0.775, 0.4063]","[0.7842, 0.3161]"
"[0.5656, 1.0428]","[0.3625, 0.9729]","[0.2331, 0.8465]","[0.1903, 0.6994]","[0.1874, 0.5743]","[0.3767, 0.6236]","[0.3455, 0.4353]","[0.3445, 0.3243]","[0.3545, 0.229]","[0.5042, 0.5995]","[0.5118, 0.3904]","[0.5204, 0.2611]","[0.5315, 0.1575]","[0.616, 0.6163]","[0.6379, 0.4153]","[0.6466, 0.2934]","[0.652, 0.1933]","[0.7252, 0.6616]","[0.7663, 0.5058]","[0.7808, 0.4067]","[0.79, 0.3162]"
"[0.5685, 1.0464]","[0.3755, 0.9769]","[0.2441, 0.8529]","[0.1959, 0.7072]","[0.1937, 0.578]","[0.3829, 0.6291]","[0.3501, 0.4417]","[0.3493, 0.3297]","[0.3611, 0.2325]","[0.5094, 0.6037]","[0.5178, 0.3941]","[0.5284, 0.2653]","[0.5401, 0.1596]","[0.6211, 0.6195]","[0.644, 0.4194]","[0.6528, 0.2969]","[0.6565, 0.1946]","[0.7301, 0.6647]","[0.7705, 0.511]","[0.7858, 0.4138]","[0.7944, 0.3254]"
"[0.5688, 1.0506]","[0.3725, 0.9749]","[0.2439, 0.8535]","[0.1969, 0.7073]","[0.197, 0.5783]","[0.3839, 0.6324]","[0.3519, 0.4439]","[0.3531, 0.3322]","[0.3666, 0.2357]","[0.5128, 0.6063]","[0.5206, 0.3968]","[0.5332, 0.2674]","[0.5463, 0.1622]","[0.6236, 0.6219]","[0.6475, 0.4209]","[0.6578, 0.2985]","[0.6642, 0.1972]","[0.7339, 0.6666]","[0.7738, 0.5119]","[0.7882, 0.4151]","[0.7971, 0.3256]"
"[0.5804, 1.0522]","[0.3842, 0.9806]","[0.2509, 0.8562]","[0.2019, 0.7105]","[0.2012, 0.5823]","[0.3885, 0.6308]","[0.356, 0.4429]","[0.3564, 0.3324]","[0.3697, 0.2369]","[0.5156, 0.6041]","[0.5223, 0.3968]","[0.5348, 0.269]","[0.5496, 0.1653]","[0.6271, 0.6197]","[0.6503, 0.4212]","[0.6622, 0.301]","[0.6706, 0.2013]","[0.7379, 0.6649]","[0.7769, 0.5108]","[0.7917, 0.4142]","[0.8015, 0.3253]"
"[0.5767, 1.0451]","[0.3803, 0.9745]","[0.2496, 0.8533]","[0.2008, 0.7076]","[0.2018, 0.582]","[0.3886, 0.6302]","[0.3554, 0.4426]","[0.3568, 0.3317]","[0.3716, 0.2367]","[0.5159, 0.6035]","[0.5243, 0.3956]","[0.538, 0.2685]","[0.5539, 0.1662]","[0.6262, 0.6173]","[0.6497, 0.4186]","[0.6602, 0.2984]","[0.669, 0.1983]","[0.7368, 0.6608]","[0.7776, 0.5081]","[0.7933, 0.4131]","[0.8048, 0.3247]"
"[0.5764, 1.042]","[0.3808, 0.9745]","[0.2504, 0.8505]","[0.2033, 0.7056]","[0.2033, 0.5805]","[0.3889, 0.6247]","[0.3565, 0.4384]","[0.3575, 0.3292]","[0.3717, 0.2353]","[0.5157, 0.6006]","[0.5255, 0.394]","[0.5387, 0.2683]","[0.5536, 0.166]","[0.6258, 0.617]","[0.652, 0.4196]","[0.663, 0.3001]","[0.6707, 0.1995]","[0.7354, 0.663]","[0.7784, 0.5108]","[0.7954, 0.4158]","[0.8075, 0.3268]"
"[0.5821, 1.0261]","[0.3895, 0.9624]","[0.2566, 0.8423]","[0.2048, 0.7017]","[0.2009, 0.5758]","[0.3949, 0.6118]","[0.3631, 0.4264]","[0.364, 0.317]","[0.3775, 0.224]","[0.5239, 0.588]","[0.5334, 0.3792]","[0.5439, 0.2543]","[0.556, 0.1546]","[0.6387, 0.6063]","[0.6628, 0.4075]","[0.6732, 0.2888]","[0.6788, 0.1903]","[0.7472, 0.6535]","[0.7886, 0.5027]","[0.8067, 0.4085]","[0.8189, 0.3236]"
"[0.5905, 1.0222]","[0.3948, 0.9518]","[0.2633, 0.8277]","[0.215, 0.6873]","[0.2061, 0.5613]","[0.4076, 0.5968]","[0.3771, 0.4153]","[0.3765, 0.3053]","[0.3858, 0.2107]","[0.5363, 0.5745]","[0.5491, 0.3686]","[0.5603, 0.2419]","[0.5713, 0.1392]","[0.6519, 0.5931]","[0.6795, 0.3989]","[0.6905, 0.2793]","[0.695, 0.1808]","[0.7614, 0.6416]","[0.8071, 0.4913]","[0.8264, 0.3975]","[0.8371, 0.3151]"
"[0.601, 1.0194]","[0.4082, 0.9476]","[0.2756, 0.819]","[0.2266, 0.6756]","[0.2107, 0.5466]","[0.423, 0.5767]","[0.3937, 0.3964]","[0.3939, 0.2871]","[0.4033, 0.1932]","[0.5571, 0.5508]","[0.5729, 0.3446]","[0.5854, 0.2198]","[0.5972, 0.1206]","[0.6753, 0.5704]","[0.7056, 0.3786]","[0.7191, 0.2616]","[0.7257, 0.1667]","[0.7829, 0.6239]","[0.8298, 0.4758]","[0.8516, 0.3826]","[0.8642, 0.3027]"
