[0.0, 0.7203],[0.0328, 0.6456],[0.1819, 0.5015],[0.2371, 0.344],[0.2325, 0.2128],[0.0301, 0.2242],[0.0669, 0.035],[0.063, 0.0],[0.0485, 0.0],[0.0, 0.2006],[0.0, 0.0],[0.0, 0.0],[0.0, 0.0],[0.0, 0.2254],[0.0, 0.0317],[0.0, 0.0],[0.0, 0.0],[0.0, 0.2893],[0.0, 0.1448],[0.0, 0.0505],[0.0, 0.0]
[0.0, 0.7425],[0.0387, 0.6589],[0.1859, 0.5059],[0.2483, 0.3414],[0.2437, 0.2146],[0.0269, 0.2279],[0.061, 0.0409],[0.063, 0.0],[0.0538, 0.0],[0.0, 0.2039],[0.0, 0.0],[0.0, 0.0],[0.0, 0.0],[0.0, 0.2276],[0.0, 0.035],[0.0, 0.0],[0.0, 0.0],[0.0, 0.29],[0.0, 0.1451],[0.0, 0.0494],[0.0, 0.0]
[0.0, 0.7451],[0.0347, 0.6571],[0.1852, 0.5092],[0.2463, 0.3455],[0.2437, 0.2095],[0.0255, 0.2265],[0.063, 0.0379],[0.0643, 0.0],[0.0551, 0.0],[0.0, 0.2021],[0.0, 0.0],[0.0, 0.0],[0.0, 0.0],[0.0, 0.2265],[0.0, 0.0328],[0.0, 0.0],[0.0, 0.0],[0.0, 0.2889],[0.0, 0.1463],[0.0, 0.0531],[0.0, 0.0]
[0.0, 0.7451],[0.038, 0.6556],[0.1892, 0.51],[0.2483, 0.3455],[0.245, 0.208],[0.0255, 0.2279],[0.0623, 0.0402],[0.063, 0.0],[0.0551, 0.0],[0.0, 0.2043],[0.0, 0.0],[0.0, 0.0],[0.0, 0.0],[0.0, 0.2283],[0.0, 0.0357],[0.0, 0.0],[0.0, 0.0],[0.0, 0.2904],[0.0, 0.1496],[0.0, 0.0561],[0.0, 0.0]
[0.0, 0.7499],[0.0374, 0.6553],[0.1872, 0.5111],[0.2477, 0.3499],[0.2457, 0.2128],[0.0242, 0.2294],[0.061, 0.0413],[0.0623, 0.0],[0.0545, 0.0],[0.0, 0.2061],[0.0, 0.0],[0.0, 0.0],[0.0, 0.0],[0.0, 0.2316],[0.0, 0.0379],[0.0, 0.0],[0.0, 0.0],[0.0, 0.2937],[0.0, 0.1525],[0.0, 0.0586],[0.0, 0.0]
[0.0, 0.7491],[0.0374, 0.6538],[0.1872, 0.5081],[0.2457, 0.3484],[0.2431, 0.2154],[0.0229, 0.2291],[0.061, 0.042],[0.063, 0.0],[0.0551, 0.0],[0.0, 0.2058],[0.0, 0.0],[0.0, 0.0],[0.0, 0.0],[0.0, 0.2305],[0.0, 0.0383],[0.0, 0.0],[0.0, 0.0],[0.0, 0.293],[0.0, 0.1529],[0.0, 0.0594],[0.0, 0.0]
[0.0, 0.7432],[0.0387, 0.6508],[0.1865, 0.5033],[0.2398, 0.3462],[0.2404, 0.2146],[0.0163, 0.222],[0.0551, 0.0365],[0.0571, 0.0],[0.0492, 0.0],[0.0, 0.198],[0.0, 0.0],[0.0, 0.0],[0.0, 0.0],[0.0, 0.2235],[0.0, 0.0309],[0.0, 0.0],[0.0, 0.0],[0.0, 0.2889],[0.0, 0.1463],[0.0, 0.0527],[0.0, 0.0]
[0.0, 0.7214],[0.0288, 0.6268],[0.1747, 0.4811],[0.2279, 0.3285],[0.2273, 0.201],[0.0, 0.1991],[0.0387, 0.0147],[0.04, 0.0],[0.0288, 0.0],[0.0, 0.1773],[0.0, 0.0],[0.0, 0.0],[0.0, 0.0],[0.0, 0.205],[0.0, 0.0176],[0.0, 0.0],[0.0, 0.0],[0.0, 0.2727],[0.0, 0.1348],[0.0, 0.0435],[0.0, 0.0]
[0.0, 0.7044],[0.0163, 0.6083],[0.1603, 0.4579],[0.2141, 0.3048],[0.2194, 0.1766],[0.0, 0.1747],[0.0183, 0.0],[0.0177, 0.0],[0.0025, 0.0],[0.0, 0.1559],[0.0, 0.0],[0.0, 0.0],[0.0, 0.0],[0.0, 0.1865],[0.0, 0.0032],[0.0, 0.0],[0.0, 0.0],[0.0, 0.2553],[0.0, 0.1204],[0.0, 0.0317],[0.0, 0.0]
[0.0, 0.6848],[0.0144, 0.5902],[0.1589, 0.4386],[0.2141, 0.2878],[0.2247, 0.1607],[0.0, 0.1525],[0.0091, 0.0],[0.0078, 0.0],[0.0, 0.0],[0.0, 0.1344],[0.0, 0.0],[0.0, 0.0],[0.0, 0.0],[0.0, 0.1666],[0.0, 0.0],[0.0, 0.0],[0.0, 0.0],[0.0, 0.2364],[0.0, 0.1037],[0.0, 0.0161],[0.0, 0.0]
[0.0, 0.6508],[0.0144, 0.5621],[0.1589, 0.4146],[0.2155, 0.2645],[0.2233, 0.1418],[0.0, 0.1222],[0.0, 0.0],[0.0, 0.0],[0.0, 0.0],[0.0, 0.1063],[0.0, 0.0],[0.0, 0.0],[0.0, 0.0],[0.0, 0.1407],[0.0, 0.0],[0.0, 0.0],[0.0, 0.0],[0.0, 0.2124],[0.0, 0.0878],[0.0, 0.0058],[0.0, 0.0]
