"[0.4309, 1.0088]","[0.6204, 0.9582]","[0.7464, 0.8502]","[0.7979, 0.7181]","[0.8066, 0.6043]","[0.6185, 0.6132]","[0.6762, 0.4289]","[0.6992, 0.3097]","[0.7077, 0.2089]","[0.5004, 0.5868]","[0.504, 0.3737]","[0.5008, 0.2434]","[0.4939, 0.1404]","[0.3905, 0.6021]","[0.3732, 0.4065]","[0.3653, 0.2843]","[0.3584, 0.1886]","[0.2862, 0.6498]","[0.2482, 0.4959]","[0.2306, 0.3955]","[0.2203, 0.3088]"
"[0.4341, 1.0273]","[0.6156, 0.9586]","[0.7425, 0.8545]","[0.7971, 0.7193]","[0.8044, 0.598]","[0.6125, 0.611]","[0.6721, 0.4339]","[0.6945, 0.3166]","[0.7052, 0.2125]","[0.4975, 0.5846]","[0.5017, 0.3756]","[0.4947, 0.2428]","[0.4848, 0.1358]","[0.3907, 0.6013]","[0.3727, 0.4124]","[0.3624, 0.2858]","[0.3553, 0.1849]","[0.288, 0.6495]","[0.2514, 0.504]","[0.2318, 0.4025]","[0.2209, 0.3124]"
"[0.4305, 1.037]","[0.6098, 0.9644]","[0.7388, 0.8538]","[0.7927, 0.7177]","[0.806, 0.5953]","[0.6105, 0.613]","[0.6701, 0.433]","[0.6907, 0.3141]","[0.6986, 0.2097]","[0.4927, 0.5856]","[0.4971, 0.3744]","[0.4897, 0.2414]","[0.4786, 0.1348]","[0.385, 0.6013]","[0.3655, 0.412]","[0.3567, 0.2871]","[0.3508, 0.1867]","[0.283, 0.6496]","[0.2461, 0.5036]","[0.2268, 0.4034]","[0.2164, 0.3134]"
"[0.4299, 1.0369]","[0.6121, 0.9641]","[0.7404, 0.8562]","[0.795, 0.718]","[0.8042, 0.5941]","[0.6089, 0.6139]","[0.6694, 0.4347]","[0.6889, 0.3154]","[0.6957, 0.2121]","[0.4908, 0.586]","[0.4948, 0.3746]","[0.4858, 0.2407]","[0.4738, 0.1334]","[0.383, 0.6011]","[0.362, 0.4117]","[0.3531, 0.2868]","[0.3474, 0.188]","[0.2809, 0.6468]","[0.2413, 0.502]","[0.2216, 0.4024]","[0.2112, 0.3142]"
"[0.426, 1.0388]","[0.6154, 0.9652]","[0.7425, 0.856]","[0.7952, 0.7159]","[0.8027, 0.5931]","[0.6072, 0.6156]","[0.6669, 0.434]","[0.6872, 0.3139]","[0.6944, 0.2096]","[0.488, 0.5862]","[0.4917, 0.3731]","[0.4827, 0.2387]","[0.4708, 0.1317]","[0.3793, 0.6001]","[0.359, 0.4099]","[0.3498, 0.2844]","[0.3432, 0.1852]","[0.2771, 0.6432]","[0.2381, 0.4977]","[0.2183, 0.3984]","[0.2072, 0.3115]"
"[0.4275, 1.0361]","[0.6092, 0.964]","[0.738, 0.8548]","[0.7915, 0.7144]","[0.7996, 0.5886]","[0.6034, 0.6107]","[0.6627, 0.4291]","[0.6818, 0.3086]","[0.6882, 0.2035]","[0.4849, 0.5841]","[0.4885, 0.3709]","[0.4802, 0.2362]","[0.4685, 0.1275]","[0.377, 0.5999]","[0.3567, 0.4103]","[0.3478, 0.2846]","[0.3411, 0.1839]","[0.2756, 0.646]","[0.2383, 0.4989]","[0.2193, 0.3982]","[0.2078, 0.3092]"
"[0.422, 1.0367]","[0.6005, 0.9655]","[0.7302, 0.8507]","[0.7868, 0.7137]","[0.7998, 0.5906]","[0.6005, 0.6069]","[0.6613, 0.4281]","[0.6803, 0.3079]","[0.686, 0.2037]","[0.4833, 0.5787]","[0.4878, 0.3662]","[0.4778, 0.2315]","[0.4637, 0.1233]","[0.3764, 0.593]","[0.356, 0.4034]","[0.346, 0.28]","[0.3375, 0.1809]","[0.2753, 0.6394]","[0.2365, 0.4927]","[0.216, 0.3943]","[0.2025, 0.3079]"
"[0.416, 1.0285]","[0.5959, 0.957]","[0.7264, 0.8418]","[0.783, 0.7016]","[0.7973, 0.5777]","[0.5923, 0.5946]","[0.6486, 0.4147]","[0.6675, 0.2947]","[0.6753, 0.19]","[0.4743, 0.5667]","[0.4754, 0.3557]","[0.4665, 0.2205]","[0.4552, 0.111]","[0.3672, 0.582]","[0.3446, 0.3915]","[0.3313, 0.2658]","[0.3222, 0.1634]","[0.2672, 0.6296]","[0.2245, 0.4867]","[0.202, 0.3879]","[0.189, 0.2993]"
"[0.3994, 1.0197]","[0.5776, 0.947]","[0.7134, 0.825]","[0.7728, 0.6865]","[0.7885, 0.5597]","[0.5797, 0.5701]","[0.6345, 0.3895]","[0.6504, 0.2704]","[0.6541, 0.1647]","[0.4603, 0.5424]","[0.4588, 0.3333]","[0.4489, 0.2009]","[0.435, 0.0931]","[0.3514, 0.56]","[0.3279, 0.3699]","[0.3134, 0.2496]","[0.3014, 0.1488]","[0.2505, 0.6132]","[0.208, 0.4683]","[0.1829, 0.371]","[0.1665, 0.282]"
"[0.3871, 1.0086]","[0.5686, 0.9314]","[0.7045, 0.8042]","[0.7683, 0.6635]","[0.7854, 0.5406]","[0.5602, 0.5487]","[0.6175, 0.3684]","[0.6348, 0.2501]","[0.6395, 0.145]","[0.4402, 0.5207]","[0.439, 0.3103]","[0.4276, 0.1782]","[0.4113, 0.071]","[0.3322, 0.5387]","[0.3074, 0.3497]","[0.2909, 0.2306]","[0.2764, 0.1313]","[0.2328, 0.5936]","[0.1863, 0.4515]","[0.1585, 0.3562]","[0.1388, 0.2701]"
"[0.3877, 0.9945]","[0.576, 0.9084]","[0.7057, 0.771]","[0.7617, 0.6332]","[0.7788, 0.5169]","[0.5491, 0.5179]","[0.6008, 0.3425]","[0.6166, 0.2278]","[0.6197, 0.1264]","[0.426, 0.4945]","[0.4179, 0.2883]","[0.407, 0.1614]","[0.3917, 0.0586]","[0.3164, 0.5169]","[0.2825, 0.3318]","[0.2647, 0.2168]","[0.2505, 0.1197]","[0.2172, 0.577]","[0.1646, 0.4393]","[0.1346, 0.3481]","[0.1145, 0.2653]"
"[0.3619, 0.9746]","[0.5554, 0.8949]","[0.689, 0.752]","[0.7458, 0.6094]","[0.7674, 0.4943]","[0.5298, 0.4934]","[0.5785, 0.3194]","[0.5947, 0.2059]","[0.5983, 0.1051]","[0.4028, 0.4717]","[0.392, 0.269]","[0.3816, 0.1458]","[0.3668, 0.045]","[0.2919, 0.4966]","[0.255, 0.3189]","[0.2348, 0.2087]","[0.2179, 0.1138]","[0.192, 0.5585]","[0.1389, 0.4236]","[0.1068, 0.3369]","[0.084, 0.2565]"
"[0.3306, 0.9591]","[0.5212, 0.8819]","[0.6616, 0.7373]","[0.7193, 0.5965]","[0.748, 0.4838]","[0.5063, 0.4685]","[0.5528, 0.2977]","[0.5677, 0.1891]","[0.5711, 0.0927]","[0.3752, 0.4468]","[0.3601, 0.2461]","[0.3492, 0.1274]","[0.3344, 0.0318]","[0.2616, 0.4723]","[0.2229, 0.2978]","[0.202, 0.1942]","[0.185, 0.1056]","[0.1606, 0.5369]","[0.104, 0.4038]","[0.0684, 0.3206]","[0.0426, 0.2438]"
"[0.308, 0.937]","[0.5, 0.8526]","[0.637, 0.7055]","[0.6911, 0.5743]","[0.7179, 0.4693]","[0.4732, 0.4365]","[0.5158, 0.2818]","[0.5261, 0.1889]","[0.5237, 0.1068]","[0.3415, 0.4187]","[0.3266, 0.2379]","[0.3122, 0.1325]","[0.2927, 0.0443]","[0.2269, 0.4489]","[0.1841, 0.2899]","[0.1605, 0.1989]","[0.14, 0.1184]","[0.1255, 0.5194]","[0.0574, 0.3956]","[0.0131, 0.3215]","[-0.0228, 0.2549]"
"[0.2683, 0.9235]","[0.464, 0.8418]","[0.606, 0.6952]","[0.6635, 0.5671]","[0.6935, 0.4667]","[0.4343, 0.4258]","[0.4747, 0.2824]","[0.4857, 0.2032]","[0.4859, 0.1358]","[0.3007, 0.4089]","[0.2864, 0.2464]","[0.268, 0.1543]","[0.242, 0.0798]","[0.1843, 0.4396]","[0.1423, 0.3008]","[0.1163, 0.2208]","[0.0929, 0.1496]","[0.0807, 0.5108]","[0.0127, 0.4047]","[-0.0287, 0.3387]","[-0.0608, 0.2784]"
"[0.2373, 0.9068]","[0.4263, 0.8377]","[0.5695, 0.7002]","[0.6254, 0.5777]","[0.6536, 0.4803]","[0.3929, 0.4275]","[0.4304, 0.29]","[0.4391, 0.23]","[0.438, 0.2019]","[0.2555, 0.4079]","[0.2324, 0.2451]","[0.2133, 0.1797]","[0.1883, 0.1542]","[0.1396, 0.4404]","[0.0921, 0.3084]","[0.0615, 0.2459]","[0.0365, 0.2075]","[0.0401, 0.5192]","[-0.0288, 0.435]","[-0.0679, 0.3893]","[-0.099, 0.3584]"
"[0.2221, 0.9003]","[0.3959, 0.8433]","[0.5332, 0.7098]","[0.5926, 0.5974]","[0.6184, 0.5088]","[0.3637, 0.4589]","[0.3948, 0.3107]","[0.3965, 0.2606]","[0.3944, 0.2951]","[0.2209, 0.4388]","[0.1971, 0.2546]","[0.1765, 0.2036]","[0.1618, 0.2461]","[0.1023, 0.4739]","[0.0428, 0.3163]","[0.0065, 0.2807]","[-0.0062, 0.3111]","[-0.0013, 0.5571]","[-0.0846, 0.4642]","[-0.1242, 0.4281]","[-0.1414, 0.4332]"
"[0.2014, 0.9273]","[0.3811, 0.8664]","[0.5123, 0.7395]","[0.5827, 0.6289]","[0.593, 0.5366]","[0.3472, 0.463]","[0.3765, 0.3155]","[0.3756, 0.305]","[0.3671, 0.3885]","[0.2063, 0.4521]","[0.1664, 0.2634]","[0.1654, 0.2782]","[0.1782, 0.3757]","[0.0913, 0.4866]","[0.0519, 0.3353]","[0.0479, 0.3553]","[0.062, 0.4298]","[-0.0093, 0.5606]","[-0.0731, 0.4482]","[-0.0924, 0.422]","[-0.0861, 0.4391]"
"[0.1745, 0.9492]","[0.3457, 0.9013]","[0.4877, 0.7799]","[0.5624, 0.6724]","[0.5837, 0.5803]","[0.3531, 0.5591]","[0.3577, 0.4068]","[0.3367, 0.427]","[0.3232, 0.4925]","[0.2153, 0.5502]","[0.1838, 0.3583]","[0.1693, 0.4428]","[0.1703, 0.5542]","[0.0951, 0.569]","[0.0699, 0.4112]","[0.0641, 0.5065]","[0.0696, 0.6129]","[-0.0091, 0.6121]","[-0.0367, 0.477]","[-0.0379, 0.5439]","[-0.0294, 0.6305]"
"[0.159, 0.9611]","[0.3246, 0.9225]","[0.4695, 0.8296]","[0.5493, 0.7333]","[0.5764, 0.6424]","[0.3481, 0.5107]","[0.341, 0.488]","[0.3251, 0.621]","[0.3166, 0.7213]","[0.2089, 0.4989]","[0.1753, 0.4917]","[0.1731, 0.6459]","[0.1801, 0.7528]","[0.0873, 0.5198]","[0.0576, 0.5579]","[0.0736, 0.6934]","[0.0898, 0.7854]","[-0.0099, 0.5655]","[-0.0337, 0.5927]","[-0.015, 0.7067]","[0.0073, 0.784]"
