[1.0, 0.6365],[0.8671, 0.5863],[0.7143, 0.4494],[0.6647, 0.2981],[0.6678, 0.1765],[0.8388, 0.2055],[0.7753, 0.0124],[0.7552, 0.0],[0.7464, 0.0],[0.9582, 0.1708],[0.9406, 0.0],[0.9375, 0.0],[0.9381, 0.0],[1.0, 0.1807],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.2232],[1.0, 0.0655],[1.0, 0.0],[1.0, 0.0]
[1.0, 0.6552],[0.8746, 0.5944],[0.7225, 0.4579],[0.6659, 0.313],[0.6672, 0.1945],[0.8413, 0.2016],[0.7759, 0.011],[0.7533, 0.0],[0.7445, 0.0],[0.9633, 0.1676],[0.9488, 0.0],[0.9463, 0.0],[0.9488, 0.0],[1.0, 0.179],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.221],[1.0, 0.0672],[1.0, 0.0],[1.0, 0.0]
[1.0, 0.6584],[0.8778, 0.5891],[0.725, 0.453],[0.6678, 0.3112],[0.6672, 0.192],[0.8401, 0.2002],[0.7766, 0.0092],[0.7546, 0.0],[0.747, 0.0],[0.9607, 0.1676],[0.9482, 0.0],[0.9475, 0.0],[0.9507, 0.0],[1.0, 0.1793],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.2217],[1.0, 0.0686],[1.0, 0.0],[1.0, 0.0]
[1.0, 0.6552],[0.8803, 0.5905],[0.7269, 0.454],[0.6672, 0.3115],[0.6691, 0.192],[0.8388, 0.198],[0.7753, 0.0085],[0.7546, 0.0],[0.7477, 0.0],[0.9595, 0.1645],[0.9469, 0.0],[0.9463, 0.0],[0.9494, 0.0],[1.0, 0.1754],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.2179],[1.0, 0.0672],[1.0, 0.0],[1.0, 0.0]
[1.0, 0.6609],[0.8809, 0.5937],[0.7275, 0.4551],[0.6653, 0.313],[0.6666, 0.1942],[0.8407, 0.1998],[0.7778, 0.0092],[0.7565, 0.0],[0.7502, 0.0],[0.9614, 0.1659],[0.9488, 0.0],[0.9494, 0.0],[0.9526, 0.0],[1.0, 0.1768],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.2189],[1.0, 0.0651],[1.0, 0.0],[1.0, 0.0]
[1.0, 0.6584],[0.8765, 0.5859],[0.7263, 0.4463],[0.671, 0.3027],[0.6754, 0.1881],[0.8445, 0.1984],[0.7803, 0.0082],[0.7583, 0.0],[0.7521, 0.0],[0.9651, 0.1655],[0.9526, 0.0],[0.9519, 0.0],[0.9551, 0.0],[1.0, 0.1761],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.2182],[1.0, 0.0648],[1.0, 0.0],[1.0, 0.0]
[1.0, 0.6542],[0.874, 0.581],[0.725, 0.4434],[0.6685, 0.3009],[0.6754, 0.1839],[0.8413, 0.1938],[0.7785, 0.0036],[0.7583, 0.0],[0.7533, 0.0],[0.9633, 0.1606],[0.9526, 0.0],[0.9519, 0.0],[0.9551, 0.0],[1.0, 0.1715],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.2143],[1.0, 0.0612],[1.0, 0.0],[1.0, 0.0]
[1.0, 0.6361],[0.8658, 0.5658],[0.7181, 0.43],[0.6597, 0.2889],[0.6615, 0.174],[0.835, 0.1775],[0.7741, 0.0],[0.7533, 0.0],[0.7477, 0.0],[0.9582, 0.1468],[0.9463, 0.0],[0.9438, 0.0],[0.9463, 0.0],[1.0, 0.1584],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.2005],[1.0, 0.0457],[1.0, 0.0],[1.0, 0.0]
[1.0, 0.6103],[0.869, 0.5463],[0.7175, 0.4141],[0.6521, 0.2741],[0.6471, 0.156],[0.8363, 0.1556],[0.7741, 0.0],[0.7527, 0.0],[0.7477, 0.0],[0.9582, 0.1259],[0.9475, 0.0],[0.9463, 0.0],[0.9513, 0.0],[1.0, 0.1386],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.1814],[1.0, 0.0248],[1.0, 0.0],[1.0, 0.0]
[1.0, 0.5838],[0.8627, 0.5124],[0.7162, 0.3816],[0.6527, 0.2422],[0.637, 0.1245],[0.8401, 0.1266],[0.7791, 0.0],[0.759, 0.0],[0.7539, 0.0],[0.9639, 0.0955],[0.9545, 0.0],[0.9532, 0.0],[0.9589, 0.0],[1.0, 0.1065],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.1489],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0]
[1.0, 0.5608],[0.8658, 0.4919],[0.7156, 0.3497],[0.6471, 0.2147],[0.6301, 0.098],[0.847, 0.0884],[0.7847, 0.0],[0.7665, 0.0],[0.7615, 0.0],[0.9739, 0.0591],[0.9683, 0.0],[0.9689, 0.0],[0.9727, 0.0],[1.0, 0.0743],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.1217],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0]
[1.0, 0.5301],[0.8709, 0.4562],[0.7238, 0.3158],[0.6578, 0.1807],[0.6358, 0.0658],[0.8639, 0.0499],[0.8042, 0.0],[0.7854, 0.0],[0.7772, 0.0],[0.9922, 0.0216],[0.9903, 0.0],[0.9915, 0.0],[0.9966, 0.0],[1.0, 0.0397],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0913],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0]
[1.0, 0.5042],[0.8916, 0.4357],[0.7351, 0.2928],[0.6672, 0.1553],[0.6477, 0.0379],[0.8834, 0.0195],[0.8281, 0.0],[0.808, 0.0],[0.7998, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0184],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0782],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0]
[1.0, 0.4873],[0.8973, 0.4137],[0.7445, 0.2727],[0.6804, 0.1408],[0.6571, 0.0266],[0.8979, 0.0],[0.8501, 0.0],[0.8331, 0.0],[0.8243, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0057],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0715],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0]
[1.0, 0.4749],[0.9092, 0.401],[0.7546, 0.2645],[0.6867, 0.1397],[0.6584, 0.0326],[0.9079, 0.0],[0.8589, 0.0],[0.8394, 0.0],[0.8281, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0552],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0]
[1.0, 0.4664],[0.9281, 0.4038],[0.7697, 0.2719],[0.698, 0.1524],[0.6691, 0.0598],[0.9249, 0.0],[0.8822, 0.0],[0.8621, 0.0],[0.8457, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.058],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0]
