"[0.4767, 0.5609]","[0.5044, 0.5403]","[0.5203, 0.4939]","[0.5199, 0.4488]","[0.5056, 0.4347]","[0.4987, 0.4288]","[0.5003, 0.3756]","[0.4994, 0.3425]","[0.4974, 0.3136]","[0.4843, 0.4238]","[0.4852, 0.3657]","[0.4841, 0.3265]","[0.4815, 0.2947]","[0.4708, 0.4283]","[0.4703, 0.3745]","[0.471, 0.3393]","[0.4703, 0.3116]","[0.456, 0.4414]","[0.4566, 0.398]","[0.4579, 0.3699]","[0.4584, 0.3468]"
"[0.4756, 0.5646]","[0.5033, 0.5416]","[0.5196, 0.4932]","[0.5186, 0.4474]","[0.502, 0.436]","[0.4984, 0.4276]","[0.4994, 0.3754]","[0.4981, 0.3428]","[0.4962, 0.314]","[0.4843, 0.422]","[0.4843, 0.3645]","[0.4836, 0.3263]","[0.482, 0.2949]","[0.4711, 0.4263]","[0.4707, 0.3732]","[0.4714, 0.3385]","[0.4709, 0.3108]","[0.4573, 0.439]","[0.4572, 0.3958]","[0.4581, 0.368]","[0.4582, 0.3444]"
"[0.4755, 0.5668]","[0.5034, 0.5434]","[0.5196, 0.4938]","[0.5187, 0.4477]","[0.5026, 0.4351]","[0.4981, 0.4278]","[0.4993, 0.3753]","[0.498, 0.3425]","[0.496, 0.3135]","[0.484, 0.4223]","[0.4842, 0.3647]","[0.4835, 0.3263]","[0.4819, 0.2944]","[0.4709, 0.4267]","[0.4707, 0.3732]","[0.4713, 0.3385]","[0.4706, 0.3105]","[0.4571, 0.4396]","[0.457, 0.3963]","[0.4577, 0.3684]","[0.4577, 0.3443]"
"[0.4752, 0.5669]","[0.5035, 0.5433]","[0.52, 0.4937]","[0.5194, 0.4482]","[0.5036, 0.4371]","[0.4985, 0.4271]","[0.4994, 0.3751]","[0.498, 0.3425]","[0.4961, 0.3137]","[0.4842, 0.4218]","[0.4839, 0.3645]","[0.4832, 0.3266]","[0.4816, 0.2949]","[0.4709, 0.4265]","[0.4703, 0.3732]","[0.4708, 0.3386]","[0.4701, 0.3103]","[0.457, 0.4396]","[0.4567, 0.3962]","[0.4574, 0.3684]","[0.4575, 0.344]"
"[0.4753, 0.5667]","[0.5039, 0.5423]","[0.5203, 0.4936]","[0.5193, 0.4483]","[0.5031, 0.4362]","[0.4982, 0.4277]","[0.4994, 0.3754]","[0.498, 0.3425]","[0.4959, 0.3132]","[0.4841, 0.4224]","[0.484, 0.3652]","[0.4832, 0.3271]","[0.4815, 0.2948]","[0.4709, 0.4267]","[0.4704, 0.3736]","[0.4709, 0.3393]","[0.4702, 0.3113]","[0.4573, 0.4391]","[0.4569, 0.3961]","[0.4575, 0.3683]","[0.4575, 0.3439]"
"[0.4752, 0.566]","[0.5036, 0.5419]","[0.5201, 0.4933]","[0.5191, 0.4481]","[0.5028, 0.4352]","[0.4983, 0.4268]","[0.4993, 0.3745]","[0.4979, 0.3419]","[0.4959, 0.313]","[0.4841, 0.4215]","[0.4841, 0.3641]","[0.4833, 0.326]","[0.4818, 0.2941]","[0.4709, 0.426]","[0.4705, 0.3727]","[0.4711, 0.3381]","[0.4705, 0.3101]","[0.4571, 0.4387]","[0.4569, 0.3957]","[0.4576, 0.368]","[0.4577, 0.3437]"
"[0.4749, 0.5671]","[0.5033, 0.5436]","[0.5201, 0.4945]","[0.5191, 0.4492]","[0.5029, 0.4364]","[0.4983, 0.4273]","[0.4994, 0.3753]","[0.498, 0.3426]","[0.496, 0.3135]","[0.484, 0.4218]","[0.484, 0.3647]","[0.4832, 0.3267]","[0.4816, 0.2943]","[0.4707, 0.4264]","[0.4703, 0.3735]","[0.4708, 0.3391]","[0.4701, 0.3109]","[0.457, 0.4395]","[0.4566, 0.3966]","[0.4573, 0.369]","[0.4571, 0.3446]"
"[0.4744, 0.5664]","[0.5029, 0.5435]","[0.5201, 0.4949]","[0.5193, 0.449]","[0.5029, 0.4361]","[0.4988, 0.4273]","[0.4995, 0.3746]","[0.4978, 0.3417]","[0.4957, 0.3125]","[0.4844, 0.422]","[0.4841, 0.3641]","[0.4831, 0.3258]","[0.4813, 0.2936]","[0.471, 0.4267]","[0.4703, 0.3733]","[0.4706, 0.3389]","[0.4696, 0.311]","[0.4572, 0.4398]","[0.4567, 0.3967]","[0.4572, 0.3689]","[0.4568, 0.3446]"
"[0.4742, 0.5661]","[0.5032, 0.5428]","[0.5203, 0.494]","[0.5192, 0.4483]","[0.5029, 0.4353]","[0.4986, 0.4272]","[0.4995, 0.3748]","[0.4978, 0.3418]","[0.4956, 0.3127]","[0.4842, 0.4218]","[0.4841, 0.3643]","[0.4832, 0.3261]","[0.4815, 0.2939]","[0.4709, 0.4263]","[0.4704, 0.3731]","[0.4707, 0.339]","[0.4697, 0.3114]","[0.4572, 0.439]","[0.4567, 0.3961]","[0.4571, 0.3682]","[0.4566, 0.3437]"
"[0.4746, 0.5662]","[0.5037, 0.5423]","[0.5206, 0.4937]","[0.5194, 0.4479]","[0.5028, 0.4357]","[0.4985, 0.4273]","[0.4996, 0.375]","[0.498, 0.3421]","[0.4959, 0.3129]","[0.4841, 0.422]","[0.484, 0.3641]","[0.4832, 0.3257]","[0.4816, 0.2934]","[0.4709, 0.4263]","[0.4703, 0.3732]","[0.4707, 0.339]","[0.4697, 0.3115]","[0.4573, 0.4389]","[0.4569, 0.3959]","[0.4574, 0.3679]","[0.457, 0.3436]"
"[0.4745, 0.5669]","[0.5037, 0.5425]","[0.5207, 0.4938]","[0.5192, 0.4482]","[0.5027, 0.4347]","[0.4984, 0.4276]","[0.4996, 0.3748]","[0.4981, 0.3416]","[0.496, 0.3123]","[0.4839, 0.4226]","[0.4841, 0.3646]","[0.4833, 0.3261]","[0.4817, 0.2937]","[0.4707, 0.4272]","[0.4703, 0.3738]","[0.4707, 0.3393]","[0.4698, 0.3118]","[0.457, 0.4399]","[0.4567, 0.3966]","[0.4573, 0.3685]","[0.457, 0.3444]"
