"[0.5453, 1.0016]","[0.401, 0.9622]","[0.3283, 0.8331]","[0.3941, 0.7042]","[0.5024, 0.6543]","[0.3778, 0.635]","[0.3642, 0.4378]","[0.3711, 0.3105]","[0.3834, 0.2039]","[0.4805, 0.6055]","[0.4722, 0.3904]","[0.4755, 0.2485]","[0.4799, 0.1278]","[0.5737, 0.6131]","[0.5682, 0.4117]","[0.5635, 0.2842]","[0.5625, 0.1809]","[0.6697, 0.6511]","[0.6639, 0.4894]","[0.6577, 0.3867]","[0.6489, 0.2997]"
"[0.56, 1.0405]","[0.3947, 0.9682]","[0.3143, 0.8179]","[0.3818, 0.6815]","[0.4931, 0.6382]","[0.3799, 0.6319]","[0.3669, 0.4325]","[0.372, 0.3077]","[0.3819, 0.2009]","[0.4824, 0.6059]","[0.4703, 0.3869]","[0.4728, 0.2449]","[0.4754, 0.121]","[0.5765, 0.6152]","[0.5669, 0.4126]","[0.563, 0.2817]","[0.5609, 0.1746]","[0.676, 0.6529]","[0.6641, 0.4941]","[0.6549, 0.3887]","[0.648, 0.297]"
"[0.5552, 1.0638]","[0.3896, 0.9705]","[0.3115, 0.8164]","[0.3809, 0.6869]","[0.4861, 0.6495]","[0.3824, 0.6365]","[0.3683, 0.4364]","[0.3733, 0.3108]","[0.384, 0.2014]","[0.4836, 0.6104]","[0.4714, 0.39]","[0.476, 0.247]","[0.4822, 0.1238]","[0.579, 0.6196]","[0.5686, 0.4165]","[0.5658, 0.2827]","[0.5644, 0.1743]","[0.6802, 0.6586]","[0.6667, 0.4947]","[0.6566, 0.3862]","[0.6486, 0.2937]"
"[0.5794, 1.0703]","[0.4053, 0.9837]","[0.313, 0.8287]","[0.3742, 0.6899]","[0.4774, 0.6423]","[0.3843, 0.6394]","[0.3694, 0.4374]","[0.374, 0.3107]","[0.384, 0.2006]","[0.4872, 0.61]","[0.473, 0.3894]","[0.4759, 0.2471]","[0.4808, 0.1235]","[0.5825, 0.6175]","[0.571, 0.4161]","[0.5673, 0.2808]","[0.5652, 0.1695]","[0.6841, 0.6564]","[0.6704, 0.4952]","[0.659, 0.3883]","[0.6509, 0.296]"
"[0.5796, 1.0703]","[0.404, 0.9738]","[0.3129, 0.8202]","[0.3803, 0.6876]","[0.4888, 0.6415]","[0.3882, 0.6346]","[0.37, 0.4366]","[0.3756, 0.3128]","[0.3878, 0.205]","[0.4886, 0.6041]","[0.4731, 0.3852]","[0.4767, 0.2451]","[0.4833, 0.1243]","[0.5827, 0.6105]","[0.5716, 0.411]","[0.568, 0.2786]","[0.567, 0.1705]","[0.6832, 0.6498]","[0.6702, 0.4892]","[0.6599, 0.3835]","[0.653, 0.2936]"
"[0.5844, 1.0693]","[0.4056, 0.9753]","[0.3125, 0.8209]","[0.3785, 0.6847]","[0.4888, 0.6419]","[0.3856, 0.6347]","[0.3679, 0.4371]","[0.3728, 0.3131]","[0.3845, 0.205]","[0.4861, 0.6037]","[0.4711, 0.3857]","[0.4735, 0.2459]","[0.4792, 0.1257]","[0.5806, 0.6094]","[0.5701, 0.4106]","[0.5664, 0.2779]","[0.565, 0.1694]","[0.6803, 0.6483]","[0.6676, 0.4896]","[0.6581, 0.3846]","[0.6522, 0.2963]"
"[0.5804, 1.0696]","[0.4022, 0.9672]","[0.3109, 0.8098]","[0.3793, 0.6751]","[0.4916, 0.6353]","[0.3878, 0.6337]","[0.3696, 0.4361]","[0.3756, 0.3128]","[0.3888, 0.2049]","[0.4871, 0.604]","[0.4714, 0.385]","[0.4741, 0.2436]","[0.4803, 0.1213]","[0.581, 0.6106]","[0.5695, 0.4104]","[0.5646, 0.2769]","[0.5622, 0.1672]","[0.6814, 0.6499]","[0.6685, 0.4888]","[0.6589, 0.3828]","[0.6528, 0.2925]"
"[0.582, 1.0699]","[0.4039, 0.9751]","[0.31, 0.8192]","[0.3734, 0.6797]","[0.4854, 0.6369]","[0.387, 0.6347]","[0.3693, 0.4368]","[0.3739, 0.3127]","[0.3862, 0.2042]","[0.4853, 0.6048]","[0.4714, 0.3864]","[0.4738, 0.2452]","[0.4804, 0.1227]","[0.5789, 0.6118]","[0.5699, 0.4114]","[0.5664, 0.2781]","[0.565, 0.1682]","[0.6787, 0.6515]","[0.6676, 0.4913]","[0.6583, 0.385]","[0.6519, 0.2952]"
"[0.5787, 1.0725]","[0.4005, 0.9695]","[0.3103, 0.8121]","[0.3796, 0.6768]","[0.493, 0.6359]","[0.3874, 0.6327]","[0.372, 0.4378]","[0.3761, 0.3146]","[0.3868, 0.206]","[0.4852, 0.6026]","[0.472, 0.3861]","[0.4738, 0.2442]","[0.479, 0.1208]","[0.5786, 0.6095]","[0.5697, 0.411]","[0.5655, 0.2784]","[0.5622, 0.1686]","[0.6782, 0.6498]","[0.6677, 0.4893]","[0.6581, 0.3835]","[0.6511, 0.2935]"
"[0.5822, 1.0685]","[0.4053, 0.976]","[0.312, 0.8193]","[0.3752, 0.6815]","[0.4868, 0.6355]","[0.3878, 0.6316]","[0.3703, 0.4357]","[0.374, 0.3122]","[0.3848, 0.2035]","[0.4859, 0.6017]","[0.4719, 0.3846]","[0.4736, 0.2441]","[0.4787, 0.1219]","[0.5794, 0.6096]","[0.5706, 0.41]","[0.5674, 0.2773]","[0.5652, 0.1672]","[0.6785, 0.65]","[0.6683, 0.4913]","[0.659, 0.3855]","[0.6525, 0.2955]"
