[0.0927, 0.832],[0.2417, 0.7609],[0.3466, 0.6068],[0.275, 0.4685],[0.1455, 0.4268],[0.2926, 0.3978],[0.3051, 0.2104],[0.2926, 0.0923],[0.2769, 0.0],[0.1882, 0.3727],[0.2021, 0.1751],[0.1964, 0.0372],[0.187, 0.0],[0.0977, 0.3819],[0.1084, 0.2002],[0.1134, 0.0792],[0.1115, 0.0],[0.0047, 0.4155],[0.0154, 0.2684],[0.0261, 0.1701],[0.0342, 0.0867]
[0.0801, 0.8522],[0.2347, 0.7737],[0.3466, 0.6117],[0.2743, 0.4675],[0.1392, 0.441],[0.2857, 0.3992],[0.2957, 0.2087],[0.2806, 0.087],[0.2668, 0.0],[0.1832, 0.3748],[0.1926, 0.1747],[0.1882, 0.0343],[0.1845, 0.0],[0.0927, 0.384],[0.1015, 0.1998],[0.109, 0.0747],[0.1128, 0.0],[0.0022, 0.419],[0.0129, 0.2695],[0.0248, 0.1694],[0.033, 0.0856]
[0.082, 0.8596],[0.2435, 0.7747],[0.3535, 0.6103],[0.2756, 0.46],[0.1335, 0.4314],[0.2919, 0.4042],[0.3033, 0.2125],[0.2901, 0.0906],[0.2775, 0.0],[0.1882, 0.3801],[0.1989, 0.1779],[0.1958, 0.0361],[0.1933, 0.0],[0.0958, 0.389],[0.1046, 0.203],[0.1153, 0.0764],[0.1203, 0.0],[0.0034, 0.4212],[0.0122, 0.2705],[0.0242, 0.1698],[0.0349, 0.0842]
[0.087, 0.8486],[0.2511, 0.7553],[0.3561, 0.6029],[0.2831, 0.4586],[0.143, 0.4187],[0.2926, 0.3992],[0.3064, 0.2051],[0.2951, 0.0803],[0.2831, 0.0],[0.1889, 0.3812],[0.2021, 0.1722],[0.2008, 0.028],[0.2002, 0.0],[0.0977, 0.389],[0.109, 0.1988],[0.121, 0.0693],[0.1298, 0.0],[0.0066, 0.4148],[0.0185, 0.2635],[0.0311, 0.1616],[0.0437, 0.0768]
[0.0858, 0.856],[0.2498, 0.7705],[0.3636, 0.6064],[0.2913, 0.4512],[0.153, 0.4166],[0.2976, 0.4003],[0.3114, 0.2087],[0.2976, 0.086],[0.2838, 0.0],[0.1945, 0.3748],[0.2071, 0.1705],[0.2065, 0.0298],[0.2052, 0.0],[0.1034, 0.3826],[0.1134, 0.192],[0.1266, 0.0655],[0.1354, 0.0],[0.0103, 0.4144],[0.021, 0.2613],[0.0349, 0.1606],[0.0468, 0.0761]
[0.0845, 0.8479],[0.2536, 0.756],[0.3567, 0.6047],[0.2945, 0.4586],[0.1618, 0.4021],[0.2995, 0.4003],[0.3127, 0.2044],[0.302, 0.0778],[0.2875, 0.0],[0.1945, 0.3854],[0.2071, 0.1712],[0.2071, 0.0262],[0.2083, 0.0],[0.1021, 0.3922],[0.1159, 0.1949],[0.1285, 0.0648],[0.1361, 0.0],[0.0097, 0.4113],[0.0235, 0.2557],[0.0342, 0.1528],[0.0455, 0.069]
[0.0782, 0.8465],[0.2479, 0.7539],[0.3517, 0.6068],[0.2982, 0.4629],[0.1706, 0.3943],[0.2982, 0.4049],[0.3121, 0.2069],[0.302, 0.0796],[0.2857, 0.0],[0.1939, 0.3907],[0.2071, 0.1772],[0.2065, 0.0298],[0.2065, 0.0],[0.0996, 0.396],[0.1172, 0.2016],[0.1285, 0.0701],[0.1348, 0.0],[0.0078, 0.4098],[0.0261, 0.2564],[0.0361, 0.1521],[0.0481, 0.0693]
[0.082, 0.8543],[0.2473, 0.7698],[0.3598, 0.6174],[0.3026, 0.4661],[0.1801, 0.3996],[0.302, 0.4045],[0.3158, 0.2104],[0.3033, 0.0856],[0.2869, 0.0],[0.1977, 0.3833],[0.2109, 0.1761],[0.2109, 0.0301],[0.209, 0.0],[0.1046, 0.3918],[0.1191, 0.2002],[0.1304, 0.0715],[0.1373, 0.0],[0.0103, 0.4159],[0.0248, 0.2635],[0.0361, 0.1623],[0.0493, 0.0775]
[0.0826, 0.8433],[0.2505, 0.7588],[0.3535, 0.6135],[0.2901, 0.477],[0.165, 0.4038],[0.3058, 0.4056],[0.3171, 0.2062],[0.3051, 0.0782],[0.2894, 0.0],[0.1995, 0.3925],[0.2115, 0.1775],[0.2083, 0.029],[0.2077, 0.0],[0.104, 0.3992],[0.1203, 0.2041],[0.1291, 0.0704],[0.1361, 0.0],[0.0103, 0.4141],[0.0261, 0.2599],[0.0367, 0.1549],[0.0499, 0.0683]
[0.0851, 0.8437],[0.2567, 0.7592],[0.3649, 0.6085],[0.2957, 0.4636],[0.1606, 0.4098],[0.3033, 0.4014],[0.3171, 0.208],[0.3039, 0.0828],[0.2875, 0.0],[0.1983, 0.383],[0.2121, 0.174],[0.2115, 0.0273],[0.2071, 0.0],[0.1059, 0.3904],[0.1197, 0.1988],[0.1298, 0.0701],[0.1348, 0.0],[0.0129, 0.4095],[0.0267, 0.2567],[0.0393, 0.1542],[0.0525, 0.0704]
[0.0845, 0.8416],[0.2567, 0.7585],[0.3586, 0.6121],[0.2938, 0.471],[0.1625, 0.4063],[0.3033, 0.3989],[0.3171, 0.2026],[0.3064, 0.0768],[0.2913, 0.0],[0.1989, 0.384],[0.2115, 0.1719],[0.2121, 0.0244],[0.2109, 0.0],[0.1059, 0.3925],[0.1197, 0.1995],[0.1317, 0.0686],[0.1386, 0.0],[0.0122, 0.4113],[0.0279, 0.2575],[0.0393, 0.1528],[0.0531, 0.0676]
[0.087, 0.8461],[0.2593, 0.7602],[0.3611, 0.6167],[0.3039, 0.4728],[0.1763, 0.4049],[0.3039, 0.4006],[0.3165, 0.2055],[0.3051, 0.0796],[0.2875, 0.0],[0.1989, 0.3858],[0.2115, 0.1744],[0.2115, 0.0269],[0.2109, 0.0],[0.1053, 0.3957],[0.1197, 0.203],[0.1317, 0.0708],[0.1373, 0.0],[0.0116, 0.4173],[0.0279, 0.2613],[0.0393, 0.1556],[0.0525, 0.0693]
