[0.5782, 0.9333],[0.4351, 0.8894],[0.3443, 0.7698],[0.3855, 0.6617],[0.4741, 0.639],[0.4157, 0.596],[0.4015, 0.449],[0.4036, 0.3516],[0.4085, 0.2695],[0.4919, 0.5703],[0.4827, 0.405],[0.4814, 0.2973],[0.4813, 0.2076],[0.5596, 0.5744],[0.5526, 0.4211],[0.5476, 0.3248],[0.5452, 0.2489],[0.6315, 0.6037],[0.6277, 0.4827],[0.6218, 0.4088],[0.6157, 0.3469]
[0.5822, 0.9509],[0.4378, 0.8944],[0.3441, 0.7646],[0.3874, 0.6556],[0.4757, 0.6413],[0.4208, 0.5944],[0.4072, 0.4446],[0.4098, 0.3492],[0.4161, 0.268],[0.4971, 0.569],[0.484, 0.4017],[0.4839, 0.2973],[0.4854, 0.2076],[0.5651, 0.5736],[0.5554, 0.4204],[0.5511, 0.3209],[0.5502, 0.241],[0.6381, 0.6036],[0.63, 0.4817],[0.6237, 0.4029],[0.6202, 0.3359]
[0.5815, 0.9599],[0.435, 0.8936],[0.3438, 0.7601],[0.3897, 0.651],[0.4784, 0.6391],[0.4214, 0.5939],[0.407, 0.4449],[0.4102, 0.3495],[0.4182, 0.2668],[0.4984, 0.5711],[0.4853, 0.4032],[0.4866, 0.2992],[0.4896, 0.2079],[0.567, 0.577],[0.5589, 0.4249],[0.5539, 0.3251],[0.5529, 0.2443],[0.6424, 0.6063],[0.6342, 0.483],[0.6269, 0.4038],[0.6229, 0.3344]
[0.583, 0.9622],[0.4367, 0.8961],[0.3437, 0.7606],[0.3882, 0.6507],[0.4777, 0.643],[0.4211, 0.5944],[0.4065, 0.4461],[0.4102, 0.3515],[0.4179, 0.2686],[0.4978, 0.5713],[0.4845, 0.4055],[0.4861, 0.3027],[0.4887, 0.2105],[0.5663, 0.5766],[0.5582, 0.427],[0.5534, 0.3291],[0.5524, 0.2491],[0.6422, 0.6051],[0.6333, 0.4835],[0.6256, 0.4058],[0.6212, 0.3378]
[0.5827, 0.9643],[0.436, 0.8958],[0.3419, 0.7617],[0.3844, 0.6503],[0.4739, 0.6408],[0.4221, 0.5945],[0.4068, 0.447],[0.41, 0.3522],[0.4174, 0.2685],[0.4983, 0.5729],[0.4847, 0.4069],[0.4862, 0.3027],[0.4892, 0.21],[0.5661, 0.5789],[0.5579, 0.4292],[0.5533, 0.3304],[0.5533, 0.2504],[0.6422, 0.6081],[0.6332, 0.4851],[0.6261, 0.4066],[0.6226, 0.3384]
[0.5912, 0.9602],[0.4451, 0.8911],[0.3482, 0.7596],[0.3886, 0.6477],[0.4783, 0.6377],[0.4276, 0.5951],[0.4132, 0.4448],[0.4161, 0.3494],[0.4232, 0.2672],[0.5037, 0.5735],[0.4906, 0.4054],[0.4918, 0.3015],[0.4946, 0.2105],[0.5715, 0.5795],[0.5629, 0.4278],[0.5583, 0.3292],[0.5573, 0.2496],[0.6467, 0.6098],[0.6386, 0.4871],[0.6321, 0.4084],[0.6287, 0.3414]
[0.5917, 0.963],[0.4441, 0.894],[0.3483, 0.7588],[0.3935, 0.6473],[0.4847, 0.6384],[0.4285, 0.5948],[0.413, 0.4462],[0.4163, 0.3515],[0.4244, 0.2686],[0.5057, 0.5737],[0.4908, 0.4068],[0.4923, 0.3033],[0.4962, 0.2118],[0.5728, 0.5796],[0.5633, 0.4291],[0.5582, 0.3312],[0.5581, 0.2511],[0.6491, 0.6085],[0.6396, 0.4856],[0.6327, 0.4077],[0.6289, 0.3402]
[0.593, 0.9666],[0.4471, 0.898],[0.3515, 0.7611],[0.3924, 0.6481],[0.4829, 0.6382],[0.4331, 0.5948],[0.4177, 0.447],[0.4204, 0.3527],[0.4276, 0.2701],[0.5082, 0.5725],[0.4949, 0.4076],[0.497, 0.3051],[0.5007, 0.2142],[0.5758, 0.5793],[0.5674, 0.4295],[0.5635, 0.3317],[0.5636, 0.2522],[0.6514, 0.6103],[0.6427, 0.488],[0.6367, 0.4101],[0.6345, 0.3428]
[0.5951, 0.9662],[0.4486, 0.899],[0.3541, 0.7634],[0.3926, 0.6514],[0.4815, 0.6409],[0.4342, 0.5973],[0.4188, 0.4504],[0.4223, 0.3566],[0.4305, 0.2743],[0.5092, 0.5738],[0.4964, 0.4091],[0.4991, 0.3074],[0.5029, 0.2165],[0.577, 0.5795],[0.569, 0.4301],[0.565, 0.3329],[0.5649, 0.2533],[0.6533, 0.6097],[0.6453, 0.4881],[0.639, 0.4106],[0.6359, 0.343]
[0.5987, 0.9667],[0.4519, 0.8998],[0.3566, 0.7652],[0.3955, 0.6523],[0.485, 0.6401],[0.4363, 0.5972],[0.4223, 0.4484],[0.4258, 0.3535],[0.4335, 0.2716],[0.512, 0.5743],[0.4994, 0.4069],[0.5016, 0.3039],[0.5049, 0.2135],[0.5805, 0.5809],[0.573, 0.4282],[0.5699, 0.3298],[0.5698, 0.25],[0.6562, 0.6124],[0.6488, 0.4892],[0.642, 0.4102],[0.6381, 0.342]
