[0.4471, 0.9943],[0.6137, 0.9446],[0.6998, 0.8332],[0.6438, 0.7141],[0.5433, 0.6671],[0.6159, 0.6213],[0.6308, 0.4177],[0.6232, 0.2993],[0.6106, 0.1978],[0.5172, 0.5921],[0.5288, 0.3749],[0.5304, 0.2346],[0.5283, 0.1234],[0.4276, 0.5952],[0.4288, 0.3952],[0.4388, 0.2731],[0.4451, 0.1778],[0.335, 0.6227],[0.3375, 0.4652],[0.348, 0.3716],[0.3584, 0.2965]
[0.435, 1.0357],[0.6067, 0.9687],[0.6953, 0.8391],[0.627, 0.7227],[0.5217, 0.672],[0.6138, 0.6211],[0.6258, 0.4285],[0.6175, 0.3044],[0.6026, 0.1962],[0.5089, 0.5937],[0.5217, 0.386],[0.52, 0.2427],[0.5166, 0.1268],[0.4146, 0.5987],[0.4229, 0.4064],[0.431, 0.279],[0.4357, 0.1805],[0.3232, 0.6298],[0.3325, 0.4759],[0.3424, 0.3736],[0.3514, 0.2882]
[0.4277, 1.0457],[0.6039, 0.9669],[0.7015, 0.8371],[0.639, 0.7127],[0.5174, 0.6766],[0.6102, 0.6245],[0.6227, 0.4273],[0.6126, 0.3027],[0.5966, 0.1908],[0.5087, 0.6001],[0.5216, 0.3866],[0.5205, 0.241],[0.5159, 0.1185],[0.4152, 0.6057],[0.4224, 0.415],[0.431, 0.2829],[0.4346, 0.1818],[0.3229, 0.6335],[0.3307, 0.4822],[0.3409, 0.3779],[0.3513, 0.293]
[0.4298, 1.0487],[0.6031, 0.9657],[0.7005, 0.8361],[0.6409, 0.7063],[0.5182, 0.6766],[0.6116, 0.6213],[0.6239, 0.4255],[0.6125, 0.3033],[0.5957, 0.1926],[0.5102, 0.5967],[0.522, 0.3866],[0.5191, 0.2437],[0.5125, 0.1244],[0.4172, 0.6032],[0.4245, 0.4145],[0.4321, 0.2857],[0.4331, 0.1895],[0.3245, 0.6325],[0.3327, 0.4817],[0.3419, 0.3785],[0.3504, 0.2964]
[0.4277, 1.053],[0.6029, 0.9657],[0.6976, 0.8356],[0.6391, 0.7062],[0.5196, 0.6756],[0.6113, 0.626],[0.6241, 0.4284],[0.6133, 0.3051],[0.5971, 0.1937],[0.5105, 0.6004],[0.5226, 0.3894],[0.5203, 0.2445],[0.5144, 0.1247],[0.4183, 0.6056],[0.4253, 0.4158],[0.4337, 0.2855],[0.4359, 0.1884],[0.3256, 0.6339],[0.3331, 0.4823],[0.3423, 0.3778],[0.351, 0.295]
[0.4165, 1.0528],[0.5867, 0.9741],[0.6928, 0.8407],[0.6396, 0.71],[0.5194, 0.6834],[0.6047, 0.6218],[0.6178, 0.4259],[0.6055, 0.3039],[0.5888, 0.1957],[0.5024, 0.5951],[0.5154, 0.3864],[0.5108, 0.2453],[0.5031, 0.13],[0.4097, 0.601],[0.4194, 0.4116],[0.4267, 0.2843],[0.4276, 0.1882],[0.3168, 0.6325],[0.3272, 0.4823],[0.3367, 0.3807],[0.3433, 0.2996]
[0.4248, 1.059],[0.6087, 0.956],[0.6942, 0.8264],[0.631, 0.7045],[0.5107, 0.6725],[0.6065, 0.6253],[0.618, 0.4233],[0.6068, 0.3],[0.587, 0.1912],[0.5055, 0.6049],[0.5153, 0.388],[0.5121, 0.2427],[0.5036, 0.1249],[0.4114, 0.6106],[0.4196, 0.4163],[0.4263, 0.2837],[0.4275, 0.1845],[0.317, 0.6348],[0.3254, 0.4822],[0.3335, 0.3778],[0.3437, 0.2938]
[0.4217, 1.0578],[0.594, 0.9663],[0.6899, 0.8357],[0.6348, 0.7065],[0.5166, 0.675],[0.5991, 0.622],[0.6134, 0.4253],[0.6002, 0.3049],[0.5803, 0.1962],[0.4983, 0.5983],[0.511, 0.3883],[0.5078, 0.2457],[0.5002, 0.1283],[0.4065, 0.605],[0.4152, 0.4148],[0.4233, 0.2852],[0.4252, 0.1872],[0.3142, 0.6342],[0.3217, 0.4835],[0.3308, 0.3808],[0.3409, 0.2989]
[0.4156, 1.0656],[0.585, 0.9771],[0.6814, 0.8445],[0.6394, 0.7111],[0.5243, 0.6787],[0.5934, 0.6261],[0.6079, 0.4304],[0.5962, 0.3082],[0.578, 0.1978],[0.4931, 0.6018],[0.5059, 0.3925],[0.5042, 0.2489],[0.4977, 0.1297],[0.4012, 0.6085],[0.41, 0.4192],[0.42, 0.289],[0.4234, 0.1897],[0.3091, 0.638],[0.3171, 0.4875],[0.3266, 0.3833],[0.3361, 0.3006]
[0.4027, 1.0734],[0.57, 0.9867],[0.6773, 0.8495],[0.6299, 0.7145],[0.5133, 0.6788],[0.5889, 0.628],[0.6044, 0.4337],[0.5929, 0.3104],[0.5763, 0.1988],[0.4867, 0.602],[0.5033, 0.3936],[0.5001, 0.2494],[0.4931, 0.1302],[0.3941, 0.6088],[0.4061, 0.4167],[0.4147, 0.2877],[0.4172, 0.1877],[0.3018, 0.6426],[0.3109, 0.488],[0.3231, 0.3848],[0.3331, 0.3009]
[0.4141, 1.0745],[0.5848, 0.9805],[0.6855, 0.8422],[0.6279, 0.7093],[0.5096, 0.6802],[0.5911, 0.6257],[0.605, 0.4311],[0.5945, 0.3081],[0.5793, 0.1975],[0.4874, 0.6008],[0.5018, 0.3915],[0.4995, 0.2482],[0.494, 0.13],[0.3947, 0.6077],[0.4044, 0.4155],[0.414, 0.2859],[0.4175, 0.1852],[0.3032, 0.6424],[0.3091, 0.4863],[0.3197, 0.3832],[0.3289, 0.2988]
[0.4154, 1.0684],[0.5858, 0.9735],[0.6848, 0.8353],[0.6287, 0.7017],[0.5066, 0.6763],[0.5916, 0.6226],[0.6057, 0.4263],[0.5941, 0.3037],[0.578, 0.1931],[0.4887, 0.5977],[0.5025, 0.3868],[0.4997, 0.2434],[0.4935, 0.1261],[0.3962, 0.6042],[0.4035, 0.4126],[0.4129, 0.2838],[0.4164, 0.1863],[0.3044, 0.638],[0.309, 0.4851],[0.3187, 0.3837],[0.327, 0.303]
[0.4112, 1.0635],[0.5798, 0.9776],[0.6886, 0.8415],[0.6304, 0.7115],[0.5103, 0.6849],[0.5958, 0.6191],[0.6092, 0.4243],[0.5963, 0.3026],[0.5785, 0.1946],[0.4908, 0.5923],[0.5066, 0.3805],[0.5038, 0.2385],[0.4963, 0.1232],[0.3986, 0.5996],[0.4068, 0.4071],[0.4161, 0.2819],[0.4187, 0.1854],[0.3075, 0.6368],[0.3128, 0.4826],[0.3222, 0.3834],[0.328, 0.3037]
[0.4147, 1.0636],[0.59, 0.9645],[0.6831, 0.8325],[0.6262, 0.7071],[0.5079, 0.6827],[0.596, 0.6197],[0.609, 0.4226],[0.5956, 0.3022],[0.5762, 0.1936],[0.4931, 0.5944],[0.5061, 0.3831],[0.5033, 0.2398],[0.4959, 0.1223],[0.4012, 0.6022],[0.41, 0.4098],[0.419, 0.2807],[0.4216, 0.1824],[0.3093, 0.6353],[0.315, 0.4813],[0.3232, 0.3779],[0.3323, 0.2941]
