[1.0, 0.8456],[0.8943, 0.7795],[0.7655, 0.6028],[0.8016, 0.4534],[0.9173, 0.4394],[0.8923, 0.3817],[0.8897, 0.1862],[0.9022, 0.0609],[0.9166, 0.0],[0.9935, 0.3544],[0.9961, 0.1378],[1.0, 0.0],[1.0, 0.0],[1.0, 0.3669],[1.0, 0.1662],[1.0, 0.035],[1.0, 0.0],[1.0, 0.4139],[1.0, 0.2546],[1.0, 0.1496],[1.0, 0.0583]
[1.0, 0.8719],[0.9015, 0.7861],[0.7734, 0.609],[0.8075, 0.449],[0.9199, 0.4142],[0.8982, 0.3836],[0.891, 0.1828],[0.9041, 0.0575],[0.9206, 0.0],[1.0, 0.3577],[0.9975, 0.1378],[1.0, 0.0014],[1.0, 0.0],[1.0, 0.371],[1.0, 0.1677],[1.0, 0.0357],[1.0, 0.0],[1.0, 0.4183],[1.0, 0.2564],[1.0, 0.1511],[1.0, 0.0583]
[1.0, 0.8911],[0.8976, 0.7953],[0.7727, 0.6083],[0.8121, 0.4431],[0.9377, 0.4142],[0.8995, 0.3876],[0.8956, 0.1847],[0.9081, 0.0598],[0.9239, 0.0],[1.0, 0.3595],[1.0, 0.1374],[1.0, 0.0028],[1.0, 0.0],[1.0, 0.3732],[1.0, 0.1688],[1.0, 0.0357],[1.0, 0.0],[1.0, 0.4224],[1.0, 0.2564],[1.0, 0.1481],[1.0, 0.0546]
[1.0, 0.8977],[0.9035, 0.7953],[0.7747, 0.615],[0.8128, 0.4494],[0.939, 0.4091],[0.9002, 0.3858],[0.8917, 0.1832],[0.9061, 0.059],[0.9252, 0.0],[1.0, 0.3599],[1.0, 0.1389],[1.0, 0.005],[1.0, 0.0],[1.0, 0.3751],[1.0, 0.1732],[1.0, 0.0428],[1.0, 0.0],[1.0, 0.4253],[1.0, 0.2601],[1.0, 0.154],[1.0, 0.0598]
[1.0, 0.8963],[0.8982, 0.7942],[0.7727, 0.6142],[0.8128, 0.4497],[0.9383, 0.4109],[0.8982, 0.3839],[0.8864, 0.1847],[0.9009, 0.0609],[0.9199, 0.0],[1.0, 0.3584],[0.9988, 0.1378],[1.0, 0.005],[1.0, 0.0],[1.0, 0.3728],[1.0, 0.1721],[1.0, 0.0435],[1.0, 0.0],[1.0, 0.4198],[1.0, 0.256],[1.0, 0.1529],[1.0, 0.059]
[1.0, 0.8966],[0.8976, 0.7909],[0.7721, 0.6072],[0.8135, 0.4446],[0.9396, 0.4135],[0.9022, 0.3836],[0.891, 0.1862],[0.9022, 0.0623],[0.9186, 0.0],[1.0, 0.3569],[1.0, 0.1385],[1.0, 0.0058],[1.0, 0.0],[1.0, 0.3706],[1.0, 0.1699],[1.0, 0.0402],[1.0, 0.0],[1.0, 0.419],[1.0, 0.2553],[1.0, 0.1499],[1.0, 0.0557]
[1.0, 0.8959],[0.9009, 0.7924],[0.776, 0.6116],[0.8102, 0.4449],[0.937, 0.4113],[0.9035, 0.3813],[0.8917, 0.1873],[0.9022, 0.0649],[0.9186, 0.0],[1.0, 0.3555],[1.0, 0.1389],[1.0, 0.0058],[1.0, 0.0],[1.0, 0.3706],[1.0, 0.1725],[1.0, 0.0431],[1.0, 0.0],[1.0, 0.4194],[1.0, 0.2575],[1.0, 0.1533],[1.0, 0.0583]
[1.0, 0.894],[0.8989, 0.7857],[0.7753, 0.6079],[0.8148, 0.4446],[0.9403, 0.4113],[0.9055, 0.3788],[0.8936, 0.1836],[0.9055, 0.0612],[0.9232, 0.0],[1.0, 0.3544],[1.0, 0.1378],[1.0, 0.0043],[1.0, 0.0],[1.0, 0.3684],[1.0, 0.171],[1.0, 0.0428],[1.0, 0.0],[1.0, 0.4161],[1.0, 0.2534],[1.0, 0.1503],[1.0, 0.0561]
[1.0, 0.8933],[0.9009, 0.7957],[0.7727, 0.6135],[0.8102, 0.4483],[0.9357, 0.4165],[0.9068, 0.3821],[0.8936, 0.1832],[0.9048, 0.0609],[0.9212, 0.0],[1.0, 0.3558],[1.0, 0.1366],[1.0, 0.0047],[1.0, 0.0],[1.0, 0.3691],[1.0, 0.1684],[1.0, 0.0413],[1.0, 0.0],[1.0, 0.4161],[1.0, 0.2538],[1.0, 0.1511],[1.0, 0.059]
[1.0, 0.8929],[0.9022, 0.7891],[0.774, 0.6087],[0.8148, 0.4438],[0.9449, 0.4135],[0.9048, 0.381],[0.8943, 0.1825],[0.9068, 0.0598],[0.9239, 0.0],[1.0, 0.3547],[1.0, 0.137],[1.0, 0.005],[1.0, 0.0],[1.0, 0.3688],[1.0, 0.1703],[1.0, 0.0424],[1.0, 0.0],[1.0, 0.4165],[1.0, 0.2546],[1.0, 0.1518],[1.0, 0.0594]
[1.0, 0.8948],[0.9002, 0.7928],[0.7714, 0.6131],[0.8089, 0.4483],[0.9357, 0.4176],[0.9048, 0.3843],[0.8923, 0.1847],[0.9041, 0.0609],[0.9225, 0.0],[1.0, 0.3581],[1.0, 0.1381],[1.0, 0.0054],[1.0, 0.0],[1.0, 0.371],[1.0, 0.1718],[1.0, 0.0435],[1.0, 0.0],[1.0, 0.4176],[1.0, 0.2546],[1.0, 0.1514],[1.0, 0.0575]
