"[0.4277, 0.9508]","[0.5694, 0.9116]","[0.6788, 0.7905]","[0.6786, 0.6625]","[0.5846, 0.6511]","[0.5871, 0.5991]","[0.5988, 0.4444]","[0.5953, 0.3469]","[0.5894, 0.2609]","[0.5066, 0.5749]","[0.5157, 0.4082]","[0.5169, 0.296]","[0.5116, 0.2041]","[0.4326, 0.5798]","[0.4319, 0.4256]","[0.4431, 0.3233]","[0.4455, 0.2419]","[0.3546, 0.6097]","[0.3594, 0.4822]","[0.3687, 0.4022]","[0.3723, 0.3369]"
"[0.4148, 0.97]","[0.5583, 0.919]","[0.6754, 0.7966]","[0.681, 0.6655]","[0.5839, 0.6455]","[0.5865, 0.595]","[0.6001, 0.4449]","[0.5928, 0.3476]","[0.5841, 0.2604]","[0.5064, 0.5713]","[0.5146, 0.4072]","[0.5143, 0.296]","[0.5096, 0.204]","[0.4323, 0.5776]","[0.4366, 0.4268]","[0.4455, 0.3277]","[0.4471, 0.2482]","[0.3559, 0.6076]","[0.3626, 0.4825]","[0.3712, 0.4035]","[0.3754, 0.3365]"
"[0.4155, 0.9773]","[0.5654, 0.9197]","[0.6796, 0.7936]","[0.68, 0.6637]","[0.5836, 0.6478]","[0.5871, 0.5946]","[0.6009, 0.4437]","[0.594, 0.3462]","[0.5858, 0.259]","[0.5067, 0.5714]","[0.5146, 0.4057]","[0.5158, 0.2945]","[0.5129, 0.2031]","[0.4322, 0.5783]","[0.4365, 0.4246]","[0.446, 0.3244]","[0.4483, 0.2448]","[0.355, 0.609]","[0.3607, 0.4821]","[0.3686, 0.4015]","[0.3721, 0.3328]"
"[0.4152, 0.979]","[0.5679, 0.9187]","[0.6817, 0.7913]","[0.6801, 0.664]","[0.5834, 0.6506]","[0.5889, 0.595]","[0.6014, 0.4443]","[0.594, 0.3467]","[0.5853, 0.2598]","[0.5077, 0.5723]","[0.5156, 0.4066]","[0.5167, 0.2949]","[0.5139, 0.2028]","[0.4327, 0.5795]","[0.4381, 0.4251]","[0.4475, 0.3242]","[0.4499, 0.243]","[0.3554, 0.6107]","[0.3612, 0.483]","[0.3699, 0.4024]","[0.3752, 0.3328]"
"[0.4127, 0.98]","[0.565, 0.9216]","[0.6802, 0.7928]","[0.6828, 0.6644]","[0.5897, 0.6492]","[0.5862, 0.597]","[0.6007, 0.447]","[0.5944, 0.3496]","[0.5865, 0.2628]","[0.506, 0.5727]","[0.5148, 0.4074]","[0.5171, 0.2956]","[0.5156, 0.2031]","[0.4319, 0.5786]","[0.4375, 0.4242]","[0.4476, 0.324]","[0.4509, 0.243]","[0.3557, 0.6086]","[0.3606, 0.4813]","[0.3686, 0.4008]","[0.3737, 0.3303]"
"[0.4143, 0.9786]","[0.5649, 0.9216]","[0.679, 0.7947]","[0.6805, 0.6668]","[0.5887, 0.6484]","[0.5863, 0.595]","[0.6, 0.4439]","[0.5927, 0.3467]","[0.5836, 0.2605]","[0.5057, 0.5722]","[0.5143, 0.4053]","[0.5155, 0.2937]","[0.5123, 0.2018]","[0.4315, 0.579]","[0.4364, 0.4237]","[0.4454, 0.3234]","[0.4473, 0.2427]","[0.3552, 0.6094]","[0.3602, 0.4816]","[0.3679, 0.4011]","[0.3718, 0.3311]"
"[0.4112, 0.9791]","[0.5633, 0.9232]","[0.6792, 0.7953]","[0.6815, 0.6651]","[0.5893, 0.6429]","[0.5871, 0.5966]","[0.6009, 0.444]","[0.5938, 0.3456]","[0.5847, 0.2582]","[0.5066, 0.5731]","[0.5156, 0.4062]","[0.5165, 0.2943]","[0.513, 0.2023]","[0.4324, 0.5794]","[0.4373, 0.424]","[0.4459, 0.3233]","[0.4474, 0.2428]","[0.3562, 0.6096]","[0.3611, 0.4817]","[0.3687, 0.4006]","[0.3726, 0.3303]"
"[0.4111, 0.9826]","[0.5615, 0.927]","[0.677, 0.7973]","[0.6806, 0.6671]","[0.5887, 0.6442]","[0.5854, 0.5969]","[0.6002, 0.4443]","[0.5936, 0.346]","[0.585, 0.2587]","[0.5056, 0.5725]","[0.5149, 0.4049]","[0.5164, 0.2934]","[0.5129, 0.2015]","[0.4323, 0.5781]","[0.4374, 0.4231]","[0.4464, 0.3236]","[0.4478, 0.2429]","[0.3568, 0.6086]","[0.3617, 0.481]","[0.3696, 0.4009]","[0.3729, 0.3313]"
"[0.4113, 0.9814]","[0.5629, 0.9245]","[0.6783, 0.7971]","[0.682, 0.6675]","[0.591, 0.6453]","[0.584, 0.596]","[0.5992, 0.4441]","[0.5925, 0.3464]","[0.5833, 0.2595]","[0.5041, 0.5723]","[0.5135, 0.4048]","[0.5138, 0.2934]","[0.5082, 0.2013]","[0.4309, 0.5781]","[0.4355, 0.4232]","[0.443, 0.3245]","[0.4426, 0.2449]","[0.3554, 0.6084]","[0.3593, 0.4814]","[0.3667, 0.4012]","[0.3699, 0.3318]"
"[0.4124, 0.9803]","[0.5651, 0.9229]","[0.6789, 0.7952]","[0.6807, 0.6663]","[0.5902, 0.644]","[0.5858, 0.5953]","[0.5997, 0.4427]","[0.5922, 0.3441]","[0.5828, 0.2571]","[0.5056, 0.5725]","[0.5137, 0.4047]","[0.514, 0.2931]","[0.5092, 0.2015]","[0.4321, 0.5792]","[0.4362, 0.4233]","[0.444, 0.3232]","[0.4445, 0.243]","[0.3562, 0.6103]","[0.3592, 0.4834]","[0.3664, 0.4023]","[0.3699, 0.3319]"
"[0.4143, 0.9793]","[0.5688, 0.9207]","[0.6833, 0.7932]","[0.6822, 0.6638]","[0.5898, 0.6442]","[0.5893, 0.5947]","[0.6024, 0.4436]","[0.5954, 0.3457]","[0.5877, 0.2584]","[0.5086, 0.5718]","[0.5156, 0.4051]","[0.5165, 0.294]","[0.5141, 0.2014]","[0.4346, 0.5787]","[0.4377, 0.4237]","[0.4454, 0.3223]","[0.4466, 0.2401]","[0.3582, 0.6103]","[0.3607, 0.4833]","[0.3674, 0.4023]","[0.3706, 0.3317]"
"[0.4127, 0.9762]","[0.5676, 0.9183]","[0.682, 0.7934]","[0.6845, 0.6645]","[0.5936, 0.6406]","[0.5866, 0.594]","[0.6014, 0.4424]","[0.5952, 0.3449]","[0.5876, 0.258]","[0.5071, 0.5703]","[0.5158, 0.4034]","[0.5166, 0.2931]","[0.5133, 0.2014]","[0.434, 0.576]","[0.4383, 0.4218]","[0.4464, 0.3224]","[0.4478, 0.2418]","[0.3577, 0.6061]","[0.3608, 0.48]","[0.3681, 0.4005]","[0.3716, 0.3318]"
"[0.4072, 0.9777]","[0.5609, 0.9258]","[0.6815, 0.7987]","[0.6856, 0.6627]","[0.5916, 0.6432]","[0.5902, 0.596]","[0.6037, 0.4461]","[0.596, 0.3484]","[0.5869, 0.2605]","[0.5093, 0.5714]","[0.5175, 0.4051]","[0.5182, 0.294]","[0.5151, 0.2006]","[0.4343, 0.5779]","[0.4387, 0.4241]","[0.4462, 0.3239]","[0.4466, 0.2424]","[0.3564, 0.609]","[0.3625, 0.4803]","[0.3694, 0.3988]","[0.3713, 0.3279]"
"[0.4094, 0.9785]","[0.5664, 0.9252]","[0.6874, 0.7955]","[0.689, 0.6592]","[0.593, 0.6487]","[0.5907, 0.5937]","[0.6048, 0.4439]","[0.5968, 0.3464]","[0.5873, 0.2585]","[0.5095, 0.5694]","[0.5187, 0.4031]","[0.5186, 0.292]","[0.5133, 0.1993]","[0.4348, 0.5757]","[0.438, 0.4228]","[0.4453, 0.3237]","[0.4449, 0.2437]","[0.3572, 0.6063]","[0.3614, 0.4779]","[0.3691, 0.3975]","[0.3719, 0.3282]"
"[0.4105, 0.9807]","[0.5673, 0.9247]","[0.6876, 0.7964]","[0.6889, 0.6613]","[0.5919, 0.6481]","[0.5898, 0.5935]","[0.6046, 0.4438]","[0.5979, 0.3466]","[0.5895, 0.2582]","[0.5099, 0.5697]","[0.5191, 0.4045]","[0.5191, 0.2933]","[0.5136, 0.1989]","[0.4363, 0.5765]","[0.4399, 0.4246]","[0.4463, 0.3259]","[0.4445, 0.2455]","[0.3593, 0.607]","[0.3632, 0.4791]","[0.3696, 0.3975]","[0.3711, 0.3266]"
"[0.4097, 0.9791]","[0.5677, 0.9234]","[0.6881, 0.7938]","[0.6899, 0.659]","[0.5928, 0.6488]","[0.5888, 0.5928]","[0.6044, 0.442]","[0.5975, 0.3446]","[0.5888, 0.2568]","[0.5089, 0.5693]","[0.5188, 0.4026]","[0.5194, 0.2914]","[0.5143, 0.1981]","[0.4356, 0.5761]","[0.4394, 0.4234]","[0.4467, 0.3246]","[0.4457, 0.2446]","[0.3592, 0.6071]","[0.3627, 0.4792]","[0.3696, 0.3978]","[0.3714, 0.3275]"
"[0.41, 0.9814]","[0.5688, 0.9244]","[0.6894, 0.7943]","[0.6935, 0.6589]","[0.5965, 0.6523]","[0.5892, 0.5935]","[0.6042, 0.4426]","[0.5971, 0.3451]","[0.5882, 0.257]","[0.5091, 0.5693]","[0.5177, 0.403]","[0.5183, 0.2916]","[0.5129, 0.198]","[0.4355, 0.5757]","[0.4388, 0.4236]","[0.4466, 0.3239]","[0.4456, 0.2433]","[0.3588, 0.6061]","[0.3618, 0.4787]","[0.3688, 0.3971]","[0.3714, 0.3264]"
"[0.4123, 0.9829]","[0.5692, 0.9269]","[0.689, 0.7959]","[0.6922, 0.6602]","[0.5955, 0.6528]","[0.5903, 0.5939]","[0.6046, 0.4438]","[0.5979, 0.3463]","[0.5897, 0.259]","[0.5102, 0.571]","[0.5185, 0.4044]","[0.5194, 0.2924]","[0.515, 0.1986]","[0.4365, 0.5787]","[0.4405, 0.4248]","[0.4479, 0.3246]","[0.4473, 0.2433]","[0.3595, 0.6103]","[0.3631, 0.4816]","[0.37, 0.399]","[0.3725, 0.3268]"
"[0.4121, 0.9815]","[0.5675, 0.9252]","[0.6868, 0.7956]","[0.6908, 0.6607]","[0.5951, 0.652]","[0.5891, 0.5941]","[0.604, 0.4437]","[0.5977, 0.3469]","[0.5901, 0.2601]","[0.5098, 0.5705]","[0.5194, 0.4036]","[0.5215, 0.2921]","[0.5187, 0.199]","[0.4365, 0.5772]","[0.4419, 0.4224]","[0.4508, 0.3226]","[0.4518, 0.242]","[0.3597, 0.6077]","[0.3638, 0.4791]","[0.3713, 0.3976]","[0.3745, 0.3263]"
"[0.415, 0.9814]","[0.5697, 0.9247]","[0.6892, 0.7977]","[0.693, 0.6627]","[0.5978, 0.6501]","[0.5933, 0.5907]","[0.6061, 0.4404]","[0.5989, 0.3437]","[0.5913, 0.2568]","[0.5125, 0.5692]","[0.5204, 0.4033]","[0.5211, 0.2919]","[0.517, 0.1982]","[0.4381, 0.5778]","[0.4427, 0.4249]","[0.4501, 0.3247]","[0.4496, 0.2435]","[0.3608, 0.61]","[0.3663, 0.4824]","[0.3732, 0.4004]","[0.3753, 0.329]"
"[0.4144, 0.9806]","[0.5719, 0.9239]","[0.6909, 0.7937]","[0.6942, 0.6602]","[0.603, 0.6465]","[0.5918, 0.5915]","[0.6053, 0.4418]","[0.5978, 0.3452]","[0.5886, 0.2583]","[0.5118, 0.5691]","[0.5209, 0.4031]","[0.5216, 0.2919]","[0.5164, 0.1985]","[0.4383, 0.577]","[0.442, 0.4239]","[0.4491, 0.325]","[0.4483, 0.2444]","[0.3611, 0.6091]","[0.3644, 0.481]","[0.3713, 0.3998]","[0.3738, 0.3286]"
"[0.4128, 0.9791]","[0.5693, 0.9237]","[0.6887, 0.7938]","[0.694, 0.6609]","[0.6036, 0.6456]","[0.592, 0.5917]","[0.6058, 0.4421]","[0.5983, 0.3451]","[0.5889, 0.2582]","[0.5118, 0.5689]","[0.5205, 0.4028]","[0.5203, 0.2916]","[0.5143, 0.1986]","[0.4379, 0.576]","[0.4415, 0.4229]","[0.4482, 0.3244]","[0.4469, 0.2445]","[0.3606, 0.6073]","[0.3639, 0.4797]","[0.371, 0.3988]","[0.3737, 0.3281]"
