"[0.2014, 0.8851]","[0.4, 0.8694]","[0.5698, 0.8035]","[0.7109, 0.7612]","[0.7725, 0.665]","[0.4566, 0.5215]","[0.5392, 0.3853]","[0.6338, 0.3707]","[0.7119, 0.3891]","[0.3993, 0.502]","[0.4855, 0.3353]","[0.5993, 0.327]","[0.6947, 0.366]","[0.3403, 0.4953]","[0.43, 0.3233]","[0.5523, 0.3131]","[0.649, 0.3526]","[0.2778, 0.5051]","[0.3619, 0.3838]","[0.4591, 0.3617]","[0.5436, 0.3794]"
"[0.2243, 0.939]","[0.3922, 0.8996]","[0.5659, 0.8164]","[0.7018, 0.7547]","[0.7767, 0.6596]","[0.4413, 0.5437]","[0.5196, 0.3933]","[0.6165, 0.3672]","[0.703, 0.3741]","[0.3758, 0.5202]","[0.4597, 0.3412]","[0.576, 0.3259]","[0.6792, 0.3611]","[0.3046, 0.5152]","[0.3957, 0.3492]","[0.5097, 0.3332]","[0.6096, 0.3627]","[0.2301, 0.5317]","[0.3236, 0.4143]","[0.4227, 0.3781]","[0.5155, 0.3783]"
"[0.2254, 0.9494]","[0.3942, 0.9029]","[0.569, 0.8162]","[0.6993, 0.7513]","[0.7769, 0.6587]","[0.4472, 0.5334]","[0.5249, 0.3791]","[0.6197, 0.3598]","[0.7059, 0.3762]","[0.3796, 0.512]","[0.4632, 0.333]","[0.5801, 0.3248]","[0.6847, 0.37]","[0.305, 0.5116]","[0.3978, 0.3517]","[0.5154, 0.3425]","[0.6199, 0.3763]","[0.2254, 0.5346]","[0.3178, 0.4186]","[0.4185, 0.3867]","[0.5156, 0.3905]"
"[0.2215, 0.9538]","[0.3956, 0.9003]","[0.5704, 0.8164]","[0.6997, 0.7505]","[0.7767, 0.6582]","[0.447, 0.5286]","[0.5261, 0.3758]","[0.6219, 0.361]","[0.7089, 0.3802]","[0.3795, 0.5093]","[0.4643, 0.3318]","[0.5814, 0.3264]","[0.6846, 0.3719]","[0.3052, 0.5113]","[0.3956, 0.3534]","[0.5128, 0.3454]","[0.6169, 0.3781]","[0.2243, 0.5367]","[0.3113, 0.4224]","[0.4079, 0.3852]","[0.5035, 0.3791]"
"[0.2147, 0.9577]","[0.3932, 0.9017]","[0.5669, 0.8176]","[0.6987, 0.7524]","[0.7773, 0.6587]","[0.445, 0.5287]","[0.5278, 0.3798]","[0.623, 0.363]","[0.709, 0.3787]","[0.3763, 0.5079]","[0.4647, 0.3308]","[0.5812, 0.3242]","[0.6831, 0.3694]","[0.3024, 0.5091]","[0.3959, 0.3495]","[0.5148, 0.3442]","[0.6187, 0.381]","[0.2234, 0.534]","[0.3133, 0.4175]","[0.4119, 0.3837]","[0.5083, 0.3821]"
"[0.2138, 0.9646]","[0.3903, 0.9041]","[0.565, 0.8183]","[0.6978, 0.753]","[0.7765, 0.6583]","[0.442, 0.5251]","[0.5277, 0.377]","[0.6244, 0.3617]","[0.7112, 0.3778]","[0.3732, 0.5046]","[0.4659, 0.3286]","[0.5852, 0.3241]","[0.6881, 0.3711]","[0.2995, 0.5061]","[0.3986, 0.3484]","[0.5199, 0.3448]","[0.6244, 0.3824]","[0.2217, 0.5321]","[0.314, 0.4135]","[0.4133, 0.3803]","[0.5093, 0.379]"
"[0.2132, 0.9668]","[0.3911, 0.9044]","[0.5681, 0.8199]","[0.7004, 0.7529]","[0.7782, 0.658]","[0.4436, 0.5274]","[0.5302, 0.378]","[0.6274, 0.3622]","[0.7143, 0.3769]","[0.3757, 0.5067]","[0.4686, 0.3303]","[0.5882, 0.327]","[0.6905, 0.3734]","[0.3021, 0.5063]","[0.4002, 0.3436]","[0.5223, 0.3397]","[0.6269, 0.3773]","[0.2235, 0.5302]","[0.3177, 0.4104]","[0.4171, 0.3788]","[0.5111, 0.3783]"
"[0.2177, 0.9716]","[0.3938, 0.9074]","[0.5686, 0.8212]","[0.6991, 0.7539]","[0.7771, 0.6586]","[0.4438, 0.5272]","[0.5298, 0.3762]","[0.6276, 0.3609]","[0.7151, 0.3774]","[0.3751, 0.508]","[0.4676, 0.3291]","[0.5874, 0.3263]","[0.6899, 0.3743]","[0.3013, 0.5091]","[0.399, 0.3464]","[0.5217, 0.3409]","[0.6272, 0.3772]","[0.2225, 0.5348]","[0.315, 0.4147]","[0.4139, 0.3789]","[0.5088, 0.3739]"
"[0.2185, 0.9728]","[0.3963, 0.9059]","[0.5711, 0.8197]","[0.7005, 0.7528]","[0.7752, 0.6563]","[0.4426, 0.523]","[0.5257, 0.3716]","[0.6236, 0.3578]","[0.7113, 0.3752]","[0.373, 0.5057]","[0.463, 0.3285]","[0.5835, 0.326]","[0.6865, 0.3727]","[0.2987, 0.5088]","[0.396, 0.3476]","[0.5185, 0.3431]","[0.6232, 0.3786]","[0.2199, 0.5372]","[0.3108, 0.417]","[0.4101, 0.3818]","[0.5054, 0.3759]"
"[0.2156, 0.9721]","[0.3949, 0.9033]","[0.5699, 0.8177]","[0.6995, 0.7526]","[0.7728, 0.6566]","[0.4398, 0.5228]","[0.5236, 0.3703]","[0.6224, 0.3573]","[0.7108, 0.3742]","[0.369, 0.5056]","[0.4617, 0.3267]","[0.584, 0.326]","[0.6876, 0.3745]","[0.2937, 0.5092]","[0.3953, 0.3476]","[0.5191, 0.3464]","[0.6232, 0.3841]","[0.2149, 0.5382]","[0.307, 0.4172]","[0.4077, 0.3838]","[0.5032, 0.3797]"
"[0.211, 0.9746]","[0.3893, 0.91]","[0.5687, 0.8206]","[0.6995, 0.7527]","[0.7747, 0.6577]","[0.4432, 0.5233]","[0.5269, 0.3731]","[0.6254, 0.3601]","[0.7134, 0.3773]","[0.3732, 0.504]","[0.4635, 0.3244]","[0.5858, 0.3244]","[0.6887, 0.3737]","[0.2988, 0.5068]","[0.3976, 0.3445]","[0.5241, 0.344]","[0.63, 0.3824]","[0.2204, 0.5353]","[0.3122, 0.4153]","[0.4148, 0.3859]","[0.5113, 0.3848]"
