[0.7177, 0.7567],[0.5942, 0.7555],[0.4771, 0.7171],[0.3842, 0.6843],[0.3149, 0.6363],[0.6116, 0.5161],[0.517, 0.4333],[0.4348, 0.4163],[0.3663, 0.425],[0.6516, 0.4849],[0.5382, 0.3836],[0.4421, 0.3838],[0.3745, 0.4167],[0.6673, 0.4793],[0.5486, 0.3953],[0.4592, 0.3952],[0.3938, 0.4169],[0.6651, 0.4864],[0.5579, 0.4271],[0.4862, 0.4235],[0.433, 0.4324]
[0.7067, 0.7801],[0.5839, 0.7571],[0.4719, 0.7061],[0.3859, 0.677],[0.3211, 0.6341],[0.6041, 0.5021],[0.5148, 0.4229],[0.4361, 0.4074],[0.3669, 0.4155],[0.6388, 0.4841],[0.5283, 0.3906],[0.4374, 0.3859],[0.3716, 0.41],[0.6584, 0.4863],[0.5485, 0.3983],[0.4564, 0.3943],[0.3885, 0.4113],[0.6639, 0.5044],[0.5676, 0.4382],[0.4923, 0.4268],[0.4338, 0.4276]
[0.7151, 0.7857],[0.5888, 0.7623],[0.4756, 0.708],[0.3868, 0.6759],[0.3182, 0.6346],[0.6078, 0.5017],[0.5097, 0.4191],[0.4306, 0.4066],[0.363, 0.4171],[0.6417, 0.482],[0.5244, 0.3832],[0.432, 0.3824],[0.3661, 0.4104],[0.6577, 0.4848],[0.5421, 0.3956],[0.4498, 0.3956],[0.3827, 0.4146],[0.6588, 0.5026],[0.5583, 0.4342],[0.4822, 0.4265],[0.4241, 0.4307]
[0.7113, 0.7958],[0.5848, 0.7621],[0.471, 0.7036],[0.384, 0.673],[0.3198, 0.6305],[0.602, 0.4992],[0.5085, 0.4141],[0.431, 0.4026],[0.3648, 0.4142],[0.6368, 0.4833],[0.523, 0.3842],[0.4319, 0.384],[0.3672, 0.4135],[0.6566, 0.4888],[0.5433, 0.3997],[0.4522, 0.3981],[0.3872, 0.4174],[0.6625, 0.5103],[0.5664, 0.444],[0.4922, 0.4354],[0.4348, 0.439]
[0.7054, 0.7995],[0.5806, 0.763],[0.469, 0.701],[0.3835, 0.6717],[0.3211, 0.6278],[0.596, 0.4925],[0.5073, 0.4068],[0.4302, 0.3985],[0.3638, 0.4135],[0.6326, 0.4789],[0.5206, 0.3829],[0.4309, 0.3838],[0.3675, 0.4146],[0.6552, 0.4869],[0.5403, 0.4005],[0.4489, 0.4007],[0.3839, 0.4223],[0.6626, 0.5126],[0.5651, 0.4503],[0.4916, 0.4407],[0.4327, 0.4438]
[0.7108, 0.8032],[0.5836, 0.7641],[0.4701, 0.7024],[0.3832, 0.672],[0.321, 0.6282],[0.6051, 0.4948],[0.5117, 0.4063],[0.4323, 0.399],[0.3649, 0.4143],[0.641, 0.4814],[0.5249, 0.3823],[0.4322, 0.3838],[0.3683, 0.4149],[0.66, 0.4905],[0.5435, 0.4022],[0.4513, 0.4031],[0.3869, 0.425],[0.6635, 0.5165],[0.5684, 0.4515],[0.4951, 0.443],[0.4374, 0.4471]
[0.7101, 0.8027],[0.5807, 0.7616],[0.4673, 0.7011],[0.3811, 0.6726],[0.3219, 0.6282],[0.6049, 0.4922],[0.5106, 0.403],[0.4302, 0.3977],[0.3623, 0.4146],[0.6399, 0.4798],[0.52, 0.3815],[0.4279, 0.3849],[0.3658, 0.4183],[0.6579, 0.4896],[0.5384, 0.4007],[0.4464, 0.4025],[0.3823, 0.4262],[0.6599, 0.5161],[0.5639, 0.4531],[0.4918, 0.4432],[0.4342, 0.4456]
[0.7184, 0.8047],[0.5871, 0.7638],[0.4718, 0.7039],[0.3838, 0.6732],[0.3236, 0.6294],[0.6118, 0.4974],[0.5129, 0.4108],[0.4336, 0.4028],[0.3666, 0.4143],[0.6468, 0.4819],[0.526, 0.3821],[0.4323, 0.3843],[0.3683, 0.4161],[0.662, 0.4895],[0.543, 0.4002],[0.4506, 0.402],[0.3859, 0.4249],[0.6603, 0.5131],[0.5644, 0.449],[0.4914, 0.4415],[0.4337, 0.4462]
[0.7248, 0.8018],[0.5893, 0.7666],[0.4716, 0.7069],[0.3807, 0.6735],[0.3213, 0.6274],[0.6127, 0.4975],[0.5075, 0.4091],[0.4271, 0.4021],[0.3611, 0.4154],[0.6488, 0.4803],[0.5234, 0.3804],[0.4294, 0.3834],[0.3657, 0.4174],[0.6627, 0.4875],[0.5402, 0.3983],[0.4492, 0.4014],[0.3851, 0.4262],[0.6582, 0.5105],[0.5591, 0.4457],[0.4882, 0.4392],[0.4322, 0.4457]
[0.717, 0.8045],[0.5846, 0.7625],[0.4687, 0.7024],[0.3802, 0.6726],[0.3219, 0.6273],[0.6076, 0.4938],[0.5075, 0.4064],[0.4286, 0.3993],[0.3616, 0.413],[0.6431, 0.4803],[0.5215, 0.3827],[0.4289, 0.3836],[0.3649, 0.4158],[0.6594, 0.4899],[0.5383, 0.4013],[0.4468, 0.4013],[0.3823, 0.4245],[0.658, 0.5153],[0.5596, 0.4491],[0.4872, 0.4393],[0.4294, 0.4439]
