[0.1162, 1.0],[0.2726, 1.0],[0.3581, 0.9787],[0.4468, 0.9232],[0.4671, 0.873],[0.1484, 0.7218],[0.1767, 0.5566],[0.201, 0.4305],[0.1898, 0.3307],[0.1064, 0.7388],[0.2864, 0.5883],[0.4126, 0.6674],[0.4422, 0.7584],[0.107, 0.7772],[0.2792, 0.6364],[0.4093, 0.7122],[0.4441, 0.7965],[0.1432, 0.8345],[0.2904, 0.7299],[0.3922, 0.7639],[0.4297, 0.8216]
[0.0847, 1.0],[0.27, 1.0],[0.3613, 0.9735],[0.4455, 0.9303],[0.477, 0.88],[0.1484, 0.7137],[0.18, 0.5492],[0.1984, 0.4202],[0.1977, 0.3292],[0.1202, 0.7425],[0.295, 0.5902],[0.4225, 0.6793],[0.4573, 0.7691],[0.13, 0.7931],[0.2825, 0.6497],[0.41, 0.7277],[0.4428, 0.8083],[0.1668, 0.8508],[0.2634, 0.724],[0.3469, 0.7066],[0.3797, 0.7166]
[0.0807, 1.0],[0.2661, 1.0],[0.3594, 0.9887],[0.4435, 0.9388],[0.4869, 0.8885],[0.1622, 0.7166],[0.1944, 0.5484],[0.2089, 0.4231],[0.1997, 0.3289],[0.1248, 0.7429],[0.3015, 0.5928],[0.429, 0.6819],[0.4632, 0.7769],[0.1261, 0.7905],[0.2891, 0.6438],[0.4198, 0.724],[0.454, 0.8116],[0.1589, 0.8452],[0.2884, 0.7314],[0.387, 0.7576],[0.4251, 0.809]
[0.0742, 1.0],[0.2608, 1.0],[0.3561, 0.9901],[0.4455, 0.934],[0.4796, 0.8793],[0.1701, 0.7166],[0.1944, 0.5469],[0.2115, 0.4239],[0.2063, 0.3344],[0.1386, 0.7495],[0.2956, 0.592],[0.4218, 0.6808],[0.4573, 0.7761],[0.1399, 0.7979],[0.2851, 0.6445],[0.4119, 0.7203],[0.4441, 0.8083],[0.1701, 0.8478],[0.2969, 0.7362],[0.3903, 0.768],[0.4198, 0.8275]
[0.0729, 1.0],[0.2647, 1.0],[0.3673, 0.9887],[0.454, 0.9277],[0.4691, 0.8674],[0.1589, 0.7244],[0.1865, 0.5492],[0.2069, 0.425],[0.2043, 0.3303],[0.1254, 0.7451],[0.291, 0.5946],[0.4198, 0.6715],[0.4586, 0.7713],[0.1235, 0.788],[0.2831, 0.6442],[0.4119, 0.7137],[0.454, 0.8027],[0.1543, 0.8445],[0.2805, 0.7236],[0.3824, 0.7466],[0.4317, 0.8042]
[0.0676, 1.0],[0.2674, 1.0],[0.3712, 0.9809],[0.4566, 0.9229],[0.4731, 0.8659],[0.1695, 0.7151],[0.1971, 0.5429],[0.2135, 0.4198],[0.2095, 0.3259],[0.1346, 0.7366],[0.2983, 0.5872],[0.4225, 0.6756],[0.4586, 0.7776],[0.1327, 0.7787],[0.2943, 0.6408],[0.4152, 0.7185],[0.4514, 0.8094],[0.1629, 0.8286],[0.2897, 0.7166],[0.385, 0.7447],[0.4271, 0.8031]
[0.0702, 1.0],[0.2615, 1.0],[0.3574, 0.9805],[0.4395, 0.9295],[0.4803, 0.8674],[0.1695, 0.7185],[0.1898, 0.5425],[0.2082, 0.4176],[0.2056, 0.3252],[0.1432, 0.7488],[0.2858, 0.5887],[0.4133, 0.6723],[0.456, 0.7684],[0.1465, 0.7891],[0.2845, 0.6371],[0.4087, 0.7092],[0.4514, 0.7983],[0.18, 0.8275],[0.293, 0.7166],[0.3876, 0.7388],[0.431, 0.7931]
[0.0729, 1.0],[0.2654, 1.0],[0.3627, 0.9802],[0.4487, 0.9266],[0.4763, 0.8678],[0.1589, 0.7177],[0.1852, 0.5466],[0.2049, 0.422],[0.1977, 0.3233],[0.1228, 0.7429],[0.2937, 0.5835],[0.4225, 0.6686],[0.4553, 0.7658],[0.1261, 0.7865],[0.291, 0.6342],[0.4198, 0.7144],[0.4547, 0.8068],[0.1662, 0.8364],[0.3002, 0.7225],[0.3975, 0.7536],[0.4363, 0.8105]
[0.0775, 1.0],[0.2674, 1.0],[0.3627, 0.9813],[0.4468, 0.9295],[0.4717, 0.8663],[0.1813, 0.7137],[0.199, 0.5399],[0.2135, 0.4161],[0.2102, 0.3281],[0.1524, 0.7436],[0.2904, 0.5865],[0.4152, 0.6719],[0.4573, 0.7665],[0.1517, 0.7835],[0.2884, 0.6342],[0.4093, 0.7088],[0.4474, 0.7972],[0.1806, 0.822],[0.2983, 0.7122],[0.3896, 0.7421],[0.4271, 0.8009]
[0.0755, 1.0],[0.2661, 1.0],[0.36, 0.9765],[0.4441, 0.9273],[0.4809, 0.8626],[0.178, 0.7155],[0.1938, 0.5396],[0.2109, 0.4102],[0.2049, 0.3189],[0.1511, 0.748],[0.2943, 0.5876],[0.4192, 0.6734],[0.4566, 0.7673],[0.1524, 0.7931],[0.2877, 0.6371],[0.4126, 0.7118],[0.4494, 0.8013],[0.1839, 0.8382],[0.2983, 0.7266],[0.3942, 0.7554],[0.433, 0.8146]
[0.0709, 1.0],[0.2621, 1.0],[0.36, 0.9768],[0.4455, 0.9258],[0.475, 0.8619],[0.1675, 0.7144],[0.1911, 0.5399],[0.2089, 0.412],[0.2023, 0.3163],[0.1386, 0.7432],[0.2937, 0.5861],[0.4211, 0.673],[0.4579, 0.7717],[0.1425, 0.788],[0.2904, 0.6357],[0.4159, 0.7159],[0.4547, 0.8079],[0.1793, 0.8367],[0.2996, 0.7236],[0.3955, 0.7562],[0.4369, 0.816]
