[0.3676, 0.8958],[0.5201, 0.8218],[0.6021, 0.723],[0.6864, 0.6567],[0.7035, 0.5792],[0.3314, 0.5005],[0.3501, 0.3143],[0.3605, 0.1918],[0.3544, 0.0953],[0.2988, 0.5106],[0.4835, 0.3518],[0.6328, 0.4015],[0.7082, 0.4853],[0.3099, 0.54],[0.4985, 0.3953],[0.639, 0.4458],[0.7011, 0.518],[0.3583, 0.5767],[0.5028, 0.4612],[0.6108, 0.4684],[0.671, 0.5023]
[0.3297, 0.9311],[0.4924, 0.8328],[0.5831, 0.7231],[0.6686, 0.6554],[0.7092, 0.5947],[0.3296, 0.4972],[0.3516, 0.3185],[0.3601, 0.1941],[0.3526, 0.097],[0.2925, 0.5091],[0.4924, 0.3569],[0.6337, 0.4052],[0.6945, 0.4797],[0.3058, 0.5418],[0.5037, 0.3982],[0.6364, 0.4462],[0.692, 0.5163],[0.3546, 0.5829],[0.5047, 0.4664],[0.6081, 0.472],[0.669, 0.5037]
[0.3217, 0.9484],[0.4968, 0.8391],[0.587, 0.7271],[0.6738, 0.6579],[0.7081, 0.5874],[0.3285, 0.4967],[0.3535, 0.319],[0.3629, 0.1928],[0.353, 0.095],[0.2934, 0.5067],[0.496, 0.3492],[0.6394, 0.3981],[0.7001, 0.4803],[0.3061, 0.5378],[0.5096, 0.394],[0.6435, 0.4471],[0.6964, 0.5227],[0.356, 0.5778],[0.5121, 0.4641],[0.6162, 0.4756],[0.6751, 0.5159]
[0.3258, 0.9607],[0.501, 0.8407],[0.5915, 0.7235],[0.675, 0.6554],[0.7045, 0.5869],[0.3293, 0.4957],[0.3554, 0.3178],[0.3675, 0.192],[0.3588, 0.0953],[0.2939, 0.5081],[0.5006, 0.3461],[0.6464, 0.3994],[0.7038, 0.4867],[0.3088, 0.542],[0.5092, 0.3879],[0.6455, 0.4456],[0.697, 0.5262],[0.3628, 0.5854],[0.5161, 0.4626],[0.6224, 0.4762],[0.6797, 0.5193]
[0.3211, 0.9669],[0.5, 0.8413],[0.5916, 0.7228],[0.674, 0.6552],[0.7055, 0.5822],[0.3276, 0.4957],[0.3557, 0.3165],[0.3681, 0.1905],[0.3602, 0.0949],[0.2927, 0.5088],[0.5002, 0.3471],[0.644, 0.3983],[0.7001, 0.4846],[0.3092, 0.5431],[0.5095, 0.3872],[0.6429, 0.4433],[0.6933, 0.5239],[0.3649, 0.5856],[0.518, 0.4614],[0.6232, 0.4751],[0.6807, 0.519]
[0.3169, 0.9661],[0.4964, 0.8397],[0.5873, 0.7219],[0.6714, 0.6548],[0.7039, 0.5889],[0.3266, 0.4948],[0.3555, 0.3165],[0.3677, 0.1905],[0.3587, 0.0946],[0.2911, 0.5075],[0.5026, 0.3474],[0.6463, 0.4014],[0.7015, 0.4882],[0.3061, 0.5413],[0.5121, 0.3893],[0.6452, 0.4479],[0.6949, 0.5291],[0.3603, 0.5827],[0.5185, 0.4631],[0.6242, 0.4792],[0.6818, 0.5236]
[0.3203, 0.9685],[0.498, 0.8384],[0.5899, 0.7206],[0.672, 0.6551],[0.7099, 0.5874],[0.3304, 0.4958],[0.3569, 0.3161],[0.369, 0.1912],[0.3619, 0.0953],[0.2935, 0.5101],[0.5036, 0.347],[0.6477, 0.401],[0.7043, 0.4879],[0.3062, 0.5458],[0.509, 0.3904],[0.6419, 0.4492],[0.6919, 0.5299],[0.3585, 0.5904],[0.5118, 0.4664],[0.6178, 0.4812],[0.6755, 0.5252]
[0.3202, 0.9675],[0.4981, 0.8388],[0.5917, 0.7211],[0.6741, 0.6537],[0.7109, 0.5832],[0.3294, 0.4946],[0.3592, 0.3147],[0.3714, 0.1889],[0.3647, 0.0928],[0.2926, 0.5088],[0.5041, 0.3478],[0.6478, 0.4003],[0.7062, 0.4858],[0.3065, 0.5443],[0.5094, 0.3919],[0.6419, 0.4487],[0.6939, 0.5279],[0.36, 0.5886],[0.5138, 0.4671],[0.6196, 0.4811],[0.6793, 0.5238]
[0.3204, 0.9677],[0.4992, 0.8394],[0.5923, 0.7221],[0.6747, 0.6543],[0.7089, 0.5813],[0.3304, 0.4953],[0.3591, 0.3148],[0.3716, 0.1896],[0.3657, 0.0933],[0.2933, 0.5087],[0.5038, 0.3484],[0.6465, 0.4015],[0.7042, 0.4863],[0.3062, 0.5441],[0.5068, 0.3922],[0.6389, 0.4494],[0.6905, 0.528],[0.3585, 0.5891],[0.5106, 0.4659],[0.6173, 0.4791],[0.6783, 0.5211]
[0.3178, 0.9713],[0.4981, 0.8413],[0.591, 0.7238],[0.6746, 0.6565],[0.7103, 0.5833],[0.3319, 0.4946],[0.3601, 0.3156],[0.3729, 0.1906],[0.3677, 0.095],[0.2954, 0.5077],[0.5028, 0.3474],[0.6469, 0.4001],[0.7055, 0.4857],[0.3086, 0.5434],[0.5077, 0.3912],[0.6404, 0.4485],[0.6914, 0.5275],[0.3608, 0.5883],[0.5128, 0.4657],[0.6184, 0.4803],[0.6773, 0.5234]
