"[0.3765, 0.9005]","[0.5086, 0.8247]","[0.5889, 0.7117]","[0.6734, 0.6355]","[0.7021, 0.5739]","[0.3559, 0.4834]","[0.3578, 0.3113]","[0.3634, 0.1957]","[0.3544, 0.1071]","[0.3119, 0.4965]","[0.4904, 0.3569]","[0.6272, 0.4101]","[0.6911, 0.4856]","[0.307, 0.5317]","[0.4904, 0.4059]","[0.6204, 0.4582]","[0.6811, 0.5275]","[0.3391, 0.5809]","[0.4848, 0.4851]","[0.5926, 0.4918]","[0.6596, 0.5211]"
"[0.3416, 0.9277]","[0.4977, 0.8116]","[0.5881, 0.6977]","[0.6682, 0.6256]","[0.6952, 0.5674]","[0.3443, 0.4895]","[0.358, 0.3181]","[0.3658, 0.1994]","[0.3591, 0.1063]","[0.303, 0.5024]","[0.4833, 0.3586]","[0.6235, 0.4062]","[0.6864, 0.4807]","[0.3037, 0.5373]","[0.4873, 0.4063]","[0.6221, 0.4528]","[0.6831, 0.5202]","[0.3383, 0.5825]","[0.4794, 0.4771]","[0.5875, 0.482]","[0.6571, 0.5136]"
"[0.339, 0.9332]","[0.4993, 0.8118]","[0.5897, 0.6976]","[0.6687, 0.6259]","[0.691, 0.5634]","[0.3472, 0.4843]","[0.3614, 0.3134]","[0.3679, 0.1966]","[0.357, 0.1041]","[0.307, 0.4973]","[0.4854, 0.3559]","[0.6239, 0.4019]","[0.685, 0.4771]","[0.3065, 0.5324]","[0.4894, 0.4034]","[0.6209, 0.4542]","[0.6777, 0.5253]","[0.3408, 0.5787]","[0.4851, 0.4759]","[0.5917, 0.4884]","[0.6564, 0.5275]"
"[0.3381, 0.9407]","[0.4969, 0.8128]","[0.5859, 0.6965]","[0.6632, 0.6243]","[0.6917, 0.5574]","[0.344, 0.4846]","[0.3595, 0.3148]","[0.3668, 0.1984]","[0.3579, 0.1054]","[0.3051, 0.4975]","[0.4861, 0.3548]","[0.6235, 0.4008]","[0.6842, 0.4755]","[0.3063, 0.5329]","[0.4891, 0.4035]","[0.6191, 0.4536]","[0.675, 0.5248]","[0.3421, 0.5799]","[0.4864, 0.4783]","[0.5908, 0.4921]","[0.6523, 0.5321]"
"[0.3387, 0.9415]","[0.4984, 0.8161]","[0.5858, 0.6999]","[0.6641, 0.6285]","[0.6944, 0.5613]","[0.3451, 0.4837]","[0.3587, 0.3141]","[0.3657, 0.1977]","[0.3565, 0.106]","[0.3037, 0.4983]","[0.4867, 0.3572]","[0.6248, 0.4024]","[0.6855, 0.4775]","[0.3043, 0.5358]","[0.488, 0.4066]","[0.6194, 0.4552]","[0.6757, 0.526]","[0.3402, 0.5839]","[0.4882, 0.4819]","[0.5922, 0.4959]","[0.6519, 0.5355]"
"[0.3414, 0.9389]","[0.5003, 0.8138]","[0.5877, 0.6982]","[0.6667, 0.6256]","[0.6891, 0.5581]","[0.3431, 0.4842]","[0.3575, 0.3131]","[0.3646, 0.1958]","[0.3539, 0.1037]","[0.3024, 0.4983]","[0.4879, 0.355]","[0.627, 0.4025]","[0.6861, 0.4788]","[0.3039, 0.535]","[0.4916, 0.4034]","[0.6229, 0.4552]","[0.6774, 0.5276]","[0.3412, 0.5817]","[0.4917, 0.4784]","[0.5961, 0.4946]","[0.6556, 0.5366]"
"[0.3368, 0.9402]","[0.501, 0.8108]","[0.5877, 0.696]","[0.6663, 0.6235]","[0.691, 0.5541]","[0.344, 0.483]","[0.358, 0.3125]","[0.3651, 0.1952]","[0.3537, 0.1027]","[0.3039, 0.4983]","[0.4886, 0.3533]","[0.6294, 0.4034]","[0.6874, 0.4801]","[0.3067, 0.5351]","[0.4911, 0.3996]","[0.6243, 0.4544]","[0.6782, 0.529]","[0.3452, 0.5807]","[0.4939, 0.4756]","[0.5988, 0.4938]","[0.6573, 0.5375]"
"[0.3383, 0.9435]","[0.5012, 0.8145]","[0.5886, 0.7001]","[0.6651, 0.6293]","[0.6953, 0.5586]","[0.3446, 0.4831]","[0.3602, 0.3132]","[0.3666, 0.1958]","[0.356, 0.1036]","[0.3044, 0.4984]","[0.49, 0.356]","[0.6274, 0.4027]","[0.6866, 0.4767]","[0.3071, 0.5364]","[0.4925, 0.4057]","[0.6218, 0.4548]","[0.6762, 0.5246]","[0.3458, 0.5851]","[0.4937, 0.4815]","[0.5967, 0.4945]","[0.6555, 0.5327]"
"[0.339, 0.9422]","[0.5012, 0.8133]","[0.5883, 0.6991]","[0.6656, 0.6285]","[0.6967, 0.5574]","[0.3454, 0.4829]","[0.3605, 0.3132]","[0.3669, 0.1959]","[0.3559, 0.1037]","[0.3048, 0.4983]","[0.489, 0.3557]","[0.6272, 0.4023]","[0.6863, 0.4761]","[0.3068, 0.5363]","[0.4923, 0.4061]","[0.6223, 0.4552]","[0.676, 0.5254]","[0.3441, 0.5848]","[0.4928, 0.4821]","[0.5949, 0.496]","[0.6518, 0.5353]"
"[0.3382, 0.9402]","[0.5004, 0.8133]","[0.5873, 0.6985]","[0.6655, 0.6268]","[0.6946, 0.5571]","[0.3444, 0.483]","[0.3598, 0.3137]","[0.3668, 0.1964]","[0.3557, 0.1039]","[0.3037, 0.4974]","[0.4889, 0.3547]","[0.6294, 0.4023]","[0.6885, 0.4785]","[0.3063, 0.5345]","[0.4916, 0.4027]","[0.6245, 0.4541]","[0.679, 0.5273]","[0.3438, 0.5819]","[0.4938, 0.4789]","[0.5981, 0.4956]","[0.6565, 0.5386]"
"[0.3377, 0.941]","[0.5002, 0.8127]","[0.5864, 0.6981]","[0.6648, 0.6272]","[0.695, 0.5593]","[0.3431, 0.4838]","[0.3591, 0.3139]","[0.3655, 0.1962]","[0.3533, 0.103]","[0.3021, 0.4984]","[0.489, 0.354]","[0.6302, 0.4035]","[0.6884, 0.4815]","[0.305, 0.536]","[0.4912, 0.4008]","[0.6255, 0.4547]","[0.6797, 0.53]","[0.3428, 0.5834]","[0.4921, 0.4775]","[0.5976, 0.4945]","[0.6562, 0.5381]"
