[0.4288, 0.8809],[0.59, 0.7871],[0.6749, 0.6476],[0.5722, 0.533],[0.4323, 0.5599],[0.6256, 0.527],[0.6523, 0.3775],[0.627, 0.3957],[0.6001, 0.4689],[0.5244, 0.5056],[0.5464, 0.3424],[0.5313, 0.3895],[0.517, 0.4785],[0.4339, 0.5091],[0.4314, 0.3599],[0.4395, 0.4122],[0.4424, 0.5011],[0.3403, 0.5342],[0.3376, 0.4148],[0.3646, 0.4408],[0.3867, 0.5123]
[0.424, 0.8895],[0.5795, 0.7904],[0.668, 0.6422],[0.5613, 0.5324],[0.4291, 0.5581],[0.6326, 0.5302],[0.6558, 0.3692],[0.6098, 0.3965],[0.5792, 0.4691],[0.5303, 0.5161],[0.5429, 0.3401],[0.517, 0.4013],[0.5093, 0.4979],[0.4401, 0.5188],[0.4289, 0.3503],[0.4323, 0.41],[0.4406, 0.5033],[0.3471, 0.539],[0.3393, 0.4104],[0.3618, 0.4379],[0.3823, 0.5078]
[0.4228, 0.8938],[0.5814, 0.7935],[0.6709, 0.6438],[0.5634, 0.5296],[0.4301, 0.5529],[0.6341, 0.5282],[0.6611, 0.3674],[0.6106, 0.3988],[0.578, 0.4735],[0.5312, 0.5136],[0.5428, 0.3366],[0.5133, 0.3992],[0.5071, 0.4964],[0.4403, 0.517],[0.4281, 0.3505],[0.4286, 0.4128],[0.4391, 0.5064],[0.3483, 0.5392],[0.3412, 0.4158],[0.3593, 0.4423],[0.3796, 0.5084]
[0.4246, 0.8936],[0.5831, 0.7958],[0.671, 0.6415],[0.5638, 0.5274],[0.4299, 0.5539],[0.6357, 0.5242],[0.6611, 0.3627],[0.6089, 0.3956],[0.574, 0.4728],[0.5324, 0.5107],[0.5425, 0.3343],[0.5121, 0.3992],[0.5055, 0.4981],[0.441, 0.5152],[0.4291, 0.3482],[0.4292, 0.4117],[0.4396, 0.5057],[0.3493, 0.538],[0.3421, 0.4152],[0.3594, 0.4423],[0.3798, 0.5072]
[0.4259, 0.8996],[0.5847, 0.7942],[0.6719, 0.6425],[0.5647, 0.5296],[0.4326, 0.5554],[0.6359, 0.5247],[0.6603, 0.3665],[0.613, 0.3892],[0.5797, 0.4651],[0.5317, 0.5118],[0.5402, 0.3367],[0.5124, 0.3905],[0.5052, 0.4885],[0.4403, 0.5168],[0.428, 0.3528],[0.4287, 0.4045],[0.439, 0.4993],[0.3494, 0.5416],[0.3407, 0.4167],[0.3579, 0.4364],[0.3793, 0.5026]
[0.426, 0.8971],[0.5839, 0.7927],[0.6716, 0.6433],[0.5657, 0.5297],[0.4347, 0.5529],[0.6365, 0.5238],[0.6621, 0.3663],[0.6147, 0.3934],[0.5812, 0.4679],[0.5327, 0.51],[0.5415, 0.336],[0.5128, 0.3969],[0.5056, 0.4944],[0.4411, 0.5143],[0.4287, 0.3501],[0.4288, 0.4094],[0.4384, 0.504],[0.3488, 0.5377],[0.3411, 0.4143],[0.3583, 0.4402],[0.3789, 0.5074]
[0.4248, 0.8935],[0.5838, 0.7921],[0.6714, 0.6439],[0.5655, 0.5305],[0.4346, 0.5521],[0.6363, 0.5219],[0.6609, 0.365],[0.6146, 0.3949],[0.5803, 0.472],[0.5322, 0.5088],[0.5389, 0.3357],[0.5128, 0.3989],[0.5061, 0.4968],[0.4405, 0.5134],[0.4274, 0.3495],[0.4294, 0.411],[0.4387, 0.5055],[0.3482, 0.5369],[0.341, 0.4139],[0.3592, 0.4424],[0.3794, 0.5097]
[0.4233, 0.8939],[0.5823, 0.7929],[0.6692, 0.642],[0.5632, 0.527],[0.4309, 0.5535],[0.6337, 0.5233],[0.6587, 0.3652],[0.6107, 0.3945],[0.5752, 0.4694],[0.531, 0.511],[0.5385, 0.3361],[0.5127, 0.3983],[0.5046, 0.4953],[0.4401, 0.5163],[0.4257, 0.3507],[0.4297, 0.4128],[0.4387, 0.5063],[0.3481, 0.54],[0.3404, 0.4144],[0.36, 0.4442],[0.3798, 0.5116]
[0.4277, 0.8988],[0.5865, 0.7907],[0.6708, 0.6407],[0.5608, 0.5279],[0.4274, 0.554],[0.6348, 0.5258],[0.6617, 0.3669],[0.6124, 0.3978],[0.5776, 0.4724],[0.5323, 0.5133],[0.5445, 0.3361],[0.5161, 0.3953],[0.5069, 0.4915],[0.4414, 0.5182],[0.4297, 0.3515],[0.4328, 0.4131],[0.4423, 0.5079],[0.3491, 0.5427],[0.3428, 0.4182],[0.3621, 0.4473],[0.3824, 0.5152]
[0.4271, 0.8977],[0.5844, 0.7883],[0.6714, 0.6397],[0.566, 0.5273],[0.4342, 0.5534],[0.6366, 0.5213],[0.6607, 0.3656],[0.6163, 0.393],[0.5835, 0.4676],[0.5333, 0.5081],[0.5396, 0.337],[0.5159, 0.3984],[0.5091, 0.4957],[0.4417, 0.5127],[0.4272, 0.3517],[0.4326, 0.4128],[0.4427, 0.5076],[0.3484, 0.5366],[0.3414, 0.4149],[0.3617, 0.4446],[0.3825, 0.5131]
[0.4266, 0.9011],[0.5844, 0.7918],[0.6723, 0.6385],[0.5652, 0.5251],[0.4303, 0.5565],[0.6375, 0.5231],[0.6625, 0.3662],[0.6146, 0.3934],[0.5801, 0.4678],[0.5339, 0.5097],[0.5436, 0.3359],[0.5154, 0.3966],[0.5067, 0.495],[0.442, 0.5137],[0.4297, 0.3512],[0.4316, 0.4101],[0.4403, 0.5049],[0.3491, 0.5371],[0.3439, 0.4141],[0.3617, 0.4415],[0.381, 0.5092]
[0.4256, 0.9016],[0.5843, 0.7922],[0.6721, 0.6384],[0.5665, 0.5249],[0.4333, 0.5519],[0.6365, 0.5251],[0.6633, 0.3669],[0.6125, 0.3977],[0.5767, 0.4741],[0.5328, 0.5115],[0.544, 0.3354],[0.5128, 0.394],[0.5032, 0.4916],[0.441, 0.5151],[0.4305, 0.3503],[0.4304, 0.4088],[0.439, 0.5056],[0.3484, 0.5378],[0.3438, 0.4136],[0.3606, 0.4388],[0.3802, 0.5071]
[0.4252, 0.8975],[0.5845, 0.7945],[0.6742, 0.6459],[0.574, 0.5256],[0.4448, 0.5387],[0.6353, 0.5277],[0.6656, 0.3635],[0.6105, 0.4026],[0.5744, 0.4804],[0.5328, 0.5146],[0.5471, 0.3343],[0.5083, 0.3967],[0.4969, 0.4917],[0.4423, 0.5174],[0.4353, 0.3502],[0.4286, 0.4126],[0.4342, 0.509],[0.3493, 0.5379],[0.3465, 0.4141],[0.3623, 0.4427],[0.3815, 0.5127]
[0.4246, 0.8958],[0.5843, 0.7936],[0.6749, 0.6448],[0.5775, 0.5237],[0.448, 0.5408],[0.6361, 0.5234],[0.6637, 0.3624],[0.6064, 0.402],[0.568, 0.4804],[0.5334, 0.5103],[0.545, 0.3343],[0.5081, 0.3968],[0.4976, 0.4915],[0.4421, 0.5134],[0.4331, 0.3511],[0.4292, 0.4123],[0.4355, 0.507],[0.3485, 0.5344],[0.343, 0.4136],[0.3608, 0.4422],[0.3821, 0.5101]
