"[0.485, 0.775]","[0.5966, 0.7084]","[0.6457, 0.5945]","[0.5683, 0.5255]","[0.4784, 0.5506]","[0.593, 0.4998]","[0.5897, 0.387]","[0.5868, 0.4044]","[0.5869, 0.4687]","[0.5177, 0.4993]","[0.4997, 0.3711]","[0.5019, 0.4037]","[0.5115, 0.4737]","[0.4545, 0.5159]","[0.4322, 0.4016]","[0.441, 0.4314]","[0.4557, 0.4951]","[0.3913, 0.5489]","[0.373, 0.465]","[0.389, 0.474]","[0.4093, 0.5182]"
"[0.481, 0.7826]","[0.5917, 0.7043]","[0.6441, 0.5902]","[0.5656, 0.519]","[0.4794, 0.5248]","[0.6046, 0.5045]","[0.6, 0.3853]","[0.5863, 0.405]","[0.5841, 0.4722]","[0.525, 0.5046]","[0.5047, 0.3694]","[0.4995, 0.4026]","[0.509, 0.475]","[0.4582, 0.5173]","[0.4314, 0.3991]","[0.4368, 0.4326]","[0.4531, 0.4985]","[0.394, 0.5441]","[0.3716, 0.4601]","[0.3871, 0.4732]","[0.4098, 0.5191]"
"[0.4807, 0.7886]","[0.5913, 0.7115]","[0.6436, 0.5947]","[0.5652, 0.5197]","[0.4773, 0.5289]","[0.6027, 0.5034]","[0.5987, 0.3828]","[0.5866, 0.4059]","[0.5836, 0.4753]","[0.5234, 0.5041]","[0.5015, 0.3665]","[0.5002, 0.4067]","[0.5107, 0.4813]","[0.4579, 0.5194]","[0.4311, 0.3985]","[0.439, 0.4376]","[0.4541, 0.5035]","[0.3949, 0.5495]","[0.375, 0.4627]","[0.3903, 0.4776]","[0.4101, 0.5228]"
"[0.4798, 0.7913]","[0.5904, 0.7129]","[0.6419, 0.5966]","[0.559, 0.5217]","[0.4693, 0.5301]","[0.6039, 0.5025]","[0.5993, 0.3823]","[0.5809, 0.4033]","[0.5772, 0.4715]","[0.5241, 0.5031]","[0.5039, 0.367]","[0.4955, 0.4068]","[0.5058, 0.481]","[0.458, 0.5174]","[0.4325, 0.3971]","[0.4355, 0.4348]","[0.451, 0.5027]","[0.395, 0.5468]","[0.374, 0.4599]","[0.3868, 0.4741]","[0.4072, 0.5207]"
"[0.4793, 0.795]","[0.5903, 0.716]","[0.6413, 0.5973]","[0.5579, 0.5206]","[0.4668, 0.5314]","[0.6014, 0.5045]","[0.5959, 0.3814]","[0.5814, 0.4074]","[0.5786, 0.4772]","[0.522, 0.5051]","[0.5007, 0.3663]","[0.4971, 0.4072]","[0.5073, 0.4813]","[0.4561, 0.5197]","[0.4298, 0.3976]","[0.4368, 0.4366]","[0.4517, 0.5033]","[0.3928, 0.5485]","[0.3719, 0.4602]","[0.3878, 0.4758]","[0.4083, 0.5221]"
"[0.4801, 0.796]","[0.5912, 0.7173]","[0.6426, 0.5976]","[0.5619, 0.5204]","[0.4734, 0.5283]","[0.6007, 0.5042]","[0.5962, 0.3781]","[0.5818, 0.4083]","[0.5798, 0.48]","[0.5219, 0.506]","[0.5021, 0.3642]","[0.4978, 0.4102]","[0.5086, 0.4856]","[0.4556, 0.5207]","[0.4295, 0.3966]","[0.4366, 0.4373]","[0.4523, 0.5042]","[0.3916, 0.5494]","[0.371, 0.4598]","[0.3873, 0.4743]","[0.4081, 0.5196]"
"[0.4809, 0.7991]","[0.5916, 0.717]","[0.6427, 0.5959]","[0.5592, 0.5186]","[0.47, 0.5261]","[0.6014, 0.5046]","[0.5965, 0.3807]","[0.5808, 0.4063]","[0.5781, 0.4767]","[0.5219, 0.5058]","[0.5018, 0.3666]","[0.497, 0.4086]","[0.5075, 0.4839]","[0.4557, 0.5199]","[0.4304, 0.398]","[0.436, 0.4359]","[0.451, 0.5036]","[0.3919, 0.5481]","[0.3712, 0.4599]","[0.3852, 0.4736]","[0.4049, 0.5188]"
"[0.4809, 0.7993]","[0.5919, 0.7181]","[0.6429, 0.5986]","[0.5613, 0.5232]","[0.4733, 0.5308]","[0.6004, 0.504]","[0.5965, 0.3805]","[0.5799, 0.4051]","[0.5767, 0.474]","[0.5218, 0.5055]","[0.5032, 0.3663]","[0.4964, 0.4063]","[0.5064, 0.4805]","[0.4555, 0.5196]","[0.4302, 0.3957]","[0.4354, 0.4321]","[0.4515, 0.5006]","[0.391, 0.548]","[0.3708, 0.4581]","[0.3853, 0.4696]","[0.4061, 0.5153]"
"[0.48, 0.7984]","[0.5916, 0.7194]","[0.6429, 0.5989]","[0.5643, 0.5224]","[0.4782, 0.5292]","[0.601, 0.5042]","[0.5965, 0.3791]","[0.5787, 0.4067]","[0.5747, 0.4772]","[0.5222, 0.5063]","[0.5029, 0.3662]","[0.4957, 0.4081]","[0.5058, 0.482]","[0.4555, 0.5203]","[0.4306, 0.3962]","[0.4351, 0.4337]","[0.4509, 0.502]","[0.3911, 0.5485]","[0.3715, 0.4602]","[0.3847, 0.4713]","[0.4045, 0.5154]"
"[0.4807, 0.7999]","[0.5911, 0.7171]","[0.6423, 0.5962]","[0.5582, 0.5208]","[0.4682, 0.532]","[0.6005, 0.5026]","[0.5962, 0.3777]","[0.5781, 0.405]","[0.5738, 0.4752]","[0.5216, 0.5045]","[0.5027, 0.366]","[0.496, 0.4073]","[0.5063, 0.481]","[0.4549, 0.5183]","[0.4309, 0.3952]","[0.4361, 0.4319]","[0.4515, 0.5012]","[0.3904, 0.5459]","[0.3716, 0.4573]","[0.386, 0.4689]","[0.4065, 0.5147]"
