"[0.5706, 0.6391]","[0.5394, 0.6104]","[0.5212, 0.5579]","[0.5169, 0.5115]","[0.5213, 0.4833]","[0.5369, 0.4997]","[0.5402, 0.4431]","[0.5405, 0.4459]","[0.5391, 0.4608]","[0.5554, 0.4901]","[0.5584, 0.423]","[0.5615, 0.381]","[0.5635, 0.3468]","[0.5721, 0.4937]","[0.5743, 0.4334]","[0.5755, 0.3939]","[0.5758, 0.3614]","[0.5888, 0.5068]","[0.5895, 0.4566]","[0.5897, 0.4252]","[0.5893, 0.3981]"
"[0.5701, 0.6466]","[0.54, 0.6126]","[0.5217, 0.5569]","[0.5165, 0.5038]","[0.5243, 0.4732]","[0.5357, 0.503]","[0.5378, 0.4511]","[0.5387, 0.4476]","[0.5392, 0.4565]","[0.5541, 0.4927]","[0.5571, 0.4256]","[0.5605, 0.3832]","[0.5633, 0.3467]","[0.5715, 0.4963]","[0.573, 0.4336]","[0.5749, 0.3924]","[0.5765, 0.3581]","[0.5899, 0.5099]","[0.5894, 0.4582]","[0.5895, 0.4254]","[0.5898, 0.3955]"
"[0.5708, 0.6465]","[0.5391, 0.608]","[0.5215, 0.5514]","[0.5154, 0.4993]","[0.5232, 0.4736]","[0.5372, 0.5025]","[0.5388, 0.4491]","[0.5392, 0.4455]","[0.5397, 0.4549]","[0.555, 0.4927]","[0.5575, 0.424]","[0.5604, 0.3819]","[0.5626, 0.3455]","[0.5717, 0.4963]","[0.5733, 0.4332]","[0.5747, 0.3919]","[0.5763, 0.3578]","[0.5899, 0.5092]","[0.5893, 0.4572]","[0.5894, 0.425]","[0.5899, 0.3956]"
"[0.5706, 0.6454]","[0.5385, 0.6069]","[0.5213, 0.5509]","[0.5154, 0.4992]","[0.5245, 0.4714]","[0.5368, 0.5017]","[0.5382, 0.4495]","[0.5384, 0.4478]","[0.5386, 0.459]","[0.5546, 0.4921]","[0.5571, 0.4237]","[0.5604, 0.3814]","[0.5628, 0.3449]","[0.5715, 0.4954]","[0.5731, 0.4327]","[0.5746, 0.3915]","[0.5762, 0.3575]","[0.5898, 0.5075]","[0.5893, 0.4559]","[0.5894, 0.4233]","[0.5899, 0.3936]"
"[0.5704, 0.646]","[0.5398, 0.6106]","[0.5217, 0.5547]","[0.5147, 0.5005]","[0.5242, 0.4724]","[0.5367, 0.5017]","[0.5379, 0.4495]","[0.5385, 0.4463]","[0.5395, 0.4552]","[0.5542, 0.4917]","[0.5565, 0.4241]","[0.5598, 0.3822]","[0.5624, 0.3452]","[0.5709, 0.4955]","[0.5724, 0.4334]","[0.5741, 0.3923]","[0.576, 0.3581]","[0.5891, 0.5087]","[0.5883, 0.4572]","[0.5885, 0.4248]","[0.5889, 0.3947]"
"[0.5697, 0.6469]","[0.5393, 0.6112]","[0.5212, 0.5535]","[0.5149, 0.5003]","[0.5236, 0.4733]","[0.5374, 0.5025]","[0.5376, 0.4504]","[0.5377, 0.4475]","[0.5385, 0.4566]","[0.5546, 0.4924]","[0.5567, 0.4248]","[0.5598, 0.3826]","[0.5629, 0.3458]","[0.5712, 0.496]","[0.5724, 0.4331]","[0.5739, 0.3924]","[0.5758, 0.3584]","[0.5891, 0.5093]","[0.5884, 0.4577]","[0.5886, 0.4255]","[0.5892, 0.3957]"
"[0.568, 0.6464]","[0.538, 0.6099]","[0.5204, 0.5512]","[0.5144, 0.497]","[0.5254, 0.4693]","[0.5374, 0.502]","[0.5382, 0.4504]","[0.5373, 0.4475]","[0.537, 0.4564]","[0.5546, 0.4922]","[0.5573, 0.4241]","[0.5598, 0.3823]","[0.562, 0.346]","[0.571, 0.496]","[0.5728, 0.4331]","[0.5741, 0.3923]","[0.5755, 0.3586]","[0.5888, 0.5094]","[0.5886, 0.4581]","[0.5891, 0.4262]","[0.5897, 0.3965]"
"[0.5675, 0.6452]","[0.5383, 0.6103]","[0.5197, 0.5526]","[0.514, 0.4977]","[0.526, 0.467]","[0.5368, 0.5001]","[0.5383, 0.4488]","[0.5377, 0.4487]","[0.5372, 0.459]","[0.5542, 0.4908]","[0.5575, 0.4242]","[0.5598, 0.3832]","[0.5621, 0.3471]","[0.571, 0.4953]","[0.5729, 0.4331]","[0.5739, 0.3936]","[0.5749, 0.3602]","[0.5888, 0.5091]","[0.5887, 0.4584]","[0.5889, 0.4272]","[0.5892, 0.3982]"
"[0.5677, 0.6454]","[0.5379, 0.6102]","[0.5196, 0.5517]","[0.514, 0.496]","[0.5273, 0.4646]","[0.5365, 0.5024]","[0.5375, 0.4515]","[0.537, 0.4489]","[0.5372, 0.4575]","[0.5539, 0.4922]","[0.5574, 0.4249]","[0.5596, 0.3832]","[0.562, 0.3465]","[0.5708, 0.4957]","[0.5729, 0.4328]","[0.5739, 0.393]","[0.5749, 0.3595]","[0.5887, 0.5088]","[0.5886, 0.4577]","[0.589, 0.4262]","[0.5895, 0.397]"
"[0.5683, 0.6451]","[0.5391, 0.6104]","[0.5204, 0.5522]","[0.5143, 0.4974]","[0.5266, 0.4677]","[0.5379, 0.5011]","[0.5389, 0.4496]","[0.5383, 0.4474]","[0.538, 0.456]","[0.5551, 0.4914]","[0.5581, 0.4244]","[0.5602, 0.3831]","[0.5628, 0.347]","[0.5718, 0.4952]","[0.5736, 0.4326]","[0.5745, 0.3929]","[0.5755, 0.3595]","[0.5894, 0.5084]","[0.5892, 0.4576]","[0.5894, 0.4262]","[0.5898, 0.3973]"
"[0.5687, 0.6463]","[0.5394, 0.6115]","[0.5211, 0.5547]","[0.5146, 0.5021]","[0.5238, 0.4723]","[0.537, 0.5016]","[0.539, 0.4483]","[0.5388, 0.4465]","[0.5385, 0.4567]","[0.5549, 0.4919]","[0.558, 0.4243]","[0.5606, 0.3825]","[0.5631, 0.3466]","[0.572, 0.4959]","[0.5738, 0.433]","[0.5751, 0.3926]","[0.5764, 0.359]","[0.5898, 0.5096]","[0.5896, 0.4584]","[0.5898, 0.4267]","[0.5901, 0.3977]"
"[0.5685, 0.6456]","[0.5389, 0.6104]","[0.5209, 0.5536]","[0.5154, 0.5005]","[0.5235, 0.4722]","[0.5364, 0.5016]","[0.5385, 0.4489]","[0.5385, 0.4474]","[0.5385, 0.4574]","[0.5545, 0.4921]","[0.5576, 0.4246]","[0.5604, 0.3834]","[0.5633, 0.3472]","[0.5717, 0.4961]","[0.5734, 0.4328]","[0.575, 0.3922]","[0.5766, 0.3579]","[0.5898, 0.5096]","[0.5892, 0.4582]","[0.5896, 0.4263]","[0.5902, 0.3971]"
"[0.5692, 0.6443]","[0.5384, 0.6078]","[0.5209, 0.5509]","[0.5145, 0.4981]","[0.5247, 0.4691]","[0.5366, 0.503]","[0.5376, 0.4503]","[0.5377, 0.4487]","[0.5387, 0.4596]","[0.5543, 0.4928]","[0.5572, 0.4248]","[0.5603, 0.3828]","[0.5631, 0.3464]","[0.5713, 0.496]","[0.5735, 0.4333]","[0.575, 0.3924]","[0.5767, 0.3587]","[0.5895, 0.5086]","[0.5895, 0.4578]","[0.5897, 0.4257]","[0.5904, 0.3962]"
"[0.5698, 0.6441]","[0.5393, 0.6093]","[0.5212, 0.5502]","[0.5157, 0.4962]","[0.5262, 0.4671]","[0.538, 0.5028]","[0.538, 0.4507]","[0.5385, 0.4481]","[0.5398, 0.4572]","[0.5552, 0.4925]","[0.5578, 0.4248]","[0.5607, 0.3831]","[0.564, 0.3464]","[0.5718, 0.4957]","[0.5737, 0.4332]","[0.575, 0.3923]","[0.5769, 0.358]","[0.5899, 0.5082]","[0.5894, 0.4577]","[0.5895, 0.4259]","[0.5902, 0.3965]"
"[0.5697, 0.6459]","[0.5392, 0.6092]","[0.5217, 0.5493]","[0.5156, 0.4949]","[0.5261, 0.4664]","[0.5382, 0.5026]","[0.539, 0.4493]","[0.5391, 0.4473]","[0.5396, 0.4578]","[0.5552, 0.4926]","[0.5582, 0.4246]","[0.5611, 0.3825]","[0.5637, 0.3458]","[0.572, 0.4959]","[0.574, 0.4335]","[0.5754, 0.3928]","[0.577, 0.3594]","[0.59, 0.5081]","[0.5897, 0.4573]","[0.59, 0.4256]","[0.5908, 0.3966]"
"[0.5699, 0.6466]","[0.5394, 0.6113]","[0.5216, 0.551]","[0.5158, 0.4955]","[0.5264, 0.4657]","[0.5373, 0.5027]","[0.5388, 0.4492]","[0.5392, 0.4477]","[0.5398, 0.4583]","[0.5549, 0.4925]","[0.558, 0.4244]","[0.561, 0.3821]","[0.5639, 0.3452]","[0.572, 0.496]","[0.574, 0.4331]","[0.5756, 0.3924]","[0.5773, 0.3587]","[0.5903, 0.5085]","[0.59, 0.4575]","[0.5903, 0.4257]","[0.5911, 0.3967]"
"[0.5704, 0.6454]","[0.5383, 0.6086]","[0.5207, 0.55]","[0.5146, 0.494]","[0.5266, 0.4642]","[0.5373, 0.5021]","[0.5392, 0.4483]","[0.5396, 0.4465]","[0.5403, 0.4582]","[0.555, 0.4926]","[0.5579, 0.424]","[0.561, 0.3824]","[0.5633, 0.3453]","[0.5719, 0.4957]","[0.5738, 0.4333]","[0.5753, 0.3923]","[0.577, 0.3585]","[0.5901, 0.5073]","[0.5898, 0.4565]","[0.59, 0.4246]","[0.5908, 0.3952]"
"[0.5706, 0.6456]","[0.5393, 0.6093]","[0.5209, 0.5497]","[0.5147, 0.4928]","[0.5274, 0.4618]","[0.5371, 0.5024]","[0.5381, 0.4507]","[0.5381, 0.4482]","[0.5389, 0.4588]","[0.5545, 0.4922]","[0.5575, 0.4246]","[0.5607, 0.383]","[0.5634, 0.3448]","[0.5714, 0.4954]","[0.5737, 0.4333]","[0.5753, 0.392]","[0.5771, 0.3575]","[0.5898, 0.5075]","[0.5894, 0.4572]","[0.5897, 0.425]","[0.5904, 0.395]"
