"[0.4496, 0.9883]","[0.6398, 0.9076]","[0.7655, 0.7465]","[0.7749, 0.5953]","[0.692, 0.5186]","[0.6262, 0.5947]","[0.6314, 0.4328]","[0.6335, 0.4275]","[0.6336, 0.4703]","[0.5156, 0.5753]","[0.5034, 0.3545]","[0.4887, 0.2126]","[0.4749, 0.0976]","[0.4129, 0.5896]","[0.4028, 0.3833]","[0.3941, 0.248]","[0.3863, 0.1399]","[0.3115, 0.6364]","[0.3024, 0.4638]","[0.3011, 0.355]","[0.303, 0.2624]"
"[0.4773, 1.0337]","[0.6513, 0.9256]","[0.7617, 0.7368]","[0.7618, 0.5877]","[0.6802, 0.5061]","[0.628, 0.5848]","[0.6332, 0.4347]","[0.6252, 0.4364]","[0.6121, 0.4806]","[0.5181, 0.5637]","[0.5054, 0.3578]","[0.4868, 0.2173]","[0.4675, 0.094]","[0.4194, 0.5809]","[0.4009, 0.3797]","[0.3906, 0.2492]","[0.3818, 0.136]","[0.3218, 0.6305]","[0.3061, 0.4676]","[0.299, 0.3624]","[0.2967, 0.2656]"
"[0.4471, 1.0594]","[0.6349, 0.9526]","[0.7545, 0.7675]","[0.7802, 0.6033]","[0.6902, 0.5208]","[0.6271, 0.6008]","[0.6311, 0.4445]","[0.6221, 0.4354]","[0.6125, 0.4679]","[0.5166, 0.5767]","[0.5085, 0.3654]","[0.4905, 0.221]","[0.4756, 0.094]","[0.4149, 0.5917]","[0.4035, 0.387]","[0.3948, 0.2521]","[0.3882, 0.1389]","[0.3129, 0.638]","[0.3093, 0.4696]","[0.307, 0.361]","[0.3073, 0.2627]"
"[0.4546, 1.0647]","[0.633, 0.9465]","[0.7515, 0.7665]","[0.7912, 0.6037]","[0.7053, 0.5129]","[0.6233, 0.5956]","[0.6311, 0.4334]","[0.625, 0.432]","[0.6162, 0.4791]","[0.5136, 0.5737]","[0.5066, 0.3577]","[0.4891, 0.214]","[0.4741, 0.0866]","[0.4132, 0.589]","[0.4048, 0.3826]","[0.3958, 0.2491]","[0.3878, 0.1361]","[0.3118, 0.6347]","[0.3081, 0.468]","[0.3034, 0.3609]","[0.3022, 0.2649]"
"[0.4535, 1.071]","[0.6331, 0.957]","[0.7569, 0.7723]","[0.7982, 0.6004]","[0.7055, 0.5114]","[0.6253, 0.5981]","[0.6342, 0.4295]","[0.6249, 0.4303]","[0.6126, 0.4793]","[0.514, 0.5758]","[0.5084, 0.3588]","[0.4904, 0.2161]","[0.4745, 0.0896]","[0.4145, 0.591]","[0.4054, 0.3871]","[0.3969, 0.256]","[0.3891, 0.1457]","[0.3145, 0.636]","[0.3127, 0.4697]","[0.3078, 0.3634]","[0.3055, 0.2687]"
"[0.4564, 1.0702]","[0.6359, 0.9504]","[0.7578, 0.7655]","[0.7949, 0.597]","[0.703, 0.5087]","[0.6265, 0.5988]","[0.6338, 0.435]","[0.6238, 0.4335]","[0.6119, 0.4792]","[0.5156, 0.5752]","[0.5085, 0.3582]","[0.49, 0.2148]","[0.4755, 0.0906]","[0.4164, 0.5903]","[0.4061, 0.3847]","[0.3964, 0.2521]","[0.39, 0.141]","[0.3166, 0.6378]","[0.313, 0.4712]","[0.3074, 0.3649]","[0.3051, 0.269]"
"[0.4606, 1.0723]","[0.6417, 0.9525]","[0.7593, 0.7657]","[0.7937, 0.5945]","[0.7024, 0.5038]","[0.6288, 0.5972]","[0.6339, 0.4316]","[0.6215, 0.4337]","[0.6073, 0.4827]","[0.5186, 0.5757]","[0.5127, 0.3568]","[0.4931, 0.2142]","[0.4767, 0.0913]","[0.419, 0.5924]","[0.41, 0.3867]","[0.3991, 0.2556]","[0.39, 0.1473]","[0.3171, 0.6404]","[0.315, 0.4723]","[0.3088, 0.3659]","[0.3045, 0.2705]"
"[0.4618, 1.073]","[0.6422, 0.9453]","[0.7587, 0.7598]","[0.7933, 0.594]","[0.7041, 0.5052]","[0.6286, 0.5977]","[0.6317, 0.4315]","[0.6185, 0.4316]","[0.6043, 0.4748]","[0.5174, 0.5775]","[0.51, 0.3604]","[0.4931, 0.218]","[0.4801, 0.094]","[0.4174, 0.5946]","[0.409, 0.3899]","[0.3997, 0.2586]","[0.3923, 0.1487]","[0.3173, 0.6422]","[0.3163, 0.474]","[0.3105, 0.3671]","[0.3061, 0.2712]"
"[0.4616, 1.07]","[0.6417, 0.9487]","[0.762, 0.7657]","[0.7962, 0.5912]","[0.6997, 0.4971]","[0.6301, 0.5975]","[0.634, 0.4318]","[0.6262, 0.43]","[0.6185, 0.4738]","[0.5193, 0.5767]","[0.511, 0.3599]","[0.4923, 0.2173]","[0.4788, 0.0905]","[0.4202, 0.5932]","[0.4116, 0.3892]","[0.3999, 0.2569]","[0.391, 0.1461]","[0.3193, 0.6404]","[0.3185, 0.4741]","[0.3122, 0.368]","[0.3084, 0.2723]"
"[0.4591, 1.0708]","[0.639, 0.9497]","[0.7587, 0.768]","[0.7958, 0.5951]","[0.7042, 0.5015]","[0.6254, 0.5996]","[0.632, 0.43]","[0.622, 0.4297]","[0.6105, 0.4789]","[0.5154, 0.5771]","[0.5077, 0.358]","[0.489, 0.2146]","[0.4746, 0.0891]","[0.4172, 0.5926]","[0.406, 0.3871]","[0.3949, 0.2538]","[0.3864, 0.1428]","[0.3183, 0.6396]","[0.3148, 0.4739]","[0.3077, 0.368]","[0.3036, 0.2724]"
"[0.45, 1.0728]","[0.6306, 0.9601]","[0.7566, 0.7733]","[0.7932, 0.6007]","[0.705, 0.5094]","[0.6301, 0.6004]","[0.6361, 0.4332]","[0.6229, 0.4293]","[0.6081, 0.4741]","[0.5176, 0.5765]","[0.5092, 0.3588]","[0.4897, 0.2169]","[0.4734, 0.0932]","[0.4177, 0.5912]","[0.4055, 0.3867]","[0.394, 0.2546]","[0.3847, 0.1433]","[0.3169, 0.6371]","[0.3134, 0.4711]","[0.3065, 0.366]","[0.3025, 0.2698]"
"[0.4481, 1.071]","[0.6261, 0.9538]","[0.7535, 0.7729]","[0.793, 0.6034]","[0.7051, 0.5109]","[0.6239, 0.6003]","[0.6315, 0.4321]","[0.6222, 0.4275]","[0.6099, 0.4721]","[0.5137, 0.5772]","[0.5078, 0.3624]","[0.4884, 0.2204]","[0.4711, 0.0951]","[0.4148, 0.593]","[0.4063, 0.3904]","[0.3951, 0.2577]","[0.3858, 0.1451]","[0.3134, 0.6393]","[0.3112, 0.4754]","[0.3049, 0.3694]","[0.3011, 0.272]"
"[0.4479, 1.0721]","[0.6232, 0.9577]","[0.7523, 0.7757]","[0.7965, 0.605]","[0.7073, 0.5155]","[0.6192, 0.6019]","[0.6361, 0.4354]","[0.6262, 0.4308]","[0.6102, 0.4752]","[0.5097, 0.5766]","[0.5049, 0.3595]","[0.4867, 0.2173]","[0.4725, 0.0896]","[0.4121, 0.5916]","[0.4034, 0.386]","[0.3934, 0.2528]","[0.3867, 0.1399]","[0.3115, 0.6383]","[0.3084, 0.4748]","[0.3038, 0.3696]","[0.3043, 0.2732]"
"[0.4386, 1.0745]","[0.6128, 0.967]","[0.7446, 0.7869]","[0.7979, 0.6179]","[0.717, 0.5235]","[0.6185, 0.6027]","[0.6338, 0.434]","[0.6231, 0.4331]","[0.6069, 0.4797]","[0.5074, 0.5774]","[0.5021, 0.3606]","[0.483, 0.2192]","[0.4671, 0.0912]","[0.409, 0.5931]","[0.4017, 0.3883]","[0.3899, 0.2552]","[0.3801, 0.1419]","[0.3094, 0.6404]","[0.308, 0.4762]","[0.3023, 0.3697]","[0.3002, 0.2723]"
