"[0.7625, 0.7552]","[0.5967, 0.6948]","[0.4565, 0.6033]","[0.3351, 0.5769]","[0.216, 0.5833]","[0.6064, 0.3428]","[0.3934, 0.3377]","[0.2722, 0.3326]","[0.1756, 0.3253]","[0.6654, 0.3386]","[0.4128, 0.3885]","[0.4368, 0.5128]","[0.503, 0.5561]","[0.7038, 0.379]","[0.458, 0.4368]","[0.4809, 0.545]","[0.5467, 0.5737]","[0.7164, 0.451]","[0.5317, 0.4884]","[0.5287, 0.5698]","[0.5746, 0.6045]"
"[0.7763, 0.7808]","[0.603, 0.7131]","[0.4578, 0.6125]","[0.3349, 0.5826]","[0.2128, 0.5835]","[0.6043, 0.3562]","[0.3994, 0.3521]","[0.2779, 0.3421]","[0.1741, 0.3254]","[0.6586, 0.3484]","[0.4107, 0.3921]","[0.442, 0.5122]","[0.5106, 0.5534]","[0.694, 0.3855]","[0.4492, 0.4348]","[0.4797, 0.5431]","[0.5504, 0.5703]","[0.7073, 0.4546]","[0.5209, 0.4871]","[0.5212, 0.5693]","[0.5698, 0.6053]"
"[0.7882, 0.7856]","[0.6029, 0.7058]","[0.4523, 0.6055]","[0.3255, 0.5809]","[0.2053, 0.585]","[0.6052, 0.355]","[0.389, 0.3505]","[0.2659, 0.3421]","[0.16, 0.3263]","[0.6583, 0.3475]","[0.4027, 0.3918]","[0.438, 0.512]","[0.5097, 0.5507]","[0.6924, 0.3858]","[0.4469, 0.4355]","[0.4773, 0.5418]","[0.5486, 0.5658]","[0.7024, 0.4566]","[0.5203, 0.4866]","[0.5232, 0.565]","[0.5747, 0.594]"
"[0.7883, 0.7879]","[0.5931, 0.7059]","[0.4426, 0.6049]","[0.3177, 0.5796]","[0.1972, 0.5862]","[0.5962, 0.353]","[0.3814, 0.3519]","[0.2592, 0.3453]","[0.1547, 0.3311]","[0.6497, 0.3437]","[0.3916, 0.3945]","[0.4288, 0.5132]","[0.5018, 0.5494]","[0.6845, 0.3813]","[0.4359, 0.437]","[0.4678, 0.5422]","[0.539, 0.5647]","[0.695, 0.4531]","[0.5099, 0.4865]","[0.5149, 0.5663]","[0.5671, 0.5956]"
"[0.7918, 0.7916]","[0.5957, 0.7088]","[0.4479, 0.6069]","[0.3212, 0.5783]","[0.1994, 0.5877]","[0.6015, 0.3526]","[0.3802, 0.353]","[0.2562, 0.3463]","[0.1506, 0.3314]","[0.6508, 0.3452]","[0.3918, 0.3923]","[0.4291, 0.5099]","[0.5008, 0.5482]","[0.6827, 0.3837]","[0.4371, 0.4368]","[0.4712, 0.5411]","[0.5422, 0.5658]","[0.6907, 0.4554]","[0.5111, 0.488]","[0.5191, 0.5655]","[0.5715, 0.594]"
"[0.7914, 0.792]","[0.5931, 0.7099]","[0.4438, 0.6059]","[0.3186, 0.5765]","[0.1979, 0.5875]","[0.5923, 0.3521]","[0.3744, 0.3516]","[0.2507, 0.3455]","[0.145, 0.3318]","[0.6442, 0.3439]","[0.3865, 0.3936]","[0.4259, 0.5085]","[0.4989, 0.5434]","[0.6789, 0.3827]","[0.4334, 0.4372]","[0.468, 0.5387]","[0.5386, 0.5605]","[0.6898, 0.4552]","[0.5104, 0.4867]","[0.5184, 0.5629]","[0.5702, 0.5908]"
"[0.7847, 0.7934]","[0.5877, 0.7111]","[0.4367, 0.6055]","[0.3136, 0.5751]","[0.1936, 0.5875]","[0.5844, 0.3494]","[0.3681, 0.3504]","[0.2453, 0.3449]","[0.1411, 0.3317]","[0.6391, 0.3405]","[0.3836, 0.3942]","[0.425, 0.5084]","[0.4986, 0.5406]","[0.6764, 0.3793]","[0.4307, 0.4374]","[0.4659, 0.5394]","[0.5364, 0.5593]","[0.6898, 0.4521]","[0.5085, 0.4854]","[0.5162, 0.5625]","[0.5673, 0.5898]"
"[0.7825, 0.7938]","[0.5835, 0.71]","[0.4353, 0.6054]","[0.3118, 0.5758]","[0.1912, 0.5881]","[0.5826, 0.3496]","[0.3666, 0.3502]","[0.2438, 0.3444]","[0.1406, 0.3304]","[0.6361, 0.3406]","[0.3789, 0.3948]","[0.4189, 0.5094]","[0.4924, 0.5418]","[0.6727, 0.3789]","[0.4266, 0.439]","[0.461, 0.5408]","[0.5309, 0.5608]","[0.6853, 0.4521]","[0.5033, 0.485]","[0.5106, 0.5626]","[0.5616, 0.5912]"
"[0.7804, 0.7931]","[0.5824, 0.7109]","[0.4334, 0.6077]","[0.3098, 0.5779]","[0.1879, 0.5884]","[0.5777, 0.3499]","[0.3628, 0.3485]","[0.2414, 0.3432]","[0.1389, 0.3304]","[0.6331, 0.3405]","[0.3769, 0.3956]","[0.4153, 0.5147]","[0.4877, 0.5488]","[0.6714, 0.3791]","[0.4246, 0.4385]","[0.4578, 0.5446]","[0.5276, 0.5685]","[0.6853, 0.4522]","[0.5031, 0.4858]","[0.5075, 0.5648]","[0.5572, 0.5956]"
"[0.7816, 0.7904]","[0.5824, 0.708]","[0.4358, 0.6074]","[0.3133, 0.578]","[0.1896, 0.5869]","[0.5773, 0.3487]","[0.3633, 0.3483]","[0.2417, 0.3429]","[0.1386, 0.3304]","[0.6319, 0.339]","[0.3763, 0.3935]","[0.4128, 0.5148]","[0.4832, 0.5504]","[0.6694, 0.3765]","[0.421, 0.4356]","[0.454, 0.5444]","[0.5239, 0.5698]","[0.6826, 0.4488]","[0.4955, 0.4833]","[0.5015, 0.5644]","[0.5534, 0.595]"
"[0.783, 0.7889]","[0.5841, 0.7084]","[0.4377, 0.6088]","[0.3139, 0.5794]","[0.1895, 0.588]","[0.5792, 0.3479]","[0.3632, 0.3488]","[0.2411, 0.3421]","[0.1379, 0.3274]","[0.6321, 0.3386]","[0.3762, 0.392]","[0.413, 0.5128]","[0.484, 0.5478]","[0.668, 0.3759]","[0.4196, 0.4349]","[0.4523, 0.5438]","[0.5225, 0.5682]","[0.6796, 0.4479]","[0.4931, 0.4828]","[0.4995, 0.5648]","[0.5521, 0.595]"
"[0.7812, 0.7893]","[0.5838, 0.7081]","[0.4362, 0.6072]","[0.3124, 0.5784]","[0.1887, 0.5882]","[0.5799, 0.3482]","[0.3624, 0.3488]","[0.2396, 0.3427]","[0.1363, 0.3283]","[0.6335, 0.3398]","[0.3758, 0.3928]","[0.4136, 0.5143]","[0.4853, 0.5497]","[0.6696, 0.3776]","[0.42, 0.4354]","[0.4533, 0.5439]","[0.5241, 0.5685]","[0.6813, 0.4494]","[0.4942, 0.4827]","[0.4993, 0.5647]","[0.5509, 0.5956]"
"[0.7855, 0.7878]","[0.5828, 0.7038]","[0.4329, 0.6047]","[0.3109, 0.5771]","[0.1907, 0.5861]","[0.585, 0.3475]","[0.3644, 0.3491]","[0.2418, 0.3434]","[0.1374, 0.3291]","[0.6385, 0.3405]","[0.3777, 0.3952]","[0.4194, 0.5148]","[0.494, 0.5489]","[0.6735, 0.3784]","[0.423, 0.4362]","[0.4591, 0.5436]","[0.5322, 0.5659]","[0.6853, 0.4493]","[0.4993, 0.4858]","[0.5071, 0.5676]","[0.5603, 0.5959]"
"[0.7867, 0.7858]","[0.5834, 0.703]","[0.4323, 0.605]","[0.3113, 0.5781]","[0.1917, 0.5861]","[0.5834, 0.3482]","[0.3647, 0.3501]","[0.2436, 0.3437]","[0.1401, 0.3278]","[0.6377, 0.3407]","[0.3782, 0.394]","[0.4174, 0.516]","[0.4903, 0.5536]","[0.6735, 0.3778]","[0.4252, 0.4365]","[0.461, 0.546]","[0.534, 0.5716]","[0.6863, 0.4475]","[0.5026, 0.4857]","[0.5105, 0.5686]","[0.5637, 0.598]"
"[0.7864, 0.7881]","[0.5875, 0.7038]","[0.4361, 0.6056]","[0.3151, 0.5775]","[0.1957, 0.585]","[0.5887, 0.3482]","[0.3671, 0.3499]","[0.2447, 0.343]","[0.1408, 0.3258]","[0.642, 0.3423]","[0.3818, 0.3941]","[0.4205, 0.5161]","[0.4933, 0.5558]","[0.6764, 0.3804]","[0.4289, 0.4365]","[0.4649, 0.5467]","[0.5377, 0.5754]","[0.6887, 0.4502]","[0.5071, 0.4855]","[0.5148, 0.5689]","[0.5669, 0.6008]"
"[0.7908, 0.7887]","[0.5901, 0.7049]","[0.4419, 0.6053]","[0.3216, 0.5769]","[0.2008, 0.5831]","[0.5894, 0.3483]","[0.3708, 0.349]","[0.2496, 0.341]","[0.1466, 0.3226]","[0.6436, 0.3418]","[0.3831, 0.3939]","[0.4214, 0.5173]","[0.4948, 0.5538]","[0.6788, 0.3803]","[0.4297, 0.4357]","[0.4631, 0.5469]","[0.5359, 0.5721]","[0.6906, 0.4515]","[0.5058, 0.4845]","[0.5113, 0.568]","[0.5639, 0.5982]"
"[0.7891, 0.7938]","[0.5904, 0.7062]","[0.4424, 0.6025]","[0.3234, 0.5709]","[0.2046, 0.5763]","[0.5943, 0.3484]","[0.3773, 0.3521]","[0.2562, 0.344]","[0.1542, 0.3258]","[0.6477, 0.3416]","[0.3877, 0.396]","[0.4278, 0.5162]","[0.5023, 0.5509]","[0.683, 0.3795]","[0.434, 0.4384]","[0.4689, 0.546]","[0.5408, 0.5685]","[0.6954, 0.4509]","[0.5101, 0.4841]","[0.5176, 0.5646]","[0.5701, 0.5925]"
