[0.7271, 0.7542],[0.5781, 0.7079],[0.4221, 0.6166],[0.2935, 0.5968],[0.1681, 0.6143],[0.5794, 0.3303],[0.3796, 0.3089],[0.2606, 0.2729],[0.1696, 0.2367],[0.6589, 0.3319],[0.4186, 0.4015],[0.4411, 0.5379],[0.5044, 0.5783],[0.7226, 0.3819],[0.4874, 0.4614],[0.5098, 0.5708],[0.574, 0.59],[0.7638, 0.4664],[0.5763, 0.5153],[0.582, 0.5957],[0.6459, 0.6155]
[0.7414, 0.7703],[0.5623, 0.6941],[0.4176, 0.597],[0.2836, 0.5875],[0.1618, 0.6078],[0.5866, 0.3216],[0.3668, 0.3026],[0.2452, 0.2809],[0.1456, 0.2478],[0.6619, 0.3209],[0.4052, 0.3983],[0.4359, 0.5454],[0.5072, 0.5827],[0.7197, 0.3751],[0.4722, 0.457],[0.5043, 0.577],[0.5764, 0.5888],[0.7574, 0.4627],[0.5671, 0.5099],[0.5736, 0.5871],[0.6308, 0.6008]
[0.7629, 0.7864],[0.5732, 0.6988],[0.4246, 0.5971],[0.2849, 0.5872],[0.1588, 0.606],[0.5963, 0.3199],[0.3758, 0.3004],[0.2572, 0.2763],[0.1587, 0.2408],[0.6682, 0.3193],[0.402, 0.3921],[0.4368, 0.5354],[0.5117, 0.5685],[0.7231, 0.3756],[0.467, 0.4547],[0.5007, 0.5724],[0.575, 0.5805],[0.7571, 0.4646],[0.5619, 0.5136],[0.5704, 0.5905],[0.6301, 0.6017]
[0.7766, 0.7995],[0.5834, 0.7062],[0.4278, 0.6018],[0.2856, 0.59],[0.1594, 0.6067],[0.6024, 0.3236],[0.3861, 0.2993],[0.2671, 0.2734],[0.1664, 0.2431],[0.672, 0.3226],[0.4036, 0.39],[0.4394, 0.5259],[0.5158, 0.5603],[0.7249, 0.3777],[0.4677, 0.4552],[0.5022, 0.5663],[0.5764, 0.5751],[0.7566, 0.4658],[0.5638, 0.5183],[0.5725, 0.5942],[0.6314, 0.6061]
[0.7928, 0.8045],[0.5903, 0.7067],[0.4327, 0.6004],[0.2932, 0.5889],[0.1678, 0.6102],[0.6083, 0.3264],[0.386, 0.2977],[0.267, 0.2717],[0.166, 0.2387],[0.6755, 0.3265],[0.4009, 0.3885],[0.4404, 0.5228],[0.5201, 0.5512],[0.7252, 0.3811],[0.4641, 0.4543],[0.5006, 0.5652],[0.5776, 0.5706],[0.7523, 0.4675],[0.5584, 0.5151],[0.5687, 0.5908],[0.63, 0.6011]
[0.7981, 0.8076],[0.5919, 0.7087],[0.433, 0.6035],[0.2957, 0.5905],[0.1691, 0.6149],[0.6099, 0.3245],[0.3841, 0.2994],[0.2647, 0.2744],[0.1635, 0.2417],[0.6748, 0.3267],[0.3996, 0.3893],[0.4414, 0.5228],[0.5213, 0.5515],[0.7222, 0.3807],[0.4588, 0.4533],[0.501, 0.5641],[0.5799, 0.5708],[0.7474, 0.4667],[0.5507, 0.5147],[0.5693, 0.5907],[0.6357, 0.5999]
[0.7965, 0.8081],[0.5881, 0.7073],[0.4273, 0.6022],[0.2893, 0.5926],[0.1621, 0.6196],[0.6065, 0.3237],[0.3799, 0.3002],[0.262, 0.2773],[0.1611, 0.2446],[0.6735, 0.3269],[0.3967, 0.3901],[0.4403, 0.5213],[0.5213, 0.5447],[0.7218, 0.3816],[0.4564, 0.4517],[0.498, 0.5626],[0.5768, 0.5661],[0.7476, 0.468],[0.5512, 0.5139],[0.569, 0.5896],[0.6345, 0.597]
[0.7956, 0.8081],[0.5892, 0.7074],[0.4284, 0.6031],[0.2894, 0.5925],[0.1626, 0.6191],[0.6037, 0.3233],[0.3785, 0.2985],[0.2576, 0.2754],[0.1554, 0.2458],[0.6685, 0.3256],[0.3914, 0.3909],[0.434, 0.5228],[0.514, 0.5492],[0.7158, 0.3788],[0.4523, 0.457],[0.4971, 0.5658],[0.5762, 0.5689],[0.7412, 0.4641],[0.5458, 0.5145],[0.5652, 0.5903],[0.6305, 0.598]
[0.7962, 0.8084],[0.5859, 0.7098],[0.4229, 0.6049],[0.2848, 0.5954],[0.1582, 0.6242],[0.5966, 0.322],[0.3715, 0.2997],[0.2512, 0.2782],[0.1502, 0.2491],[0.6633, 0.3252],[0.3891, 0.3931],[0.4322, 0.5246],[0.5123, 0.5521],[0.7126, 0.381],[0.4513, 0.459],[0.4961, 0.5661],[0.5754, 0.5707],[0.7397, 0.4686],[0.5469, 0.5178],[0.5654, 0.5914],[0.63, 0.5998]
[0.8127, 0.8118],[0.5987, 0.7156],[0.4318, 0.614],[0.2934, 0.6039],[0.1677, 0.6302],[0.6053, 0.3231],[0.3757, 0.3052],[0.2551, 0.2823],[0.1544, 0.2509],[0.6712, 0.3284],[0.3963, 0.3958],[0.4371, 0.5219],[0.516, 0.5502],[0.7199, 0.3864],[0.4588, 0.4637],[0.5035, 0.567],[0.5817, 0.5733],[0.7467, 0.4771],[0.5539, 0.5302],[0.5754, 0.6028],[0.6405, 0.6118]
[0.8151, 0.8149],[0.6007, 0.7156],[0.4348, 0.6152],[0.2975, 0.6047],[0.1724, 0.6275],[0.6116, 0.3218],[0.3815, 0.3065],[0.2618, 0.2856],[0.1631, 0.2532],[0.6778, 0.3302],[0.4028, 0.4003],[0.4429, 0.5259],[0.5224, 0.5484],[0.7266, 0.389],[0.4651, 0.4672],[0.5081, 0.5709],[0.5863, 0.5735],[0.7533, 0.4794],[0.5591, 0.529],[0.5795, 0.6034],[0.6449, 0.6121]
[0.8139, 0.8143],[0.6002, 0.7171],[0.4374, 0.6151],[0.3012, 0.6038],[0.1756, 0.6254],[0.612, 0.3229],[0.3871, 0.3068],[0.2688, 0.2853],[0.1687, 0.2538],[0.6783, 0.3288],[0.4081, 0.3978],[0.4496, 0.5284],[0.5277, 0.554],[0.7276, 0.3849],[0.4694, 0.4657],[0.5137, 0.5742],[0.5904, 0.578],[0.7544, 0.4734],[0.562, 0.5281],[0.5847, 0.604],[0.6504, 0.6101]
[0.8075, 0.8049],[0.5919, 0.7109],[0.4302, 0.6114],[0.2953, 0.6029],[0.1711, 0.6283],[0.5995, 0.3286],[0.38, 0.3078],[0.263, 0.2852],[0.163, 0.2568],[0.6714, 0.3311],[0.4051, 0.402],[0.4457, 0.5322],[0.5226, 0.5575],[0.7262, 0.3856],[0.4692, 0.4688],[0.5134, 0.5756],[0.5888, 0.5772],[0.7578, 0.4715],[0.5629, 0.5281],[0.5857, 0.6028],[0.6508, 0.606]
[0.8056, 0.8063],[0.5944, 0.7117],[0.4302, 0.6116],[0.2935, 0.6049],[0.1706, 0.6319],[0.6011, 0.3292],[0.3803, 0.3088],[0.262, 0.2862],[0.1625, 0.2574],[0.6711, 0.3313],[0.4024, 0.4054],[0.4436, 0.5347],[0.522, 0.5575],[0.7239, 0.3859],[0.4682, 0.4723],[0.5135, 0.5773],[0.5908, 0.577],[0.7537, 0.4719],[0.5641, 0.5298],[0.585, 0.6045],[0.6488, 0.6097]
[0.813, 0.8061],[0.5968, 0.712],[0.4333, 0.6126],[0.2964, 0.6058],[0.1718, 0.6345],[0.6047, 0.3292],[0.3826, 0.3112],[0.2641, 0.2885],[0.1629, 0.2578],[0.673, 0.3304],[0.405, 0.4057],[0.4481, 0.532],[0.5258, 0.5525],[0.7248, 0.3849],[0.4698, 0.4734],[0.5151, 0.5773],[0.5903, 0.5755],[0.7536, 0.4717],[0.5659, 0.5351],[0.5893, 0.6077],[0.6532, 0.609]
[0.8052, 0.8098],[0.5964, 0.7147],[0.4351, 0.6135],[0.2985, 0.6046],[0.1724, 0.6308],[0.606, 0.3281],[0.3851, 0.3121],[0.2677, 0.29],[0.1684, 0.2584],[0.674, 0.3311],[0.4094, 0.4062],[0.4496, 0.5342],[0.526, 0.5578],[0.7259, 0.3863],[0.4728, 0.4728],[0.5163, 0.5783],[0.5905, 0.5802],[0.756, 0.4732],[0.5691, 0.5335],[0.5906, 0.6075],[0.6533, 0.6123]
[0.8068, 0.8083],[0.5939, 0.7115],[0.4314, 0.6113],[0.296, 0.6055],[0.1716, 0.6322],[0.6057, 0.3301],[0.3833, 0.3117],[0.2638, 0.2906],[0.161, 0.2633],[0.6744, 0.3327],[0.4045, 0.4016],[0.4466, 0.5301],[0.5249, 0.5543],[0.725, 0.3877],[0.4662, 0.467],[0.5089, 0.5743],[0.5843, 0.5769],[0.7523, 0.4744],[0.5607, 0.531],[0.5822, 0.6044],[0.6465, 0.6073]
[0.8061, 0.81],[0.595, 0.7136],[0.4304, 0.6127],[0.2927, 0.6072],[0.1668, 0.6347],[0.6043, 0.3277],[0.3793, 0.3133],[0.2588, 0.294],[0.1564, 0.268],[0.6711, 0.333],[0.3993, 0.4059],[0.4418, 0.5339],[0.5204, 0.5601],[0.7207, 0.3903],[0.4621, 0.4718],[0.507, 0.5769],[0.5837, 0.5801],[0.7489, 0.4789],[0.5592, 0.5333],[0.5802, 0.6051],[0.6436, 0.6098]
[0.8043, 0.8099],[0.594, 0.7132],[0.4269, 0.6124],[0.2872, 0.6081],[0.1602, 0.6384],[0.6046, 0.3292],[0.3749, 0.3142],[0.2517, 0.2964],[0.1498, 0.269],[0.6704, 0.3352],[0.3952, 0.4087],[0.4367, 0.5323],[0.5175, 0.5541],[0.7167, 0.393],[0.4553, 0.4702],[0.498, 0.5748],[0.5764, 0.5794],[0.741, 0.4807],[0.5525, 0.5297],[0.5697, 0.6043],[0.6316, 0.6155]
[0.8028, 0.808],[0.5915, 0.7138],[0.4263, 0.6139],[0.2869, 0.6079],[0.1586, 0.6358],[0.6001, 0.3296],[0.372, 0.3126],[0.2497, 0.2941],[0.1466, 0.266],[0.665, 0.3351],[0.3914, 0.4064],[0.432, 0.5321],[0.5108, 0.5562],[0.711, 0.3927],[0.4522, 0.4704],[0.4946, 0.5752],[0.5718, 0.5809],[0.7347, 0.4807],[0.5482, 0.5311],[0.5652, 0.6044],[0.6263, 0.6144]
[0.8023, 0.8087],[0.5905, 0.7129],[0.4231, 0.6131],[0.2828, 0.607],[0.1553, 0.6367],[0.5996, 0.3271],[0.3724, 0.3123],[0.2495, 0.2939],[0.1472, 0.2663],[0.6648, 0.3331],[0.3944, 0.4079],[0.4342, 0.5336],[0.5125, 0.5605],[0.7125, 0.391],[0.4571, 0.4737],[0.5, 0.5769],[0.5764, 0.5839],[0.7388, 0.4792],[0.5546, 0.5325],[0.5716, 0.6057],[0.6318, 0.6174]
