"[0.289, 0.7549]","[0.4294, 0.6982]","[0.5651, 0.6052]","[0.6903, 0.5913]","[0.8053, 0.6228]","[0.4312, 0.3448]","[0.6176, 0.3353]","[0.7294, 0.3123]","[0.8229, 0.2834]","[0.3581, 0.3379]","[0.5787, 0.4142]","[0.5456, 0.5266]","[0.4856, 0.5528]","[0.3035, 0.3857]","[0.5186, 0.4629]","[0.4886, 0.5631]","[0.4314, 0.5792]","[0.2655, 0.4649]","[0.4407, 0.5112]","[0.4305, 0.5924]","[0.3809, 0.6183]"
"[0.2725, 0.7728]","[0.4366, 0.6978]","[0.5734, 0.6063]","[0.6952, 0.5936]","[0.8036, 0.6215]","[0.4233, 0.3408]","[0.6198, 0.3324]","[0.7311, 0.311]","[0.8327, 0.2778]","[0.3524, 0.3345]","[0.5804, 0.4113]","[0.5488, 0.5301]","[0.4923, 0.562]","[0.3032, 0.3849]","[0.5221, 0.4625]","[0.4846, 0.5658]","[0.4238, 0.5782]","[0.2741, 0.4655]","[0.4435, 0.5136]","[0.4252, 0.5864]","[0.3719, 0.5969]"
"[0.2617, 0.7832]","[0.4286, 0.6995]","[0.5672, 0.6074]","[0.6961, 0.5904]","[0.8109, 0.6165]","[0.4155, 0.3389]","[0.6136, 0.3313]","[0.7279, 0.3074]","[0.8321, 0.2734]","[0.3473, 0.3347]","[0.5783, 0.4135]","[0.5432, 0.5313]","[0.4852, 0.5611]","[0.3017, 0.386]","[0.5225, 0.4639]","[0.4847, 0.5692]","[0.4259, 0.5863]","[0.2759, 0.4671]","[0.4491, 0.5137]","[0.4308, 0.586]","[0.3774, 0.6016]"
"[0.2525, 0.7915]","[0.4244, 0.7056]","[0.5629, 0.6106]","[0.6924, 0.589]","[0.8105, 0.6088]","[0.4135, 0.3393]","[0.6103, 0.3302]","[0.7221, 0.3066]","[0.8227, 0.2716]","[0.3437, 0.3359]","[0.5741, 0.4133]","[0.5395, 0.5304]","[0.481, 0.5618]","[0.2973, 0.3887]","[0.5174, 0.4657]","[0.4814, 0.5724]","[0.4244, 0.5927]","[0.2709, 0.4713]","[0.4459, 0.5131]","[0.4307, 0.5886]","[0.3798, 0.6097]"
"[0.2474, 0.7894]","[0.4245, 0.7046]","[0.5635, 0.61]","[0.6917, 0.5869]","[0.8095, 0.6111]","[0.4129, 0.3392]","[0.6084, 0.3253]","[0.7199, 0.3046]","[0.8223, 0.2734]","[0.3423, 0.3333]","[0.5754, 0.4097]","[0.5374, 0.5273]","[0.4778, 0.5583]","[0.2952, 0.3833]","[0.5181, 0.467]","[0.4744, 0.5713]","[0.4142, 0.5878]","[0.2677, 0.4627]","[0.4437, 0.5142]","[0.4236, 0.5867]","[0.3708, 0.6024]"
"[0.2474, 0.7905]","[0.4246, 0.7036]","[0.5638, 0.6098]","[0.6917, 0.587]","[0.8101, 0.6088]","[0.411, 0.3381]","[0.608, 0.3271]","[0.7198, 0.3044]","[0.8213, 0.2718]","[0.3416, 0.3317]","[0.5734, 0.4112]","[0.5372, 0.5307]","[0.4793, 0.5636]","[0.2967, 0.3813]","[0.5163, 0.4682]","[0.4727, 0.5732]","[0.4131, 0.5915]","[0.2705, 0.4604]","[0.4421, 0.5141]","[0.4223, 0.5874]","[0.3702, 0.6047]"
"[0.2487, 0.7895]","[0.425, 0.7032]","[0.5658, 0.6085]","[0.6941, 0.5875]","[0.8122, 0.6103]","[0.4155, 0.3403]","[0.6109, 0.3263]","[0.7214, 0.3025]","[0.8215, 0.2695]","[0.3449, 0.3331]","[0.5757, 0.4083]","[0.5392, 0.5275]","[0.4802, 0.5601]","[0.2982, 0.3815]","[0.5191, 0.465]","[0.4773, 0.5713]","[0.4179, 0.5895]","[0.2703, 0.4594]","[0.4443, 0.5111]","[0.4258, 0.5873]","[0.3741, 0.6055]"
"[0.2452, 0.7951]","[0.4235, 0.7063]","[0.5672, 0.6099]","[0.6961, 0.5882]","[0.815, 0.61]","[0.4134, 0.3417]","[0.6123, 0.3274]","[0.7249, 0.3027]","[0.8263, 0.2686]","[0.3439, 0.3341]","[0.5763, 0.4086]","[0.5399, 0.5288]","[0.4806, 0.5621]","[0.2985, 0.382]","[0.5202, 0.4648]","[0.4774, 0.5718]","[0.4173, 0.59]","[0.2722, 0.4598]","[0.445, 0.5107]","[0.4247, 0.5874]","[0.3714, 0.6055]"
"[0.2444, 0.7966]","[0.4217, 0.7078]","[0.5633, 0.6074]","[0.6919, 0.5837]","[0.808, 0.6091]","[0.4083, 0.3434]","[0.6094, 0.3265]","[0.7224, 0.3016]","[0.8238, 0.2672]","[0.3389, 0.3357]","[0.5729, 0.4112]","[0.5365, 0.5306]","[0.477, 0.5632]","[0.2936, 0.3824]","[0.5178, 0.4653]","[0.4754, 0.5723]","[0.4154, 0.5909]","[0.2671, 0.4584]","[0.444, 0.5089]","[0.4255, 0.5851]","[0.3734, 0.6034]"
"[0.2395, 0.7988]","[0.42, 0.709]","[0.561, 0.6086]","[0.6882, 0.5844]","[0.8079, 0.6052]","[0.411, 0.342]","[0.6107, 0.3269]","[0.7224, 0.3016]","[0.8224, 0.2667]","[0.3407, 0.3351]","[0.5725, 0.4102]","[0.5385, 0.5331]","[0.4796, 0.5701]","[0.2941, 0.3828]","[0.5176, 0.4639]","[0.4784, 0.5747]","[0.4191, 0.5961]","[0.2658, 0.4599]","[0.4424, 0.5097]","[0.424, 0.5889]","[0.3707, 0.6086]"
