"[0.524, 0.7576]","[0.5338, 0.7072]","[0.5662, 0.6772]","[0.5969, 0.694]","[0.6145, 0.7244]","[0.6079, 0.6837]","[0.646, 0.6835]","[0.672, 0.6882]","[0.6928, 0.695]","[0.6116, 0.7219]","[0.6544, 0.7202]","[0.6829, 0.7226]","[0.7072, 0.7252]","[0.6064, 0.7583]","[0.6378, 0.7671]","[0.619, 0.7661]","[0.5998, 0.7639]","[0.5961, 0.794]","[0.6204, 0.8]","[0.6099, 0.7928]","[0.5953, 0.7841]"
"[0.5173, 0.7613]","[0.5326, 0.7084]","[0.5669, 0.6817]","[0.5985, 0.6951]","[0.618, 0.7262]","[0.6077, 0.6827]","[0.6474, 0.683]","[0.6725, 0.688]","[0.6933, 0.6948]","[0.6111, 0.7219]","[0.6554, 0.72]","[0.684, 0.7221]","[0.7084, 0.7247]","[0.6059, 0.7589]","[0.6371, 0.7685]","[0.6169, 0.7644]","[0.5973, 0.7579]","[0.5964, 0.7945]","[0.6213, 0.8019]","[0.61, 0.7949]","[0.5952, 0.7843]"
"[0.5144, 0.7596]","[0.5312, 0.7062]","[0.5658, 0.679]","[0.5974, 0.695]","[0.6159, 0.7278]","[0.6075, 0.6842]","[0.6473, 0.6838]","[0.6713, 0.6884]","[0.6922, 0.6943]","[0.6107, 0.7225]","[0.6556, 0.721]","[0.6833, 0.7219]","[0.708, 0.7237]","[0.6052, 0.7593]","[0.6373, 0.7676]","[0.6167, 0.7607]","[0.5967, 0.7543]","[0.5943, 0.7948]","[0.6196, 0.8001]","[0.6084, 0.7919]","[0.5936, 0.7827]"
"[0.5146, 0.7604]","[0.5321, 0.7059]","[0.5661, 0.6782]","[0.5975, 0.6939]","[0.6161, 0.7263]","[0.6075, 0.6847]","[0.6469, 0.6847]","[0.6706, 0.6892]","[0.6914, 0.6947]","[0.6108, 0.7234]","[0.656, 0.722]","[0.6833, 0.723]","[0.7078, 0.7252]","[0.6055, 0.7604]","[0.637, 0.7691]","[0.6162, 0.7613]","[0.5963, 0.754]","[0.5948, 0.7959]","[0.6198, 0.8008]","[0.6083, 0.7925]","[0.5935, 0.7836]"
"[0.5147, 0.7612]","[0.5326, 0.7062]","[0.5665, 0.679]","[0.5984, 0.6951]","[0.6175, 0.7278]","[0.6075, 0.6853]","[0.6472, 0.6853]","[0.6709, 0.6896]","[0.6919, 0.695]","[0.6107, 0.7242]","[0.6559, 0.7223]","[0.6835, 0.723]","[0.7082, 0.7249]","[0.6054, 0.7612]","[0.6374, 0.7698]","[0.6168, 0.7619]","[0.5967, 0.7547]","[0.5948, 0.7965]","[0.6196, 0.8012]","[0.6081, 0.7931]","[0.5932, 0.7844]"
"[0.5144, 0.7614]","[0.532, 0.7063]","[0.5663, 0.6797]","[0.5984, 0.695]","[0.6175, 0.7273]","[0.6076, 0.6859]","[0.6473, 0.6858]","[0.6711, 0.6898]","[0.6922, 0.6954]","[0.6106, 0.7249]","[0.6556, 0.7225]","[0.6838, 0.7229]","[0.7084, 0.7247]","[0.6052, 0.7616]","[0.6375, 0.7696]","[0.6175, 0.7621]","[0.5973, 0.7551]","[0.5951, 0.797]","[0.6202, 0.8008]","[0.6084, 0.7923]","[0.5927, 0.7834]"
"[0.5152, 0.7617]","[0.5322, 0.7071]","[0.5651, 0.6797]","[0.5966, 0.6933]","[0.6164, 0.726]","[0.6072, 0.6864]","[0.647, 0.686]","[0.671, 0.69]","[0.6923, 0.6958]","[0.6103, 0.7247]","[0.6552, 0.7223]","[0.6832, 0.723]","[0.7078, 0.725]","[0.6049, 0.7611]","[0.6376, 0.7698]","[0.6181, 0.7628]","[0.5981, 0.756]","[0.5948, 0.7961]","[0.6196, 0.8004]","[0.608, 0.7923]","[0.5925, 0.7833]"
"[0.5147, 0.7621]","[0.531, 0.7076]","[0.5641, 0.6802]","[0.5958, 0.694]","[0.6162, 0.7255]","[0.607, 0.6857]","[0.6469, 0.6851]","[0.671, 0.6893]","[0.6921, 0.6953]","[0.6103, 0.7243]","[0.6558, 0.7218]","[0.684, 0.7225]","[0.7086, 0.7247]","[0.605, 0.7609]","[0.6374, 0.7692]","[0.6178, 0.762]","[0.598, 0.7552]","[0.5946, 0.7963]","[0.6197, 0.8008]","[0.6078, 0.7922]","[0.5922, 0.7827]"
"[0.5147, 0.7622]","[0.5315, 0.7079]","[0.5646, 0.6805]","[0.5961, 0.6936]","[0.6171, 0.7237]","[0.607, 0.686]","[0.6464, 0.6856]","[0.6703, 0.6895]","[0.6915, 0.6952]","[0.6102, 0.7246]","[0.6554, 0.7222]","[0.6834, 0.7228]","[0.7083, 0.7249]","[0.6049, 0.7612]","[0.6374, 0.7697]","[0.6176, 0.7616]","[0.5981, 0.754]","[0.5945, 0.7965]","[0.6194, 0.8014]","[0.6074, 0.7924]","[0.592, 0.7826]"
"[0.5147, 0.7632]","[0.5312, 0.7095]","[0.5642, 0.6819]","[0.5959, 0.6948]","[0.6171, 0.7263]","[0.6072, 0.6868]","[0.6467, 0.6862]","[0.6707, 0.6903]","[0.692, 0.6966]","[0.6104, 0.7253]","[0.6556, 0.7222]","[0.684, 0.7228]","[0.7084, 0.725]","[0.605, 0.7619]","[0.6374, 0.7695]","[0.6185, 0.7617]","[0.599, 0.7551]","[0.5952, 0.7972]","[0.6201, 0.8012]","[0.6084, 0.7919]","[0.5929, 0.7824]"
"[0.5145, 0.7632]","[0.5312, 0.7095]","[0.5636, 0.6824]","[0.5953, 0.6939]","[0.6163, 0.7245]","[0.6071, 0.6869]","[0.6469, 0.6863]","[0.6709, 0.6901]","[0.6921, 0.6959]","[0.6102, 0.7256]","[0.6554, 0.7227]","[0.6839, 0.7234]","[0.7082, 0.7253]","[0.6048, 0.7623]","[0.6366, 0.7708]","[0.6182, 0.7639]","[0.599, 0.7575]","[0.595, 0.7974]","[0.619, 0.8021]","[0.6075, 0.7937]","[0.5924, 0.7849]"
"[0.5144, 0.7632]","[0.5308, 0.7106]","[0.5632, 0.6836]","[0.5944, 0.6936]","[0.6159, 0.7229]","[0.6074, 0.6881]","[0.6469, 0.6876]","[0.671, 0.6914]","[0.6922, 0.6973]","[0.6106, 0.7268]","[0.6554, 0.7242]","[0.6837, 0.7243]","[0.7086, 0.7256]","[0.6053, 0.7635]","[0.6371, 0.7722]","[0.6176, 0.7646]","[0.598, 0.757]","[0.5951, 0.7985]","[0.62, 0.8035]","[0.608, 0.7952]","[0.5924, 0.7856]"
"[0.516, 0.7618]","[0.5329, 0.7082]","[0.5661, 0.6813]","[0.5973, 0.6982]","[0.6165, 0.7313]","[0.6085, 0.6875]","[0.648, 0.6875]","[0.672, 0.692]","[0.6929, 0.698]","[0.6116, 0.7267]","[0.6564, 0.7244]","[0.6835, 0.7254]","[0.7081, 0.7276]","[0.6062, 0.7637]","[0.6376, 0.7725]","[0.6165, 0.7653]","[0.5963, 0.7584]","[0.5953, 0.7986]","[0.6196, 0.8038]","[0.6078, 0.796]","[0.593, 0.7875]"
"[0.5158, 0.7629]","[0.5325, 0.7091]","[0.5652, 0.6822]","[0.5968, 0.6963]","[0.6164, 0.7286]","[0.6069, 0.6872]","[0.6473, 0.6873]","[0.6714, 0.6913]","[0.6928, 0.697]","[0.6104, 0.7261]","[0.6552, 0.7236]","[0.6831, 0.725]","[0.7079, 0.727]","[0.6055, 0.7627]","[0.6375, 0.7718]","[0.6178, 0.7657]","[0.5977, 0.7589]","[0.5955, 0.7979]","[0.6199, 0.8035]","[0.6089, 0.7962]","[0.5938, 0.7872]"
"[0.5153, 0.7622]","[0.5322, 0.7086]","[0.5647, 0.6822]","[0.5956, 0.6966]","[0.6153, 0.7275]","[0.6071, 0.6869]","[0.6468, 0.6869]","[0.6707, 0.6914]","[0.692, 0.6975]","[0.6103, 0.7258]","[0.6552, 0.7236]","[0.6831, 0.7247]","[0.7079, 0.7269]","[0.6051, 0.7626]","[0.637, 0.772]","[0.6172, 0.7648]","[0.597, 0.7573]","[0.5948, 0.7979]","[0.6194, 0.8031]","[0.6077, 0.795]","[0.592, 0.7856]"
"[0.515, 0.7623]","[0.5325, 0.7084]","[0.5659, 0.6816]","[0.597, 0.6971]","[0.6164, 0.7293]","[0.6069, 0.6864]","[0.6467, 0.6865]","[0.6706, 0.6907]","[0.692, 0.6965]","[0.6102, 0.7254]","[0.6549, 0.7228]","[0.6828, 0.7236]","[0.7078, 0.7256]","[0.605, 0.7624]","[0.6368, 0.7717]","[0.6162, 0.7642]","[0.5959, 0.7565]","[0.5947, 0.7979]","[0.6192, 0.8028]","[0.6074, 0.7952]","[0.5923, 0.7864]"
"[0.5147, 0.7612]","[0.5316, 0.7072]","[0.5657, 0.6799]","[0.5966, 0.6958]","[0.6153, 0.7291]","[0.6072, 0.6862]","[0.6469, 0.686]","[0.6709, 0.69]","[0.6921, 0.6956]","[0.6105, 0.7252]","[0.6552, 0.7229]","[0.6832, 0.7236]","[0.7082, 0.7253]","[0.6052, 0.7622]","[0.6373, 0.7705]","[0.6168, 0.7631]","[0.5967, 0.756]","[0.5949, 0.7975]","[0.6196, 0.8016]","[0.608, 0.7938]","[0.5928, 0.7853]"
"[0.5148, 0.7609]","[0.5319, 0.7079]","[0.5651, 0.6807]","[0.5962, 0.6963]","[0.6154, 0.7297]","[0.6073, 0.686]","[0.647, 0.6857]","[0.671, 0.6897]","[0.6922, 0.6953]","[0.6106, 0.725]","[0.6555, 0.7226]","[0.6833, 0.7231]","[0.7083, 0.7249]","[0.6055, 0.7621]","[0.6367, 0.7716]","[0.6164, 0.7639]","[0.5965, 0.7563]","[0.5951, 0.7973]","[0.6194, 0.8023]","[0.6074, 0.7938]","[0.592, 0.7842]"
"[0.5152, 0.7617]","[0.5331, 0.7074]","[0.5659, 0.6809]","[0.5967, 0.6964]","[0.6163, 0.7286]","[0.6074, 0.6865]","[0.6472, 0.6864]","[0.6711, 0.6903]","[0.6923, 0.6964]","[0.6106, 0.7252]","[0.6553, 0.7227]","[0.6833, 0.7232]","[0.7081, 0.7256]","[0.6054, 0.7621]","[0.637, 0.7712]","[0.6172, 0.7629]","[0.5974, 0.7552]","[0.5954, 0.7973]","[0.6194, 0.8017]","[0.6075, 0.7933]","[0.5922, 0.7846]"
"[0.5152, 0.7606]","[0.5325, 0.7068]","[0.5659, 0.6801]","[0.5977, 0.6963]","[0.617, 0.7297]","[0.6078, 0.6859]","[0.6475, 0.6857]","[0.6713, 0.6899]","[0.6923, 0.6959]","[0.611, 0.7246]","[0.6559, 0.7223]","[0.6835, 0.7227]","[0.7079, 0.7249]","[0.6057, 0.7613]","[0.6372, 0.77]","[0.6166, 0.7622]","[0.5963, 0.7552]","[0.5951, 0.7963]","[0.6198, 0.8011]","[0.6075, 0.7928]","[0.5915, 0.7837]"
"[0.5151, 0.7617]","[0.5332, 0.7074]","[0.566, 0.6805]","[0.5974, 0.6957]","[0.617, 0.7289]","[0.6074, 0.6858]","[0.6471, 0.6861]","[0.671, 0.6902]","[0.6923, 0.6961]","[0.6108, 0.7249]","[0.6554, 0.7223]","[0.6833, 0.7232]","[0.7081, 0.7251]","[0.6056, 0.7621]","[0.637, 0.7719]","[0.6165, 0.7648]","[0.5963, 0.7573]","[0.5956, 0.7975]","[0.6195, 0.8031]","[0.6075, 0.7949]","[0.5922, 0.7855]"
