"[0.9331, 0.5599]","[0.8839, 0.4192]","[0.7422, 0.3446]","[0.6074, 0.3827]","[0.519, 0.4665]","[0.5475, 0.3643]","[0.3568, 0.3622]","[0.2339, 0.3758]","[0.1302, 0.389]","[0.5281, 0.4692]","[0.3229, 0.4685]","[0.1809, 0.471]","[0.0654, 0.4781]","[0.5536, 0.5702]","[0.398, 0.5896]","[0.4988, 0.5738]","[0.5892, 0.5652]","[0.6069, 0.6706]","[0.4835, 0.6723]","[0.5409, 0.6516]","[0.6061, 0.6395]"
"[0.9577, 0.5669]","[0.8921, 0.4219]","[0.7487, 0.3459]","[0.6104, 0.3917]","[0.5137, 0.4757]","[0.5404, 0.3673]","[0.3493, 0.3636]","[0.2318, 0.3782]","[0.1302, 0.391]","[0.5253, 0.4695]","[0.3196, 0.4667]","[0.1756, 0.4717]","[0.0568, 0.4723]","[0.5525, 0.5688]","[0.4014, 0.5862]","[0.4949, 0.5788]","[0.5871, 0.5732]","[0.6035, 0.6637]","[0.483, 0.6711]","[0.5346, 0.6544]","[0.6007, 0.6457]"
"[0.9661, 0.5724]","[0.8981, 0.4323]","[0.7571, 0.353]","[0.6144, 0.3929]","[0.5086, 0.4736]","[0.5411, 0.3693]","[0.352, 0.3643]","[0.2347, 0.3811]","[0.1308, 0.395]","[0.5259, 0.4696]","[0.3222, 0.4661]","[0.1791, 0.4702]","[0.0584, 0.4699]","[0.552, 0.5694]","[0.4032, 0.583]","[0.4981, 0.5745]","[0.5911, 0.5704]","[0.5996, 0.6651]","[0.4793, 0.672]","[0.531, 0.6554]","[0.597, 0.6495]"
"[0.9699, 0.5721]","[0.8983, 0.4326]","[0.7539, 0.3497]","[0.6084, 0.3952]","[0.5048, 0.4862]","[0.5441, 0.3719]","[0.3548, 0.3658]","[0.2373, 0.3826]","[0.1326, 0.3968]","[0.5288, 0.4723]","[0.3221, 0.4685]","[0.1801, 0.4716]","[0.0607, 0.472]","[0.555, 0.5705]","[0.4074, 0.5843]","[0.5057, 0.5753]","[0.5983, 0.5719]","[0.6025, 0.6656]","[0.48, 0.6746]","[0.5338, 0.6563]","[0.6002, 0.649]"
"[0.9685, 0.5662]","[0.8922, 0.4268]","[0.7454, 0.3512]","[0.6042, 0.4003]","[0.502, 0.4911]","[0.5389, 0.373]","[0.3532, 0.3679]","[0.2354, 0.3846]","[0.1313, 0.3988]","[0.5251, 0.4737]","[0.3205, 0.4696]","[0.1791, 0.4727]","[0.0592, 0.4729]","[0.5522, 0.5735]","[0.4047, 0.5865]","[0.5043, 0.5744]","[0.5974, 0.5683]","[0.5993, 0.669]","[0.4798, 0.6774]","[0.5359, 0.6582]","[0.6022, 0.6493]"
"[0.97, 0.5708]","[0.8952, 0.4301]","[0.7475, 0.3543]","[0.6023, 0.3972]","[0.4971, 0.4874]","[0.5402, 0.3718]","[0.3513, 0.3666]","[0.232, 0.3844]","[0.1271, 0.4]","[0.5275, 0.4725]","[0.3215, 0.4695]","[0.1762, 0.4745]","[0.055, 0.4772]","[0.5549, 0.5723]","[0.4079, 0.5849]","[0.5064, 0.5773]","[0.5981, 0.5752]","[0.5995, 0.6683]","[0.4831, 0.6755]","[0.5419, 0.6577]","[0.6085, 0.65]"
"[0.9682, 0.569]","[0.8897, 0.4267]","[0.743, 0.3512]","[0.6008, 0.4008]","[0.4982, 0.4954]","[0.5419, 0.3719]","[0.3541, 0.3665]","[0.2348, 0.3837]","[0.13, 0.3983]","[0.5296, 0.4724]","[0.3225, 0.4695]","[0.1796, 0.4735]","[0.0584, 0.475]","[0.5564, 0.5714]","[0.4063, 0.5875]","[0.5044, 0.5758]","[0.598, 0.5702]","[0.6005, 0.6669]","[0.4827, 0.6764]","[0.5403, 0.657]","[0.6085, 0.6478]"
"[0.9681, 0.5677]","[0.8914, 0.4269]","[0.7438, 0.3505]","[0.6016, 0.4021]","[0.4994, 0.497]","[0.5406, 0.3712]","[0.3525, 0.3651]","[0.2331, 0.3818]","[0.129, 0.3961]","[0.5283, 0.4717]","[0.321, 0.4677]","[0.1772, 0.4725]","[0.057, 0.4743]","[0.5553, 0.5697]","[0.4065, 0.5882]","[0.5041, 0.5783]","[0.5975, 0.5718]","[0.5999, 0.6646]","[0.484, 0.6762]","[0.5407, 0.6579]","[0.6078, 0.6476]"
"[0.966, 0.5679]","[0.8914, 0.4272]","[0.7458, 0.3511]","[0.6048, 0.403]","[0.5039, 0.4969]","[0.5404, 0.3716]","[0.3517, 0.3664]","[0.2331, 0.3835]","[0.1287, 0.3984]","[0.528, 0.4718]","[0.3205, 0.4687]","[0.1774, 0.4726]","[0.0571, 0.474]","[0.5554, 0.5704]","[0.4067, 0.5899]","[0.5044, 0.5782]","[0.5975, 0.5712]","[0.6015, 0.6655]","[0.4824, 0.6761]","[0.5396, 0.6571]","[0.6074, 0.6479]"
"[0.9642, 0.5704]","[0.8904, 0.4299]","[0.7463, 0.3555]","[0.6054, 0.4043]","[0.5014, 0.494]","[0.5396, 0.3739]","[0.3522, 0.3677]","[0.2334, 0.3842]","[0.1292, 0.3994]","[0.5263, 0.4737]","[0.3204, 0.4687]","[0.1784, 0.4736]","[0.0571, 0.4762]","[0.5525, 0.572]","[0.4042, 0.5929]","[0.5021, 0.5817]","[0.5947, 0.5738]","[0.5971, 0.6657]","[0.4805, 0.6776]","[0.5361, 0.6598]","[0.6015, 0.6503]"
"[0.965, 0.5717]","[0.8894, 0.4324]","[0.7469, 0.3547]","[0.6051, 0.4014]","[0.5045, 0.4932]","[0.5416, 0.3742]","[0.3526, 0.3675]","[0.234, 0.3851]","[0.129, 0.4006]","[0.5266, 0.4743]","[0.3203, 0.4704]","[0.1778, 0.4761]","[0.0571, 0.4781]","[0.5524, 0.5726]","[0.4061, 0.5921]","[0.5055, 0.5837]","[0.5985, 0.5774]","[0.5987, 0.6669]","[0.4836, 0.6786]","[0.5411, 0.6608]","[0.6073, 0.6517]"
