[0.9244, 0.5953],[0.9016, 0.4576],[0.7564, 0.3636],[0.6205, 0.3777],[0.5337, 0.4627],[0.5441, 0.3833],[0.3597, 0.3695],[0.2363, 0.3724],[0.1302, 0.3811],[0.5222, 0.4829],[0.314, 0.4651],[0.1649, 0.4539],[0.0462, 0.4486],[0.5422, 0.5822],[0.417, 0.5808],[0.535, 0.5677],[0.6313, 0.5661],[0.5848, 0.6848],[0.4813, 0.6659],[0.5612, 0.6409],[0.6338, 0.6326]
[0.9495, 0.5967],[0.8997, 0.4562],[0.7598, 0.363],[0.6184, 0.3849],[0.5204, 0.4642],[0.5409, 0.3844],[0.3564, 0.3677],[0.2367, 0.376],[0.1321, 0.3856],[0.5183, 0.4833],[0.3108, 0.4636],[0.1669, 0.4559],[0.0508, 0.4482],[0.5392, 0.5826],[0.4123, 0.581],[0.5275, 0.5719],[0.6247, 0.5686],[0.5844, 0.6793],[0.4787, 0.6685],[0.5529, 0.647],[0.6273, 0.6367]
[0.9601, 0.595],[0.9023, 0.4485],[0.7607, 0.3589],[0.6195, 0.3854],[0.5239, 0.468],[0.5451, 0.3793],[0.3586, 0.3598],[0.2399, 0.3678],[0.134, 0.3793],[0.522, 0.4767],[0.3145, 0.4564],[0.169, 0.4448],[0.0525, 0.4376],[0.5414, 0.5744],[0.4152, 0.5736],[0.5355, 0.5618],[0.6327, 0.5603],[0.5826, 0.6685],[0.4764, 0.6556],[0.5528, 0.6321],[0.6261, 0.6237]
[0.9626, 0.5891],[0.9066, 0.4469],[0.7635, 0.3594],[0.6226, 0.382],[0.5241, 0.458],[0.544, 0.3808],[0.3566, 0.3605],[0.2379, 0.3676],[0.1323, 0.3781],[0.5223, 0.4783],[0.3137, 0.4561],[0.1711, 0.4441],[0.0552, 0.4376],[0.5433, 0.5763],[0.4142, 0.575],[0.5347, 0.5592],[0.6325, 0.5556],[0.5881, 0.6712],[0.4808, 0.6575],[0.5563, 0.632],[0.6294, 0.6237]
[0.9626, 0.5889],[0.9051, 0.4461],[0.7623, 0.3571],[0.6208, 0.3802],[0.522, 0.4581],[0.5429, 0.3806],[0.3571, 0.3616],[0.2399, 0.3696],[0.1347, 0.3814],[0.521, 0.4788],[0.3105, 0.4571],[0.1676, 0.4464],[0.0511, 0.4409],[0.5426, 0.5771],[0.416, 0.5766],[0.5367, 0.5604],[0.6345, 0.5566],[0.5895, 0.6721],[0.4821, 0.6588],[0.5592, 0.6324],[0.6346, 0.6238]
[0.961, 0.5893],[0.9051, 0.4473],[0.7649, 0.3571],[0.6249, 0.3789],[0.5264, 0.4558],[0.5428, 0.3795],[0.3576, 0.3615],[0.2409, 0.37],[0.1361, 0.3822],[0.5197, 0.4783],[0.309, 0.4565],[0.1672, 0.4468],[0.052, 0.4416],[0.5403, 0.5771],[0.4167, 0.5794],[0.537, 0.5646],[0.6352, 0.5598],[0.586, 0.6717],[0.4837, 0.6615],[0.5625, 0.6363],[0.6394, 0.626]
[0.9621, 0.5867],[0.9033, 0.4447],[0.7625, 0.3557],[0.6218, 0.38],[0.5235, 0.4588],[0.5419, 0.3789],[0.3569, 0.3584],[0.2393, 0.3673],[0.1342, 0.3804],[0.5203, 0.4774],[0.3109, 0.4558],[0.1677, 0.4465],[0.0517, 0.4421],[0.5413, 0.5761],[0.4182, 0.5785],[0.5363, 0.5628],[0.6335, 0.5574],[0.5856, 0.6704],[0.4833, 0.6602],[0.5609, 0.6341],[0.6372, 0.6232]
[0.9612, 0.5866],[0.9031, 0.4441],[0.7628, 0.355],[0.6223, 0.3804],[0.5248, 0.4614],[0.5432, 0.3783],[0.3592, 0.3578],[0.242, 0.3665],[0.1368, 0.3794],[0.521, 0.4772],[0.311, 0.4546],[0.1677, 0.445],[0.0519, 0.4402],[0.5417, 0.5758],[0.4163, 0.5762],[0.5365, 0.5613],[0.6351, 0.5569],[0.5862, 0.6701],[0.4815, 0.6592],[0.5597, 0.633],[0.6368, 0.6229]
[0.9627, 0.5868],[0.9021, 0.442],[0.7593, 0.3537],[0.6173, 0.3803],[0.5196, 0.4626],[0.5406, 0.3771],[0.3573, 0.3573],[0.2401, 0.3661],[0.1345, 0.3793],[0.5194, 0.4758],[0.3113, 0.4536],[0.167, 0.4438],[0.051, 0.4392],[0.5415, 0.5747],[0.4163, 0.5755],[0.5364, 0.5599],[0.6345, 0.555],[0.586, 0.6691],[0.4815, 0.6566],[0.5598, 0.6299],[0.6363, 0.6191]
[0.9632, 0.5891],[0.9048, 0.4451],[0.7625, 0.3566],[0.6212, 0.3808],[0.5213, 0.4594],[0.54, 0.3776],[0.3546, 0.3584],[0.2369, 0.3666],[0.1316, 0.379],[0.5182, 0.4764],[0.3084, 0.4542],[0.1652, 0.4443],[0.0493, 0.4397],[0.5406, 0.5754],[0.4137, 0.575],[0.5358, 0.5588],[0.6334, 0.5541],[0.5873, 0.6703],[0.4817, 0.6573],[0.5606, 0.6303],[0.6364, 0.6198]
