"[0.9185, 0.5855]","[0.9038, 0.451]","[0.7649, 0.3577]","[0.6223, 0.3825]","[0.5369, 0.4779]","[0.551, 0.3819]","[0.3547, 0.363]","[0.2261, 0.3633]","[0.1131, 0.3666]","[0.5248, 0.4865]","[0.2944, 0.4671]","[0.1314, 0.4565]","[-0.0013, 0.4467]","[0.5437, 0.5885]","[0.4092, 0.5882]","[0.5366, 0.5791]","[0.6401, 0.5787]","[0.5922, 0.6927]","[0.4811, 0.6765]","[0.5677, 0.6513]","[0.6469, 0.6442]"
"[0.9566, 0.5926]","[0.9035, 0.4442]","[0.7598, 0.3524]","[0.6154, 0.3838]","[0.5214, 0.4736]","[0.5403, 0.3792]","[0.3431, 0.3648]","[0.2155, 0.372]","[0.1042, 0.3813]","[0.5138, 0.4838]","[0.2717, 0.4647]","[0.0962, 0.4565]","[-0.0486, 0.4454]","[0.5369, 0.5899]","[0.4032, 0.5944]","[0.5237, 0.5852]","[0.6264, 0.5788]","[0.5915, 0.6914]","[0.4866, 0.6827]","[0.5656, 0.6567]","[0.6423, 0.6433]"
"[0.9862, 0.5971]","[0.9177, 0.4454]","[0.7712, 0.351]","[0.6255, 0.3816]","[0.5302, 0.4639]","[0.5538, 0.3772]","[0.3587, 0.3603]","[0.2366, 0.3685]","[0.1278, 0.3797]","[0.5275, 0.4807]","[0.2898, 0.4564]","[0.1277, 0.4405]","[-0.0033, 0.4263]","[0.548, 0.5858]","[0.4168, 0.5831]","[0.5435, 0.5705]","[0.6495, 0.567]","[0.5969, 0.6867]","[0.4867, 0.676]","[0.5659, 0.651]","[0.6428, 0.6412]"
"[0.981, 0.5921]","[0.9158, 0.4465]","[0.7745, 0.3534]","[0.6301, 0.3816]","[0.5288, 0.4561]","[0.5483, 0.3766]","[0.3535, 0.3562]","[0.2311, 0.3632]","[0.1196, 0.3738]","[0.5189, 0.4787]","[0.2676, 0.4583]","[0.093, 0.4454]","[-0.0527, 0.4348]","[0.5383, 0.5813]","[0.4103, 0.5827]","[0.5384, 0.5678]","[0.6438, 0.5641]","[0.587, 0.6792]","[0.4791, 0.6717]","[0.5571, 0.6448]","[0.6318, 0.6366]"
"[0.9868, 0.5929]","[0.9146, 0.4436]","[0.7679, 0.353]","[0.6211, 0.3874]","[0.524, 0.4693]","[0.5518, 0.3758]","[0.3565, 0.3587]","[0.235, 0.3663]","[0.1242, 0.3787]","[0.5232, 0.4804]","[0.2688, 0.4581]","[0.0949, 0.4458]","[-0.0485, 0.4367]","[0.5436, 0.5853]","[0.4146, 0.5891]","[0.5445, 0.5742]","[0.6501, 0.569]","[0.5936, 0.6854]","[0.487, 0.6785]","[0.5691, 0.6532]","[0.6458, 0.6444]"
"[0.9883, 0.5904]","[0.9098, 0.438]","[0.7646, 0.348]","[0.6207, 0.3866]","[0.5289, 0.4728]","[0.5521, 0.378]","[0.3568, 0.3597]","[0.2356, 0.3653]","[0.1241, 0.3767]","[0.5222, 0.4816]","[0.2643, 0.4596]","[0.0884, 0.4477]","[-0.0565, 0.4406]","[0.5414, 0.5851]","[0.4162, 0.5879]","[0.5431, 0.5723]","[0.6488, 0.5677]","[0.5911, 0.685]","[0.4854, 0.6757]","[0.5668, 0.6486]","[0.647, 0.6384]"
"[0.9904, 0.5941]","[0.9113, 0.4369]","[0.7673, 0.3475]","[0.6229, 0.3867]","[0.5283, 0.4683]","[0.5555, 0.3764]","[0.3582, 0.3563]","[0.2348, 0.3635]","[0.1223, 0.376]","[0.5263, 0.4802]","[0.2765, 0.4568]","[0.1063, 0.4453]","[-0.0324, 0.4368]","[0.5448, 0.5846]","[0.4179, 0.5856]","[0.5425, 0.573]","[0.6477, 0.5691]","[0.5928, 0.6847]","[0.4898, 0.6766]","[0.5705, 0.6521]","[0.6494, 0.6426]"
"[0.9858, 0.5895]","[0.9119, 0.4375]","[0.7673, 0.3473]","[0.6267, 0.3877]","[0.5335, 0.4711]","[0.5484, 0.3749]","[0.3525, 0.3545]","[0.2312, 0.3629]","[0.1206, 0.3767]","[0.5208, 0.479]","[0.2675, 0.4576]","[0.0959, 0.445]","[-0.045, 0.4368]","[0.5409, 0.5821]","[0.4139, 0.584]","[0.5422, 0.5682]","[0.6473, 0.5637]","[0.589, 0.6806]","[0.4831, 0.6722]","[0.5649, 0.6458]","[0.6425, 0.6369]"
"[0.9886, 0.5917]","[0.9108, 0.4388]","[0.765, 0.3488]","[0.6216, 0.3853]","[0.5262, 0.4679]","[0.5508, 0.3737]","[0.3542, 0.3537]","[0.2321, 0.3624]","[0.1218, 0.3762]","[0.5232, 0.4773]","[0.2773, 0.454]","[0.1107, 0.4403]","[-0.0241, 0.4303]","[0.5428, 0.5815]","[0.4174, 0.5838]","[0.5443, 0.5697]","[0.6495, 0.5648]","[0.5896, 0.6803]","[0.4875, 0.673]","[0.5696, 0.6484]","[0.6475, 0.6386]"
"[0.9796, 0.5915]","[0.9085, 0.4391]","[0.7642, 0.3488]","[0.6243, 0.3866]","[0.5287, 0.4661]","[0.5426, 0.3738]","[0.3471, 0.3545]","[0.2264, 0.3632]","[0.1173, 0.3776]","[0.515, 0.4786]","[0.2558, 0.4578]","[0.0777, 0.4454]","[-0.0685, 0.437]","[0.5361, 0.5822]","[0.4145, 0.5883]","[0.5437, 0.5707]","[0.6481, 0.5634]","[0.5849, 0.6798]","[0.4836, 0.6723]","[0.5683, 0.6454]","[0.6448, 0.6353]"
"[0.9837, 0.5939]","[0.9074, 0.436]","[0.7619, 0.3476]","[0.6204, 0.3859]","[0.5238, 0.4651]","[0.5477, 0.3726]","[0.3521, 0.3571]","[0.2331, 0.3648]","[0.1261, 0.3778]","[0.5188, 0.4782]","[0.2636, 0.4597]","[0.0922, 0.4475]","[-0.0474, 0.4371]","[0.5384, 0.5838]","[0.4175, 0.5908]","[0.5491, 0.5742]","[0.6529, 0.5656]","[0.586, 0.6846]","[0.4865, 0.6793]","[0.5746, 0.6541]","[0.6512, 0.643]"
"[0.9843, 0.5998]","[0.9095, 0.4445]","[0.7639, 0.3537]","[0.6201, 0.3906]","[0.5237, 0.4675]","[0.5455, 0.3782]","[0.349, 0.3606]","[0.228, 0.3691]","[0.12, 0.3827]","[0.518, 0.4831]","[0.2733, 0.4622]","[0.1115, 0.449]","[-0.0197, 0.4394]","[0.5381, 0.588]","[0.4145, 0.5914]","[0.5419, 0.5755]","[0.6447, 0.5698]","[0.5863, 0.688]","[0.4842, 0.6796]","[0.5678, 0.6557]","[0.6449, 0.6473]"
"[0.9748, 0.5906]","[0.9058, 0.4387]","[0.7649, 0.3496]","[0.6225, 0.3877]","[0.5244, 0.467]","[0.5406, 0.3799]","[0.3423, 0.361]","[0.2237, 0.3694]","[0.1163, 0.3824]","[0.5139, 0.4841]","[0.257, 0.4665]","[0.0846, 0.4551]","[-0.0568, 0.4465]","[0.5358, 0.5876]","[0.4042, 0.5908]","[0.5322, 0.5736]","[0.6385, 0.5675]","[0.5878, 0.6868]","[0.4791, 0.6783]","[0.5604, 0.6496]","[0.6393, 0.6397]"
