[0.5473, 1.0],[0.5144, 1.0],[0.3545, 0.9929],[0.1899, 1.0],[0.0865, 1.0],[0.1801, 0.9822],[0.0, 0.9585],[0.0, 0.9574],[0.0, 0.9605],[0.1467, 1.0],[0.0, 1.0],[0.0, 1.0],[0.0, 1.0],[0.1565, 1.0],[0.0, 1.0],[0.0994, 1.0],[0.1955, 1.0],[0.1919, 1.0],[0.0706, 1.0],[0.139, 1.0],[0.2141, 1.0]
[0.5869, 1.0],[0.5201, 1.0],[0.3498, 0.9909],[0.1858, 1.0],[0.0757, 1.0],[0.1786, 0.9814],[0.0, 0.9588],[0.0, 0.9617],[0.0, 0.9643],[0.1462, 1.0],[0.0, 1.0],[0.0, 1.0],[0.0, 1.0],[0.1565, 1.0],[0.0, 1.0],[0.0911, 1.0],[0.1914, 1.0],[0.1894, 1.0],[0.0701, 1.0],[0.1374, 1.0],[0.2141, 1.0]
[0.6003, 1.0],[0.5201, 1.0],[0.3437, 0.9912],[0.1796, 1.0],[0.0618, 1.0],[0.1801, 0.9834],[0.0, 0.9597],[0.0, 0.9643],[0.0, 0.9698],[0.1487, 1.0],[0.0, 1.0],[0.0, 1.0],[0.0, 1.0],[0.1601, 1.0],[0.0, 1.0],[0.0973, 1.0],[0.1966, 1.0],[0.1894, 1.0],[0.0695, 1.0],[0.139, 1.0],[0.2151, 1.0]
[0.6054, 1.0],[0.5211, 1.0],[0.3431, 0.9874],[0.1775, 1.0],[0.0593, 1.0],[0.1822, 0.9834],[0.0, 0.9582],[0.0, 0.9623],[0.0, 0.9675],[0.1523, 1.0],[0.0, 1.0],[0.0, 1.0],[0.0, 1.0],[0.1647, 1.0],[0.0, 1.0],[0.0989, 1.0],[0.1966, 1.0],[0.1945, 1.0],[0.0737, 1.0],[0.14, 1.0],[0.2135, 1.0]
[0.6044, 1.0],[0.5211, 1.0],[0.3462, 0.9944],[0.1822, 1.0],[0.0557, 1.0],[0.1817, 0.9822],[0.0, 0.9582],[0.0, 0.9631],[0.0, 0.9689],[0.1523, 1.0],[0.0, 1.0],[0.0, 1.0],[0.0, 1.0],[0.1642, 1.0],[0.0, 1.0],[0.0989, 1.0],[0.1945, 1.0],[0.1935, 1.0],[0.0737, 1.0],[0.1415, 1.0],[0.2146, 1.0]
[0.6054, 1.0],[0.518, 1.0],[0.3442, 0.995],[0.1811, 1.0],[0.0541, 1.0],[0.1817, 0.9822],[0.0, 0.9582],[0.0, 0.9617],[0.0, 0.9672],[0.1534, 1.0],[0.0, 1.0],[0.0, 1.0],[0.0, 1.0],[0.1647, 1.0],[0.0, 1.0],[0.0989, 1.0],[0.194, 1.0],[0.1914, 1.0],[0.0726, 1.0],[0.1405, 1.0],[0.213, 1.0]
[0.6049, 1.0],[0.519, 1.0],[0.3452, 0.9921],[0.1801, 1.0],[0.0587, 1.0],[0.1806, 0.9825],[0.0, 0.9588],[0.0, 0.9634],[0.0, 0.9689],[0.1493, 1.0],[0.0, 1.0],[0.0, 1.0],[0.0, 1.0],[0.1606, 1.0],[0.0, 1.0],[0.0973, 1.0],[0.194, 1.0],[0.1914, 1.0],[0.0721, 1.0],[0.1379, 1.0],[0.2105, 1.0]
[0.6054, 1.0],[0.5221, 1.0],[0.3462, 0.9892],[0.1781, 1.0],[0.0613, 1.0],[0.1817, 0.9843],[0.0, 0.9597],[0.0, 0.9649],[0.0, 0.9707],[0.1487, 1.0],[0.0, 1.0],[0.0, 1.0],[0.0, 1.0],[0.1595, 1.0],[0.0, 1.0],[0.0958, 1.0],[0.1919, 1.0],[0.1914, 1.0],[0.0711, 1.0],[0.1364, 1.0],[0.2094, 1.0]
[0.6054, 1.0],[0.5226, 1.0],[0.3473, 0.9898],[0.1842, 1.0],[0.068, 1.0],[0.1786, 0.9851],[0.0, 0.9597],[0.0, 0.9643],[0.0, 0.9704],[0.1477, 1.0],[0.0, 1.0],[0.0, 1.0],[0.0, 1.0],[0.159, 1.0],[0.0, 1.0],[0.0958, 1.0],[0.1914, 1.0],[0.1904, 1.0],[0.0701, 1.0],[0.1364, 1.0],[0.2089, 1.0]
[0.6013, 1.0],[0.5149, 1.0],[0.3437, 0.9901],[0.1842, 1.0],[0.0613, 1.0],[0.1781, 0.9831],[0.0, 0.9588],[0.0, 0.9634],[0.0, 0.9695],[0.1508, 1.0],[0.0, 1.0],[0.0, 1.0],[0.0, 1.0],[0.1621, 1.0],[0.0, 1.0],[0.0953, 1.0],[0.1914, 1.0],[0.1878, 1.0],[0.0701, 1.0],[0.1374, 1.0],[0.211, 1.0]
[0.6003, 1.0],[0.5139, 1.0],[0.3431, 0.9895],[0.1801, 1.0],[0.0598, 1.0],[0.1817, 0.9805],[0.0, 0.9562],[0.0, 0.962],[0.0, 0.9678],[0.1523, 1.0],[0.0, 1.0],[0.0, 1.0],[0.0, 1.0],[0.1631, 1.0],[0.0, 1.0],[0.1014, 1.0],[0.1976, 1.0],[0.1889, 1.0],[0.0737, 1.0],[0.1421, 1.0],[0.2151, 1.0]
