"[0.5989, 0.832]","[0.4327, 0.7495]","[0.3291, 0.6348]","[0.2887, 0.509]","[0.3377, 0.4221]","[0.429, 0.5309]","[0.4113, 0.425]","[0.4108, 0.4891]","[0.4193, 0.5625]","[0.5067, 0.5179]","[0.4836, 0.4003]","[0.4751, 0.4826]","[0.4805, 0.5683]","[0.5865, 0.5104]","[0.5637, 0.403]","[0.5482, 0.4814]","[0.5497, 0.5622]","[0.6734, 0.5133]","[0.6697, 0.3879]","[0.6524, 0.3071]","[0.6374, 0.2381]"
"[0.5963, 0.8203]","[0.4387, 0.744]","[0.3286, 0.6293]","[0.2892, 0.5063]","[0.3352, 0.4195]","[0.4344, 0.5333]","[0.4053, 0.4303]","[0.4085, 0.4879]","[0.421, 0.5582]","[0.509, 0.5166]","[0.4801, 0.4072]","[0.4775, 0.4913]","[0.487, 0.5759]","[0.5861, 0.5062]","[0.5636, 0.4003]","[0.5441, 0.483]","[0.5423, 0.5678]","[0.6711, 0.5068]","[0.6689, 0.383]","[0.6538, 0.3011]","[0.6406, 0.2332]"
"[0.5945, 0.8182]","[0.4415, 0.7472]","[0.3301, 0.6298]","[0.2916, 0.5077]","[0.3344, 0.4225]","[0.4344, 0.5346]","[0.4072, 0.4336]","[0.4134, 0.4913]","[0.4278, 0.5617]","[0.5096, 0.5171]","[0.4809, 0.4082]","[0.4812, 0.4929]","[0.4912, 0.5778]","[0.5872, 0.5065]","[0.563, 0.4042]","[0.5463, 0.4874]","[0.546, 0.5715]","[0.6728, 0.5059]","[0.6681, 0.3825]","[0.6523, 0.3007]","[0.6382, 0.2326]"
"[0.5937, 0.8116]","[0.4405, 0.7455]","[0.3285, 0.6303]","[0.2927, 0.5072]","[0.336, 0.4212]","[0.4322, 0.5332]","[0.4057, 0.4341]","[0.4133, 0.4921]","[0.4281, 0.5631]","[0.5077, 0.5155]","[0.4801, 0.4082]","[0.4812, 0.4929]","[0.4917, 0.5784]","[0.5863, 0.5043]","[0.5634, 0.4042]","[0.5472, 0.487]","[0.5467, 0.5707]","[0.6722, 0.5033]","[0.6682, 0.3807]","[0.6525, 0.2994]","[0.6378, 0.2318]"
"[0.5909, 0.8122]","[0.4417, 0.7472]","[0.3294, 0.6307]","[0.2932, 0.5087]","[0.3353, 0.4233]","[0.4328, 0.5299]","[0.408, 0.4344]","[0.413, 0.4933]","[0.4255, 0.5635]","[0.5084, 0.5127]","[0.4822, 0.408]","[0.4804, 0.4947]","[0.4891, 0.5802]","[0.5872, 0.503]","[0.5647, 0.4047]","[0.5476, 0.4885]","[0.5464, 0.572]","[0.6723, 0.5034]","[0.6681, 0.3812]","[0.653, 0.3004]","[0.6393, 0.2329]"
"[0.5899, 0.8128]","[0.439, 0.7469]","[0.3295, 0.631]","[0.2939, 0.5087]","[0.3357, 0.4234]","[0.4317, 0.5299]","[0.4075, 0.4341]","[0.4133, 0.4925]","[0.426, 0.5629]","[0.5076, 0.5132]","[0.4817, 0.4079]","[0.4811, 0.4938]","[0.4891, 0.579]","[0.5865, 0.5037]","[0.5646, 0.4049]","[0.5479, 0.4869]","[0.5464, 0.5697]","[0.6728, 0.5042]","[0.6678, 0.3819]","[0.6526, 0.3011]","[0.6389, 0.234]"
"[0.5901, 0.8127]","[0.4405, 0.7482]","[0.3295, 0.6314]","[0.2939, 0.5085]","[0.3354, 0.4223]","[0.4324, 0.5284]","[0.4076, 0.4322]","[0.412, 0.4927]","[0.4237, 0.5639]","[0.508, 0.5125]","[0.4823, 0.4083]","[0.4803, 0.4963]","[0.4879, 0.5813]","[0.5871, 0.5041]","[0.5652, 0.4063]","[0.5475, 0.4898]","[0.5457, 0.5727]","[0.673, 0.5055]","[0.6683, 0.3833]","[0.652, 0.3023]","[0.6375, 0.2347]"
"[0.5896, 0.8125]","[0.44, 0.7475]","[0.3286, 0.6295]","[0.2932, 0.5071]","[0.3346, 0.422]","[0.4314, 0.5267]","[0.4061, 0.4326]","[0.4124, 0.4938]","[0.4251, 0.5641]","[0.5072, 0.5106]","[0.4815, 0.4077]","[0.4806, 0.4955]","[0.4888, 0.5805]","[0.586, 0.5024]","[0.5653, 0.4051]","[0.5479, 0.4884]","[0.5453, 0.5716]","[0.6714, 0.5039]","[0.6675, 0.3818]","[0.6521, 0.3022]","[0.6378, 0.236]"
"[0.5917, 0.8114]","[0.4411, 0.7489]","[0.3285, 0.6328]","[0.292, 0.5094]","[0.3341, 0.4236]","[0.4326, 0.5288]","[0.4072, 0.4328]","[0.4119, 0.4923]","[0.4238, 0.563]","[0.5079, 0.5124]","[0.4813, 0.4075]","[0.4804, 0.4942]","[0.489, 0.5797]","[0.5865, 0.5033]","[0.5646, 0.4048]","[0.5483, 0.4875]","[0.5472, 0.5705]","[0.6722, 0.5041]","[0.6681, 0.3823]","[0.6526, 0.3019]","[0.6383, 0.2349]"
"[0.5947, 0.8057]","[0.4421, 0.7483]","[0.3269, 0.6334]","[0.2906, 0.5088]","[0.332, 0.4231]","[0.4314, 0.5297]","[0.4046, 0.4328]","[0.4106, 0.4931]","[0.4234, 0.5643]","[0.5072, 0.5128]","[0.4793, 0.4099]","[0.4796, 0.4968]","[0.4896, 0.5825]","[0.586, 0.5031]","[0.5628, 0.4045]","[0.5469, 0.4872]","[0.5461, 0.5703]","[0.6713, 0.5032]","[0.6673, 0.3821]","[0.6515, 0.3016]","[0.637, 0.2346]"
"[0.593, 0.8062]","[0.4428, 0.7471]","[0.3276, 0.6316]","[0.2912, 0.5096]","[0.3304, 0.4248]","[0.4312, 0.5305]","[0.4053, 0.4335]","[0.4099, 0.492]","[0.4215, 0.5625]","[0.507, 0.5136]","[0.4794, 0.4097]","[0.4782, 0.4951]","[0.4877, 0.5798]","[0.5853, 0.5052]","[0.5616, 0.4078]","[0.5455, 0.4895]","[0.5454, 0.5716]","[0.6707, 0.5063]","[0.667, 0.3851]","[0.6509, 0.3037]","[0.6363, 0.2358]"
"[0.5914, 0.8083]","[0.4418, 0.7491]","[0.3275, 0.633]","[0.2909, 0.5099]","[0.3307, 0.4234]","[0.4317, 0.5292]","[0.4054, 0.4319]","[0.4097, 0.4912]","[0.4213, 0.562]","[0.5072, 0.5127]","[0.4796, 0.4086]","[0.4785, 0.4941]","[0.4881, 0.5786]","[0.5858, 0.5045]","[0.5629, 0.4065]","[0.5464, 0.4883]","[0.5455, 0.5705]","[0.6714, 0.5055]","[0.6664, 0.3835]","[0.6502, 0.3022]","[0.6359, 0.2346]"
"[0.5889, 0.8107]","[0.4405, 0.7475]","[0.331, 0.6322]","[0.2939, 0.5109]","[0.3368, 0.4243]","[0.434, 0.5254]","[0.4089, 0.4318]","[0.4103, 0.4974]","[0.4217, 0.5676]","[0.509, 0.5104]","[0.4811, 0.4049]","[0.4783, 0.4975]","[0.4894, 0.5806]","[0.5877, 0.5037]","[0.565, 0.4049]","[0.5459, 0.4897]","[0.5447, 0.5704]","[0.6728, 0.5059]","[0.6688, 0.3825]","[0.653, 0.3018]","[0.6398, 0.2335]"
"[0.591, 0.8128]","[0.4398, 0.7465]","[0.331, 0.6323]","[0.2935, 0.51]","[0.336, 0.422]","[0.4346, 0.5276]","[0.4093, 0.4329]","[0.4117, 0.4974]","[0.4241, 0.5667]","[0.5097, 0.5125]","[0.481, 0.4061]","[0.4796, 0.4984]","[0.4919, 0.5803]","[0.5882, 0.5048]","[0.5649, 0.4043]","[0.5467, 0.4887]","[0.5475, 0.569]","[0.6743, 0.5063]","[0.6703, 0.3826]","[0.6533, 0.3018]","[0.6393, 0.2337]"
"[0.5941, 0.8111]","[0.439, 0.7448]","[0.329, 0.6318]","[0.2927, 0.5097]","[0.3336, 0.4228]","[0.4334, 0.5285]","[0.4076, 0.4338]","[0.4114, 0.4967]","[0.4247, 0.5666]","[0.5085, 0.5136]","[0.4789, 0.4072]","[0.4796, 0.4985]","[0.4931, 0.5811]","[0.5862, 0.5052]","[0.5627, 0.4043]","[0.5462, 0.4885]","[0.5489, 0.5701]","[0.6724, 0.5056]","[0.6681, 0.3823]","[0.6513, 0.3015]","[0.6376, 0.2336]"
"[0.5905, 0.8076]","[0.4391, 0.7447]","[0.3278, 0.6325]","[0.2908, 0.5111]","[0.3327, 0.4246]","[0.4324, 0.5268]","[0.4068, 0.4325]","[0.4089, 0.4969]","[0.4212, 0.5684]","[0.5075, 0.5118]","[0.4786, 0.4064]","[0.4771, 0.4966]","[0.4892, 0.5798]","[0.5857, 0.5036]","[0.5625, 0.404]","[0.5446, 0.4877]","[0.5451, 0.569]","[0.6718, 0.5042]","[0.6677, 0.3814]","[0.6511, 0.3008]","[0.6368, 0.2329]"
"[0.5906, 0.8059]","[0.4393, 0.746]","[0.3278, 0.6337]","[0.2908, 0.511]","[0.3323, 0.4246]","[0.4323, 0.5294]","[0.406, 0.4323]","[0.4097, 0.496]","[0.4231, 0.5663]","[0.5076, 0.5137]","[0.4787, 0.4086]","[0.4784, 0.4989]","[0.4904, 0.5808]","[0.5859, 0.5048]","[0.562, 0.4051]","[0.5449, 0.4885]","[0.5463, 0.5691]","[0.6723, 0.5048]","[0.6684, 0.3827]","[0.6522, 0.3015]","[0.6389, 0.2325]"
"[0.5919, 0.805]","[0.4402, 0.7464]","[0.328, 0.6324]","[0.2917, 0.5103]","[0.3318, 0.4249]","[0.4339, 0.5284]","[0.4075, 0.4321]","[0.4101, 0.4977]","[0.4229, 0.5684]","[0.5088, 0.5127]","[0.48, 0.4073]","[0.4782, 0.499]","[0.49, 0.581]","[0.5868, 0.5049]","[0.5623, 0.4059]","[0.5452, 0.4901]","[0.5471, 0.5702]","[0.6726, 0.5053]","[0.6691, 0.3828]","[0.6528, 0.3017]","[0.6392, 0.2323]"
"[0.5912, 0.8048]","[0.4385, 0.7452]","[0.327, 0.6312]","[0.2924, 0.5098]","[0.3318, 0.4244]","[0.4342, 0.527]","[0.4075, 0.4317]","[0.41, 0.4954]","[0.4222, 0.5673]","[0.5091, 0.5115]","[0.4804, 0.4066]","[0.4777, 0.4963]","[0.4879, 0.5805]","[0.5867, 0.5036]","[0.5622, 0.405]","[0.5446, 0.4889]","[0.5456, 0.5704]","[0.6722, 0.504]","[0.6683, 0.3818]","[0.6521, 0.3012]","[0.6381, 0.2321]"
"[0.5904, 0.805]","[0.4379, 0.745]","[0.327, 0.6311]","[0.2925, 0.5097]","[0.3314, 0.4238]","[0.4347, 0.5284]","[0.4079, 0.4329]","[0.411, 0.4943]","[0.4232, 0.5662]","[0.51, 0.5129]","[0.4814, 0.4063]","[0.4783, 0.4941]","[0.4883, 0.5798]","[0.5878, 0.5048]","[0.5633, 0.4051]","[0.5457, 0.4879]","[0.5471, 0.5701]","[0.6732, 0.5053]","[0.6694, 0.383]","[0.6528, 0.3019]","[0.6381, 0.2334]"
"[0.5925, 0.8057]","[0.4398, 0.7458]","[0.328, 0.6323]","[0.2919, 0.5099]","[0.3331, 0.4234]","[0.4348, 0.5273]","[0.4083, 0.4333]","[0.4121, 0.4961]","[0.4249, 0.5672]","[0.5104, 0.5118]","[0.4813, 0.4063]","[0.4788, 0.4962]","[0.4896, 0.5806]","[0.5886, 0.5039]","[0.5646, 0.4058]","[0.5463, 0.489]","[0.5473, 0.5703]","[0.6744, 0.5048]","[0.67, 0.3823]","[0.6532, 0.3014]","[0.6391, 0.2332]"
