[0.5029, 0.8289],[0.3311, 0.8491],[0.2129, 0.7267],[0.2477, 0.5614],[0.3508, 0.4345],[0.3085, 0.4985],[0.3713, 0.3926],[0.4564, 0.4879],[0.5156, 0.5794],[0.4322, 0.4516],[0.5006, 0.375],[0.5935, 0.5205],[0.6527, 0.6375],[0.5403, 0.4424],[0.6065, 0.4022],[0.6415, 0.5383],[0.6491, 0.6492],[0.6308, 0.4482],[0.6877, 0.2735],[0.7303, 0.1539],[0.7572, 0.0536]
[0.5508, 0.9201],[0.3686, 0.9016],[0.232, 0.7533],[0.2457, 0.5575],[0.3446, 0.4091],[0.27, 0.5142],[0.3536, 0.3782],[0.45, 0.4756],[0.5056, 0.5753],[0.4009, 0.4716],[0.4833, 0.3557],[0.5822, 0.4986],[0.636, 0.6176],[0.5213, 0.4596],[0.6035, 0.367],[0.656, 0.5112],[0.6754, 0.643],[0.628, 0.4659],[0.69, 0.2745],[0.7418, 0.1464],[0.7753, 0.0406]
[0.5492, 0.9382],[0.3695, 0.8985],[0.2337, 0.7534],[0.2509, 0.5673],[0.3452, 0.431],[0.25, 0.5155],[0.3465, 0.3772],[0.4392, 0.4762],[0.4894, 0.5863],[0.3878, 0.4774],[0.4721, 0.3479],[0.5702, 0.4852],[0.6282, 0.6095],[0.5172, 0.4682],[0.6009, 0.3648],[0.6615, 0.5041],[0.6941, 0.6385],[0.633, 0.4788],[0.6958, 0.2865],[0.7446, 0.1597],[0.7774, 0.0602]
[0.5532, 0.938],[0.3732, 0.8957],[0.2372, 0.7569],[0.2494, 0.5726],[0.3426, 0.4338],[0.2503, 0.516],[0.3505, 0.3795],[0.4411, 0.4801],[0.4898, 0.5932],[0.3896, 0.4802],[0.4735, 0.3509],[0.5708, 0.487],[0.6298, 0.6137],[0.5202, 0.4711],[0.6013, 0.3684],[0.6617, 0.5042],[0.6933, 0.6374],[0.6359, 0.4809],[0.6965, 0.2887],[0.7444, 0.1601],[0.7757, 0.0596]
[0.5599, 0.9388],[0.3816, 0.9024],[0.2413, 0.7646],[0.2512, 0.5759],[0.3433, 0.4345],[0.2505, 0.521],[0.3542, 0.3818],[0.4464, 0.4848],[0.4946, 0.599],[0.392, 0.4802],[0.4761, 0.3512],[0.5745, 0.4902],[0.6333, 0.6149],[0.5239, 0.4691],[0.603, 0.3673],[0.6627, 0.5045],[0.6944, 0.6375],[0.6391, 0.4779],[0.7018, 0.2858],[0.7491, 0.1582],[0.7787, 0.059]
[0.5603, 0.944],[0.3821, 0.9056],[0.2393, 0.763],[0.2487, 0.5692],[0.3424, 0.4261],[0.2528, 0.5213],[0.3616, 0.3818],[0.4526, 0.488],[0.4978, 0.6054],[0.3943, 0.4804],[0.4795, 0.3475],[0.5759, 0.4911],[0.6321, 0.6206],[0.5245, 0.4692],[0.6035, 0.3621],[0.6625, 0.5005],[0.6942, 0.6372],[0.6369, 0.479],[0.6985, 0.2851],[0.747, 0.1562],[0.7775, 0.0559]
[0.5567, 0.944],[0.3759, 0.9016],[0.2376, 0.7638],[0.2494, 0.5741],[0.3505, 0.4316],[0.2586, 0.5191],[0.3678, 0.3859],[0.458, 0.493],[0.5036, 0.6109],[0.4, 0.4781],[0.4859, 0.354],[0.5797, 0.5006],[0.6338, 0.633],[0.5292, 0.4669],[0.6077, 0.3647],[0.6614, 0.5032],[0.6894, 0.641],[0.6393, 0.4769],[0.7092, 0.2824],[0.7612, 0.1512],[0.7947, 0.0499]
[0.5443, 0.9653],[0.3655, 0.9174],[0.2396, 0.7779],[0.2646, 0.5917],[0.3576, 0.4561],[0.2637, 0.5241],[0.3783, 0.4012],[0.4628, 0.5068],[0.5043, 0.6275],[0.4087, 0.4882],[0.4997, 0.3695],[0.5858, 0.5168],[0.6331, 0.6554],[0.5404, 0.4822],[0.625, 0.3939],[0.6723, 0.536],[0.6912, 0.6695],[0.6533, 0.4974],[0.724, 0.3089],[0.7824, 0.1842],[0.8223, 0.085]
[0.5539, 0.9711],[0.3709, 0.9265],[0.2441, 0.7945],[0.264, 0.6138],[0.3574, 0.4783],[0.2928, 0.5258],[0.3877, 0.4148],[0.4725, 0.5281],[0.5169, 0.6506],[0.4343, 0.4882],[0.512, 0.3901],[0.5933, 0.5427],[0.6355, 0.681],[0.5642, 0.4838],[0.6444, 0.407],[0.688, 0.5572],[0.7041, 0.6964],[0.6759, 0.5029],[0.756, 0.3216],[0.8179, 0.1977],[0.8616, 0.0997]
[0.5448, 0.9917],[0.3642, 0.9403],[0.2353, 0.7946],[0.2635, 0.6085],[0.3759, 0.4789],[0.2925, 0.5231],[0.4108, 0.4137],[0.484, 0.5385],[0.5101, 0.6709],[0.4407, 0.4899],[0.5428, 0.4018],[0.6101, 0.5686],[0.6354, 0.7135],[0.5744, 0.4911],[0.6726, 0.4236],[0.7057, 0.5859],[0.7085, 0.7306],[0.691, 0.5151],[0.7802, 0.3333],[0.8518, 0.2163],[0.9035, 0.1241]
[0.5124, 0.9992],[0.3361, 0.9115],[0.2207, 0.7632],[0.2486, 0.5872],[0.373, 0.4653],[0.3129, 0.4947],[0.412, 0.3913],[0.4701, 0.531],[0.4847, 0.6751],[0.4613, 0.4747],[0.545, 0.3889],[0.5896, 0.5714],[0.6011, 0.7276],[0.5944, 0.4823],[0.6778, 0.4188],[0.6943, 0.5872],[0.6872, 0.7372],[0.708, 0.5133],[0.8059, 0.339],[0.8871, 0.2301],[0.9464, 0.1451]
