"[0.5625, 0.8982]","[0.4088, 0.8369]","[0.2799, 0.7083]","[0.2619, 0.5454]","[0.3528, 0.448]","[0.3526, 0.5338]","[0.3732, 0.3944]","[0.4248, 0.4722]","[0.4423, 0.5648]","[0.4542, 0.5031]","[0.4702, 0.3717]","[0.5231, 0.4797]","[0.5354, 0.5856]","[0.5515, 0.4923]","[0.5624, 0.3885]","[0.59, 0.4821]","[0.5963, 0.5771]","[0.6456, 0.4986]","[0.6793, 0.3476]","[0.7082, 0.2521]","[0.7212, 0.1726]"
"[0.5679, 0.9087]","[0.4108, 0.8409]","[0.2863, 0.7126]","[0.2747, 0.5523]","[0.3488, 0.4475]","[0.3594, 0.5338]","[0.3881, 0.4048]","[0.4357, 0.4837]","[0.4549, 0.5784]","[0.4618, 0.5056]","[0.4844, 0.3829]","[0.5317, 0.4902]","[0.5507, 0.5907]","[0.5576, 0.4961]","[0.5822, 0.3904]","[0.6008, 0.4873]","[0.6034, 0.5846]","[0.6482, 0.5059]","[0.6854, 0.3555]","[0.7142, 0.2589]","[0.7309, 0.1761]"
"[0.5688, 0.9167]","[0.4142, 0.8449]","[0.2905, 0.7129]","[0.2772, 0.5524]","[0.3541, 0.4488]","[0.3655, 0.5336]","[0.3902, 0.4061]","[0.4376, 0.4809]","[0.4596, 0.5743]","[0.4664, 0.5082]","[0.4867, 0.3863]","[0.5326, 0.492]","[0.5533, 0.5936]","[0.5617, 0.501]","[0.5836, 0.3967]","[0.6022, 0.4914]","[0.6071, 0.5881]","[0.6528, 0.512]","[0.6918, 0.3598]","[0.7211, 0.2622]","[0.7395, 0.1793]"
"[0.5697, 0.9211]","[0.412, 0.8474]","[0.2914, 0.7167]","[0.2801, 0.5565]","[0.3518, 0.4489]","[0.3611, 0.5382]","[0.3855, 0.4069]","[0.4366, 0.4776]","[0.4612, 0.5687]","[0.4632, 0.5125]","[0.4859, 0.3864]","[0.5342, 0.4925]","[0.5542, 0.5951]","[0.5601, 0.5058]","[0.584, 0.3995]","[0.6046, 0.4965]","[0.6095, 0.5942]","[0.6527, 0.5178]","[0.6926, 0.3658]","[0.7207, 0.2681]","[0.7365, 0.1842]"
"[0.5689, 0.9282]","[0.4103, 0.8516]","[0.2883, 0.721]","[0.2739, 0.5622]","[0.3467, 0.4551]","[0.3584, 0.5439]","[0.3857, 0.4122]","[0.4364, 0.4884]","[0.4585, 0.5813]","[0.4607, 0.5184]","[0.4861, 0.3929]","[0.5331, 0.5017]","[0.5503, 0.6031]","[0.5573, 0.5115]","[0.5839, 0.4061]","[0.6042, 0.5045]","[0.6078, 0.6018]","[0.6497, 0.5232]","[0.689, 0.37]","[0.7169, 0.2723]","[0.7326, 0.1887]"
"[0.5641, 0.9289]","[0.4094, 0.8513]","[0.2888, 0.7186]","[0.2723, 0.5615]","[0.3463, 0.4567]","[0.3638, 0.5403]","[0.3918, 0.4105]","[0.4392, 0.484]","[0.4609, 0.5772]","[0.4649, 0.5167]","[0.4902, 0.3931]","[0.5357, 0.5003]","[0.5545, 0.6034]","[0.5604, 0.5098]","[0.5865, 0.4044]","[0.606, 0.5021]","[0.6107, 0.601]","[0.6521, 0.5205]","[0.6914, 0.3683]","[0.7189, 0.2708]","[0.7351, 0.1879]"
"[0.5648, 0.9252]","[0.408, 0.8494]","[0.2867, 0.717]","[0.2717, 0.5601]","[0.345, 0.4515]","[0.3615, 0.5411]","[0.3848, 0.4089]","[0.4362, 0.4809]","[0.4626, 0.573]","[0.4618, 0.517]","[0.4837, 0.3907]","[0.5315, 0.4975]","[0.5519, 0.602]","[0.5571, 0.5096]","[0.5793, 0.4015]","[0.6007, 0.4995]","[0.6072, 0.5991]","[0.649, 0.5196]","[0.6887, 0.367]","[0.717, 0.2693]","[0.7337, 0.1869]"
"[0.5637, 0.9248]","[0.4094, 0.8514]","[0.2867, 0.7181]","[0.27, 0.5597]","[0.3439, 0.4522]","[0.3574, 0.5392]","[0.383, 0.4051]","[0.438, 0.4759]","[0.4657, 0.568]","[0.4589, 0.5137]","[0.484, 0.3873]","[0.5345, 0.4945]","[0.5555, 0.5992]","[0.5549, 0.5056]","[0.5819, 0.399]","[0.605, 0.499]","[0.6111, 0.5994]","[0.6465, 0.5144]","[0.6863, 0.3614]","[0.7141, 0.2637]","[0.7304, 0.1814]"
"[0.5613, 0.925]","[0.4051, 0.8507]","[0.2844, 0.7167]","[0.2724, 0.5576]","[0.3505, 0.4533]","[0.3587, 0.5355]","[0.3893, 0.4068]","[0.4396, 0.483]","[0.4634, 0.5791]","[0.461, 0.5114]","[0.4894, 0.3894]","[0.536, 0.4995]","[0.5559, 0.6054]","[0.5572, 0.5048]","[0.5892, 0.4055]","[0.6092, 0.5065]","[0.6137, 0.6064]","[0.6497, 0.5151]","[0.6912, 0.3639]","[0.7221, 0.2675]","[0.7421, 0.1861]"
"[0.5556, 0.9322]","[0.4005, 0.8596]","[0.2819, 0.7252]","[0.28, 0.5668]","[0.3611, 0.4654]","[0.3671, 0.5464]","[0.4105, 0.4151]","[0.4534, 0.4987]","[0.4683, 0.5977]","[0.4707, 0.5257]","[0.5068, 0.4007]","[0.5486, 0.5192]","[0.5636, 0.6277]","[0.5669, 0.523]","[0.6043, 0.4183]","[0.6214, 0.5252]","[0.622, 0.6275]","[0.6576, 0.5381]","[0.7042, 0.3842]","[0.7393, 0.2874]","[0.7616, 0.2038]"
"[0.5489, 0.9426]","[0.3933, 0.863]","[0.2801, 0.7296]","[0.2889, 0.5729]","[0.3774, 0.4771]","[0.3763, 0.5478]","[0.428, 0.4338]","[0.4636, 0.5246]","[0.4685, 0.6238]","[0.4843, 0.5306]","[0.5248, 0.4253]","[0.5618, 0.5488]","[0.5689, 0.6572]","[0.5834, 0.5332]","[0.6246, 0.4513]","[0.6375, 0.5657]","[0.6302, 0.671]","[0.6743, 0.5552]","[0.7314, 0.4061]","[0.7774, 0.3126]","[0.8068, 0.2317]"
