"[0.4995, 0.8749]","[0.6635, 0.8124]","[0.7768, 0.6561]","[0.7635, 0.4901]","[0.6686, 0.3949]","[0.6684, 0.5028]","[0.6272, 0.391]","[0.5511, 0.4758]","[0.5022, 0.5717]","[0.5652, 0.4802]","[0.5219, 0.3905]","[0.4412, 0.4835]","[0.397, 0.5822]","[0.4724, 0.4781]","[0.4267, 0.3934]","[0.3627, 0.4879]","[0.326, 0.585]","[0.3875, 0.4884]","[0.3421, 0.3275]","[0.2873, 0.2316]","[0.2436, 0.1615]"
"[0.4947, 0.8993]","[0.6351, 0.8421]","[0.7531, 0.701]","[0.7519, 0.5247]","[0.6775, 0.4072]","[0.6932, 0.512]","[0.6378, 0.3957]","[0.5477, 0.471]","[0.4899, 0.5638]","[0.588, 0.4825]","[0.5299, 0.379]","[0.4445, 0.4828]","[0.4015, 0.5916]","[0.4893, 0.4761]","[0.4318, 0.3739]","[0.3667, 0.4622]","[0.3402, 0.5682]","[0.3942, 0.4881]","[0.3557, 0.32]","[0.2941, 0.2139]","[0.2481, 0.145]"
"[0.5008, 0.922]","[0.6319, 0.8503]","[0.7524, 0.7022]","[0.7598, 0.5188]","[0.6817, 0.4006]","[0.6898, 0.523]","[0.6403, 0.3994]","[0.543, 0.4696]","[0.4762, 0.5578]","[0.5891, 0.4942]","[0.5384, 0.379]","[0.4466, 0.4769]","[0.3959, 0.5818]","[0.4952, 0.4866]","[0.4396, 0.3767]","[0.3705, 0.4613]","[0.3387, 0.5652]","[0.4047, 0.4948]","[0.3627, 0.322]","[0.2992, 0.2124]","[0.2511, 0.1405]"
"[0.5005, 0.9315]","[0.6366, 0.8531]","[0.7526, 0.7049]","[0.7609, 0.523]","[0.6828, 0.4021]","[0.6824, 0.5211]","[0.6317, 0.3976]","[0.5395, 0.4716]","[0.4758, 0.563]","[0.5838, 0.4947]","[0.5336, 0.3785]","[0.4482, 0.4794]","[0.4008, 0.5822]","[0.4919, 0.4887]","[0.4373, 0.3817]","[0.3738, 0.4678]","[0.3448, 0.5703]","[0.4027, 0.4977]","[0.3571, 0.3265]","[0.2944, 0.215]","[0.2451, 0.138]"
"[0.4964, 0.9381]","[0.6328, 0.8572]","[0.752, 0.7063]","[0.7608, 0.5251]","[0.676, 0.4097]","[0.6724, 0.5215]","[0.6223, 0.3996]","[0.5333, 0.4778]","[0.4709, 0.5717]","[0.5749, 0.4969]","[0.5278, 0.3811]","[0.4453, 0.4847]","[0.3977, 0.5869]","[0.4853, 0.4923]","[0.4352, 0.3837]","[0.3752, 0.4699]","[0.346, 0.571]","[0.3988, 0.5017]","[0.3522, 0.3318]","[0.2905, 0.2219]","[0.2412, 0.1444]"
"[0.4922, 0.939]","[0.6298, 0.8619]","[0.7523, 0.7113]","[0.7604, 0.5303]","[0.6759, 0.4133]","[0.6666, 0.5275]","[0.6252, 0.4001]","[0.5415, 0.4831]","[0.4836, 0.5786]","[0.5691, 0.5032]","[0.5312, 0.3829]","[0.4525, 0.4898]","[0.4075, 0.5935]","[0.4812, 0.498]","[0.4374, 0.3854]","[0.3795, 0.4731]","[0.3499, 0.574]","[0.3971, 0.5054]","[0.3524, 0.3338]","[0.2931, 0.2239]","[0.2453, 0.146]"
"[0.4933, 0.9413]","[0.6319, 0.8625]","[0.7539, 0.7099]","[0.7642, 0.5275]","[0.6755, 0.4129]","[0.6682, 0.526]","[0.626, 0.3982]","[0.5424, 0.4839]","[0.486, 0.5811]","[0.5716, 0.5019]","[0.5319, 0.3824]","[0.4545, 0.491]","[0.4113, 0.5942]","[0.4835, 0.4971]","[0.4393, 0.3851]","[0.3813, 0.4739]","[0.3515, 0.5755]","[0.399, 0.5045]","[0.355, 0.3323]","[0.2975, 0.2214]","[0.251, 0.1436]"
"[0.4984, 0.9437]","[0.6346, 0.8621]","[0.7539, 0.7064]","[0.7649, 0.5232]","[0.6769, 0.4064]","[0.6719, 0.5236]","[0.6243, 0.3988]","[0.5398, 0.4853]","[0.4803, 0.5832]","[0.5737, 0.4996]","[0.5311, 0.3811]","[0.4536, 0.4931]","[0.4077, 0.598]","[0.4841, 0.4948]","[0.4396, 0.3813]","[0.3816, 0.4693]","[0.3498, 0.5717]","[0.399, 0.5021]","[0.355, 0.3306]","[0.2979, 0.2191]","[0.2505, 0.1388]"
"[0.4979, 0.9453]","[0.6368, 0.861]","[0.7584, 0.7059]","[0.7696, 0.5221]","[0.6786, 0.4077]","[0.6667, 0.5224]","[0.6235, 0.3937]","[0.544, 0.4836]","[0.4903, 0.5849]","[0.5694, 0.4998]","[0.5296, 0.3808]","[0.4544, 0.4965]","[0.4128, 0.6019]","[0.4804, 0.4965]","[0.433, 0.3821]","[0.3773, 0.4742]","[0.3518, 0.5788]","[0.3955, 0.5059]","[0.3467, 0.3373]","[0.2825, 0.2281]","[0.2298, 0.1496]"
"[0.5029, 0.9572]","[0.6397, 0.8731]","[0.7581, 0.7114]","[0.7602, 0.5262]","[0.673, 0.4126]","[0.6808, 0.5267]","[0.6282, 0.3984]","[0.5552, 0.4952]","[0.5148, 0.6015]","[0.575, 0.504]","[0.5298, 0.3916]","[0.4617, 0.5136]","[0.4316, 0.6213]","[0.4792, 0.504]","[0.4225, 0.3936]","[0.3769, 0.4933]","[0.3678, 0.6003]","[0.3882, 0.5195]","[0.3376, 0.3522]","[0.2632, 0.2431]","[0.2039, 0.164]"
"[0.5089, 0.9663]","[0.6452, 0.8737]","[0.7614, 0.7091]","[0.7559, 0.519]","[0.6614, 0.4105]","[0.6645, 0.5202]","[0.613, 0.4024]","[0.5515, 0.5035]","[0.5219, 0.6148]","[0.5556, 0.5012]","[0.5156, 0.3973]","[0.4597, 0.5287]","[0.4368, 0.6446]","[0.4596, 0.5056]","[0.4057, 0.405]","[0.3736, 0.5131]","[0.3747, 0.6267]","[0.3685, 0.5272]","[0.3118, 0.3633]","[0.2358, 0.2566]","[0.1749, 0.1814]"
"[0.5113, 0.9665]","[0.6526, 0.8707]","[0.7612, 0.7032]","[0.7545, 0.5203]","[0.6615, 0.4153]","[0.6522, 0.5185]","[0.6038, 0.3954]","[0.5531, 0.4994]","[0.5286, 0.616]","[0.5408, 0.5083]","[0.5016, 0.4049]","[0.4581, 0.5365]","[0.4427, 0.6543]","[0.4427, 0.5167]","[0.39, 0.4163]","[0.3686, 0.5206]","[0.3772, 0.6328]","[0.3523, 0.5393]","[0.2863, 0.3809]","[0.207, 0.2789]","[0.1448, 0.2066]"
"[0.5242, 0.9714]","[0.6649, 0.8699]","[0.7628, 0.7004]","[0.7541, 0.5227]","[0.663, 0.4231]","[0.6532, 0.5155]","[0.6045, 0.3898]","[0.5535, 0.4933]","[0.5345, 0.6116]","[0.5389, 0.5106]","[0.4969, 0.4091]","[0.4599, 0.5452]","[0.455, 0.6625]","[0.4373, 0.5259]","[0.383, 0.4281]","[0.371, 0.5424]","[0.3912, 0.6585]","[0.3447, 0.5557]","[0.2691, 0.4012]","[0.1844, 0.2997]","[0.1203, 0.2271]"
"[0.5344, 0.9806]","[0.6736, 0.8776]","[0.7727, 0.6989]","[0.7558, 0.5165]","[0.6592, 0.4171]","[0.653, 0.5172]","[0.601, 0.3928]","[0.557, 0.4947]","[0.5435, 0.6108]","[0.538, 0.5183]","[0.4959, 0.4143]","[0.4658, 0.5481]","[0.4653, 0.6652]","[0.4368, 0.5373]","[0.3797, 0.4391]","[0.3753, 0.5494]","[0.4003, 0.6617]","[0.3427, 0.5686]","[0.2609, 0.4172]","[0.1734, 0.3205]","[0.1059, 0.2506]"
"[0.5477, 0.9835]","[0.691, 0.8788]","[0.7879, 0.6939]","[0.7657, 0.5099]","[0.663, 0.4185]","[0.6642, 0.513]","[0.6108, 0.39]","[0.5741, 0.4934]","[0.5701, 0.608]","[0.5458, 0.5176]","[0.4991, 0.4165]","[0.4817, 0.5554]","[0.4929, 0.6718]","[0.4423, 0.5417]","[0.38, 0.4493]","[0.3884, 0.5652]","[0.4231, 0.6747]","[0.3466, 0.5788]","[0.2582, 0.4317]","[0.1675, 0.3383]","[0.097, 0.2657]"
"[0.5657, 0.9881]","[0.7055, 0.8797]","[0.7985, 0.6847]","[0.7739, 0.5024]","[0.6679, 0.4175]","[0.6663, 0.5064]","[0.6136, 0.3871]","[0.5825, 0.4947]","[0.584, 0.6105]","[0.5458, 0.5188]","[0.5029, 0.4237]","[0.4965, 0.5696]","[0.5146, 0.687]","[0.4402, 0.5495]","[0.3829, 0.4626]","[0.4041, 0.5825]","[0.4452, 0.6906]","[0.3436, 0.5916]","[0.2509, 0.4481]","[0.1632, 0.3583]","[0.0945, 0.284]"
"[0.5788, 0.9899]","[0.7186, 0.8718]","[0.8074, 0.6789]","[0.7745, 0.4987]","[0.6658, 0.4159]","[0.6704, 0.5051]","[0.6109, 0.3928]","[0.5827, 0.5055]","[0.5893, 0.6264]","[0.5482, 0.5235]","[0.5007, 0.4325]","[0.498, 0.5799]","[0.5213, 0.6989]","[0.4417, 0.559]","[0.3797, 0.4768]","[0.4022, 0.5944]","[0.4476, 0.7012]","[0.3447, 0.6047]","[0.2479, 0.4661]","[0.1546, 0.3808]","[0.0809, 0.3109]"
"[0.6001, 0.9828]","[0.7323, 0.8558]","[0.8104, 0.6627]","[0.77, 0.4864]","[0.6567, 0.4087]","[0.6618, 0.4977]","[0.5978, 0.3978]","[0.5846, 0.5197]","[0.6006, 0.6432]","[0.5428, 0.5251]","[0.4942, 0.4385]","[0.5036, 0.5911]","[0.5314, 0.7156]","[0.4371, 0.5667]","[0.377, 0.4878]","[0.4089, 0.6155]","[0.4583, 0.7288]","[0.3394, 0.6163]","[0.2362, 0.4833]","[0.1424, 0.4051]","[0.0671, 0.3395]"
"[0.6144, 0.9688]","[0.7449, 0.8379]","[0.8108, 0.6503]","[0.7627, 0.4851]","[0.6506, 0.4093]","[0.6528, 0.4803]","[0.5828, 0.3999]","[0.5844, 0.5279]","[0.6131, 0.6503]","[0.5328, 0.5168]","[0.4829, 0.4484]","[0.5096, 0.6064]","[0.5472, 0.7305]","[0.4278, 0.5672]","[0.369, 0.5065]","[0.4157, 0.6385]","[0.4733, 0.7489]","[0.3332, 0.626]","[0.2233, 0.5007]","[0.1313, 0.4288]","[0.0557, 0.366]"
"[0.6243, 0.9634]","[0.7564, 0.8325]","[0.8201, 0.6442]","[0.7578, 0.4818]","[0.6411, 0.4172]","[0.6472, 0.4721]","[0.575, 0.4027]","[0.5893, 0.5363]","[0.6299, 0.6568]","[0.5278, 0.5162]","[0.4731, 0.453]","[0.5123, 0.6155]","[0.5579, 0.7365]","[0.4244, 0.5738]","[0.3641, 0.517]","[0.4217, 0.6556]","[0.4865, 0.7679]","[0.3316, 0.6391]","[0.2165, 0.5193]","[0.1236, 0.4527]","[0.0465, 0.393]"
"[0.6358, 0.9561]","[0.7666, 0.822]","[0.8233, 0.6363]","[0.7546, 0.4796]","[0.6361, 0.4202]","[0.6415, 0.46]","[0.5704, 0.4083]","[0.5943, 0.5455]","[0.6406, 0.6641]","[0.5224, 0.5103]","[0.4718, 0.4644]","[0.5226, 0.6303]","[0.5746, 0.7511]","[0.4197, 0.5746]","[0.3621, 0.5374]","[0.4301, 0.6791]","[0.5018, 0.7875]","[0.3279, 0.6463]","[0.2108, 0.5377]","[0.1179, 0.4798]","[0.0397, 0.4244]"
"[0.652, 0.954]","[0.7737, 0.8175]","[0.8227, 0.6313]","[0.7522, 0.4785]","[0.6322, 0.4274]","[0.6325, 0.4561]","[0.562, 0.4116]","[0.5943, 0.5525]","[0.6457, 0.67]","[0.5151, 0.5107]","[0.4655, 0.4706]","[0.5269, 0.6393]","[0.5853, 0.7584]","[0.4154, 0.5802]","[0.3583, 0.5433]","[0.4347, 0.6877]","[0.5116, 0.7968]","[0.3287, 0.6568]","[0.2103, 0.5541]","[0.1141, 0.5013]","[0.0312, 0.4495]"
"[0.6549, 0.9479]","[0.7761, 0.8157]","[0.8188, 0.6267]","[0.7434, 0.4765]","[0.6233, 0.433]","[0.6183, 0.4474]","[0.5428, 0.4133]","[0.5876, 0.554]","[0.6479, 0.667]","[0.5018, 0.507]","[0.4501, 0.4797]","[0.5237, 0.6466]","[0.5899, 0.7581]","[0.4028, 0.5831]","[0.3487, 0.5604]","[0.4324, 0.6999]","[0.5147, 0.8006]","[0.3191, 0.6664]","[0.1873, 0.5663]","[0.0754, 0.5173]","[-0.0194, 0.4716]"
"[0.6647, 0.946]","[0.7771, 0.8097]","[0.8141, 0.6207]","[0.7339, 0.4782]","[0.6121, 0.4383]","[0.6015, 0.4419]","[0.5325, 0.4149]","[0.5848, 0.5569]","[0.6476, 0.672]","[0.4866, 0.5079]","[0.4417, 0.4911]","[0.5266, 0.657]","[0.5993, 0.768]","[0.391, 0.5907]","[0.3434, 0.582]","[0.4367, 0.7181]","[0.5239, 0.8156]","[0.311, 0.6785]","[0.1768, 0.5873]","[0.0621, 0.5461]","[-0.0369, 0.5077]"
"[0.6639, 0.946]","[0.7757, 0.7989]","[0.809, 0.6012]","[0.7153, 0.4647]","[0.5874, 0.4407]","[0.5797, 0.4388]","[0.5075, 0.4296]","[0.5708, 0.5666]","[0.6421, 0.6725]","[0.4667, 0.5049]","[0.4231, 0.5154]","[0.5241, 0.6694]","[0.6099, 0.7726]","[0.3751, 0.591]","[0.327, 0.6025]","[0.4348, 0.7302]","[0.5346, 0.8205]","[0.301, 0.6852]","[0.1635, 0.611]","[0.0463, 0.5792]","[-0.0533, 0.5476]"
"[0.669, 0.9407]","[0.7719, 0.7913]","[0.8055, 0.6008]","[0.7123, 0.4686]","[0.5814, 0.4448]","[0.5624, 0.4247]","[0.5027, 0.4275]","[0.5729, 0.569]","[0.6457, 0.6796]","[0.4473, 0.4968]","[0.4181, 0.5182]","[0.5253, 0.6735]","[0.6119, 0.7799]","[0.3578, 0.5895]","[0.3207, 0.6077]","[0.4319, 0.7336]","[0.5334, 0.8254]","[0.2889, 0.6882]","[0.1497, 0.6296]","[0.0315, 0.6061]","[-0.0711, 0.5813]"
"[0.6715, 0.9375]","[0.7682, 0.7821]","[0.7966, 0.594]","[0.7024, 0.468]","[0.571, 0.4479]","[0.5396, 0.4222]","[0.4887, 0.4359]","[0.5694, 0.5739]","[0.6469, 0.6806]","[0.4259, 0.497]","[0.4059, 0.5303]","[0.5205, 0.6805]","[0.6095, 0.7815]","[0.3416, 0.5961]","[0.3104, 0.6176]","[0.4294, 0.7412]","[0.5363, 0.8309]","[0.2802, 0.7019]","[0.141, 0.6539]","[0.0241, 0.6378]","[-0.0769, 0.6193]"
"[0.6715, 0.9326]","[0.7644, 0.775]","[0.7873, 0.5887]","[0.6925, 0.4669]","[0.5611, 0.4537]","[0.5215, 0.4117]","[0.4761, 0.4404]","[0.562, 0.5792]","[0.6437, 0.6828]","[0.408, 0.4875]","[0.4015, 0.5415]","[0.5219, 0.6891]","[0.6152, 0.7862]","[0.3266, 0.5914]","[0.3063, 0.6324]","[0.4288, 0.751]","[0.5396, 0.8351]","[0.2684, 0.7025]","[0.1299, 0.667]","[0.0108, 0.6608]","[-0.09, 0.6531]"
"[0.6704, 0.9339]","[0.7595, 0.7751]","[0.7843, 0.5855]","[0.6924, 0.4625]","[0.5595, 0.4567]","[0.5095, 0.4156]","[0.4768, 0.4405]","[0.5599, 0.5763]","[0.641, 0.6798]","[0.3951, 0.4925]","[0.3957, 0.545]","[0.5152, 0.6909]","[0.6116, 0.7872]","[0.3152, 0.5988]","[0.3027, 0.6401]","[0.4262, 0.7548]","[0.5377, 0.8342]","[0.2605, 0.7135]","[0.1306, 0.6788]","[0.019, 0.6739]","[-0.0752, 0.667]"
