"[0.6093, 0.4913]","[0.5741, 0.4453]","[0.5486, 0.3785]","[0.5478, 0.3088]","[0.5701, 0.273]","[0.5708, 0.3166]","[0.5783, 0.2581]","[0.5831, 0.2944]","[0.5837, 0.3346]","[0.5939, 0.3167]","[0.6017, 0.2635]","[0.6062, 0.31]","[0.606, 0.3527]","[0.6156, 0.3205]","[0.6228, 0.2781]","[0.624, 0.32]","[0.6225, 0.3595]","[0.6366, 0.3288]","[0.6442, 0.2687]","[0.6481, 0.2304]","[0.6503, 0.1964]"
"[0.6085, 0.4927]","[0.5724, 0.447]","[0.5484, 0.3802]","[0.548, 0.3106]","[0.568, 0.2711]","[0.5707, 0.3177]","[0.5791, 0.2607]","[0.5837, 0.2936]","[0.5837, 0.3306]","[0.5938, 0.3174]","[0.6023, 0.2642]","[0.6069, 0.3093]","[0.6064, 0.3509]","[0.6148, 0.3209]","[0.6235, 0.2773]","[0.6245, 0.3159]","[0.6228, 0.3544]","[0.6358, 0.3289]","[0.6435, 0.2671]","[0.6479, 0.2277]","[0.6506, 0.1932]"
"[0.6084, 0.489]","[0.5719, 0.4431]","[0.5475, 0.3761]","[0.5476, 0.3069]","[0.5669, 0.2685]","[0.5696, 0.3149]","[0.5778, 0.2569]","[0.5827, 0.2905]","[0.582, 0.3283]","[0.5932, 0.3148]","[0.6013, 0.262]","[0.6059, 0.3081]","[0.6046, 0.3504]","[0.6148, 0.3179]","[0.6223, 0.2727]","[0.6234, 0.3114]","[0.6212, 0.3507]","[0.636, 0.3251]","[0.6433, 0.2633]","[0.6478, 0.2243]","[0.6507, 0.1908]"
"[0.6089, 0.487]","[0.5718, 0.4437]","[0.5462, 0.3775]","[0.5455, 0.307]","[0.5656, 0.267]","[0.5687, 0.3153]","[0.578, 0.2589]","[0.585, 0.2915]","[0.5859, 0.33]","[0.5927, 0.3141]","[0.6017, 0.2618]","[0.6085, 0.3067]","[0.609, 0.3491]","[0.6141, 0.316]","[0.6231, 0.2739]","[0.6251, 0.3129]","[0.6236, 0.3528]","[0.6353, 0.3221]","[0.6425, 0.26]","[0.6471, 0.2206]","[0.6502, 0.1876]"
"[0.6086, 0.4851]","[0.5721, 0.4429]","[0.5463, 0.3763]","[0.5461, 0.3064]","[0.5657, 0.2668]","[0.5685, 0.3126]","[0.5769, 0.2566]","[0.5832, 0.2907]","[0.5836, 0.3297]","[0.5922, 0.3115]","[0.6006, 0.2595]","[0.6066, 0.3059]","[0.607, 0.3485]","[0.6133, 0.3142]","[0.6222, 0.2724]","[0.6234, 0.3133]","[0.6216, 0.354]","[0.6343, 0.3211]","[0.6419, 0.2593]","[0.6463, 0.2198]","[0.6494, 0.1857]"
"[0.6085, 0.4857]","[0.5716, 0.4426]","[0.546, 0.3762]","[0.5458, 0.3062]","[0.565, 0.2657]","[0.5682, 0.3133]","[0.577, 0.2561]","[0.5825, 0.2888]","[0.5827, 0.3272]","[0.5921, 0.3123]","[0.6012, 0.2584]","[0.6066, 0.3047]","[0.6066, 0.3473]","[0.6134, 0.3151]","[0.6227, 0.2722]","[0.6235, 0.3125]","[0.6216, 0.3526]","[0.6348, 0.3221]","[0.643, 0.2598]","[0.6477, 0.22]","[0.651, 0.1855]"
"[0.6067, 0.485]","[0.5699, 0.4409]","[0.5461, 0.3743]","[0.5479, 0.3045]","[0.5663, 0.2638]","[0.5707, 0.3108]","[0.5804, 0.2551]","[0.5846, 0.2913]","[0.5841, 0.3309]","[0.5945, 0.3106]","[0.604, 0.2591]","[0.608, 0.3075]","[0.6073, 0.3499]","[0.6155, 0.3145]","[0.6258, 0.2745]","[0.6258, 0.3158]","[0.6234, 0.3553]","[0.6366, 0.3227]","[0.6464, 0.2607]","[0.6514, 0.2214]","[0.6548, 0.1867]"
"[0.6052, 0.4878]","[0.5699, 0.4437]","[0.546, 0.3744]","[0.5475, 0.3044]","[0.5684, 0.266]","[0.5711, 0.308]","[0.5818, 0.2544]","[0.584, 0.2924]","[0.5818, 0.3318]","[0.5955, 0.3094]","[0.6056, 0.2601]","[0.6075, 0.31]","[0.6056, 0.3526]","[0.6174, 0.3157]","[0.6283, 0.2775]","[0.6266, 0.3206]","[0.6228, 0.3605]","[0.6389, 0.3262]","[0.6491, 0.2646]","[0.6546, 0.2249]","[0.6586, 0.1891]"
"[0.6038, 0.4892]","[0.5694, 0.442]","[0.5468, 0.3727]","[0.5492, 0.3034]","[0.5704, 0.2653]","[0.5724, 0.3052]","[0.5843, 0.2551]","[0.5854, 0.2956]","[0.5826, 0.3353]","[0.5968, 0.3076]","[0.6078, 0.2622]","[0.6081, 0.3144]","[0.6052, 0.3561]","[0.6189, 0.3144]","[0.6302, 0.2791]","[0.627, 0.3238]","[0.6219, 0.3629]","[0.6402, 0.325]","[0.6516, 0.2643]","[0.658, 0.226]","[0.6627, 0.1905]"
"[0.6032, 0.4892]","[0.5684, 0.4386]","[0.5473, 0.3681]","[0.5509, 0.2992]","[0.5741, 0.2623]","[0.5756, 0.3042]","[0.5868, 0.2554]","[0.5866, 0.2951]","[0.5835, 0.3353]","[0.5999, 0.3085]","[0.6105, 0.264]","[0.6088, 0.3149]","[0.6047, 0.3585]","[0.6214, 0.3161]","[0.6324, 0.2818]","[0.6281, 0.326]","[0.623, 0.3669]","[0.6426, 0.3271]","[0.655, 0.2657]","[0.6617, 0.2265]","[0.6674, 0.1917]"
"[0.6007, 0.4875]","[0.5678, 0.4369]","[0.5479, 0.3655]","[0.552, 0.2988]","[0.5753, 0.2638]","[0.5779, 0.3017]","[0.5893, 0.2534]","[0.5876, 0.2949]","[0.5834, 0.3361]","[0.6021, 0.3078]","[0.6127, 0.2664]","[0.6094, 0.3182]","[0.6047, 0.3623]","[0.6239, 0.3174]","[0.6345, 0.285]","[0.6284, 0.3318]","[0.622, 0.3737]","[0.6447, 0.3301]","[0.6578, 0.2699]","[0.6658, 0.2306]","[0.6723, 0.1953]"
