[0.0, 0.5747],[0.0, 0.4719],[0.1392, 0.2775],[0.1662, 0.045],[0.0748, 0.0],[0.0413, 0.0631],[0.04, 0.0],[0.0, 0.0],[0.0, 0.0805],[0.0, 0.0294],[0.0, 0.0],[0.0, 0.0],[0.0, 0.0753],[0.0, 0.0113],[0.0, 0.0],[0.0, 0.0],[0.0, 0.0538],[0.0, 0.005],[0.0, 0.0],[0.0, 0.0],[0.0, 0.0]
[0.0, 0.5791],[0.0, 0.4756],[0.1419, 0.2856],[0.1635, 0.0372],[0.0604, 0.0],[0.0623, 0.0638],[0.0591, 0.0],[0.0, 0.0],[0.0, 0.0882],[0.0, 0.0235],[0.0, 0.0],[0.0, 0.0],[0.0, 0.079],[0.0, 0.0028],[0.0, 0.0],[0.0, 0.0],[0.0, 0.0561],[0.0, 0.0],[0.0, 0.0],[0.0, 0.0],[0.0, 0.0]
[0.0, 0.5843],[0.0, 0.4756],[0.1399, 0.286],[0.155, 0.0424],[0.0531, 0.0],[0.0518, 0.0586],[0.0367, 0.0],[0.0, 0.0],[0.0, 0.0871],[0.0, 0.0228],[0.0, 0.0],[0.0, 0.0],[0.0, 0.0875],[0.0, 0.0058],[0.0, 0.0],[0.0, 0.0],[0.0, 0.0561],[0.0, 0.0036],[0.0, 0.0],[0.0, 0.0],[0.0, 0.0]
[0.0, 0.588],[0.0, 0.4771],[0.1333, 0.2889],[0.1504, 0.045],[0.0525, 0.0],[0.0426, 0.0476],[0.0209, 0.0],[0.0, 0.0],[0.0, 0.0808],[0.0, 0.0124],[0.0, 0.0],[0.0, 0.0],[0.0, 0.0901],[0.0, 0.0],[0.0, 0.0],[0.0, 0.0],[0.0, 0.0631],[0.0, 0.0],[0.0, 0.0],[0.0, 0.0],[0.0, 0.0]
[0.0, 0.5817],[0.0, 0.4678],[0.1405, 0.2764],[0.1583, 0.028],[0.0426, 0.0],[0.042, 0.0413],[0.0315, 0.0],[0.0, 0.0],[0.0, 0.0757],[0.0, 0.005],[0.0, 0.0],[0.0, 0.0],[0.0, 0.0853],[0.0, 0.0],[0.0, 0.0],[0.0, 0.0],[0.0, 0.0535],[0.0, 0.0],[0.0, 0.0],[0.0, 0.0],[0.0, 0.0]
[0.0, 0.5695],[0.0, 0.4542],[0.1412, 0.2627],[0.1642, 0.0158],[0.0512, 0.0],[0.0538, 0.0357],[0.0407, 0.0],[0.0, 0.0],[0.0, 0.0694],[0.0, 0.001],[0.0, 0.0],[0.0, 0.0],[0.0, 0.0705],[0.0, 0.0],[0.0, 0.0],[0.0, 0.0],[0.0, 0.0461],[0.0, 0.0],[0.0, 0.0],[0.0, 0.0],[0.0, 0.0]
[0.0, 0.5725],[0.0, 0.4623],[0.1517, 0.2668],[0.1727, 0.0095],[0.0531, 0.0],[0.061, 0.0431],[0.0551, 0.0],[0.0, 0.0],[0.0, 0.0705],[0.0, 0.0028],[0.0, 0.0],[0.0, 0.0],[0.0, 0.0701],[0.0, 0.0],[0.0, 0.0],[0.0, 0.0],[0.0, 0.0461],[0.0, 0.0],[0.0, 0.0],[0.0, 0.0],[0.0, 0.0]
[0.0, 0.5839],[0.0, 0.4568],[0.1432, 0.2645],[0.1681, 0.0202],[0.0597, 0.0],[0.0531, 0.0391],[0.0374, 0.0],[0.0, 0.0],[0.0, 0.0745],[0.0, 0.0087],[0.0, 0.0],[0.0, 0.0],[0.0, 0.076],[0.0, 0.0],[0.0, 0.0],[0.0, 0.0],[0.0, 0.0527],[0.0, 0.0],[0.0, 0.0],[0.0, 0.0],[0.0, 0.0]
[0.0, 0.5865],[0.0, 0.4726],[0.1458, 0.2749],[0.1616, 0.0317],[0.0446, 0.0],[0.0393, 0.0372],[0.0177, 0.0],[0.0, 0.0],[0.0, 0.0849],[0.0, 0.0069],[0.0, 0.0],[0.0, 0.0],[0.0, 0.0967],[0.0, 0.0],[0.0, 0.0],[0.0, 0.0],[0.0, 0.0664],[0.0, 0.0],[0.0, 0.0],[0.0, 0.0],[0.0, 0.0]
[0.0, 0.5957],[0.0, 0.4738],[0.1438, 0.2764],[0.1491, 0.0328],[0.0295, 0.0],[0.0288, 0.0339],[0.0, 0.0],[0.0, 0.0],[0.0, 0.0989],[0.0, 0.0036],[0.0, 0.0],[0.0, 0.0],[0.0, 0.1219],[0.0, 0.0],[0.0, 0.0],[0.0, 0.0],[0.0, 0.0901],[0.0, 0.0],[0.0, 0.0],[0.0, 0.0],[0.0, 0.0]
[0.0, 0.6087],[0.0, 0.4911],[0.1497, 0.2819],[0.1491, 0.0306],[0.0177, 0.0],[0.0216, 0.0391],[0.0, 0.0],[0.0, 0.0],[0.0, 0.1156],[0.0, 0.0128],[0.0, 0.0],[0.0, 0.0017],[0.0, 0.1366],[0.0, 0.0099],[0.0, 0.0],[0.0, 0.0],[0.0, 0.0941],[0.0, 0.0243],[0.0, 0.0],[0.0, 0.0],[0.0, 0.0]
