[0.4779, 0.0757],[0.3145, 0.1913],[0.2875, 0.3827],[0.4072, 0.4871],[0.535, 0.5161],[0.3509, 0.4188],[0.3414, 0.6823],[0.346, 0.832],[0.3527, 0.9541],[0.5002, 0.3809],[0.5419, 0.6868],[0.5666, 0.8643],[0.5961, 1.0037],[0.6267, 0.3332],[0.6462, 0.5802],[0.6003, 0.5181],[0.5781, 0.4343],[0.7144, 0.2829],[0.7171, 0.4906],[0.6692, 0.4486],[0.6516, 0.376]
[0.4281, -0.0152],[0.2836, 0.1551],[0.268, 0.3598],[0.3778, 0.4716],[0.5134, 0.5274],[0.3356, 0.3978],[0.3368, 0.6836],[0.3449, 0.8453],[0.3591, 0.9838],[0.4818, 0.3391],[0.5336, 0.6844],[0.5608, 0.8897],[0.6071, 1.037],[0.6161, 0.2925],[0.6353, 0.5868],[0.5716, 0.5307],[0.5474, 0.4537],[0.7102, 0.2491],[0.7062, 0.483],[0.6513, 0.4401],[0.6325, 0.3762]
[0.4322, -0.0043],[0.2929, 0.1953],[0.2885, 0.394],[0.3933, 0.4892],[0.5301, 0.5483],[0.3429, 0.4297],[0.3425, 0.6899],[0.3443, 0.841],[0.3592, 0.9735],[0.4824, 0.3632],[0.5354, 0.6885],[0.5532, 0.8822],[0.5849, 1.0211],[0.6209, 0.3146],[0.6317, 0.5831],[0.5714, 0.5155],[0.5448, 0.4404],[0.719, 0.2808],[0.705, 0.4876],[0.6485, 0.4373],[0.6308, 0.3776]
[0.4289, -0.0233],[0.2881, 0.1726],[0.2813, 0.3725],[0.3879, 0.4743],[0.5305, 0.5249],[0.3459, 0.4084],[0.3409, 0.6714],[0.3465, 0.8259],[0.3635, 0.9594],[0.4901, 0.3475],[0.5362, 0.6871],[0.5529, 0.8936],[0.5841, 1.0406],[0.6289, 0.2995],[0.6312, 0.5735],[0.569, 0.5121],[0.5409, 0.4355],[0.7238, 0.2626],[0.7072, 0.4771],[0.6492, 0.4286],[0.632, 0.3685]
[0.4336, -0.0481],[0.2874, 0.1256],[0.273, 0.3476],[0.3863, 0.4678],[0.5276, 0.5093],[0.3379, 0.3606],[0.3401, 0.6524],[0.3483, 0.8068],[0.359, 0.9327],[0.4917, 0.3112],[0.5403, 0.6524],[0.5551, 0.8393],[0.5823, 0.9723],[0.6271, 0.2703],[0.6356, 0.5619],[0.5684, 0.5098],[0.5402, 0.4264],[0.7212, 0.2349],[0.7079, 0.4655],[0.6522, 0.4262],[0.6338, 0.3583]
[0.4324, -0.0432],[0.2888, 0.1398],[0.2729, 0.3553],[0.3883, 0.469],[0.5224, 0.523],[0.3435, 0.3764],[0.3475, 0.6577],[0.3562, 0.8174],[0.3693, 0.9455],[0.4934, 0.3181],[0.545, 0.669],[0.5646, 0.8799],[0.5976, 1.0278],[0.6294, 0.2736],[0.6371, 0.5644],[0.5727, 0.5072],[0.5456, 0.4311],[0.7226, 0.2356],[0.7087, 0.4689],[0.6514, 0.4198],[0.635, 0.3521]
[0.4369, -0.0543],[0.2844, 0.1186],[0.267, 0.3377],[0.3774, 0.4526],[0.5113, 0.4903],[0.3446, 0.3527],[0.3487, 0.6497],[0.3607, 0.8044],[0.3757, 0.9292],[0.4964, 0.3071],[0.5338, 0.6431],[0.5439, 0.8237],[0.569, 0.9538],[0.6301, 0.2684],[0.636, 0.5611],[0.5724, 0.5036],[0.5458, 0.4184],[0.7247, 0.2327],[0.7088, 0.4636],[0.6546, 0.4197],[0.6371, 0.3485]
[0.4434, -0.047],[0.2877, 0.1282],[0.2689, 0.3391],[0.3641, 0.4534],[0.485, 0.4974],[0.3529, 0.3689],[0.3609, 0.6523],[0.3695, 0.8034],[0.3837, 0.9214],[0.498, 0.3199],[0.5324, 0.6433],[0.5387, 0.8174],[0.5626, 0.9358],[0.6286, 0.2797],[0.6377, 0.5574],[0.5752, 0.5041],[0.5484, 0.4255],[0.723, 0.2394],[0.7103, 0.4624],[0.6588, 0.4207],[0.6389, 0.3525]
[0.4429, -0.0553],[0.2861, 0.1182],[0.2655, 0.3302],[0.3614, 0.4439],[0.4825, 0.4791],[0.3556, 0.3651],[0.3691, 0.6465],[0.3806, 0.7952],[0.396, 0.9131],[0.5021, 0.3197],[0.5308, 0.6309],[0.5346, 0.7985],[0.5529, 0.9164],[0.6312, 0.2754],[0.6362, 0.5505],[0.5752, 0.4982],[0.5489, 0.4158],[0.7234, 0.231],[0.7133, 0.4564],[0.6611, 0.418],[0.641, 0.3492]
[0.4434, -0.0476],[0.2877, 0.1231],[0.2656, 0.33],[0.3548, 0.444],[0.4733, 0.4826],[0.3556, 0.3706],[0.3746, 0.6438],[0.3885, 0.7898],[0.4067, 0.9045],[0.5007, 0.3241],[0.5313, 0.6298],[0.5311, 0.7937],[0.545, 0.9049],[0.6293, 0.2797],[0.6365, 0.5463],[0.5766, 0.4966],[0.5506, 0.4163],[0.7219, 0.2351],[0.7116, 0.4532],[0.6602, 0.4153],[0.64, 0.3478]
