"[0.4568, 0.3039]","[0.4906, 0.3864]","[0.4888, 0.4638]","[0.4708, 0.5121]","[0.4471, 0.5406]","[0.4825, 0.5096]","[0.4847, 0.6005]","[0.4847, 0.658]","[0.4815, 0.7043]","[0.454, 0.4952]","[0.4416, 0.602]","[0.4317, 0.6658]","[0.4215, 0.7106]","[0.4287, 0.4764]","[0.418, 0.5555]","[0.4287, 0.5367]","[0.4359, 0.5104]","[0.4056, 0.4538]","[0.4016, 0.523]","[0.4098, 0.5086]","[0.4142, 0.4863]"
"[0.4575, 0.296]","[0.4918, 0.3752]","[0.4891, 0.4556]","[0.4701, 0.5087]","[0.4458, 0.5401]","[0.4841, 0.5018]","[0.4832, 0.5971]","[0.4826, 0.6552]","[0.4802, 0.7006]","[0.4553, 0.491]","[0.4404, 0.598]","[0.431, 0.6632]","[0.4215, 0.7109]","[0.4295, 0.4738]","[0.4177, 0.5541]","[0.4282, 0.5344]","[0.4355, 0.5043]","[0.4074, 0.4511]","[0.4015, 0.519]","[0.4102, 0.5042]","[0.4142, 0.4789]"
"[0.4548, 0.2975]","[0.4897, 0.3775]","[0.4888, 0.4582]","[0.4725, 0.5103]","[0.4492, 0.5439]","[0.4831, 0.5044]","[0.483, 0.5982]","[0.4822, 0.6567]","[0.4792, 0.7026]","[0.4539, 0.4913]","[0.4401, 0.5978]","[0.4305, 0.6635]","[0.4207, 0.7113]","[0.428, 0.475]","[0.4165, 0.5554]","[0.4277, 0.5352]","[0.435, 0.5058]","[0.4057, 0.4559]","[0.4003, 0.5197]","[0.4096, 0.5051]","[0.414, 0.4813]"
"[0.4558, 0.2975]","[0.4894, 0.3764]","[0.4886, 0.4562]","[0.4729, 0.5102]","[0.45, 0.5439]","[0.4833, 0.5026]","[0.4831, 0.5983]","[0.4823, 0.6574]","[0.4794, 0.7033]","[0.4543, 0.4911]","[0.4403, 0.5985]","[0.4308, 0.6647]","[0.4209, 0.7121]","[0.4284, 0.4749]","[0.4165, 0.5556]","[0.4278, 0.5368]","[0.4351, 0.5072]","[0.4062, 0.455]","[0.4002, 0.5198]","[0.4095, 0.5067]","[0.414, 0.4835]"
"[0.4527, 0.2998]","[0.4869, 0.3808]","[0.4862, 0.4596]","[0.4714, 0.511]","[0.4498, 0.547]","[0.4822, 0.5092]","[0.4819, 0.6002]","[0.4811, 0.6579]","[0.4786, 0.703]","[0.4535, 0.4935]","[0.4398, 0.5987]","[0.4302, 0.6644]","[0.4202, 0.7114]","[0.4271, 0.4754]","[0.4168, 0.554]","[0.4268, 0.531]","[0.433, 0.5011]","[0.4035, 0.457]","[0.3989, 0.5204]","[0.4073, 0.5031]","[0.4111, 0.4788]"
"[0.4534, 0.2947]","[0.4876, 0.3743]","[0.4872, 0.4554]","[0.472, 0.5089]","[0.45, 0.5424]","[0.4811, 0.5055]","[0.4804, 0.6004]","[0.48, 0.6578]","[0.4776, 0.7034]","[0.4516, 0.4928]","[0.4378, 0.6003]","[0.4289, 0.6654]","[0.4196, 0.7119]","[0.4254, 0.4743]","[0.4145, 0.5559]","[0.4253, 0.5348]","[0.4322, 0.5042]","[0.4028, 0.4523]","[0.3971, 0.5205]","[0.406, 0.5048]","[0.4104, 0.4788]"
"[0.4522, 0.2947]","[0.4879, 0.3726]","[0.4876, 0.4554]","[0.4701, 0.511]","[0.4462, 0.5432]","[0.4801, 0.5029]","[0.4795, 0.601]","[0.4786, 0.6596]","[0.4759, 0.7051]","[0.4504, 0.4918]","[0.4362, 0.6008]","[0.4273, 0.6667]","[0.4176, 0.7144]","[0.4241, 0.474]","[0.4117, 0.5569]","[0.423, 0.5374]","[0.4303, 0.5062]","[0.4021, 0.452]","[0.3959, 0.5196]","[0.4051, 0.5061]","[0.4092, 0.4805]"
"[0.4515, 0.2932]","[0.4881, 0.3694]","[0.488, 0.452]","[0.469, 0.5078]","[0.4452, 0.5393]","[0.4785, 0.4985]","[0.4787, 0.5991]","[0.4782, 0.6597]","[0.4755, 0.7055]","[0.4492, 0.49]","[0.4352, 0.601]","[0.4267, 0.6684]","[0.4169, 0.716]","[0.4233, 0.4729]","[0.4113, 0.5571]","[0.4226, 0.5373]","[0.4296, 0.5051]","[0.4017, 0.4494]","[0.3945, 0.5201]","[0.4041, 0.5065]","[0.4088, 0.4794]"
"[0.4512, 0.2897]","[0.4867, 0.3687]","[0.4872, 0.4516]","[0.4702, 0.5073]","[0.4467, 0.5377]","[0.478, 0.4996]","[0.4771, 0.5978]","[0.4769, 0.6579]","[0.4747, 0.7046]","[0.4487, 0.4871]","[0.434, 0.5983]","[0.4247, 0.6657]","[0.4145, 0.7141]","[0.423, 0.4682]","[0.4106, 0.5558]","[0.4214, 0.5369]","[0.4281, 0.5055]","[0.4013, 0.4441]","[0.3941, 0.5187]","[0.4034, 0.5051]","[0.408, 0.4784]"
"[0.4504, 0.288]","[0.4855, 0.3716]","[0.4831, 0.4552]","[0.4637, 0.5088]","[0.4387, 0.5411]","[0.4786, 0.4988]","[0.4767, 0.5975]","[0.4759, 0.6566]","[0.4733, 0.7035]","[0.4487, 0.4863]","[0.4341, 0.5959]","[0.4243, 0.6639]","[0.4142, 0.7127]","[0.4221, 0.4684]","[0.4093, 0.553]","[0.42, 0.5328]","[0.4273, 0.5009]","[0.3992, 0.4463]","[0.3928, 0.5163]","[0.4019, 0.5018]","[0.4064, 0.4755]"
"[0.4502, 0.2881]","[0.4858, 0.3663]","[0.4846, 0.4512]","[0.463, 0.5075]","[0.4373, 0.5383]","[0.4768, 0.4954]","[0.4762, 0.5966]","[0.4758, 0.6569]","[0.4735, 0.7032]","[0.447, 0.4858]","[0.4327, 0.597]","[0.4238, 0.6648]","[0.4137, 0.714]","[0.4206, 0.4685]","[0.4079, 0.5534]","[0.42, 0.5351]","[0.4281, 0.503]","[0.3986, 0.4454]","[0.3921, 0.5168]","[0.4025, 0.5054]","[0.4079, 0.4793]"
