"[0.4931, 0.1157]","[0.3209, 0.2534]","[0.3006, 0.3981]","[0.3928, 0.4898]","[0.5135, 0.5615]","[0.3527, 0.5003]","[0.336, 0.722]","[0.3583, 0.8814]","[0.3781, 1.0124]","[0.4991, 0.4386]","[0.5641, 0.7223]","[0.6069, 0.9075]","[0.6407, 1.0339]","[0.633, 0.3778]","[0.6387, 0.5861]","[0.5997, 0.5326]","[0.5797, 0.4736]","[0.7273, 0.3234]","[0.7109, 0.4854]","[0.6712, 0.4381]","[0.6578, 0.3902]"
"[0.4793, -0.0194]","[0.2894, 0.1687]","[0.2796, 0.3566]","[0.3774, 0.4553]","[0.4835, 0.5356]","[0.3508, 0.4781]","[0.3342, 0.7138]","[0.336, 0.8594]","[0.3431, 0.9873]","[0.4885, 0.4166]","[0.5466, 0.7102]","[0.5802, 0.8889]","[0.6229, 1.0174]","[0.6211, 0.356]","[0.6282, 0.582]","[0.5667, 0.5064]","[0.5469, 0.4397]","[0.7165, 0.3017]","[0.7032, 0.472]","[0.6442, 0.4213]","[0.6353, 0.3638]"
"[0.4597, -0.0765]","[0.2798, 0.1057]","[0.2657, 0.3173]","[0.3636, 0.4324]","[0.4886, 0.4877]","[0.3444, 0.42]","[0.3328, 0.6868]","[0.339, 0.8511]","[0.3527, 0.9836]","[0.4975, 0.3756]","[0.5486, 0.7011]","[0.5775, 0.89]","[0.6251, 1.0226]","[0.6356, 0.3332]","[0.6326, 0.5774]","[0.5653, 0.4958]","[0.5407, 0.423]","[0.7301, 0.285]","[0.7024, 0.4639]","[0.6474, 0.4099]","[0.6346, 0.3474]"
"[0.4673, -0.0712]","[0.2895, 0.1468]","[0.3018, 0.3457]","[0.4062, 0.4381]","[0.5129, 0.5183]","[0.3514, 0.4454]","[0.341, 0.6985]","[0.3399, 0.8569]","[0.3525, 0.9906]","[0.4949, 0.3894]","[0.5575, 0.7048]","[0.5859, 0.8908]","[0.627, 1.0265]","[0.6383, 0.3388]","[0.6363, 0.5571]","[0.5643, 0.4691]","[0.5363, 0.3971]","[0.7394, 0.2954]","[0.7074, 0.4555]","[0.6439, 0.3985]","[0.6293, 0.3371]"
"[0.4829, -0.0708]","[0.2938, 0.142]","[0.3053, 0.3406]","[0.4097, 0.4348]","[0.5183, 0.5045]","[0.3554, 0.4492]","[0.3436, 0.699]","[0.345, 0.8594]","[0.3578, 0.9923]","[0.4999, 0.3946]","[0.5637, 0.7009]","[0.5933, 0.8885]","[0.632, 1.0242]","[0.6427, 0.3468]","[0.6326, 0.5549]","[0.5616, 0.4727]","[0.536, 0.4058]","[0.7431, 0.3056]","[0.709, 0.4573]","[0.6399, 0.4039]","[0.6276, 0.3464]"
"[0.4714, -0.0741]","[0.2938, 0.1301]","[0.2937, 0.3311]","[0.3948, 0.4315]","[0.51, 0.4942]","[0.3526, 0.4369]","[0.3443, 0.6997]","[0.3463, 0.8664]","[0.3577, 1.0019]","[0.5021, 0.3844]","[0.5551, 0.7059]","[0.58, 0.8955]","[0.6193, 1.0283]","[0.6461, 0.34]","[0.6425, 0.569]","[0.5701, 0.4866]","[0.54, 0.4171]","[0.7459, 0.2977]","[0.7137, 0.4621]","[0.6466, 0.4085]","[0.6318, 0.3494]"
"[0.4801, -0.0782]","[0.3019, 0.1236]","[0.2961, 0.3317]","[0.4018, 0.4323]","[0.5226, 0.4961]","[0.3536, 0.4326]","[0.3482, 0.703]","[0.3565, 0.8664]","[0.3733, 0.9981]","[0.5093, 0.3838]","[0.5472, 0.7059]","[0.5638, 0.8941]","[0.5975, 1.0245]","[0.6546, 0.3412]","[0.6421, 0.5664]","[0.576, 0.4829]","[0.5517, 0.4097]","[0.7599, 0.2982]","[0.7211, 0.4637]","[0.6631, 0.4087]","[0.6489, 0.3471]"
"[0.482, -0.1105]","[0.3014, 0.0758]","[0.285, 0.3051]","[0.3919, 0.4252]","[0.5186, 0.4785]","[0.3612, 0.3939]","[0.3713, 0.6883]","[0.3801, 0.8534]","[0.3942, 0.9836]","[0.5227, 0.3536]","[0.5456, 0.6699]","[0.5445, 0.8465]","[0.5667, 0.966]","[0.6652, 0.3133]","[0.6477, 0.5682]","[0.5774, 0.4951]","[0.5553, 0.412]","[0.7689, 0.2667]","[0.7255, 0.4644]","[0.67, 0.4187]","[0.6531, 0.3502]"
"[0.4812, -0.0915]","[0.3096, 0.1029]","[0.2977, 0.3213]","[0.4049, 0.4279]","[0.516, 0.4963]","[0.3672, 0.4065]","[0.386, 0.6972]","[0.3972, 0.8599]","[0.411, 0.9841]","[0.5225, 0.3622]","[0.5468, 0.6596]","[0.5363, 0.8081]","[0.5471, 0.907]","[0.6604, 0.3203]","[0.6474, 0.5559]","[0.5779, 0.4872]","[0.5519, 0.4036]","[0.7691, 0.2716]","[0.7285, 0.4575]","[0.673, 0.4127]","[0.6512, 0.3424]"
"[0.4834, -0.1028]","[0.3123, 0.0842]","[0.2945, 0.2973]","[0.381, 0.4056]","[0.4865, 0.4639]","[0.3809, 0.4016]","[0.3934, 0.6731]","[0.4041, 0.8271]","[0.4178, 0.9476]","[0.5279, 0.3571]","[0.54, 0.6482]","[0.5199, 0.7766]","[0.5284, 0.8703]","[0.6622, 0.3162]","[0.6468, 0.5488]","[0.581, 0.4795]","[0.5607, 0.3991]","[0.7681, 0.2654]","[0.7296, 0.4457]","[0.6755, 0.4068]","[0.6567, 0.3392]"
"[0.4834, -0.0933]","[0.3167, 0.0933]","[0.2975, 0.3081]","[0.3906, 0.4169]","[0.4956, 0.4913]","[0.3803, 0.3958]","[0.3976, 0.6671]","[0.4067, 0.8192]","[0.4217, 0.9421]","[0.5263, 0.3462]","[0.5362, 0.6376]","[0.5097, 0.7627]","[0.5164, 0.8531]","[0.6631, 0.3057]","[0.6483, 0.5487]","[0.5805, 0.4737]","[0.5601, 0.3921]","[0.7704, 0.2596]","[0.7278, 0.4446]","[0.6741, 0.3985]","[0.6583, 0.3266]"
"[0.4874, -0.0873]","[0.3127, 0.1044]","[0.3008, 0.3155]","[0.3915, 0.4211]","[0.4952, 0.4983]","[0.3813, 0.3956]","[0.4013, 0.666]","[0.4114, 0.8226]","[0.426, 0.9469]","[0.5226, 0.3407]","[0.5399, 0.6386]","[0.5156, 0.7649]","[0.5231, 0.8574]","[0.6586, 0.2993]","[0.6486, 0.5461]","[0.5805, 0.474]","[0.5579, 0.3935]","[0.7675, 0.2522]","[0.7327, 0.4439]","[0.6781, 0.4007]","[0.6602, 0.3271]"
"[0.4928, -0.0688]","[0.3277, 0.1327]","[0.3246, 0.3329]","[0.4148, 0.4231]","[0.5225, 0.5123]","[0.3859, 0.4211]","[0.3995, 0.6724]","[0.4068, 0.8255]","[0.4168, 0.9466]","[0.5179, 0.3576]","[0.5347, 0.644]","[0.5126, 0.7578]","[0.515, 0.8554]","[0.6537, 0.3178]","[0.6432, 0.537]","[0.5786, 0.4574]","[0.5582, 0.3786]","[0.7613, 0.2803]","[0.7233, 0.4389]","[0.6648, 0.3963]","[0.6497, 0.325]"
"[0.4967, -0.08]","[0.3296, 0.122]","[0.332, 0.3221]","[0.4136, 0.4175]","[0.5245, 0.5009]","[0.3885, 0.4158]","[0.3998, 0.6667]","[0.4061, 0.8194]","[0.4162, 0.9408]","[0.5172, 0.3555]","[0.5304, 0.6375]","[0.5097, 0.7533]","[0.5139, 0.8503]","[0.6519, 0.3149]","[0.6436, 0.5338]","[0.5812, 0.4573]","[0.5614, 0.3801]","[0.7602, 0.2767]","[0.726, 0.4333]","[0.6692, 0.394]","[0.6523, 0.3236]"
"[0.4873, -0.0878]","[0.3294, 0.1226]","[0.3352, 0.3237]","[0.4151, 0.4184]","[0.5233, 0.5093]","[0.3837, 0.4159]","[0.3975, 0.6681]","[0.4066, 0.8199]","[0.4196, 0.9387]","[0.5166, 0.3539]","[0.5322, 0.6396]","[0.5114, 0.7509]","[0.5137, 0.8455]","[0.6536, 0.3135]","[0.6454, 0.534]","[0.5822, 0.4549]","[0.561, 0.3755]","[0.7638, 0.2758]","[0.7272, 0.4293]","[0.671, 0.39]","[0.654, 0.3201]"
"[0.4927, -0.0887]","[0.3209, 0.1159]","[0.3288, 0.319]","[0.4163, 0.4114]","[0.5264, 0.4961]","[0.3837, 0.4179]","[0.4002, 0.6671]","[0.4107, 0.8169]","[0.4236, 0.9354]","[0.5175, 0.356]","[0.5358, 0.6414]","[0.5148, 0.7498]","[0.5178, 0.8399]","[0.653, 0.3133]","[0.6458, 0.5355]","[0.5792, 0.4544]","[0.5573, 0.3725]","[0.7619, 0.2729]","[0.7239, 0.4284]","[0.6627, 0.3895]","[0.6446, 0.3183]"
"[0.4994, -0.0808]","[0.3272, 0.1227]","[0.33, 0.3264]","[0.412, 0.4232]","[0.5159, 0.5174]","[0.3841, 0.4145]","[0.3973, 0.6671]","[0.4046, 0.8206]","[0.4168, 0.9406]","[0.5171, 0.3535]","[0.5351, 0.6396]","[0.5133, 0.7502]","[0.5153, 0.8437]","[0.6539, 0.3157]","[0.6422, 0.5349]","[0.5752, 0.4534]","[0.5527, 0.3732]","[0.7623, 0.2805]","[0.7229, 0.4327]","[0.6632, 0.3932]","[0.6473, 0.3232]"
"[0.4927, -0.0952]","[0.3191, 0.0984]","[0.3104, 0.3105]","[0.3991, 0.4179]","[0.5098, 0.5029]","[0.3781, 0.3972]","[0.3939, 0.6654]","[0.4042, 0.8222]","[0.4193, 0.9454]","[0.5229, 0.3453]","[0.5339, 0.6374]","[0.5075, 0.7563]","[0.5095, 0.8489]","[0.6591, 0.3119]","[0.642, 0.5473]","[0.5751, 0.4698]","[0.5535, 0.389]","[0.7667, 0.2751]","[0.7225, 0.4399]","[0.668, 0.3988]","[0.653, 0.3297]"
"[0.4903, -0.0875]","[0.3151, 0.1083]","[0.3075, 0.322]","[0.3858, 0.4327]","[0.4848, 0.5259]","[0.376, 0.4022]","[0.3915, 0.6688]","[0.3968, 0.8205]","[0.4097, 0.9427]","[0.5165, 0.3498]","[0.5324, 0.6449]","[0.5066, 0.7634]","[0.5104, 0.8585]","[0.6516, 0.3161]","[0.6393, 0.5504]","[0.5705, 0.4778]","[0.5487, 0.3988]","[0.7614, 0.277]","[0.7194, 0.448]","[0.6629, 0.4088]","[0.6462, 0.3382]"
"[0.4775, -0.1027]","[0.3072, 0.0775]","[0.2855, 0.3015]","[0.3748, 0.4286]","[0.4827, 0.4972]","[0.3658, 0.382]","[0.3841, 0.6677]","[0.3929, 0.8229]","[0.4041, 0.9445]","[0.521, 0.3453]","[0.5327, 0.64]","[0.5059, 0.7676]","[0.5067, 0.8534]","[0.6555, 0.3099]","[0.641, 0.5558]","[0.5729, 0.4906]","[0.5503, 0.4087]","[0.7606, 0.2632]","[0.7194, 0.4477]","[0.6689, 0.406]","[0.6521, 0.3376]"
"[0.4809, -0.0751]","[0.3074, 0.1062]","[0.2871, 0.3213]","[0.3757, 0.4367]","[0.4836, 0.5116]","[0.3638, 0.3917]","[0.3732, 0.6793]","[0.3795, 0.8397]","[0.3926, 0.9689]","[0.5133, 0.3499]","[0.5318, 0.6476]","[0.5099, 0.7799]","[0.5165, 0.8734]","[0.6491, 0.3188]","[0.6351, 0.5565]","[0.5682, 0.491]","[0.5453, 0.4108]","[0.7557, 0.2792]","[0.7141, 0.4583]","[0.6616, 0.4137]","[0.6456, 0.3412]"
"[0.4763, -0.0577]","[0.3055, 0.1363]","[0.2976, 0.3435]","[0.3916, 0.4384]","[0.4955, 0.5248]","[0.3604, 0.4245]","[0.3588, 0.6993]","[0.3641, 0.8675]","[0.3756, 1.003]","[0.4989, 0.3683]","[0.5254, 0.6576]","[0.5127, 0.7859]","[0.5255, 0.8845]","[0.6361, 0.3318]","[0.6299, 0.5635]","[0.5601, 0.4857]","[0.5346, 0.4087]","[0.7448, 0.2908]","[0.7124, 0.4632]","[0.655, 0.4169]","[0.6395, 0.3443]"
"[0.4722, -0.0721]","[0.301, 0.1143]","[0.2799, 0.3296]","[0.378, 0.4378]","[0.4849, 0.5012]","[0.3544, 0.4161]","[0.3505, 0.7067]","[0.3566, 0.8756]","[0.3677, 1.007]","[0.5054, 0.3742]","[0.5261, 0.6757]","[0.5202, 0.8305]","[0.5397, 0.9359]","[0.6407, 0.3347]","[0.6259, 0.5766]","[0.5561, 0.5086]","[0.5321, 0.4292]","[0.7471, 0.2851]","[0.7117, 0.4765]","[0.6596, 0.4318]","[0.6415, 0.3619]"
"[0.4572, -0.0757]","[0.2939, 0.1137]","[0.2764, 0.333]","[0.3747, 0.4456]","[0.487, 0.5081]","[0.3448, 0.4204]","[0.336, 0.7139]","[0.3396, 0.8855]","[0.3508, 1.0186]","[0.4986, 0.3767]","[0.5194, 0.6795]","[0.5207, 0.846]","[0.5454, 0.9584]","[0.636, 0.3352]","[0.6208, 0.5756]","[0.5532, 0.5052]","[0.5286, 0.4238]","[0.7394, 0.2872]","[0.7051, 0.4828]","[0.6531, 0.4325]","[0.635, 0.3605]"
"[0.4564, -0.0754]","[0.2851, 0.1048]","[0.2614, 0.3259]","[0.3718, 0.4458]","[0.491, 0.4836]","[0.334, 0.391]","[0.3289, 0.6932]","[0.3371, 0.8552]","[0.3478, 0.9782]","[0.4959, 0.3646]","[0.5162, 0.6824]","[0.527, 0.8632]","[0.5504, 0.9921]","[0.6353, 0.3278]","[0.6231, 0.5789]","[0.5595, 0.5184]","[0.5383, 0.4332]","[0.7355, 0.2835]","[0.7062, 0.4879]","[0.651, 0.4459]","[0.6368, 0.3768]"
