"[0.5503, 0.0628]","[0.7093, 0.205]","[0.7372, 0.369]","[0.6453, 0.4877]","[0.5398, 0.5483]","[0.6748, 0.4564]","[0.6456, 0.7224]","[0.6282, 0.8975]","[0.6016, 1.0253]","[0.5301, 0.4071]","[0.4663, 0.7046]","[0.4352, 0.8924]","[0.3945, 1.0283]","[0.4003, 0.337]","[0.3553, 0.5783]","[0.4111, 0.5242]","[0.4401, 0.4416]","[0.2916, 0.2581]","[0.2765, 0.4665]","[0.3288, 0.4271]","[0.3538, 0.3587]"
"[0.5642, -0.0388]","[0.7265, 0.1522]","[0.7317, 0.3401]","[0.6365, 0.4602]","[0.5254, 0.5246]","[0.6803, 0.4257]","[0.663, 0.6998]","[0.6522, 0.8705]","[0.6256, 1.0008]","[0.5307, 0.3749]","[0.4704, 0.6825]","[0.4342, 0.8607]","[0.3853, 0.9877]","[0.4063, 0.3172]","[0.3646, 0.5704]","[0.4311, 0.5339]","[0.4676, 0.4644]","[0.3018, 0.2549]","[0.286, 0.4723]","[0.3312, 0.4437]","[0.3561, 0.3855]"
"[0.5612, -0.0363]","[0.7173, 0.1694]","[0.7243, 0.3656]","[0.6327, 0.4744]","[0.528, 0.5535]","[0.6869, 0.4619]","[0.666, 0.7273]","[0.6447, 0.8971]","[0.6118, 1.0342]","[0.5351, 0.3986]","[0.4725, 0.6995]","[0.4239, 0.8854]","[0.3681, 1.0181]","[0.4066, 0.3415]","[0.3833, 0.5708]","[0.4435, 0.508]","[0.473, 0.4325]","[0.2927, 0.2922]","[0.2933, 0.4776]","[0.3391, 0.4266]","[0.3589, 0.3611]"
"[0.5486, -0.0455]","[0.7104, 0.1701]","[0.7068, 0.3665]","[0.6156, 0.4668]","[0.5182, 0.5586]","[0.6791, 0.4629]","[0.6604, 0.7125]","[0.6389, 0.8746]","[0.6051, 1.0087]","[0.5291, 0.4012]","[0.4657, 0.6964]","[0.4162, 0.8742]","[0.3592, 1.0057]","[0.4021, 0.3483]","[0.3763, 0.5685]","[0.4433, 0.5158]","[0.4775, 0.4487]","[0.2892, 0.3015]","[0.2875, 0.4748]","[0.3336, 0.4355]","[0.3576, 0.3733]"
"[0.5462, -0.0541]","[0.7182, 0.1622]","[0.7242, 0.3611]","[0.6343, 0.4711]","[0.5293, 0.5592]","[0.6795, 0.459]","[0.654, 0.7099]","[0.6293, 0.8733]","[0.5936, 1.0085]","[0.5291, 0.3936]","[0.4649, 0.6938]","[0.4184, 0.8847]","[0.3651, 1.0239]","[0.402, 0.341]","[0.3768, 0.5675]","[0.4425, 0.5144]","[0.4766, 0.447]","[0.2894, 0.2976]","[0.2875, 0.478]","[0.3336, 0.4381]","[0.3559, 0.3753]"
"[0.5526, -0.0589]","[0.7177, 0.1565]","[0.7242, 0.3603]","[0.6367, 0.4665]","[0.5346, 0.5574]","[0.6838, 0.4593]","[0.6605, 0.7101]","[0.6364, 0.8654]","[0.6002, 0.9975]","[0.5364, 0.3984]","[0.4821, 0.7008]","[0.4412, 0.8791]","[0.3909, 1.0092]","[0.4079, 0.3452]","[0.3819, 0.5658]","[0.4454, 0.5002]","[0.4747, 0.4241]","[0.2921, 0.2982]","[0.2885, 0.4745]","[0.3358, 0.4301]","[0.3544, 0.3631]"
"[0.5554, -0.0665]","[0.7261, 0.1455]","[0.7304, 0.3501]","[0.6405, 0.4598]","[0.5337, 0.5461]","[0.6912, 0.4446]","[0.6638, 0.6968]","[0.6406, 0.8561]","[0.6043, 0.9897]","[0.5437, 0.3835]","[0.4958, 0.6961]","[0.4615, 0.8792]","[0.4155, 1.0164]","[0.413, 0.3348]","[0.3835, 0.5645]","[0.4507, 0.5003]","[0.4826, 0.4241]","[0.2939, 0.2895]","[0.289, 0.4738]","[0.3364, 0.4302]","[0.3552, 0.3629]"
"[0.5645, -0.0964]","[0.7436, 0.0911]","[0.7643, 0.3059]","[0.6767, 0.4431]","[0.5576, 0.5126]","[0.6996, 0.4042]","[0.667, 0.6892]","[0.6393, 0.858]","[0.6057, 0.9883]","[0.5508, 0.3608]","[0.514, 0.6802]","[0.4907, 0.8442]","[0.4564, 0.9605]","[0.4171, 0.3141]","[0.3809, 0.5669]","[0.449, 0.5188]","[0.4863, 0.4387]","[0.3055, 0.2545]","[0.2845, 0.4723]","[0.3431, 0.4444]","[0.3671, 0.3733]"
"[0.5516, -0.0791]","[0.721, 0.1337]","[0.7184, 0.3476]","[0.6371, 0.4616]","[0.5276, 0.5683]","[0.7031, 0.4155]","[0.6658, 0.6923]","[0.6404, 0.854]","[0.6088, 0.9849]","[0.5549, 0.3583]","[0.5212, 0.6646]","[0.5055, 0.8128]","[0.4874, 0.9221]","[0.4188, 0.3202]","[0.3996, 0.5605]","[0.4615, 0.5005]","[0.4999, 0.4228]","[0.2996, 0.282]","[0.301, 0.4659]","[0.3497, 0.4298]","[0.3681, 0.3585]"
"[0.5509, -0.0885]","[0.7273, 0.1109]","[0.7416, 0.3209]","[0.669, 0.4418]","[0.5617, 0.5383]","[0.6952, 0.4105]","[0.664, 0.6839]","[0.6421, 0.8441]","[0.6122, 0.9729]","[0.5499, 0.3584]","[0.5237, 0.6609]","[0.5176, 0.7993]","[0.5053, 0.8977]","[0.4164, 0.3186]","[0.3975, 0.5585]","[0.4618, 0.5055]","[0.4986, 0.4308]","[0.302, 0.2771]","[0.2903, 0.4657]","[0.3438, 0.4326]","[0.3637, 0.3625]"
"[0.552, -0.0884]","[0.7234, 0.1245]","[0.7216, 0.3331]","[0.6468, 0.4516]","[0.5473, 0.5651]","[0.6979, 0.4199]","[0.6646, 0.687]","[0.6428, 0.8457]","[0.6124, 0.9732]","[0.5526, 0.3638]","[0.5288, 0.657]","[0.5216, 0.7911]","[0.5079, 0.8891]","[0.4186, 0.3213]","[0.4019, 0.549]","[0.4646, 0.492]","[0.5005, 0.4152]","[0.3008, 0.282]","[0.2948, 0.4567]","[0.3477, 0.4231]","[0.3676, 0.3519]"
"[0.5598, -0.102]","[0.7356, 0.0922]","[0.7559, 0.3047]","[0.6813, 0.4347]","[0.5664, 0.5299]","[0.7002, 0.3928]","[0.6651, 0.6832]","[0.6409, 0.8492]","[0.6112, 0.9805]","[0.5537, 0.3509]","[0.5268, 0.6614]","[0.5216, 0.7995]","[0.5092, 0.8935]","[0.4175, 0.3135]","[0.3938, 0.5578]","[0.4608, 0.5101]","[0.4988, 0.4319]","[0.3043, 0.267]","[0.2892, 0.4618]","[0.3449, 0.4334]","[0.3666, 0.3624]"
"[0.5581, -0.0818]","[0.7284, 0.1389]","[0.7252, 0.3549]","[0.6414, 0.4693]","[0.5423, 0.5878]","[0.7051, 0.4264]","[0.6635, 0.6968]","[0.6422, 0.8586]","[0.615, 0.9878]","[0.5547, 0.3681]","[0.5295, 0.6641]","[0.523, 0.7895]","[0.5099, 0.8884]","[0.4163, 0.3279]","[0.4061, 0.5607]","[0.4686, 0.4965]","[0.5033, 0.4143]","[0.2959, 0.2901]","[0.3027, 0.4616]","[0.3531, 0.4241]","[0.3696, 0.3506]"
"[0.5661, -0.0819]","[0.7337, 0.132]","[0.7388, 0.3458]","[0.6522, 0.4603]","[0.5425, 0.5594]","[0.7009, 0.4274]","[0.6666, 0.6967]","[0.646, 0.8527]","[0.6175, 0.9771]","[0.5535, 0.3733]","[0.5269, 0.6677]","[0.525, 0.7912]","[0.5151, 0.8818]","[0.418, 0.3312]","[0.404, 0.5597]","[0.4705, 0.5042]","[0.5062, 0.4245]","[0.3005, 0.2879]","[0.2976, 0.4667]","[0.3515, 0.4352]","[0.3702, 0.3632]"
"[0.56, -0.0747]","[0.731, 0.1394]","[0.7346, 0.3518]","[0.6571, 0.4655]","[0.555, 0.5677]","[0.7089, 0.4343]","[0.6755, 0.6971]","[0.6572, 0.858]","[0.6309, 0.9853]","[0.5617, 0.3716]","[0.5323, 0.668]","[0.5242, 0.793]","[0.51, 0.8876]","[0.4249, 0.3301]","[0.4084, 0.566]","[0.4703, 0.4992]","[0.5034, 0.4167]","[0.3025, 0.2903]","[0.2998, 0.4698]","[0.3513, 0.4313]","[0.3692, 0.3575]"
