[0.6157, 0.0],[0.4008, 0.0],[0.3975, 0.2505],[0.5769, 0.4283],[0.7721, 0.4508],[0.5131, 0.313],[0.5381, 0.7159],[0.5532, 0.9258],[0.5769, 1.0],[0.7353, 0.2693],[0.8227, 0.7055],[0.8792, 0.9495],[0.9515, 1.0],[0.9193, 0.205],[0.9416, 0.5702],[0.8397, 0.5211],[0.7951, 0.4142],[1.0, 0.1392],[1.0, 0.449],[0.9377, 0.4161],[0.9035, 0.3218]
[0.5913, 0.0],[0.3896, 0.0],[0.3725, 0.2538],[0.5361, 0.4401],[0.7149, 0.4675],[0.502, 0.3107],[0.5118, 0.7107],[0.5322, 0.9207],[0.5585, 1.0],[0.7188, 0.2675],[0.8062, 0.7018],[0.8581, 0.955],[0.9219, 1.0],[0.8949, 0.208],[0.9048, 0.5577],[0.8036, 0.5096],[0.7596, 0.4032],[1.0, 0.1466],[1.0, 0.4505],[0.9212, 0.415],[0.8864, 0.3189]
[0.5887, 0.0],[0.3811, 0.0],[0.3659, 0.2509],[0.5368, 0.4427],[0.7228, 0.4845],[0.4823, 0.3119],[0.4947, 0.7122],[0.5164, 0.9251],[0.544, 1.0],[0.7044, 0.2682],[0.7905, 0.7003],[0.8443, 0.9539],[0.9094, 1.0],[0.8864, 0.2098],[0.8838, 0.5603],[0.7891, 0.5041],[0.7537, 0.3924],[1.0, 0.1477],[0.9902, 0.4571],[0.9101, 0.4142],[0.8792, 0.313]
[0.5769, 0.0],[0.3725, 0.0],[0.3548, 0.2472],[0.5269, 0.4324],[0.7142, 0.4786],[0.4678, 0.3048],[0.4757, 0.7066],[0.4987, 0.9207],[0.5289, 1.0],[0.6879, 0.2605],[0.7688, 0.6981],[0.8233, 0.9524],[0.893, 1.0],[0.8726, 0.2069],[0.8739, 0.5588],[0.7793, 0.4985],[0.7438, 0.3887],[0.9988, 0.1492],[0.9777, 0.4553],[0.8995, 0.4098],[0.8706, 0.3104]
[0.5618, 0.0],[0.3561, 0.0],[0.3423, 0.2475],[0.5191, 0.4353],[0.7031, 0.4874],[0.4507, 0.2997],[0.4717, 0.7018],[0.4934, 0.917],[0.5197, 1.0],[0.6735, 0.2575],[0.7629, 0.7011],[0.8167, 0.9536],[0.8825, 1.0],[0.8588, 0.2047],[0.868, 0.5558],[0.7734, 0.4956],[0.7346, 0.3876],[0.9876, 0.1466],[0.9718, 0.4494],[0.893, 0.4032],[0.8634, 0.3078]
[0.5545, 0.0],[0.3502, 0.0],[0.3397, 0.2483],[0.5164, 0.4327],[0.7037, 0.49],[0.4455, 0.3],[0.4658, 0.7026],[0.4855, 0.9158],[0.5105, 1.0],[0.6695, 0.2527],[0.7543, 0.693],[0.8062, 0.948],[0.8726, 1.0],[0.8568, 0.2006],[0.8595, 0.5573],[0.7609, 0.4908],[0.7241, 0.3817],[0.9837, 0.1477],[0.962, 0.4512],[0.8818, 0.4057],[0.8535, 0.3133]
[0.5539, 0.0],[0.3416, 0.0],[0.3337, 0.2431],[0.5151, 0.4338],[0.7004, 0.493],[0.4409, 0.2812],[0.4619, 0.7011],[0.4829, 0.9173],[0.5085, 1.0],[0.6649, 0.2383],[0.7392, 0.6907],[0.7819, 0.948],[0.8397, 1.0],[0.8496, 0.1891],[0.8503, 0.5584],[0.751, 0.4952],[0.7109, 0.3821],[0.9764, 0.14],[0.9515, 0.4483],[0.8673, 0.4017],[0.8378, 0.3034]
[0.5447, 0.0],[0.3344, 0.0],[0.3252, 0.2346],[0.4947, 0.4246],[0.6827, 0.4778],[0.431, 0.2945],[0.4474, 0.7044],[0.4639, 0.9166],[0.4869, 1.0],[0.6498, 0.2527],[0.6958, 0.7088],[0.7215, 0.9639],[0.7642, 1.0],[0.8365, 0.1965],[0.8286, 0.5654],[0.7366, 0.4926],[0.7004, 0.3743],[0.9672, 0.1385],[0.9383, 0.4512],[0.8581, 0.3943],[0.8325, 0.293]
[0.5421, 0.0],[0.3383, 0.0],[0.3167, 0.2294],[0.4645, 0.4102],[0.6367, 0.4656],[0.4356, 0.3085],[0.4547, 0.707],[0.4711, 0.9155],[0.4961, 1.0],[0.6419, 0.2686],[0.6544, 0.6967],[0.6577, 0.9384],[0.6847, 1.0],[0.8253, 0.212],[0.8128, 0.5658],[0.7195, 0.4919],[0.6833, 0.3765],[0.9567, 0.1503],[0.9337, 0.4519],[0.8555, 0.4017],[0.8299, 0.3059]
[0.5453, 0.0],[0.3403, 0.0],[0.3239, 0.2327],[0.4625, 0.419],[0.6281, 0.5041],[0.4231, 0.3226],[0.4599, 0.7029],[0.4777, 0.9059],[0.5026, 1.0],[0.6255, 0.2793],[0.6301, 0.6967],[0.6124, 0.9262],[0.6203, 1.0],[0.8115, 0.2316],[0.7878, 0.5754],[0.7044, 0.5055],[0.6715, 0.3935],[0.9495, 0.1743],[0.9186, 0.4556],[0.8457, 0.4083],[0.8194, 0.3141]
[0.5447, 0.0],[0.3291, 0.0],[0.2989, 0.225],[0.4382, 0.4205],[0.6117, 0.4871],[0.4185, 0.2834],[0.4573, 0.6778],[0.4777, 0.8818],[0.5053, 1.0],[0.6268, 0.2534],[0.6183, 0.6741],[0.5894, 0.9033],[0.5861, 1.0],[0.8141, 0.2143],[0.7826, 0.5743],[0.6958, 0.5],[0.661, 0.3806],[0.9515, 0.1706],[0.9087, 0.4593],[0.8319, 0.4076],[0.8056, 0.3122]
