[0.3659, 0.0],[0.5756, 0.0],[0.5881, 0.2268],[0.4303, 0.4131],[0.2523, 0.4431],[0.475, 0.3285],[0.4579, 0.7177],[0.4448, 0.9295],[0.4264, 1.0],[0.2845, 0.2923],[0.1773, 0.7133],[0.1189, 0.9528],[0.0551, 1.0],[0.1149, 0.232],[0.0637, 0.5647],[0.1445, 0.5089],[0.2003, 0.3898],[0.0, 0.1621],[0.0, 0.4634],[0.0466, 0.4357],[0.0952, 0.3303]
[0.3771, 0.0],[0.5841, 0.0],[0.615, 0.2117],[0.4809, 0.4294],[0.3042, 0.4885],[0.4875, 0.3041],[0.4855, 0.7107],[0.4717, 0.9295],[0.452, 1.0],[0.2923, 0.2671],[0.1938, 0.7048],[0.1392, 0.9484],[0.0715, 1.0],[0.1281, 0.2183],[0.0867, 0.5773],[0.1833, 0.5233],[0.2431, 0.4013],[0.0, 0.1651],[0.0025, 0.4664],[0.086, 0.4372],[0.1274, 0.3366]
[0.3863, 0.0],[0.5999, 0.0],[0.6262, 0.2035],[0.4974, 0.4176],[0.3167, 0.4778],[0.4954, 0.2967],[0.4974, 0.7011],[0.4862, 0.9258],[0.4645, 1.0],[0.3009, 0.2631],[0.2036, 0.7052],[0.1517, 0.9502],[0.086, 1.0],[0.1359, 0.2132],[0.0906, 0.5898],[0.1872, 0.5288],[0.2457, 0.4028],[0.0052, 0.1536],[0.0, 0.4704],[0.0807, 0.4412],[0.1208, 0.3403]
[0.3962, 0.0],[0.6111, 0.0],[0.6341, 0.2047],[0.4921, 0.4239],[0.3075, 0.4885],[0.5184, 0.2923],[0.5145, 0.7044],[0.4993, 0.9273],[0.475, 1.0],[0.318, 0.2594],[0.2227, 0.7011],[0.1708, 0.9476],[0.1011, 1.0],[0.1491, 0.208],[0.1031, 0.5769],[0.203, 0.5211],[0.2621, 0.3939],[0.0163, 0.1511],[0.017, 0.4601],[0.1031, 0.4331],[0.1451, 0.3292]
[0.4106, 0.0],[0.6262, 0.0],[0.6406, 0.1913],[0.4954, 0.4098],[0.3127, 0.4793],[0.5414, 0.2782],[0.5289, 0.6863],[0.5138, 0.9144],[0.4901, 1.0],[0.3416, 0.2542],[0.2385, 0.6967],[0.1819, 0.9462],[0.1116, 1.0],[0.1662, 0.2076],[0.1156, 0.575],[0.2109, 0.5122],[0.2667, 0.3821],[0.0262, 0.1466],[0.0183, 0.456],[0.1024, 0.4257],[0.1419, 0.3215]
[0.4146, 0.0],[0.6275, 0.0],[0.6551, 0.1814],[0.5151, 0.4117],[0.3252, 0.4723],[0.5388, 0.2612],[0.5315, 0.6926],[0.5177, 0.9207],[0.4947, 1.0],[0.3351, 0.2331],[0.2404, 0.6896],[0.1925, 0.9406],[0.1287, 1.0],[0.1622, 0.1888],[0.1195, 0.5769],[0.2207, 0.5166],[0.2812, 0.3832],[0.0288, 0.1363],[0.0255, 0.4601],[0.1129, 0.4361],[0.1557, 0.3285]
[0.4225, 0.0],[0.6387, 0.0],[0.6656, 0.1947],[0.5302, 0.4276],[0.3508, 0.5022],[0.5427, 0.2782],[0.5401, 0.6985],[0.5243, 0.924],[0.4993, 1.0],[0.3416, 0.2464],[0.2628, 0.6915],[0.2214, 0.9391],[0.1622, 1.0],[0.1708, 0.1969],[0.134, 0.5758],[0.2371, 0.5137],[0.2996, 0.3802],[0.0367, 0.1414],[0.0407, 0.4571],[0.13, 0.4301],[0.1741, 0.3222]
[0.4317, 0.0],[0.6472, 0.0],[0.6787, 0.1913],[0.5427, 0.4124],[0.3607, 0.4738],[0.5578, 0.2764],[0.5565, 0.6981],[0.5421, 0.9244],[0.5151, 1.0],[0.362, 0.2498],[0.3068, 0.7096],[0.2812, 0.9539],[0.2286, 1.0],[0.1846, 0.2039],[0.1557, 0.5728],[0.2529, 0.5052],[0.3029, 0.3688],[0.0426, 0.1455],[0.0426, 0.4538],[0.13, 0.419],[0.1662, 0.3089]
[0.4363, 0.0],[0.6505, 0.0],[0.686, 0.1976],[0.5513, 0.4091],[0.3699, 0.456],[0.5664, 0.3185],[0.5539, 0.7162],[0.5381, 0.9306],[0.5118, 1.0],[0.3673, 0.293],[0.3436, 0.7173],[0.3397, 0.9399],[0.3061, 1.0],[0.1865, 0.2394],[0.1681, 0.5758],[0.2562, 0.5041],[0.3035, 0.371],[0.042, 0.167],[0.0426, 0.4486],[0.1248, 0.4135],[0.1563, 0.3093]
[0.4303, 0.0],[0.6465, 0.0],[0.6939, 0.1773],[0.5802, 0.3917],[0.4106, 0.4505],[0.5736, 0.3122],[0.5486, 0.7111],[0.5289, 0.9225],[0.5079, 1.0],[0.3804, 0.2978],[0.3791, 0.7122],[0.3863, 0.9122],[0.3712, 1.0],[0.1944, 0.2534],[0.1957, 0.5824],[0.2687, 0.4989],[0.3061, 0.3669],[0.0439, 0.1843],[0.061, 0.4494],[0.1346, 0.4054],[0.157, 0.3052]
[0.431, 0.0],[0.6551, 0.0],[0.709, 0.1718],[0.5933, 0.3898],[0.4297, 0.4564],[0.5775, 0.2682],[0.548, 0.6711],[0.5263, 0.8807],[0.5039, 1.0],[0.3804, 0.2568],[0.3903, 0.6852],[0.4087, 0.8948],[0.4001, 1.0],[0.1938, 0.2291],[0.2082, 0.5832],[0.2877, 0.5041],[0.3239, 0.3721],[0.0453, 0.1795],[0.0715, 0.4579],[0.1543, 0.4157],[0.1793, 0.3152]
[0.4277, 0.0],[0.6505, 0.0],[0.7063, 0.1566],[0.6137, 0.3684],[0.4553, 0.4427],[0.5749, 0.2775],[0.5493, 0.6708],[0.5263, 0.8837],[0.5013, 1.0],[0.383, 0.2579],[0.3916, 0.6841],[0.4041, 0.8926],[0.3922, 1.0],[0.201, 0.2254],[0.2082, 0.5769],[0.2884, 0.5037],[0.3311, 0.3825],[0.0545, 0.1688],[0.0709, 0.4538],[0.1491, 0.4165],[0.1754, 0.3215]
[0.4323, 0.0],[0.6531, 0.0],[0.7004, 0.1695],[0.6065, 0.3688],[0.4501, 0.4505],[0.5697, 0.2952],[0.5526, 0.6752],[0.5335, 0.8852],[0.5092, 1.0],[0.3811, 0.2741],[0.3935, 0.69],[0.4034, 0.8881],[0.3896, 1.0],[0.2023, 0.2383],[0.2043, 0.5699],[0.291, 0.5059],[0.3383, 0.3965],[0.0637, 0.1762],[0.0696, 0.4534],[0.1511, 0.4213],[0.1813, 0.3311]
[0.4422, 0.0],[0.6603, 0.0],[0.7175, 0.1777],[0.6071, 0.3921],[0.4415, 0.4579],[0.5848, 0.2767],[0.5618, 0.6752],[0.544, 0.8874],[0.5204, 1.0],[0.387, 0.2638],[0.3995, 0.6878],[0.4133, 0.8974],[0.3949, 1.0],[0.2036, 0.2309],[0.2168, 0.5758],[0.3029, 0.5052],[0.3469, 0.3765],[0.0584, 0.1755],[0.0781, 0.4608],[0.1609, 0.4294],[0.1931, 0.3307]
[0.4441, 0.0],[0.6623, 0.0],[0.7195, 0.1921],[0.6038, 0.4072],[0.4343, 0.4653],[0.5795, 0.2823],[0.5723, 0.6811],[0.5591, 0.894],[0.5414, 1.0],[0.3837, 0.269],[0.406, 0.6933],[0.4211, 0.9022],[0.4041, 1.0],[0.2043, 0.239],[0.224, 0.5865],[0.3134, 0.5133],[0.3594, 0.381],[0.063, 0.1888],[0.088, 0.4693],[0.1688, 0.4338],[0.199, 0.334]
[0.4501, 0.0],[0.6715, 0.0],[0.7346, 0.1965],[0.6262, 0.4061],[0.4599, 0.4597],[0.5828, 0.2834],[0.5743, 0.6848],[0.5591, 0.8985],[0.5394, 1.0],[0.387, 0.2679],[0.408, 0.6996],[0.4218, 0.9062],[0.4047, 1.0],[0.2089, 0.2379],[0.2299, 0.5983],[0.318, 0.524],[0.3613, 0.388],[0.0683, 0.1877],[0.0906, 0.4778],[0.1741, 0.4423],[0.2049, 0.3381]
[0.4448, 0.0],[0.6669, 0.0],[0.7326, 0.1965],[0.6249, 0.405],[0.454, 0.4564],[0.5802, 0.3026],[0.5795, 0.6978],[0.567, 0.9081],[0.5486, 1.0],[0.387, 0.2871],[0.4041, 0.7107],[0.4192, 0.914],[0.4034, 1.0],[0.2135, 0.2523],[0.2266, 0.6028],[0.3173, 0.5344],[0.364, 0.4028],[0.0761, 0.1965],[0.0886, 0.4811],[0.1701, 0.4475],[0.201, 0.3455]
[0.4481, 0.0],[0.6663, 0.0],[0.7234, 0.1954],[0.6268, 0.4039],[0.4645, 0.4745],[0.5874, 0.3056],[0.5835, 0.7018],[0.5736, 0.9173],[0.5552, 1.0],[0.3988, 0.2845],[0.406, 0.7111],[0.4146, 0.9158],[0.3949, 1.0],[0.2233, 0.2486],[0.2247, 0.6039],[0.3134, 0.5322],[0.3594, 0.4057],[0.0827, 0.1921],[0.088, 0.4837],[0.1668, 0.4479],[0.1977, 0.347]
[0.4533, 0.0],[0.6709, 0.0],[0.7234, 0.2095],[0.6176, 0.4179],[0.4501, 0.483],[0.5907, 0.313],[0.5999, 0.7096],[0.594, 0.9258],[0.5782, 1.0],[0.3981, 0.2919],[0.4034, 0.7199],[0.4093, 0.9269],[0.3857, 1.0],[0.2233, 0.256],[0.226, 0.6079],[0.3167, 0.5414],[0.364, 0.4154],[0.084, 0.1991],[0.0893, 0.4908],[0.1675, 0.4571],[0.1984, 0.3569]
[0.4606, 0.0],[0.6801, 0.0],[0.7201, 0.225],[0.6051, 0.4361],[0.4409, 0.5041],[0.6019, 0.3155],[0.6157, 0.7151],[0.6084, 0.9395],[0.5907, 1.0],[0.4054, 0.2934],[0.3962, 0.7277],[0.3922, 0.9506],[0.3613, 1.0],[0.2299, 0.2568],[0.224, 0.6142],[0.3147, 0.5481],[0.3646, 0.422],[0.0893, 0.1991],[0.0932, 0.4985],[0.1721, 0.4667],[0.2069, 0.3669]
[0.4711, 0.0],[0.6853, 0.0],[0.7234, 0.2283],[0.5999, 0.4434],[0.4303, 0.503],[0.6203, 0.3333],[0.6183, 0.7362],[0.6078, 0.9595],[0.5881, 1.0],[0.4218, 0.3133],[0.3784, 0.7528],[0.3567, 0.9901],[0.3101, 1.0],[0.2431, 0.2701],[0.2187, 0.6264],[0.3055, 0.5521],[0.3521, 0.4172],[0.0972, 0.2087],[0.0945, 0.5059],[0.1727, 0.4697],[0.2056, 0.3629]
[0.4796, 0.0],[0.6932, 0.0],[0.7208, 0.2457],[0.5828, 0.456],[0.4106, 0.5148],[0.6281, 0.3359],[0.5959, 0.7336],[0.5756, 0.9454],[0.5473, 1.0],[0.431, 0.307],[0.3633, 0.7514],[0.3285, 0.9986],[0.2713, 1.0],[0.2509, 0.266],[0.2115, 0.6345],[0.3042, 0.5639],[0.3554, 0.432],[0.1051, 0.2146],[0.107, 0.5174],[0.1879, 0.4878],[0.2214, 0.388]
[0.4908, 0.0],[0.6991, 0.0],[0.7247, 0.2435],[0.592, 0.4601],[0.4205, 0.5222],[0.6327, 0.3381],[0.5907, 0.7303],[0.567, 0.9358],[0.5355, 1.0],[0.4382, 0.3067],[0.3607, 0.7473],[0.3245, 0.9975],[0.2674, 1.0],[0.2608, 0.2642],[0.2141, 0.6323],[0.3075, 0.5676],[0.3627, 0.439],[0.1169, 0.2124],[0.1136, 0.5144],[0.1944, 0.4878],[0.2312, 0.3887]
[0.4993, 0.0],[0.7103, 0.0],[0.7109, 0.2461],[0.5532, 0.4638],[0.3758, 0.534],[0.6531, 0.3399],[0.5979, 0.7199],[0.569, 0.9229],[0.5381, 1.0],[0.4573, 0.2993],[0.3712, 0.7314],[0.3324, 0.989],[0.2766, 1.0],[0.2753, 0.2579],[0.2227, 0.6205],[0.3167, 0.5584],[0.3778, 0.4372],[0.1235, 0.2106],[0.1274, 0.5122],[0.2076, 0.486],[0.2444, 0.3917]
[0.4928, 0.0],[0.7116, 0.0],[0.7333, 0.2542],[0.6104, 0.4664],[0.4441, 0.5311],[0.6281, 0.3377],[0.5953, 0.7055],[0.5703, 0.9085],[0.5401, 1.0],[0.4349, 0.2997],[0.3686, 0.7347],[0.3337, 0.9872],[0.2799, 1.0],[0.2667, 0.2638],[0.2286, 0.6249],[0.3259, 0.5599],[0.383, 0.4409],[0.1307, 0.2146],[0.1267, 0.5107],[0.2036, 0.4852],[0.2371, 0.395]
[0.4921, 0.0],[0.7096, 0.0],[0.7333, 0.2442],[0.6163, 0.4553],[0.4514, 0.5255],[0.6347, 0.3359],[0.6045, 0.7044],[0.5775, 0.9081],[0.5453, 1.0],[0.4468, 0.2963],[0.3791, 0.7377],[0.339, 0.9931],[0.2818, 1.0],[0.2766, 0.2616],[0.2391, 0.6238],[0.3311, 0.5492],[0.385, 0.4279],[0.1327, 0.2139],[0.132, 0.5111],[0.203, 0.4775],[0.2325, 0.3865]
[0.502, 0.0],[0.7188, 0.0],[0.7261, 0.2627],[0.5973, 0.466],[0.431, 0.5396],[0.6439, 0.3514],[0.6051, 0.7122],[0.5756, 0.9129],[0.5414, 1.0],[0.456, 0.3015],[0.3857, 0.7366],[0.3456, 0.9957],[0.2877, 1.0],[0.2858, 0.2638],[0.2417, 0.6224],[0.3423, 0.5562],[0.4027, 0.4438],[0.1405, 0.2172],[0.1412, 0.5115],[0.2181, 0.4819],[0.2503, 0.3924]
[0.5151, 0.0],[0.7287, 0.0],[0.7445, 0.2531],[0.6012, 0.4682],[0.4323, 0.5396],[0.6518, 0.3229],[0.615, 0.7044],[0.5867, 0.9062],[0.5499, 1.0],[0.4579, 0.2941],[0.3916, 0.7336],[0.3574, 0.9868],[0.2989, 1.0],[0.2805, 0.2568],[0.2385, 0.6242],[0.3436, 0.5621],[0.4041, 0.4335],[0.1379, 0.2102],[0.1373, 0.5096],[0.224, 0.4852],[0.2628, 0.3865]
[0.5269, 0.0],[0.732, 0.0],[0.7425, 0.2364],[0.5953, 0.442],[0.429, 0.5085],[0.6676, 0.3266],[0.617, 0.7063],[0.5848, 0.9096],[0.5453, 1.0],[0.4731, 0.2915],[0.3981, 0.7388],[0.3613, 0.995],[0.3022, 1.0],[0.291, 0.2516],[0.2463, 0.6257],[0.3423, 0.5584],[0.3981, 0.4331],[0.1425, 0.2047],[0.1405, 0.5115],[0.2194, 0.4797],[0.2523, 0.3821]
[0.5296, 0.0],[0.7359, 0.0],[0.753, 0.2479],[0.6091, 0.4678],[0.429, 0.5296],[0.6617, 0.3159],[0.6189, 0.7055],[0.5907, 0.9081],[0.5565, 1.0],[0.4671, 0.2819],[0.3962, 0.734],[0.3666, 0.9887],[0.314, 1.0],[0.2891, 0.2453],[0.2483, 0.6272],[0.3508, 0.5636],[0.4119, 0.4368],[0.1465, 0.2021],[0.1537, 0.5089],[0.2378, 0.4819],[0.2733, 0.3836]
[0.5375, 0.0],[0.7399, 0.0],[0.7629, 0.2486],[0.6262, 0.4656],[0.4547, 0.5255],[0.6741, 0.33],[0.6275, 0.7092],[0.5992, 0.9114],[0.5664, 1.0],[0.4816, 0.2956],[0.4067, 0.7381],[0.3712, 0.985],[0.3173, 1.0],[0.3015, 0.2546],[0.2601, 0.6209],[0.3541, 0.5551],[0.4093, 0.4298],[0.1543, 0.2032],[0.1563, 0.5055],[0.2358, 0.4738],[0.2674, 0.3754]
[0.5407, 0.0],[0.7458, 0.0],[0.7622, 0.2416],[0.6222, 0.459],[0.4501, 0.5322],[0.686, 0.3211],[0.6406, 0.7077],[0.6097, 0.9103],[0.5749, 1.0],[0.4928, 0.2878],[0.4192, 0.7344],[0.383, 0.9824],[0.3285, 1.0],[0.3114, 0.2483],[0.2654, 0.6249],[0.36, 0.5595],[0.4172, 0.4335],[0.1622, 0.2006],[0.1603, 0.507],[0.2431, 0.4823],[0.2799, 0.3876]
[0.5407, 0.0],[0.7504, 0.0],[0.7668, 0.2453],[0.6203, 0.4627],[0.4468, 0.5344],[0.684, 0.3189],[0.6406, 0.7052],[0.6124, 0.9085],[0.5789, 1.0],[0.4895, 0.2863],[0.4185, 0.7307],[0.383, 0.9839],[0.3272, 1.0],[0.3094, 0.2472],[0.2661, 0.6172],[0.3633, 0.5514],[0.4225, 0.4253],[0.1622, 0.2006],[0.1635, 0.5041],[0.245, 0.4756],[0.2805, 0.3788]
[0.5381, 0.0],[0.7491, 0.0],[0.7668, 0.2516],[0.6157, 0.4686],[0.4448, 0.5451],[0.686, 0.3244],[0.6564, 0.7207],[0.636, 0.9365],[0.6097, 1.0],[0.4895, 0.2893],[0.4198, 0.7358],[0.385, 0.9894],[0.3285, 1.0],[0.3088, 0.2438],[0.268, 0.6161],[0.3659, 0.5451],[0.4238, 0.4124],[0.1596, 0.1939],[0.1596, 0.5044],[0.2417, 0.4719],[0.2759, 0.3684]
[0.5322, 0.0],[0.7418, 0.0],[0.7747, 0.2538],[0.6367, 0.4704],[0.4619, 0.5344],[0.6695, 0.3285],[0.6735, 0.7406],[0.661, 0.9591],[0.64, 1.0],[0.4731, 0.2937],[0.4402, 0.7321],[0.4264, 0.9528],[0.3863, 1.0],[0.2976, 0.2472],[0.2713, 0.6294],[0.3686, 0.5617],[0.4225, 0.4279],[0.1543, 0.1965],[0.153, 0.507],[0.2385, 0.4793],[0.2779, 0.378]
[0.5256, 0.0],[0.7425, 0.0],[0.7642, 0.2534],[0.636, 0.4597],[0.4737, 0.5492],[0.6741, 0.3274],[0.6695, 0.7325],[0.6518, 0.9536],[0.6308, 1.0],[0.477, 0.2948],[0.4652, 0.7162],[0.4658, 0.9088],[0.4474, 1.0],[0.295, 0.259],[0.291, 0.6272],[0.385, 0.5625],[0.4376, 0.4379],[0.1484, 0.2095],[0.1589, 0.5074],[0.2457, 0.4763],[0.2805, 0.3825]
[0.5315, 0.0],[0.751, 0.0],[0.8036, 0.2254],[0.6978, 0.4372],[0.5421, 0.5055],[0.682, 0.2978],[0.6709, 0.7151],[0.6518, 0.9439],[0.6334, 1.0],[0.4809, 0.2734],[0.4744, 0.6955],[0.4809, 0.8763],[0.4724, 1.0],[0.3002, 0.2457],[0.3022, 0.6312],[0.3863, 0.5673],[0.433, 0.4361],[0.1596, 0.2017],[0.1629, 0.5067],[0.2463, 0.4749],[0.2818, 0.3765]
