"[0.5815, 0.6011]","[0.5608, 0.5868]","[0.5502, 0.5454]","[0.5558, 0.4991]","[0.56, 0.4642]","[0.5381, 0.5059]","[0.525, 0.4463]","[0.5185, 0.4054]","[0.5141, 0.3698]","[0.5583, 0.4998]","[0.5653, 0.4355]","[0.5722, 0.3914]","[0.5772, 0.3528]","[0.5773, 0.5077]","[0.5904, 0.4868]","[0.5891, 0.5259]","[0.5865, 0.5541]","[0.5922, 0.5241]","[0.6016, 0.5086]","[0.5995, 0.5371]","[0.5951, 0.5599]"
"[0.5847, 0.6203]","[0.5667, 0.5911]","[0.5561, 0.5466]","[0.5592, 0.4986]","[0.5618, 0.4592]","[0.5378, 0.5084]","[0.5245, 0.4468]","[0.5178, 0.4067]","[0.5122, 0.3711]","[0.558, 0.5026]","[0.5644, 0.4371]","[0.5718, 0.3912]","[0.5772, 0.352]","[0.577, 0.5117]","[0.5912, 0.4886]","[0.5927, 0.5302]","[0.591, 0.5609]","[0.5919, 0.5271]","[0.6021, 0.5063]","[0.6013, 0.5369]","[0.5973, 0.5629]"
"[0.5855, 0.6369]","[0.5675, 0.5938]","[0.5575, 0.5412]","[0.56, 0.492]","[0.5616, 0.4525]","[0.5383, 0.5109]","[0.5258, 0.4465]","[0.5187, 0.4063]","[0.5127, 0.3703]","[0.5579, 0.5057]","[0.5649, 0.441]","[0.5716, 0.3926]","[0.5775, 0.354]","[0.5763, 0.5142]","[0.5926, 0.4909]","[0.5949, 0.5284]","[0.5941, 0.5594]","[0.5898, 0.5269]","[0.602, 0.5063]","[0.6026, 0.5348]","[0.6003, 0.5602]"
"[0.586, 0.6426]","[0.5685, 0.5957]","[0.5579, 0.5419]","[0.5591, 0.4922]","[0.5587, 0.4515]","[0.5377, 0.5086]","[0.5261, 0.4444]","[0.5197, 0.4053]","[0.5143, 0.3699]","[0.5581, 0.5051]","[0.5644, 0.4407]","[0.5718, 0.3935]","[0.5782, 0.3554]","[0.5769, 0.5156]","[0.593, 0.4918]","[0.5954, 0.5305]","[0.5941, 0.5606]","[0.5908, 0.5291]","[0.6025, 0.5073]","[0.6031, 0.5352]","[0.6007, 0.5591]"
"[0.586, 0.6463]","[0.5701, 0.6007]","[0.5589, 0.5477]","[0.5589, 0.4972]","[0.5585, 0.455]","[0.5379, 0.5096]","[0.5261, 0.4446]","[0.5199, 0.4047]","[0.5147, 0.369]","[0.558, 0.5059]","[0.5642, 0.4406]","[0.5718, 0.3937]","[0.5779, 0.3551]","[0.5766, 0.5164]","[0.5921, 0.4908]","[0.5946, 0.5286]","[0.5932, 0.5573]","[0.5907, 0.5304]","[0.6019, 0.5062]","[0.603, 0.5337]","[0.6005, 0.5564]"
"[0.5856, 0.6457]","[0.569, 0.6013]","[0.5573, 0.5487]","[0.5575, 0.4982]","[0.5568, 0.4549]","[0.5376, 0.5102]","[0.526, 0.445]","[0.5198, 0.4052]","[0.5149, 0.3695]","[0.5582, 0.5064]","[0.5641, 0.44]","[0.572, 0.3931]","[0.5781, 0.3539]","[0.5768, 0.517]","[0.5913, 0.4886]","[0.5942, 0.5266]","[0.5928, 0.5567]","[0.591, 0.5313]","[0.602, 0.5052]","[0.6033, 0.532]","[0.6004, 0.5559]"
"[0.5855, 0.6448]","[0.5684, 0.6004]","[0.5566, 0.5474]","[0.5565, 0.4969]","[0.5551, 0.4535]","[0.5374, 0.5094]","[0.5258, 0.4439]","[0.5195, 0.4041]","[0.5145, 0.3684]","[0.5581, 0.506]","[0.5643, 0.4397]","[0.5721, 0.3921]","[0.5785, 0.3535]","[0.5765, 0.5169]","[0.592, 0.49]","[0.5946, 0.5278]","[0.5932, 0.5574]","[0.5904, 0.5305]","[0.6025, 0.507]","[0.6036, 0.5341]","[0.6007, 0.5579]"
"[0.5856, 0.6442]","[0.5682, 0.5999]","[0.557, 0.5474]","[0.5575, 0.4968]","[0.5566, 0.4532]","[0.5376, 0.5084]","[0.526, 0.4432]","[0.5195, 0.4034]","[0.5142, 0.3678]","[0.5582, 0.5054]","[0.5644, 0.44]","[0.5719, 0.393]","[0.5781, 0.3553]","[0.5768, 0.5162]","[0.5923, 0.4909]","[0.5947, 0.5288]","[0.5935, 0.5579]","[0.5907, 0.5296]","[0.6024, 0.5067]","[0.6036, 0.5342]","[0.6012, 0.5575]"
"[0.5856, 0.6444]","[0.5687, 0.5998]","[0.5573, 0.5467]","[0.5579, 0.4961]","[0.5574, 0.4526]","[0.5374, 0.5082]","[0.5257, 0.4432]","[0.5193, 0.4033]","[0.5142, 0.3676]","[0.5579, 0.5053]","[0.5642, 0.44]","[0.5718, 0.3929]","[0.5782, 0.3546]","[0.5765, 0.5163]","[0.5917, 0.4898]","[0.5943, 0.528]","[0.5934, 0.5573]","[0.5907, 0.5302]","[0.6019, 0.5062]","[0.6031, 0.5339]","[0.601, 0.5572]"
"[0.5854, 0.6437]","[0.5688, 0.5992]","[0.5581, 0.5462]","[0.559, 0.4955]","[0.5585, 0.4508]","[0.5375, 0.5086]","[0.5259, 0.4436]","[0.5194, 0.4037]","[0.5142, 0.3679]","[0.5579, 0.5059]","[0.5642, 0.4411]","[0.5718, 0.3935]","[0.5784, 0.355]","[0.5767, 0.5168]","[0.592, 0.491]","[0.5945, 0.5292]","[0.5936, 0.558]","[0.5909, 0.5301]","[0.6023, 0.5074]","[0.6035, 0.5353]","[0.6014, 0.5578]"
"[0.5858, 0.6446]","[0.5691, 0.5993]","[0.5581, 0.546]","[0.5587, 0.4951]","[0.5582, 0.4513]","[0.5374, 0.509]","[0.5257, 0.444]","[0.5193, 0.4038]","[0.5142, 0.3678]","[0.5579, 0.5063]","[0.5641, 0.442]","[0.5718, 0.3944]","[0.5783, 0.3557]","[0.5768, 0.5172]","[0.5917, 0.4906]","[0.5944, 0.5285]","[0.5935, 0.5577]","[0.5911, 0.5309]","[0.6021, 0.5075]","[0.6032, 0.5348]","[0.6011, 0.5576]"
