"[0.4166, 0.8367]","[0.5092, 0.7542]","[0.5774, 0.6297]","[0.5676, 0.498]","[0.5601, 0.3958]","[0.6594, 0.5475]","[0.733, 0.3777]","[0.7659, 0.2633]","[0.792, 0.1633]","[0.5608, 0.5376]","[0.5221, 0.3665]","[0.4692, 0.2425]","[0.4304, 0.1397]","[0.4705, 0.5599]","[0.3871, 0.5023]","[0.3692, 0.6129]","[0.3767, 0.6869]","[0.3943, 0.6045]","[0.3351, 0.5466]","[0.3219, 0.6312]","[0.3334, 0.6902]"
"[0.4337, 0.8932]","[0.5189, 0.775]","[0.5689, 0.6427]","[0.5696, 0.5065]","[0.5525, 0.3997]","[0.6521, 0.5612]","[0.7265, 0.3862]","[0.7684, 0.2699]","[0.8011, 0.1719]","[0.5594, 0.5538]","[0.5057, 0.3665]","[0.4549, 0.2391]","[0.4161, 0.1397]","[0.4726, 0.5747]","[0.385, 0.5044]","[0.3714, 0.6166]","[0.3847, 0.698]","[0.4014, 0.6094]","[0.3309, 0.5606]","[0.321, 0.6393]","[0.34, 0.7009]"
"[0.4316, 0.8972]","[0.5126, 0.7709]","[0.5764, 0.6338]","[0.5743, 0.4944]","[0.5541, 0.3883]","[0.6552, 0.5494]","[0.7267, 0.3775]","[0.7635, 0.2643]","[0.7973, 0.1693]","[0.5611, 0.5464]","[0.515, 0.3638]","[0.4595, 0.2321]","[0.4174, 0.1279]","[0.4745, 0.5715]","[0.3861, 0.506]","[0.3702, 0.6133]","[0.3809, 0.691]","[0.4048, 0.6082]","[0.3359, 0.5592]","[0.3267, 0.639]","[0.3439, 0.6987]"
"[0.4253, 0.9019]","[0.5096, 0.7746]","[0.5735, 0.6343]","[0.5714, 0.494]","[0.5527, 0.3875]","[0.6554, 0.5504]","[0.7275, 0.3775]","[0.7648, 0.2634]","[0.7987, 0.1688]","[0.5624, 0.5473]","[0.5145, 0.3655]","[0.4607, 0.2345]","[0.421, 0.1317]","[0.4765, 0.5716]","[0.3847, 0.5052]","[0.3701, 0.6124]","[0.3826, 0.6907]","[0.4073, 0.6084]","[0.3361, 0.559]","[0.3255, 0.6387]","[0.3426, 0.6991]"
"[0.422, 0.9072]","[0.5014, 0.7784]","[0.5642, 0.6363]","[0.569, 0.4956]","[0.5528, 0.3867]","[0.6516, 0.5536]","[0.724, 0.3815]","[0.7623, 0.2679]","[0.7963, 0.1735]","[0.5596, 0.5512]","[0.5126, 0.3713]","[0.4604, 0.2407]","[0.4207, 0.1373]","[0.474, 0.5752]","[0.382, 0.5092]","[0.3673, 0.6157]","[0.3795, 0.693]","[0.4064, 0.6106]","[0.3363, 0.5609]","[0.3243, 0.6399]","[0.3392, 0.6999]"
"[0.4194, 0.9074]","[0.4997, 0.7793]","[0.564, 0.6365]","[0.5694, 0.4966]","[0.5562, 0.3889]","[0.6517, 0.5566]","[0.7242, 0.3827]","[0.7621, 0.2694]","[0.7966, 0.1746]","[0.5588, 0.5521]","[0.5135, 0.3715]","[0.4622, 0.2407]","[0.4238, 0.1368]","[0.474, 0.573]","[0.3844, 0.5075]","[0.3664, 0.6145]","[0.3739, 0.6933]","[0.4084, 0.6055]","[0.3406, 0.5563]","[0.327, 0.6356]","[0.3388, 0.6963]"
"[0.4197, 0.9063]","[0.4998, 0.7776]","[0.5643, 0.6346]","[0.5688, 0.4952]","[0.5537, 0.3887]","[0.652, 0.5527]","[0.725, 0.3811]","[0.763, 0.2686]","[0.797, 0.1752]","[0.5594, 0.5497]","[0.5133, 0.3709]","[0.4613, 0.2407]","[0.4222, 0.1371]","[0.4748, 0.5723]","[0.3856, 0.5079]","[0.3674, 0.6133]","[0.3744, 0.6912]","[0.409, 0.607]","[0.3416, 0.5582]","[0.3278, 0.6359]","[0.339, 0.696]"
"[0.4213, 0.9075]","[0.5047, 0.7791]","[0.5691, 0.637]","[0.5714, 0.4961]","[0.5527, 0.388]","[0.6513, 0.5523]","[0.7243, 0.3792]","[0.7628, 0.2667]","[0.7964, 0.1737]","[0.5589, 0.5504]","[0.5122, 0.3721]","[0.4597, 0.2414]","[0.4188, 0.138]","[0.4738, 0.5745]","[0.3849, 0.5101]","[0.3703, 0.6143]","[0.3798, 0.6913]","[0.4064, 0.6098]","[0.3396, 0.5605]","[0.328, 0.6374]","[0.3402, 0.6967]"
"[0.4211, 0.9104]","[0.5012, 0.78]","[0.5666, 0.6363]","[0.5706, 0.4956]","[0.5524, 0.3878]","[0.6525, 0.5562]","[0.7245, 0.3823]","[0.763, 0.2688]","[0.7968, 0.1744]","[0.5606, 0.5535]","[0.5135, 0.3727]","[0.4609, 0.241]","[0.4198, 0.1371]","[0.476, 0.5765]","[0.3834, 0.5099]","[0.3688, 0.6153]","[0.3795, 0.6926]","[0.4103, 0.6104]","[0.3403, 0.5604]","[0.3278, 0.6381]","[0.3411, 0.6977]"
"[0.4204, 0.9064]","[0.5022, 0.7803]","[0.5677, 0.6378]","[0.5703, 0.4979]","[0.5533, 0.3901]","[0.653, 0.5516]","[0.7266, 0.3796]","[0.7643, 0.2675]","[0.7971, 0.1745]","[0.5607, 0.5484]","[0.5141, 0.3706]","[0.4617, 0.2405]","[0.4206, 0.1372]","[0.4761, 0.5717]","[0.3851, 0.5085]","[0.3702, 0.6147]","[0.3799, 0.6922]","[0.4102, 0.607]","[0.3406, 0.5594]","[0.3286, 0.6379]","[0.3415, 0.6982]"
"[0.4221, 0.9055]","[0.502, 0.7812]","[0.5668, 0.6412]","[0.5691, 0.5008]","[0.5502, 0.3927]","[0.654, 0.5507]","[0.7268, 0.3786]","[0.7648, 0.2658]","[0.7971, 0.1727]","[0.5625, 0.5483]","[0.5148, 0.3697]","[0.4614, 0.2397]","[0.4187, 0.1373]","[0.4775, 0.5715]","[0.3851, 0.5094]","[0.3715, 0.6151]","[0.3826, 0.6923]","[0.4106, 0.6058]","[0.3406, 0.557]","[0.3287, 0.6362]","[0.3422, 0.6975]"
"[0.4219, 0.9069]","[0.5012, 0.7851]","[0.5656, 0.644]","[0.5687, 0.5016]","[0.5489, 0.3924]","[0.6531, 0.5502]","[0.7264, 0.3786]","[0.765, 0.2664]","[0.7975, 0.1735]","[0.5624, 0.5466]","[0.5158, 0.3699]","[0.4616, 0.2405]","[0.4179, 0.137]","[0.4777, 0.5704]","[0.3849, 0.5092]","[0.3712, 0.6145]","[0.3816, 0.6911]","[0.4106, 0.6066]","[0.3407, 0.5577]","[0.329, 0.6357]","[0.3417, 0.6967]"
"[0.4237, 0.908]","[0.4992, 0.7777]","[0.5612, 0.6369]","[0.5688, 0.4989]","[0.5536, 0.3897]","[0.6512, 0.5604]","[0.7253, 0.3805]","[0.7639, 0.2646]","[0.7969, 0.1677]","[0.5604, 0.5585]","[0.513, 0.3722]","[0.4616, 0.2395]","[0.4212, 0.1349]","[0.4768, 0.5786]","[0.3844, 0.5081]","[0.3711, 0.6143]","[0.3842, 0.6923]","[0.412, 0.6078]","[0.3402, 0.5594]","[0.3287, 0.6382]","[0.3447, 0.6982]"
"[0.4244, 0.9048]","[0.5009, 0.7732]","[0.5615, 0.634]","[0.567, 0.4973]","[0.5507, 0.3908]","[0.6516, 0.5566]","[0.726, 0.3785]","[0.7645, 0.2634]","[0.7971, 0.1679]","[0.5609, 0.5547]","[0.5136, 0.3697]","[0.4622, 0.2381]","[0.4221, 0.1345]","[0.4771, 0.5754]","[0.3865, 0.507]","[0.3728, 0.6116]","[0.3843, 0.6896]","[0.4113, 0.606]","[0.3413, 0.5576]","[0.33, 0.636]","[0.3453, 0.6969]"
"[0.4228, 0.9027]","[0.499, 0.775]","[0.5608, 0.636]","[0.5661, 0.4978]","[0.5497, 0.3907]","[0.6505, 0.5553]","[0.7245, 0.3775]","[0.7632, 0.2626]","[0.7965, 0.168]","[0.5595, 0.553]","[0.512, 0.3699]","[0.4602, 0.2386]","[0.4201, 0.1352]","[0.4758, 0.5739]","[0.3845, 0.5083]","[0.3713, 0.6125]","[0.383, 0.6895]","[0.4101, 0.606]","[0.3408, 0.557]","[0.3298, 0.6347]","[0.3444, 0.6948]"
"[0.4223, 0.9042]","[0.499, 0.778]","[0.5591, 0.6398]","[0.5648, 0.5016]","[0.5488, 0.3938]","[0.6488, 0.5571]","[0.7225, 0.3788]","[0.7616, 0.2635]","[0.795, 0.168]","[0.5567, 0.5541]","[0.5095, 0.3718]","[0.4574, 0.2407]","[0.4174, 0.1381]","[0.4717, 0.5747]","[0.3824, 0.51]","[0.3703, 0.6142]","[0.3832, 0.6912]","[0.4049, 0.6069]","[0.3369, 0.5574]","[0.3278, 0.6364]","[0.3442, 0.6976]"
"[0.4214, 0.9022]","[0.5029, 0.7754]","[0.5637, 0.636]","[0.5671, 0.4962]","[0.5551, 0.389]","[0.6481, 0.5589]","[0.7209, 0.3781]","[0.7607, 0.2635]","[0.7949, 0.1685]","[0.5543, 0.5542]","[0.5089, 0.3687]","[0.4571, 0.2378]","[0.4174, 0.1336]","[0.4688, 0.5744]","[0.3819, 0.5085]","[0.3707, 0.6142]","[0.3826, 0.6928]","[0.4009, 0.608]","[0.3357, 0.5588]","[0.3277, 0.6374]","[0.3427, 0.6991]"
