[0.5596, 0.8336],[0.4535, 0.7428],[0.4106, 0.606],[0.4434, 0.4785],[0.4527, 0.3775],[0.3682, 0.5336],[0.3286, 0.3786],[0.3154, 0.2762],[0.306, 0.186],[0.4651, 0.5337],[0.5166, 0.3699],[0.5669, 0.2634],[0.609, 0.1748],[0.5537, 0.5675],[0.5956, 0.4835],[0.5779, 0.5866],[0.5612, 0.658],[0.6246, 0.6158],[0.6483, 0.5511],[0.6324, 0.6257],[0.62, 0.6811]
[0.5531, 0.8617],[0.4564, 0.7389],[0.4164, 0.6033],[0.4414, 0.4743],[0.4488, 0.3711],[0.3695, 0.5251],[0.3335, 0.3714],[0.3141, 0.2748],[0.3003, 0.1865],[0.4646, 0.5328],[0.5158, 0.3728],[0.5641, 0.2668],[0.6059, 0.174],[0.5534, 0.5713],[0.6031, 0.4879],[0.5784, 0.5857],[0.558, 0.6565],[0.6243, 0.6214],[0.6477, 0.5595],[0.6267, 0.6314],[0.6115, 0.6848]
[0.5583, 0.8799],[0.4644, 0.7456],[0.419, 0.6084],[0.4398, 0.4794],[0.4485, 0.3737],[0.3658, 0.5289],[0.327, 0.3722],[0.309, 0.2742],[0.2967, 0.1852],[0.4617, 0.5352],[0.5085, 0.3708],[0.5575, 0.2646],[0.6023, 0.1732],[0.5509, 0.5744],[0.6001, 0.4932],[0.5741, 0.5903],[0.5533, 0.66],[0.6233, 0.6249],[0.6453, 0.5637],[0.6213, 0.6352],[0.6038, 0.6872]
[0.5606, 0.8897],[0.4684, 0.7523],[0.4178, 0.6138],[0.4344, 0.4844],[0.4461, 0.3769],[0.3671, 0.5379],[0.3304, 0.3721],[0.3122, 0.2746],[0.2993, 0.1882],[0.4612, 0.5416],[0.506, 0.3726],[0.5545, 0.2666],[0.598, 0.1737],[0.549, 0.5789],[0.5996, 0.4889],[0.5773, 0.585],[0.557, 0.6554],[0.6221, 0.628],[0.6486, 0.5643],[0.6255, 0.632],[0.6062, 0.682]
[0.5589, 0.8955],[0.4691, 0.7579],[0.4207, 0.6171],[0.4361, 0.4856],[0.4491, 0.3754],[0.3654, 0.5427],[0.3297, 0.3728],[0.3121, 0.2744],[0.2999, 0.1877],[0.4607, 0.5436],[0.5054, 0.3732],[0.5545, 0.2654],[0.5985, 0.1697],[0.5487, 0.5794],[0.5969, 0.4865],[0.5761, 0.5859],[0.5571, 0.6594],[0.6207, 0.6274],[0.6473, 0.563],[0.6253, 0.6302],[0.6063, 0.6804]
[0.5644, 0.8973],[0.4745, 0.7611],[0.4228, 0.6186],[0.434, 0.4871],[0.4462, 0.3746],[0.3632, 0.543],[0.3271, 0.3755],[0.3105, 0.2769],[0.299, 0.1901],[0.4568, 0.5419],[0.502, 0.3728],[0.5532, 0.2641],[0.5994, 0.1698],[0.5434, 0.5744],[0.5968, 0.4909],[0.5781, 0.5922],[0.5586, 0.6631],[0.6135, 0.6164],[0.643, 0.5586],[0.6245, 0.6295],[0.6069, 0.679]
[0.5634, 0.8949],[0.4764, 0.7595],[0.425, 0.6184],[0.4324, 0.4891],[0.4407, 0.3758],[0.3632, 0.5391],[0.3274, 0.3724],[0.3094, 0.2747],[0.2954, 0.1885],[0.4552, 0.5385],[0.5027, 0.3718],[0.5519, 0.2635],[0.5957, 0.17],[0.5401, 0.5702],[0.5967, 0.494],[0.5784, 0.5942],[0.558, 0.6628],[0.6096, 0.6094],[0.641, 0.5568],[0.6224, 0.6287],[0.6031, 0.6767]
[0.5628, 0.8954],[0.4746, 0.7604],[0.4235, 0.6175],[0.433, 0.4871],[0.4422, 0.3749],[0.3614, 0.533],[0.3252, 0.3694],[0.3083, 0.2723],[0.2949, 0.1869],[0.4547, 0.5358],[0.5024, 0.3692],[0.5517, 0.2616],[0.5964, 0.1707],[0.5409, 0.5711],[0.595, 0.4985],[0.5747, 0.5955],[0.5539, 0.6607],[0.6113, 0.6137],[0.6394, 0.5597],[0.6181, 0.6304],[0.5981, 0.6769]
[0.5622, 0.8964],[0.4743, 0.7617],[0.4226, 0.6187],[0.4311, 0.4878],[0.4402, 0.3749],[0.3612, 0.5327],[0.3262, 0.3702],[0.3093, 0.2738],[0.2962, 0.1886],[0.455, 0.5347],[0.5023, 0.3672],[0.5508, 0.2588],[0.5955, 0.1686],[0.5416, 0.5698],[0.5961, 0.4992],[0.5747, 0.5957],[0.5537, 0.6621],[0.6127, 0.6118],[0.6401, 0.561],[0.6185, 0.6299],[0.5991, 0.6759]
[0.562, 0.8931],[0.4681, 0.7544],[0.4188, 0.6127],[0.4347, 0.4821],[0.4446, 0.3726],[0.3607, 0.5289],[0.3246, 0.3675],[0.3087, 0.2712],[0.2967, 0.1861],[0.4554, 0.5324],[0.5006, 0.3667],[0.5499, 0.2605],[0.5952, 0.172],[0.5434, 0.5698],[0.5938, 0.5],[0.5726, 0.5967],[0.5519, 0.6614],[0.6156, 0.6163],[0.641, 0.5616],[0.6195, 0.631],[0.6002, 0.6773]
[0.5617, 0.8983],[0.4702, 0.7598],[0.4187, 0.6149],[0.4303, 0.4824],[0.4413, 0.3691],[0.3593, 0.535],[0.3236, 0.3702],[0.3066, 0.2725],[0.2936, 0.186],[0.4553, 0.5371],[0.5022, 0.3693],[0.5503, 0.26],[0.5947, 0.1678],[0.5432, 0.5725],[0.5973, 0.4985],[0.5749, 0.5937],[0.5538, 0.6606],[0.6146, 0.6151],[0.6416, 0.5623],[0.6195, 0.6297],[0.6002, 0.6756]
[0.5611, 0.8925],[0.4658, 0.7511],[0.4168, 0.608],[0.4325, 0.4788],[0.4448, 0.3701],[0.3619, 0.5294],[0.3255, 0.3677],[0.3084, 0.2724],[0.2951, 0.1878],[0.4556, 0.5321],[0.5004, 0.3681],[0.5491, 0.2609],[0.5944, 0.171],[0.543, 0.5687],[0.595, 0.498],[0.5738, 0.596],[0.5536, 0.6619],[0.6148, 0.6135],[0.6408, 0.5587],[0.6199, 0.629],[0.6022, 0.6756]
[0.5559, 0.884],[0.4564, 0.7489],[0.41, 0.6074],[0.4334, 0.4771],[0.4514, 0.3715],[0.3623, 0.519],[0.3231, 0.3631],[0.306, 0.2693],[0.2943, 0.1854],[0.4565, 0.5253],[0.5036, 0.364],[0.5502, 0.259],[0.5941, 0.1703],[0.543, 0.565],[0.5938, 0.4929],[0.5706, 0.5939],[0.5522, 0.6616],[0.6146, 0.6139],[0.6374, 0.553],[0.6146, 0.6291],[0.5984, 0.6799]
