[0.6289, 0.7925],[0.4878, 0.7846],[0.3433, 0.721],[0.2258, 0.6877],[0.1285, 0.692],[0.4044, 0.4707],[0.3697, 0.3094],[0.3505, 0.199],[0.3389, 0.1055],[0.5027, 0.4558],[0.5125, 0.3464],[0.5339, 0.4769],[0.5402, 0.571],[0.5987, 0.4683],[0.607, 0.3952],[0.6168, 0.5146],[0.611, 0.5903],[0.6858, 0.5017],[0.6875, 0.4211],[0.6829, 0.5034],[0.6722, 0.5611]
[0.6422, 0.8192],[0.4933, 0.7796],[0.3522, 0.7217],[0.2334, 0.6842],[0.1373, 0.6872],[0.4123, 0.4728],[0.3719, 0.2982],[0.3537, 0.1932],[0.3437, 0.0969],[0.5095, 0.4582],[0.5224, 0.3504],[0.5449, 0.4842],[0.5595, 0.5827],[0.6061, 0.4716],[0.6208, 0.3921],[0.6271, 0.5135],[0.6241, 0.5967],[0.6925, 0.5049],[0.7072, 0.4216],[0.6968, 0.5061],[0.6879, 0.5674]
[0.6481, 0.8315],[0.5056, 0.7915],[0.3626, 0.7234],[0.2415, 0.6842],[0.1478, 0.6885],[0.4248, 0.4704],[0.3844, 0.2956],[0.3687, 0.1921],[0.3607, 0.0983],[0.523, 0.461],[0.5414, 0.3551],[0.5599, 0.4889],[0.5689, 0.5891],[0.6172, 0.4764],[0.6364, 0.4059],[0.6378, 0.5278],[0.6321, 0.6108],[0.7027, 0.5084],[0.719, 0.4277],[0.7102, 0.5114],[0.7023, 0.5745]
[0.6588, 0.8326],[0.518, 0.7977],[0.3716, 0.7269],[0.2518, 0.6855],[0.1577, 0.6896],[0.4307, 0.475],[0.3927, 0.2986],[0.3788, 0.1948],[0.3715, 0.1006],[0.5287, 0.4644],[0.546, 0.3662],[0.5702, 0.4977],[0.5796, 0.5942],[0.6235, 0.4774],[0.644, 0.4078],[0.6482, 0.529],[0.6396, 0.6114],[0.7104, 0.5063],[0.7287, 0.4312],[0.7208, 0.5151],[0.7088, 0.5774]
[0.6594, 0.8378],[0.5213, 0.7995],[0.3758, 0.7251],[0.2552, 0.6864],[0.1628, 0.6956],[0.4355, 0.4728],[0.3977, 0.296],[0.3831, 0.1914],[0.376, 0.098],[0.5336, 0.4638],[0.5524, 0.3676],[0.5758, 0.4996],[0.5865, 0.5971],[0.6281, 0.4773],[0.6486, 0.4141],[0.6513, 0.536],[0.6446, 0.6189],[0.7155, 0.506],[0.7333, 0.4344],[0.7227, 0.5173],[0.7107, 0.58]
[0.6614, 0.832],[0.5246, 0.7979],[0.3803, 0.7258],[0.2587, 0.6875],[0.1632, 0.6941],[0.4359, 0.4723],[0.399, 0.2951],[0.3846, 0.1906],[0.3774, 0.096],[0.5351, 0.4638],[0.5528, 0.3681],[0.5806, 0.4986],[0.5947, 0.5955],[0.6305, 0.4781],[0.6503, 0.4162],[0.6561, 0.5365],[0.6505, 0.6183],[0.719, 0.5062],[0.7352, 0.4333],[0.7258, 0.5152],[0.7142, 0.5776]
[0.663, 0.8308],[0.5254, 0.8],[0.38, 0.7275],[0.2578, 0.6881],[0.1616, 0.6916],[0.4358, 0.4741],[0.3969, 0.2943],[0.3831, 0.1878],[0.3756, 0.0926],[0.533, 0.4651],[0.5507, 0.3707],[0.5814, 0.5016],[0.5944, 0.5994],[0.6274, 0.4779],[0.6462, 0.416],[0.656, 0.5383],[0.6501, 0.6209],[0.7149, 0.5045],[0.731, 0.4327],[0.7246, 0.5147],[0.7131, 0.577]
[0.6564, 0.8321],[0.5199, 0.7992],[0.3758, 0.7283],[0.2551, 0.6883],[0.1593, 0.6929],[0.4325, 0.4744],[0.3929, 0.2949],[0.3793, 0.1886],[0.3719, 0.0942],[0.5302, 0.4653],[0.5454, 0.3702],[0.5743, 0.5009],[0.5872, 0.6],[0.6245, 0.4784],[0.6413, 0.4152],[0.6491, 0.5364],[0.6429, 0.6206],[0.7115, 0.5057],[0.7272, 0.4331],[0.72, 0.5131],[0.7088, 0.5754]
[0.6554, 0.8305],[0.517, 0.7979],[0.3732, 0.728],[0.2534, 0.6886],[0.1573, 0.6927],[0.4312, 0.4738],[0.3923, 0.2947],[0.3784, 0.1876],[0.3707, 0.0924],[0.5293, 0.4655],[0.5436, 0.3728],[0.5735, 0.5009],[0.5877, 0.5998],[0.624, 0.4791],[0.6402, 0.4161],[0.6482, 0.535],[0.6428, 0.6202],[0.7115, 0.5068],[0.7262, 0.4336],[0.7192, 0.5124],[0.7085, 0.5763]
[0.6524, 0.8303],[0.5164, 0.7963],[0.372, 0.7254],[0.2514, 0.6864],[0.154, 0.6903],[0.4264, 0.471],[0.3874, 0.2917],[0.3733, 0.1855],[0.3651, 0.0916],[0.524, 0.4626],[0.5422, 0.3713],[0.5728, 0.4987],[0.5856, 0.5987],[0.618, 0.4762],[0.6389, 0.4156],[0.6477, 0.5356],[0.6413, 0.623],[0.7048, 0.5039],[0.7225, 0.4344],[0.7178, 0.5157],[0.7077, 0.582]
[0.6531, 0.8332],[0.5154, 0.7983],[0.3692, 0.7257],[0.2465, 0.6851],[0.1484, 0.6883],[0.425, 0.4735],[0.3864, 0.2931],[0.3728, 0.187],[0.365, 0.0929],[0.5223, 0.4653],[0.5411, 0.3679],[0.57, 0.495],[0.5815, 0.5945],[0.6158, 0.4792],[0.6361, 0.4148],[0.6446, 0.5348],[0.638, 0.621],[0.7022, 0.5074],[0.7188, 0.4357],[0.7134, 0.5166],[0.7031, 0.5815]
