"[0.6177, 0.9556]","[0.4083, 0.9019]","[0.225, 0.7824]","[0.0644, 0.7169]","[-0.0696, 0.6784]","[0.3875, 0.4563]","[0.369, 0.2149]","[0.3653, 0.0791]","[0.3647, -0.0278]","[0.5196, 0.4598]","[0.5415, 0.3113]","[0.5515, 0.477]","[0.5548, 0.6051]","[0.6472, 0.4919]","[0.663, 0.3646]","[0.6655, 0.5179]","[0.6571, 0.628]","[0.7672, 0.5425]","[0.7917, 0.4119]","[0.7767, 0.5034]","[0.7537, 0.5932]"
"[0.5881, 0.9645]","[0.39, 0.8885]","[0.2049, 0.7513]","[0.0276, 0.6744]","[-0.1249, 0.6492]","[0.3709, 0.4313]","[0.3578, 0.1906]","[0.3572, 0.0522]","[0.3634, -0.0679]","[0.5097, 0.4396]","[0.5339, 0.2976]","[0.5369, 0.4783]","[0.5363, 0.6058]","[0.6424, 0.4835]","[0.6689, 0.3583]","[0.6546, 0.506]","[0.6348, 0.6096]","[0.7629, 0.5481]","[0.79, 0.425]","[0.7572, 0.5118]","[0.7285, 0.5811]"
"[0.588, 0.9655]","[0.3916, 0.8822]","[0.2079, 0.7513]","[0.0252, 0.6697]","[-0.1303, 0.6398]","[0.3694, 0.4305]","[0.3557, 0.1905]","[0.3556, 0.0532]","[0.361, -0.0658]","[0.5039, 0.438]","[0.5285, 0.2942]","[0.5334, 0.474]","[0.5343, 0.5972]","[0.6357, 0.4835]","[0.6628, 0.3596]","[0.6483, 0.5095]","[0.6289, 0.6117]","[0.757, 0.5505]","[0.7893, 0.4296]","[0.7555, 0.5142]","[0.7257, 0.5818]"
"[0.5902, 0.9637]","[0.391, 0.8811]","[0.206, 0.7537]","[0.0212, 0.6707]","[-0.1355, 0.6412]","[0.3641, 0.4264]","[0.3518, 0.1836]","[0.3543, 0.0458]","[0.3606, -0.0733]","[0.4991, 0.4338]","[0.5245, 0.2992]","[0.5349, 0.4802]","[0.5362, 0.6079]","[0.6314, 0.4773]","[0.6595, 0.3602]","[0.6473, 0.5133]","[0.6254, 0.6199]","[0.7519, 0.5406]","[0.7838, 0.4209]","[0.7515, 0.5115]","[0.722, 0.585]"
"[0.5896, 0.9649]","[0.3851, 0.8763]","[0.1997, 0.752]","[0.0099, 0.6721]","[-0.1452, 0.642]","[0.3623, 0.4299]","[0.3496, 0.1782]","[0.3508, 0.0305]","[0.3591, -0.1001]","[0.4964, 0.4338]","[0.5164, 0.3092]","[0.528, 0.4917]","[0.5356, 0.6177]","[0.6296, 0.4751]","[0.6502, 0.3635]","[0.6396, 0.5186]","[0.6236, 0.6235]","[0.7477, 0.5394]","[0.7776, 0.4204]","[0.7439, 0.5126]","[0.7197, 0.5846]"
"[0.5859, 0.9724]","[0.3813, 0.8802]","[0.196, 0.7522]","[0.0075, 0.6736]","[-0.148, 0.6518]","[0.3618, 0.4385]","[0.3493, 0.1859]","[0.3464, 0.0396]","[0.3479, -0.0897]","[0.4959, 0.4406]","[0.516, 0.31]","[0.5291, 0.4909]","[0.5352, 0.6182]","[0.6295, 0.4818]","[0.6498, 0.3597]","[0.6414, 0.5158]","[0.6247, 0.6263]","[0.7473, 0.5487]","[0.7804, 0.426]","[0.7473, 0.5142]","[0.7204, 0.588]"
"[0.5839, 0.9725]","[0.3838, 0.885]","[0.1937, 0.752]","[0.0005, 0.6722]","[-0.16, 0.651]","[0.3596, 0.437]","[0.3506, 0.1873]","[0.3505, 0.0425]","[0.3555, -0.0859]","[0.4961, 0.4404]","[0.5141, 0.3028]","[0.5248, 0.4871]","[0.5309, 0.616]","[0.6299, 0.4832]","[0.6501, 0.3611]","[0.6405, 0.5178]","[0.6247, 0.629]","[0.7507, 0.5485]","[0.7797, 0.4256]","[0.7475, 0.5127]","[0.721, 0.5861]"
"[0.5873, 0.9691]","[0.3856, 0.885]","[0.1972, 0.7545]","[0.0068, 0.6744]","[-0.1511, 0.6522]","[0.3624, 0.435]","[0.352, 0.1818]","[0.3498, 0.034]","[0.3533, -0.0966]","[0.498, 0.439]","[0.5182, 0.3047]","[0.5256, 0.4869]","[0.5266, 0.6157]","[0.6305, 0.4807]","[0.6542, 0.3603]","[0.6429, 0.5163]","[0.6212, 0.6293]","[0.75, 0.5443]","[0.7829, 0.4234]","[0.7522, 0.5063]","[0.7226, 0.5771]"
"[0.5849, 0.9666]","[0.3825, 0.8836]","[0.1971, 0.7563]","[0.0091, 0.6754]","[-0.1462, 0.6488]","[0.3598, 0.4345]","[0.3469, 0.1836]","[0.3472, 0.0395]","[0.3528, -0.0876]","[0.4944, 0.4389]","[0.5112, 0.3095]","[0.5225, 0.4911]","[0.5279, 0.6192]","[0.627, 0.4811]","[0.6478, 0.3618]","[0.6384, 0.5197]","[0.6205, 0.6321]","[0.7468, 0.5456]","[0.7751, 0.4219]","[0.7446, 0.5105]","[0.7187, 0.5855]"
"[0.5833, 0.969]","[0.3797, 0.8825]","[0.1948, 0.7551]","[0.0102, 0.6745]","[-0.1429, 0.6447]","[0.3557, 0.433]","[0.3436, 0.1836]","[0.3428, 0.0418]","[0.3465, -0.0846]","[0.49, 0.4373]","[0.511, 0.3108]","[0.5242, 0.493]","[0.5287, 0.6248]","[0.622, 0.4782]","[0.6479, 0.3623]","[0.6379, 0.5209]","[0.6167, 0.6356]","[0.74, 0.5403]","[0.773, 0.4199]","[0.7415, 0.5107]","[0.7126, 0.588]"
"[0.5731, 0.9677]","[0.3764, 0.8815]","[0.1911, 0.7546]","[0.0091, 0.6752]","[-0.1422, 0.6467]","[0.3502, 0.4338]","[0.3359, 0.1899]","[0.3361, 0.052]","[0.3414, -0.0716]","[0.4859, 0.4379]","[0.5038, 0.3159]","[0.5142, 0.499]","[0.5198, 0.6331]","[0.618, 0.4793]","[0.6427, 0.3655]","[0.6294, 0.522]","[0.6102, 0.6374]","[0.7368, 0.5409]","[0.769, 0.4176]","[0.7356, 0.509]","[0.7083, 0.5885]"
