[0.6175, 0.9388],[0.4069, 0.8905],[0.2235, 0.7858],[0.0662, 0.732],[-0.0659, 0.713],[0.3803, 0.4436],[0.346, 0.1842],[0.3309, 0.0224],[0.3256, -0.0993],[0.5141, 0.4453],[0.5519, 0.2881],[0.567, 0.4457],[0.5687, 0.5817],[0.6409, 0.4851],[0.6754, 0.3586],[0.68, 0.5094],[0.6658, 0.6222],[0.7558, 0.5438],[0.7897, 0.4245],[0.7783, 0.5248],[0.7548, 0.6207]
[0.595, 0.9737],[0.3947, 0.8912],[0.1986, 0.7651],[-0.0016, 0.7025],[-0.1742, 0.6956],[0.3663, 0.4312],[0.339, 0.1983],[0.3223, 0.0625],[0.3168, -0.055],[0.5057, 0.442],[0.545, 0.2743],[0.5483, 0.4524],[0.5459, 0.5831],[0.6344, 0.4913],[0.678, 0.3629],[0.6564, 0.5236],[0.628, 0.6434],[0.7478, 0.5605],[0.7876, 0.4387],[0.7564, 0.538],[0.7203, 0.6272]
[0.5802, 0.9597],[0.39, 0.8907],[0.2022, 0.7721],[0.0223, 0.708],[-0.1282, 0.6975],[0.3603, 0.4291],[0.3337, 0.1796],[0.3258, 0.0383],[0.3293, -0.0843],[0.502, 0.437],[0.537, 0.2793],[0.5409, 0.4537],[0.538, 0.5877],[0.6344, 0.4846],[0.6765, 0.3629],[0.6579, 0.5167],[0.6284, 0.6324],[0.7538, 0.5524],[0.795, 0.4463],[0.7613, 0.5399],[0.7205, 0.6211]
[0.5868, 0.967],[0.3966, 0.8943],[0.2108, 0.7743],[0.0248, 0.7113],[-0.1342, 0.7087],[0.3658, 0.4348],[0.3355, 0.1953],[0.3224, 0.0594],[0.3206, -0.0566],[0.5053, 0.4436],[0.5472, 0.2718],[0.5501, 0.4517],[0.5457, 0.5872],[0.6345, 0.4929],[0.6767, 0.3658],[0.659, 0.5225],[0.6322, 0.6388],[0.7522, 0.5607],[0.7905, 0.4458],[0.7595, 0.539],[0.7207, 0.622]
[0.5901, 0.9655],[0.3993, 0.8954],[0.213, 0.7767],[0.0275, 0.7147],[-0.1293, 0.7098],[0.3653, 0.4402],[0.3357, 0.1997],[0.3257, 0.0607],[0.3268, -0.0612],[0.5044, 0.4448],[0.5399, 0.2762],[0.5451, 0.4568],[0.5424, 0.5914],[0.635, 0.4911],[0.6741, 0.3641],[0.6588, 0.5227],[0.6318, 0.6388],[0.7533, 0.5578],[0.7925, 0.4464],[0.7619, 0.5414],[0.7227, 0.6227]
[0.588, 0.9672],[0.3966, 0.8951],[0.2099, 0.774],[0.0207, 0.7121],[-0.1407, 0.705],[0.3665, 0.44],[0.3374, 0.2002],[0.3244, 0.0591],[0.3231, -0.0651],[0.505, 0.4448],[0.5398, 0.2773],[0.5445, 0.4569],[0.5442, 0.592],[0.6354, 0.4917],[0.6746, 0.3671],[0.6594, 0.5231],[0.6348, 0.6396],[0.7534, 0.5587],[0.7928, 0.4453],[0.7614, 0.5385],[0.7226, 0.6223]
[0.5888, 0.9699],[0.4005, 0.8994],[0.2185, 0.781],[0.0349, 0.7164],[-0.121, 0.7083],[0.3672, 0.4419],[0.3362, 0.2017],[0.3215, 0.0604],[0.3173, -0.0628],[0.5047, 0.4474],[0.5401, 0.2812],[0.545, 0.4591],[0.5426, 0.5943],[0.6344, 0.494],[0.6747, 0.3697],[0.6589, 0.5239],[0.6324, 0.6401],[0.7534, 0.5609],[0.7935, 0.4476],[0.7616, 0.5388],[0.7205, 0.6217]
[0.5904, 0.9679],[0.3993, 0.8986],[0.2156, 0.7785],[0.0307, 0.7107],[-0.1286, 0.698],[0.369, 0.442],[0.3369, 0.2052],[0.3223, 0.0685],[0.317, -0.0513],[0.506, 0.4482],[0.541, 0.2793],[0.5468, 0.4606],[0.5444, 0.5962],[0.635, 0.4951],[0.6736, 0.3673],[0.6589, 0.5226],[0.6342, 0.6388],[0.7526, 0.5611],[0.7894, 0.4455],[0.7599, 0.5389],[0.7234, 0.6227]
[0.5914, 0.963],[0.3995, 0.8959],[0.2113, 0.7748],[0.0199, 0.7048],[-0.1443, 0.6885],[0.3663, 0.439],[0.337, 0.2041],[0.3273, 0.068],[0.3276, -0.0489],[0.5049, 0.4441],[0.5393, 0.2785],[0.5446, 0.4589],[0.5404, 0.593],[0.6354, 0.4893],[0.6733, 0.3651],[0.6594, 0.5202],[0.6323, 0.6354],[0.7538, 0.5538],[0.7899, 0.4441],[0.7613, 0.5379],[0.7233, 0.6191]
[0.5882, 0.9667],[0.3938, 0.8917],[0.2015, 0.7658],[0.0002, 0.7031],[-0.1717, 0.693],[0.3619, 0.434],[0.3356, 0.1967],[0.324, 0.0588],[0.3221, -0.0624],[0.5013, 0.4403],[0.5379, 0.2778],[0.5401, 0.4568],[0.5348, 0.5906],[0.6322, 0.4863],[0.6722, 0.3644],[0.6541, 0.5208],[0.6243, 0.6363],[0.7499, 0.5509],[0.7873, 0.4421],[0.7556, 0.5378],[0.7157, 0.6199]
[0.5861, 0.97],[0.3943, 0.897],[0.2064, 0.7758],[0.0142, 0.7064],[-0.1487, 0.6935],[0.3568, 0.4365],[0.3314, 0.1894],[0.3232, 0.0466],[0.3247, -0.078],[0.4981, 0.4439],[0.5357, 0.2793],[0.5407, 0.4547],[0.5355, 0.5927],[0.6303, 0.4891],[0.6709, 0.3688],[0.6535, 0.5233],[0.6231, 0.6423],[0.7502, 0.5528],[0.7908, 0.4443],[0.7584, 0.5377],[0.7155, 0.6228]
[0.5881, 0.9676],[0.3968, 0.8955],[0.2136, 0.7805],[0.0256, 0.7124],[-0.1342, 0.6986],[0.3612, 0.4391],[0.3372, 0.1961],[0.3301, 0.0534],[0.332, -0.0717],[0.5015, 0.4464],[0.5392, 0.2791],[0.5453, 0.4569],[0.5405, 0.5969],[0.6318, 0.492],[0.6727, 0.3703],[0.6566, 0.5259],[0.6264, 0.646],[0.7491, 0.555],[0.7885, 0.444],[0.7579, 0.5379],[0.7161, 0.6237]
[0.5836, 0.9671],[0.392, 0.8954],[0.2098, 0.7751],[0.0246, 0.7127],[-0.1342, 0.7063],[0.3608, 0.4389],[0.3348, 0.2039],[0.3254, 0.0658],[0.3269, -0.0561],[0.5, 0.4455],[0.5363, 0.2783],[0.5354, 0.4543],[0.5293, 0.589],[0.6304, 0.492],[0.6704, 0.3645],[0.6491, 0.5183],[0.6202, 0.6357],[0.7498, 0.5564],[0.7845, 0.4422],[0.7518, 0.5346],[0.7138, 0.6181]
[0.5877, 0.9675],[0.3944, 0.896],[0.2087, 0.7758],[0.0223, 0.7147],[-0.1383, 0.7084],[0.3602, 0.4403],[0.3362, 0.2054],[0.326, 0.0667],[0.3248, -0.0557],[0.4993, 0.4455],[0.5353, 0.2798],[0.5365, 0.4563],[0.5302, 0.59],[0.6303, 0.4903],[0.67, 0.3652],[0.6516, 0.5204],[0.6217, 0.637],[0.7499, 0.5537],[0.7875, 0.4442],[0.7556, 0.5372],[0.7159, 0.6183]
[0.5813, 0.9585],[0.3877, 0.8866],[0.2025, 0.7687],[0.012, 0.7065],[-0.1516, 0.6977],[0.3579, 0.4331],[0.3335, 0.1934],[0.3238, 0.0512],[0.3233, -0.074],[0.4978, 0.4398],[0.534, 0.2815],[0.5342, 0.4584],[0.5267, 0.5925],[0.6289, 0.4855],[0.6688, 0.3668],[0.648, 0.5234],[0.6155, 0.6406],[0.7478, 0.5488],[0.7848, 0.4439],[0.752, 0.5383],[0.711, 0.6194]
[0.583, 0.9619],[0.3923, 0.8917],[0.2033, 0.7728],[0.0128, 0.7126],[-0.1478, 0.7107],[0.3574, 0.4373],[0.3336, 0.1937],[0.3249, 0.0504],[0.3247, -0.0751],[0.497, 0.4436],[0.5309, 0.2798],[0.5355, 0.4536],[0.5309, 0.5894],[0.6279, 0.4888],[0.6679, 0.3657],[0.6511, 0.5236],[0.6194, 0.6438],[0.7473, 0.5517],[0.7871, 0.4437],[0.755, 0.538],[0.7111, 0.6215]
[0.5784, 0.961],[0.3878, 0.8902],[0.2029, 0.7753],[0.012, 0.7123],[-0.1499, 0.7067],[0.3574, 0.4359],[0.3344, 0.1924],[0.3271, 0.0473],[0.33, -0.0805],[0.4968, 0.4436],[0.5316, 0.2808],[0.5328, 0.4541],[0.5277, 0.5897],[0.6271, 0.4907],[0.6672, 0.3673],[0.6462, 0.5228],[0.6143, 0.6432],[0.746, 0.5548],[0.7866, 0.4441],[0.7525, 0.5371],[0.7089, 0.6222]
[0.5819, 0.9617],[0.3902, 0.8903],[0.2043, 0.7755],[0.0186, 0.7143],[-0.1374, 0.707],[0.3568, 0.4355],[0.3319, 0.1932],[0.323, 0.05],[0.324, -0.0751],[0.4972, 0.4429],[0.5332, 0.2804],[0.5353, 0.4537],[0.53, 0.5908],[0.6277, 0.4895],[0.6675, 0.3694],[0.6489, 0.5258],[0.6182, 0.6455],[0.7465, 0.5531],[0.7865, 0.4481],[0.7539, 0.541],[0.7118, 0.6231]
[0.5835, 0.9586],[0.394, 0.8904],[0.2054, 0.7723],[0.0172, 0.7095],[-0.1422, 0.7028],[0.3578, 0.4341],[0.3317, 0.1947],[0.3202, 0.0554],[0.3185, -0.0652],[0.4977, 0.4412],[0.5321, 0.2797],[0.5366, 0.4545],[0.5332, 0.59],[0.6278, 0.4877],[0.6667, 0.3691],[0.6506, 0.5278],[0.6216, 0.6463],[0.7467, 0.5516],[0.7855, 0.4477],[0.7543, 0.5425],[0.7132, 0.6242]
[0.5831, 0.9588],[0.3926, 0.89],[0.2046, 0.7726],[0.0152, 0.7088],[-0.1455, 0.702],[0.3584, 0.4358],[0.335, 0.1954],[0.3268, 0.0543],[0.3292, -0.0694],[0.4984, 0.4424],[0.5313, 0.2814],[0.5352, 0.4536],[0.5334, 0.5887],[0.6284, 0.4888],[0.6669, 0.372],[0.6506, 0.5287],[0.6222, 0.6474],[0.747, 0.5522],[0.7864, 0.4493],[0.7554, 0.5424],[0.7142, 0.6245]
[0.5817, 0.9602],[0.3894, 0.8879],[0.2019, 0.7736],[0.0122, 0.7109],[-0.1488, 0.7078],[0.3575, 0.4357],[0.332, 0.1965],[0.321, 0.0568],[0.3205, -0.0659],[0.4978, 0.4429],[0.5332, 0.2804],[0.5355, 0.4544],[0.5319, 0.5897],[0.6276, 0.4903],[0.6677, 0.3729],[0.6481, 0.5301],[0.6183, 0.6502],[0.7453, 0.5541],[0.7844, 0.4504],[0.7517, 0.5434],[0.7111, 0.6263]
[0.5829, 0.9611],[0.3927, 0.8903],[0.2053, 0.7747],[0.0129, 0.7113],[-0.1516, 0.706],[0.3575, 0.4366],[0.3332, 0.194],[0.3244, 0.0511],[0.3264, -0.0745],[0.4967, 0.4436],[0.5302, 0.2806],[0.5341, 0.4536],[0.5318, 0.5902],[0.6261, 0.4902],[0.6664, 0.3732],[0.649, 0.5309],[0.6197, 0.6516],[0.7441, 0.5534],[0.7834, 0.4509],[0.7521, 0.5455],[0.7113, 0.6293]
[0.5798, 0.9617],[0.3898, 0.8885],[0.2079, 0.7758],[0.017, 0.711],[-0.1477, 0.7011],[0.3572, 0.4361],[0.3352, 0.1955],[0.3282, 0.0523],[0.3311, -0.0726],[0.4972, 0.4447],[0.5271, 0.2839],[0.5333, 0.4592],[0.5337, 0.5969],[0.6273, 0.4924],[0.6638, 0.3759],[0.6488, 0.5329],[0.6214, 0.6533],[0.7454, 0.5558],[0.7837, 0.4524],[0.7529, 0.5455],[0.7116, 0.6285]
