"[0.5737, 0.8565]","[0.4175, 0.8138]","[0.2813, 0.7244]","[0.1617, 0.6801]","[0.0526, 0.6793]","[0.4083, 0.4524]","[0.3869, 0.26]","[0.3786, 0.1413]","[0.3785, 0.0404]","[0.515, 0.4598]","[0.5419, 0.3287]","[0.5475, 0.4578]","[0.548, 0.5611]","[0.6135, 0.4965]","[0.6401, 0.3937]","[0.6321, 0.5069]","[0.615, 0.5946]","[0.7017, 0.5503]","[0.7287, 0.4522]","[0.7077, 0.5235]","[0.6788, 0.5913]"
"[0.5771, 0.8692]","[0.4246, 0.8137]","[0.2819, 0.7217]","[0.1564, 0.6716]","[0.0457, 0.6749]","[0.4048, 0.4495]","[0.3836, 0.255]","[0.377, 0.1421]","[0.3762, 0.0419]","[0.5117, 0.4554]","[0.5391, 0.3258]","[0.5451, 0.4631]","[0.5451, 0.5684]","[0.611, 0.4932]","[0.6407, 0.3964]","[0.63, 0.5123]","[0.613, 0.5987]","[0.7007, 0.5474]","[0.727, 0.457]","[0.7049, 0.5312]","[0.6804, 0.5952]"
"[0.5767, 0.8767]","[0.4266, 0.8184]","[0.283, 0.7233]","[0.1546, 0.6705]","[0.0441, 0.6769]","[0.403, 0.4524]","[0.3834, 0.258]","[0.3769, 0.1441]","[0.3769, 0.0418]","[0.5096, 0.4576]","[0.539, 0.3271]","[0.5456, 0.4633]","[0.5466, 0.5684]","[0.6088, 0.4946]","[0.6415, 0.3978]","[0.6297, 0.5122]","[0.612, 0.599]","[0.6992, 0.548]","[0.7261, 0.4568]","[0.7043, 0.5297]","[0.6804, 0.5946]"
"[0.577, 0.8737]","[0.4265, 0.8154]","[0.2829, 0.7217]","[0.1542, 0.6704]","[0.0442, 0.6716]","[0.4031, 0.4512]","[0.3842, 0.2588]","[0.3776, 0.1459]","[0.3775, 0.0444]","[0.5108, 0.4568]","[0.5423, 0.3247]","[0.546, 0.4621]","[0.5437, 0.5668]","[0.6108, 0.4938]","[0.6448, 0.3963]","[0.6309, 0.5108]","[0.6106, 0.5962]","[0.7009, 0.5473]","[0.728, 0.4558]","[0.7061, 0.5281]","[0.6815, 0.5906]"
"[0.5781, 0.8768]","[0.4267, 0.8165]","[0.2832, 0.7218]","[0.1556, 0.6714]","[0.0459, 0.6742]","[0.4033, 0.4527]","[0.3838, 0.2601]","[0.3769, 0.1463]","[0.3768, 0.0447]","[0.5109, 0.4587]","[0.5403, 0.3251]","[0.5434, 0.4631]","[0.5419, 0.5675]","[0.6112, 0.496]","[0.6426, 0.3952]","[0.6294, 0.511]","[0.6112, 0.5971]","[0.7019, 0.5503]","[0.7271, 0.4577]","[0.7058, 0.5303]","[0.6835, 0.5929]"
"[0.5787, 0.877]","[0.4255, 0.8179]","[0.2808, 0.7227]","[0.1541, 0.6707]","[0.0442, 0.6723]","[0.4029, 0.4545]","[0.3838, 0.2605]","[0.3768, 0.1464]","[0.3757, 0.0451]","[0.5109, 0.461]","[0.541, 0.3283]","[0.5443, 0.4647]","[0.5411, 0.5695]","[0.6113, 0.4981]","[0.6424, 0.398]","[0.6298, 0.5121]","[0.6104, 0.5985]","[0.702, 0.5514]","[0.7274, 0.4565]","[0.7069, 0.528]","[0.6836, 0.5916]"
"[0.5801, 0.8818]","[0.4282, 0.8197]","[0.2847, 0.7236]","[0.1544, 0.6728]","[0.0412, 0.6734]","[0.4036, 0.4572]","[0.384, 0.2626]","[0.3769, 0.1476]","[0.3756, 0.0451]","[0.5107, 0.463]","[0.5399, 0.3303]","[0.5439, 0.4668]","[0.542, 0.5723]","[0.6108, 0.4997]","[0.6432, 0.4009]","[0.63, 0.5154]","[0.6109, 0.6028]","[0.7016, 0.5525]","[0.7279, 0.4585]","[0.7061, 0.5294]","[0.6819, 0.594]"
"[0.5777, 0.8798]","[0.4261, 0.8201]","[0.2832, 0.7234]","[0.1556, 0.6699]","[0.0444, 0.667]","[0.4024, 0.4577]","[0.3824, 0.2627]","[0.3757, 0.1482]","[0.3749, 0.0458]","[0.5107, 0.4631]","[0.5406, 0.3312]","[0.545, 0.4683]","[0.5425, 0.5735]","[0.6108, 0.4991]","[0.6426, 0.4007]","[0.6303, 0.5161]","[0.6115, 0.6032]","[0.701, 0.5513]","[0.7271, 0.4578]","[0.7071, 0.5294]","[0.6844, 0.5934]"
"[0.5766, 0.8823]","[0.4254, 0.8199]","[0.2821, 0.7223]","[0.1533, 0.6688]","[0.0408, 0.6666]","[0.4024, 0.457]","[0.3822, 0.2606]","[0.3749, 0.1461]","[0.3734, 0.0442]","[0.5104, 0.463]","[0.5398, 0.3294]","[0.5446, 0.4659]","[0.5429, 0.572]","[0.6104, 0.4994]","[0.6397, 0.4016]","[0.6287, 0.5145]","[0.612, 0.6001]","[0.7009, 0.5512]","[0.7243, 0.4585]","[0.7045, 0.5288]","[0.6832, 0.5913]"
"[0.5746, 0.8822]","[0.4218, 0.8189]","[0.2791, 0.7209]","[0.151, 0.6672]","[0.0395, 0.6676]","[0.3996, 0.4555]","[0.3798, 0.2599]","[0.3729, 0.1452]","[0.3719, 0.0435]","[0.5086, 0.4615]","[0.538, 0.327]","[0.5406, 0.4636]","[0.5374, 0.5698]","[0.6091, 0.4985]","[0.6387, 0.3987]","[0.6256, 0.5122]","[0.6077, 0.5986]","[0.6999, 0.5515]","[0.7247, 0.456]","[0.7035, 0.5255]","[0.6811, 0.5884]"
"[0.5718, 0.8831]","[0.4192, 0.8183]","[0.2794, 0.7209]","[0.1507, 0.667]","[0.0372, 0.6661]","[0.3984, 0.4553]","[0.3797, 0.2596]","[0.3734, 0.1449]","[0.3734, 0.042]","[0.5081, 0.4616]","[0.5385, 0.3279]","[0.5409, 0.4654]","[0.5378, 0.5723]","[0.6088, 0.4987]","[0.6399, 0.4012]","[0.6249, 0.5163]","[0.6055, 0.6036]","[0.6991, 0.5514]","[0.7255, 0.4572]","[0.7028, 0.5277]","[0.6789, 0.5905]"
