"[0.4227, 0.8408]","[0.5813, 0.8035]","[0.7202, 0.7211]","[0.8448, 0.6746]","[0.9557, 0.6743]","[0.5907, 0.4469]","[0.6172, 0.2609]","[0.6195, 0.1311]","[0.6189, 0.0241]","[0.4787, 0.4531]","[0.4531, 0.3309]","[0.4493, 0.4542]","[0.4604, 0.564]","[0.3809, 0.4873]","[0.3601, 0.3958]","[0.3708, 0.5121]","[0.3832, 0.6019]","[0.2942, 0.5367]","[0.275, 0.4475]","[0.2942, 0.5261]","[0.3135, 0.5912]"
"[0.4254, 0.8581]","[0.5833, 0.8105]","[0.7232, 0.727]","[0.8435, 0.6722]","[0.9478, 0.672]","[0.5876, 0.4458]","[0.618, 0.2649]","[0.6253, 0.143]","[0.6259, 0.0425]","[0.4783, 0.4504]","[0.4541, 0.3335]","[0.4514, 0.4554]","[0.4592, 0.5619]","[0.382, 0.4817]","[0.3557, 0.3988]","[0.3678, 0.513]","[0.3826, 0.6]","[0.2987, 0.5272]","[0.2753, 0.4501]","[0.2941, 0.5275]","[0.3151, 0.5902]"
"[0.4266, 0.8667]","[0.5833, 0.8164]","[0.7253, 0.7262]","[0.8508, 0.6713]","[0.9552, 0.6748]","[0.5911, 0.445]","[0.6192, 0.2659]","[0.6266, 0.1449]","[0.6267, 0.0457]","[0.4816, 0.4486]","[0.4573, 0.3295]","[0.4573, 0.4547]","[0.4639, 0.5629]","[0.3847, 0.4795]","[0.3616, 0.3993]","[0.3755, 0.5164]","[0.3888, 0.6017]","[0.2999, 0.5253]","[0.2786, 0.4499]","[0.2989, 0.5304]","[0.3201, 0.5914]"
"[0.4245, 0.8652]","[0.5805, 0.8158]","[0.7242, 0.7279]","[0.849, 0.6716]","[0.9536, 0.6717]","[0.5896, 0.4467]","[0.6181, 0.263]","[0.6246, 0.1398]","[0.6239, 0.039]","[0.4805, 0.4508]","[0.4541, 0.3306]","[0.4527, 0.4535]","[0.4601, 0.5607]","[0.3837, 0.481]","[0.3584, 0.4003]","[0.371, 0.5142]","[0.3861, 0.5978]","[0.2995, 0.5246]","[0.2771, 0.448]","[0.2951, 0.5258]","[0.3161, 0.5862]"
"[0.4254, 0.8694]","[0.5825, 0.8178]","[0.7251, 0.727]","[0.8495, 0.6712]","[0.9549, 0.6721]","[0.5896, 0.4465]","[0.6174, 0.2639]","[0.6242, 0.1415]","[0.6231, 0.0418]","[0.4804, 0.4506]","[0.4543, 0.3303]","[0.4553, 0.4559]","[0.4632, 0.5645]","[0.3835, 0.4809]","[0.3586, 0.4017]","[0.3732, 0.5191]","[0.3883, 0.6037]","[0.2992, 0.5247]","[0.2774, 0.4504]","[0.2981, 0.5305]","[0.3199, 0.5905]"
"[0.4256, 0.8732]","[0.582, 0.8198]","[0.7256, 0.7284]","[0.8511, 0.6716]","[0.9559, 0.6729]","[0.5907, 0.4493]","[0.6181, 0.2666]","[0.625, 0.1441]","[0.6245, 0.0442]","[0.4822, 0.4532]","[0.4542, 0.331]","[0.4552, 0.455]","[0.4637, 0.5634]","[0.3854, 0.4831]","[0.3586, 0.4019]","[0.373, 0.5181]","[0.3884, 0.6033]","[0.3004, 0.5262]","[0.2763, 0.4496]","[0.2968, 0.5292]","[0.3192, 0.5902]"
"[0.4244, 0.8727]","[0.5808, 0.8197]","[0.7244, 0.7292]","[0.8517, 0.6728]","[0.9609, 0.6722]","[0.5916, 0.4487]","[0.6182, 0.2651]","[0.6249, 0.142]","[0.6241, 0.0416]","[0.4833, 0.4526]","[0.4543, 0.3337]","[0.4541, 0.4584]","[0.4616, 0.566]","[0.3863, 0.4828]","[0.3594, 0.4022]","[0.3738, 0.5184]","[0.389, 0.603]","[0.3009, 0.527]","[0.2768, 0.4518]","[0.2979, 0.531]","[0.3202, 0.591]"
"[0.4256, 0.8772]","[0.5826, 0.8228]","[0.7251, 0.7296]","[0.8504, 0.6723]","[0.9581, 0.6734]","[0.5909, 0.4491]","[0.6176, 0.2676]","[0.6246, 0.1469]","[0.6247, 0.0479]","[0.483, 0.4533]","[0.456, 0.3338]","[0.4559, 0.458]","[0.4625, 0.5641]","[0.386, 0.4841]","[0.3598, 0.4026]","[0.3748, 0.5195]","[0.3896, 0.6036]","[0.3006, 0.5294]","[0.2774, 0.4529]","[0.2993, 0.5331]","[0.3216, 0.5938]"
"[0.4276, 0.8755]","[0.5851, 0.8228]","[0.7262, 0.7308]","[0.8484, 0.6721]","[0.9522, 0.6729]","[0.5909, 0.4515]","[0.6184, 0.2667]","[0.6255, 0.1436]","[0.6255, 0.0434]","[0.4832, 0.456]","[0.4548, 0.3347]","[0.456, 0.4567]","[0.4644, 0.5623]","[0.3872, 0.4859]","[0.36, 0.4041]","[0.3753, 0.5191]","[0.3906, 0.6029]","[0.3026, 0.5291]","[0.279, 0.4514]","[0.3003, 0.5298]","[0.322, 0.5909]"
"[0.425, 0.8749]","[0.5816, 0.8236]","[0.7265, 0.7295]","[0.8542, 0.6702]","[0.9618, 0.6727]","[0.5923, 0.4485]","[0.6205, 0.2632]","[0.6262, 0.1395]","[0.6256, 0.0384]","[0.4846, 0.4532]","[0.4551, 0.3322]","[0.4562, 0.4531]","[0.4655, 0.5583]","[0.388, 0.4828]","[0.3611, 0.4037]","[0.3764, 0.5186]","[0.3921, 0.6025]","[0.3029, 0.525]","[0.2813, 0.4476]","[0.3023, 0.5265]","[0.3244, 0.5879]"
"[0.4273, 0.8754]","[0.5846, 0.8213]","[0.7288, 0.7264]","[0.8555, 0.6693]","[0.9617, 0.671]","[0.593, 0.4488]","[0.62, 0.2661]","[0.6271, 0.1446]","[0.6269, 0.0449]","[0.4857, 0.4535]","[0.4575, 0.3338]","[0.4576, 0.4576]","[0.4646, 0.5643]","[0.3894, 0.4835]","[0.3609, 0.4033]","[0.3768, 0.5202]","[0.3925, 0.6054]","[0.3045, 0.5267]","[0.2814, 0.4491]","[0.3036, 0.5296]","[0.3259, 0.5919]"
