"[0.6615, 0.8483]","[0.4686, 0.8582]","[0.2802, 0.7643]","[0.133, 0.6821]","[0.0172, 0.6222]","[0.3853, 0.4889]","[0.3379, 0.2661]","[0.3209, 0.1176]","[0.3113, -0.0065]","[0.5004, 0.4687]","[0.5002, 0.3355]","[0.5331, 0.4786]","[0.5545, 0.6017]","[0.6157, 0.4755]","[0.618, 0.3903]","[0.6384, 0.5364]","[0.6405, 0.6396]","[0.7273, 0.4998]","[0.7178, 0.3933]","[0.7244, 0.4948]","[0.7249, 0.5772]"
"[0.6791, 0.8778]","[0.4809, 0.8652]","[0.2866, 0.7713]","[0.1371, 0.6822]","[0.0198, 0.6287]","[0.3773, 0.4752]","[0.3335, 0.2381]","[0.3148, 0.0829]","[0.306, -0.0507]","[0.5007, 0.4604]","[0.4982, 0.321]","[0.539, 0.4785]","[0.568, 0.6053]","[0.6223, 0.47]","[0.6302, 0.3813]","[0.6481, 0.5315]","[0.644, 0.6367]","[0.7351, 0.4989]","[0.7354, 0.3953]","[0.7325, 0.4997]","[0.7224, 0.5785]"
"[0.6972, 0.9038]","[0.4896, 0.8637]","[0.2966, 0.7744]","[0.1401, 0.6834]","[0.0242, 0.6233]","[0.3861, 0.4765]","[0.3321, 0.2503]","[0.3108, 0.1212]","[0.2932, 0.0054]","[0.5074, 0.4598]","[0.5014, 0.3318]","[0.5434, 0.4845]","[0.5721, 0.6078]","[0.6259, 0.4686]","[0.6295, 0.3893]","[0.6489, 0.541]","[0.6506, 0.6487]","[0.7364, 0.4939]","[0.7333, 0.3957]","[0.7301, 0.4951]","[0.7279, 0.574]"
"[0.695, 0.8993]","[0.4968, 0.8631]","[0.3026, 0.7686]","[0.1416, 0.6811]","[0.0162, 0.6295]","[0.3845, 0.4711]","[0.3282, 0.2476]","[0.3076, 0.116]","[0.2937, -0.0029]","[0.5065, 0.4539]","[0.5075, 0.3327]","[0.5457, 0.4875]","[0.5681, 0.6124]","[0.6242, 0.4614]","[0.6355, 0.3895]","[0.6506, 0.54]","[0.6471, 0.6478]","[0.7357, 0.4829]","[0.7412, 0.4007]","[0.7373, 0.4998]","[0.7307, 0.5766]"
"[0.6982, 0.8987]","[0.4985, 0.8644]","[0.3038, 0.7724]","[0.1454, 0.6844]","[0.0265, 0.6274]","[0.3873, 0.4713]","[0.3313, 0.2482]","[0.311, 0.1171]","[0.2958, 0.0001]","[0.5083, 0.4537]","[0.505, 0.3341]","[0.5457, 0.4871]","[0.5703, 0.611]","[0.6254, 0.4601]","[0.6371, 0.3883]","[0.6509, 0.5418]","[0.6469, 0.6532]","[0.7367, 0.4815]","[0.7419, 0.4002]","[0.7344, 0.5005]","[0.7233, 0.5813]"
"[0.6986, 0.8962]","[0.4987, 0.8634]","[0.3035, 0.7696]","[0.1436, 0.6808]","[0.0211, 0.6262]","[0.385, 0.4689]","[0.3292, 0.2437]","[0.3093, 0.1095]","[0.295, -0.011]","[0.5069, 0.4522]","[0.5073, 0.3313]","[0.5492, 0.4855]","[0.5723, 0.6093]","[0.6251, 0.4598]","[0.6393, 0.3876]","[0.6545, 0.5409]","[0.6487, 0.6509]","[0.7366, 0.4823]","[0.7418, 0.4004]","[0.7368, 0.5014]","[0.7269, 0.5813]"
"[0.6977, 0.9005]","[0.4976, 0.8647]","[0.2999, 0.7701]","[0.1413, 0.6829]","[0.0236, 0.6272]","[0.3835, 0.4706]","[0.3269, 0.2536]","[0.3075, 0.1251]","[0.2929, 0.011]","[0.5043, 0.4536]","[0.4984, 0.3335]","[0.5447, 0.4857]","[0.5739, 0.6058]","[0.6217, 0.4611]","[0.6303, 0.3859]","[0.6474, 0.5395]","[0.6476, 0.6486]","[0.7351, 0.4853]","[0.7327, 0.4065]","[0.7277, 0.5127]","[0.7218, 0.5947]"
"[0.7028, 0.9003]","[0.4956, 0.8602]","[0.3034, 0.7691]","[0.1446, 0.6805]","[0.0217, 0.6288]","[0.3869, 0.4724]","[0.3314, 0.253]","[0.3098, 0.1247]","[0.2943, 0.0083]","[0.508, 0.4576]","[0.5047, 0.3305]","[0.5464, 0.4831]","[0.5757, 0.6068]","[0.6261, 0.4686]","[0.6366, 0.3907]","[0.6536, 0.5427]","[0.6551, 0.6528]","[0.7379, 0.495]","[0.7391, 0.4031]","[0.7333, 0.5022]","[0.7283, 0.5834]"
"[0.7001, 0.8986]","[0.4981, 0.8639]","[0.3022, 0.7701]","[0.144, 0.6814]","[0.0207, 0.6293]","[0.3847, 0.4743]","[0.3299, 0.2518]","[0.3098, 0.1187]","[0.2958, 0.0001]","[0.5071, 0.4589]","[0.5048, 0.3315]","[0.5462, 0.4847]","[0.5726, 0.6095]","[0.6265, 0.4678]","[0.635, 0.3894]","[0.6517, 0.5403]","[0.6517, 0.651]","[0.7399, 0.4912]","[0.7388, 0.4025]","[0.7334, 0.5003]","[0.7271, 0.5804]"
"[0.7023, 0.9]","[0.4985, 0.8652]","[0.3006, 0.7725]","[0.1437, 0.6838]","[0.0223, 0.6303]","[0.3853, 0.4765]","[0.3293, 0.2522]","[0.3097, 0.1208]","[0.2953, 0.0041]","[0.5075, 0.461]","[0.5047, 0.3362]","[0.5482, 0.4892]","[0.5746, 0.6148]","[0.6265, 0.4685]","[0.6349, 0.3917]","[0.6555, 0.5452]","[0.657, 0.6582]","[0.7391, 0.491]","[0.7391, 0.4014]","[0.7374, 0.5007]","[0.7334, 0.5819]"
"[0.7024, 0.9056]","[0.5013, 0.869]","[0.3036, 0.7708]","[0.1461, 0.6822]","[0.0232, 0.6303]","[0.3852, 0.4785]","[0.3294, 0.2558]","[0.3082, 0.1249]","[0.2921, 0.0088]","[0.5072, 0.4617]","[0.5067, 0.336]","[0.5501, 0.4889]","[0.5767, 0.6135]","[0.6265, 0.469]","[0.6374, 0.3912]","[0.6564, 0.5452]","[0.6567, 0.6571]","[0.7403, 0.4916]","[0.7419, 0.4019]","[0.7391, 0.5028]","[0.7335, 0.5847]"
