"[0.3285, 0.8422]","[0.5307, 0.8663]","[0.7233, 0.7759]","[0.8658, 0.6829]","[0.9794, 0.628]","[0.606, 0.4889]","[0.6605, 0.2758]","[0.6833, 0.1156]","[0.697, -0.0072]","[0.4891, 0.4719]","[0.4948, 0.3366]","[0.4622, 0.4754]","[0.4467, 0.6055]","[0.3747, 0.483]","[0.3901, 0.3908]","[0.3714, 0.534]","[0.3619, 0.6411]","[0.2643, 0.5089]","[0.294, 0.4058]","[0.2903, 0.5108]","[0.2886, 0.5956]"
"[0.3122, 0.8787]","[0.5162, 0.8672]","[0.7139, 0.7797]","[0.8629, 0.689]","[0.9814, 0.6316]","[0.6039, 0.4852]","[0.6555, 0.2848]","[0.6728, 0.1462]","[0.6811, 0.0347]","[0.4867, 0.4674]","[0.4901, 0.3367]","[0.4615, 0.4808]","[0.4488, 0.6065]","[0.3733, 0.4747]","[0.3743, 0.3894]","[0.3652, 0.5307]","[0.364, 0.6312]","[0.2619, 0.4924]","[0.2789, 0.3987]","[0.28, 0.5002]","[0.2833, 0.5776]"
"[0.3074, 0.8836]","[0.5054, 0.8752]","[0.7059, 0.7814]","[0.8593, 0.6889]","[0.9844, 0.6327]","[0.6052, 0.4803]","[0.662, 0.2675]","[0.6796, 0.1179]","[0.688, -0.0022]","[0.4876, 0.4643]","[0.4853, 0.343]","[0.4489, 0.493]","[0.4362, 0.6157]","[0.3732, 0.4722]","[0.3673, 0.3926]","[0.3531, 0.5414]","[0.3541, 0.6433]","[0.2621, 0.4905]","[0.2783, 0.4034]","[0.2749, 0.5111]","[0.2795, 0.5897]"
"[0.2985, 0.8979]","[0.5039, 0.8764]","[0.6998, 0.7815]","[0.8533, 0.6871]","[0.9825, 0.6357]","[0.6032, 0.4822]","[0.6581, 0.2812]","[0.6775, 0.1445]","[0.6894, 0.035]","[0.4884, 0.4656]","[0.4876, 0.3364]","[0.4548, 0.4866]","[0.4412, 0.6148]","[0.3754, 0.4738]","[0.3721, 0.3927]","[0.3576, 0.5425]","[0.3565, 0.6468]","[0.2648, 0.492]","[0.2794, 0.406]","[0.2767, 0.5118]","[0.2813, 0.5886]"
"[0.3017, 0.8966]","[0.5082, 0.8763]","[0.7059, 0.7824]","[0.8579, 0.6837]","[0.9877, 0.6327]","[0.6047, 0.4829]","[0.658, 0.2811]","[0.6767, 0.1438]","[0.6888, 0.0347]","[0.4892, 0.4663]","[0.4868, 0.3367]","[0.4537, 0.4873]","[0.4405, 0.6167]","[0.3775, 0.4742]","[0.3722, 0.3942]","[0.3584, 0.5441]","[0.3586, 0.6485]","[0.2684, 0.4914]","[0.2806, 0.407]","[0.2793, 0.5134]","[0.2875, 0.5898]"
"[0.3, 0.8946]","[0.5042, 0.8753]","[0.7002, 0.786]","[0.8514, 0.687]","[0.9821, 0.6354]","[0.6021, 0.4858]","[0.6588, 0.2826]","[0.6783, 0.1452]","[0.6909, 0.0358]","[0.4885, 0.4695]","[0.4854, 0.3367]","[0.4516, 0.4851]","[0.4393, 0.6119]","[0.3774, 0.4776]","[0.3686, 0.3944]","[0.3531, 0.5417]","[0.3539, 0.643]","[0.2687, 0.4946]","[0.2784, 0.4056]","[0.2752, 0.5116]","[0.2822, 0.5878]"
"[0.3019, 0.893]","[0.5029, 0.8766]","[0.6999, 0.7879]","[0.8539, 0.69]","[0.9854, 0.6357]","[0.6082, 0.487]","[0.6629, 0.2867]","[0.6822, 0.1496]","[0.6949, 0.0405]","[0.4935, 0.4684]","[0.4899, 0.3329]","[0.4564, 0.4819]","[0.4438, 0.61]","[0.3819, 0.4754]","[0.3751, 0.394]","[0.3575, 0.542]","[0.3563, 0.643]","[0.2724, 0.4925]","[0.2836, 0.4049]","[0.2791, 0.5124]","[0.2848, 0.5879]"
"[0.3026, 0.8902]","[0.5067, 0.8712]","[0.7058, 0.7815]","[0.8604, 0.6828]","[0.9934, 0.6335]","[0.604, 0.4848]","[0.6615, 0.2816]","[0.6821, 0.1441]","[0.6957, 0.0353]","[0.4878, 0.4686]","[0.4858, 0.342]","[0.4523, 0.4899]","[0.4382, 0.6184]","[0.376, 0.4759]","[0.3692, 0.395]","[0.3541, 0.5423]","[0.353, 0.6474]","[0.2677, 0.4912]","[0.2813, 0.4051]","[0.2776, 0.5113]","[0.2838, 0.5904]"
"[0.301, 0.8894]","[0.5026, 0.872]","[0.7013, 0.7819]","[0.8569, 0.6853]","[0.9897, 0.6358]","[0.6045, 0.485]","[0.661, 0.2802]","[0.6796, 0.1416]","[0.6914, 0.0312]","[0.4889, 0.4688]","[0.4863, 0.3422]","[0.4518, 0.489]","[0.4382, 0.6171]","[0.3771, 0.4759]","[0.3722, 0.3952]","[0.355, 0.5392]","[0.3527, 0.6429]","[0.2688, 0.4911]","[0.2831, 0.4044]","[0.2784, 0.5053]","[0.2836, 0.5816]"
"[0.3044, 0.8922]","[0.5056, 0.874]","[0.7025, 0.7844]","[0.8568, 0.687]","[0.9882, 0.6364]","[0.6071, 0.4854]","[0.6627, 0.2789]","[0.6818, 0.1395]","[0.6944, 0.0284]","[0.492, 0.4698]","[0.4868, 0.3438]","[0.454, 0.4905]","[0.4418, 0.6183]","[0.3807, 0.4775]","[0.3745, 0.3972]","[0.3573, 0.5424]","[0.3545, 0.6467]","[0.2721, 0.4929]","[0.2849, 0.4055]","[0.2795, 0.5071]","[0.2837, 0.5838]"
"[0.3018, 0.8952]","[0.5016, 0.8755]","[0.6978, 0.7858]","[0.85, 0.6894]","[0.9795, 0.6382]","[0.6045, 0.4847]","[0.6608, 0.2777]","[0.6797, 0.1393]","[0.6916, 0.0308]","[0.4899, 0.4693]","[0.4871, 0.3419]","[0.4522, 0.4858]","[0.4373, 0.6125]","[0.3792, 0.4775]","[0.3733, 0.3976]","[0.3561, 0.5417]","[0.354, 0.6452]","[0.2717, 0.4936]","[0.2844, 0.4077]","[0.2796, 0.5087]","[0.2844, 0.5842]"
