[0.8801, 1.0],[0.6718, 1.0],[0.6682, 1.0],[0.8533, 0.9229],[0.9999, 0.826],[0.663, 0.9449],[0.662, 0.7543],[0.6867, 0.8874],[0.7037, 1.0],[0.8039, 0.9362],[0.7983, 0.7193],[0.7983, 0.8694],[0.7895, 1.0],[0.9377, 0.9666],[0.9531, 0.721],[0.9263, 0.8573],[0.8975, 0.9964],[1.0, 1.0],[0.9958, 0.9481],[0.9413, 1.0],[0.914, 1.0]
[0.8641, 1.0],[0.6795, 1.0],[0.6774, 1.0],[0.8657, 0.9409],[1.0, 0.8422],[0.6687, 0.9646],[0.6605, 0.7609],[0.6646, 0.8766],[0.6713, 1.0],[0.8091, 0.9478],[0.788, 0.7196],[0.7772, 0.855],[0.7679, 0.9982],[0.9479, 0.9767],[0.9495, 0.7178],[0.9119, 0.8573],[0.8775, 1.0],[1.0, 1.0],[1.0, 0.9533],[0.951, 1.0],[0.9248, 1.0]
[0.8703, 1.0],[0.6759, 1.0],[0.6718, 1.0],[0.8605, 0.9368],[1.0, 0.8379],[0.6661, 0.9591],[0.663, 0.7566],[0.6723, 0.8735],[0.6743, 1.0],[0.8081, 0.9455],[0.7921, 0.7204],[0.789, 0.8567],[0.7757, 0.9979],[0.9449, 0.9738],[0.9582, 0.7175],[0.9238, 0.8538],[0.8816, 0.9967],[1.0, 1.0],[1.0, 0.9524],[0.9469, 1.0],[0.9145, 1.0]
[0.8636, 1.0],[0.6702, 1.0],[0.6738, 1.0],[0.8687, 0.9354],[1.0, 0.8359],[0.6728, 0.9519],[0.6615, 0.7621],[0.6635, 0.8703],[0.6682, 1.0],[0.8142, 0.9388],[0.7911, 0.7199],[0.7787, 0.8466],[0.7669, 0.9883],[0.9521, 0.9692],[0.9572, 0.7181],[0.9119, 0.8486],[0.8713, 0.9918],[1.0, 1.0],[0.9937, 0.9571],[0.9371, 1.0],[0.9125, 1.0]
[0.8703, 1.0],[0.6743, 1.0],[0.6779, 1.0],[0.8759, 0.9351],[1.0, 0.839],[0.6723, 0.951],[0.6671, 0.7604],[0.6702, 0.8746],[0.6728, 1.0],[0.8168, 0.9394],[0.7967, 0.7201],[0.7875, 0.8506],[0.7762, 0.9924],[0.9562, 0.9704],[0.9644, 0.7178],[0.9227, 0.8466],[0.8831, 0.9889],[1.0, 1.0],[0.9978, 0.9565],[0.9413, 1.0],[0.9145, 1.0]
[0.8662, 1.0],[0.6713, 1.0],[0.6759, 1.0],[0.8708, 0.9342],[1.0, 0.8361],[0.6733, 0.953],[0.6651, 0.7609],[0.6682, 0.8807],[0.6754, 1.0],[0.8168, 0.9412],[0.7957, 0.7204],[0.7829, 0.8541],[0.7731, 0.9944],[0.9557, 0.9727],[0.9618, 0.7222],[0.9161, 0.8576],[0.877, 0.999],[1.0, 1.0],[0.9999, 0.9519],[0.9438, 1.0],[0.9207, 1.0]
[0.8636, 1.0],[0.6707, 1.0],[0.6702, 1.0],[0.859, 0.9345],[1.0, 0.8364],[0.6666, 0.9559],[0.6599, 0.7569],[0.6635, 0.8764],[0.6677, 1.0],[0.8106, 0.9441],[0.7942, 0.7233],[0.7808, 0.8581],[0.7659, 0.9967],[0.9485, 0.9759],[0.9557, 0.7227],[0.9119, 0.8581],[0.8718, 0.9976],[1.0, 1.0],[0.9968, 0.9484],[0.9428, 1.0],[0.9186, 1.0]
[0.861, 1.0],[0.6692, 1.0],[0.6641, 1.0],[0.8471, 0.9166],[0.9942, 0.809],[0.6589, 0.9524],[0.6502, 0.7525],[0.662, 0.8726],[0.6713, 1.0],[0.8034, 0.9388],[0.788, 0.7147],[0.7813, 0.8492],[0.7685, 0.9892],[0.9428, 0.9692],[0.9526, 0.7138],[0.9135, 0.8471],[0.8718, 0.9872],[1.0, 1.0],[0.9927, 0.9452],[0.9392, 1.0],[0.9094, 1.0]
[0.8574, 1.0],[0.662, 1.0],[0.661, 1.0],[0.8492, 0.9212],[0.9994, 0.8156],[0.6625, 0.9455],[0.6517, 0.7534],[0.6584, 0.8697],[0.6646, 1.0],[0.8045, 0.9313],[0.7834, 0.7123],[0.7736, 0.844],[0.7592, 0.9831],[0.9418, 0.9614],[0.949, 0.7074],[0.9068, 0.8405],[0.8657, 0.982],[1.0, 1.0],[0.9891, 0.9412],[0.9335, 1.0],[0.9058, 1.0]
[0.8626, 1.0],[0.6651, 1.0],[0.6656, 1.0],[0.859, 0.9206],[1.0, 0.8228],[0.662, 0.9429],[0.6527, 0.7453],[0.6563, 0.8547],[0.6615, 0.9843],[0.806, 0.9305],[0.7854, 0.708],[0.7741, 0.8356],[0.7623, 0.9741],[0.9443, 0.9614],[0.95, 0.7077],[0.9068, 0.839],[0.8677, 0.9811],[1.0, 1.0],[0.9845, 0.9455],[0.9289, 1.0],[0.9058, 1.0]
[0.8646, 1.0],[0.6692, 1.0],[0.6718, 1.0],[0.8682, 0.9209],[1.0, 0.8205],[0.6615, 0.942],[0.6558, 0.7453],[0.6625, 0.8561],[0.6661, 0.986],[0.8065, 0.9305],[0.789, 0.7068],[0.7813, 0.8359],[0.7674, 0.9724],[0.9449, 0.9617],[0.9551, 0.7089],[0.9135, 0.8388],[0.8713, 0.9779],[1.0, 1.0],[0.9911, 0.942],[0.9377, 1.0],[0.9114, 1.0]
