[0.1117, 1.0],[0.3035, 1.0],[0.3318, 1.0],[0.1487, 0.9261],[0.0, 0.8286],[0.3303, 0.9548],[0.3416, 0.7534],[0.3231, 0.8839],[0.32, 1.0],[0.1914, 0.9527],[0.2218, 0.7184],[0.2171, 0.8795],[0.2233, 1.0],[0.0582, 0.9799],[0.0629, 0.7236],[0.1071, 0.8827],[0.1343, 1.0],[0.0, 1.0],[0.0, 0.949],[0.0598, 1.0],[0.0901, 1.0]
[0.1071, 1.0],[0.3015, 1.0],[0.3287, 1.0],[0.1518, 0.9371],[0.0, 0.846],[0.3267, 0.9597],[0.3493, 0.7661],[0.3344, 0.8969],[0.3277, 1.0],[0.1863, 0.9568],[0.211, 0.7254],[0.2187, 0.8853],[0.2331, 1.0],[0.0495, 0.9846],[0.0623, 0.7147],[0.1091, 0.8662],[0.1385, 1.0],[0.0, 1.0],[0.0, 0.9464],[0.0598, 1.0],[0.0968, 1.0]
[0.1091, 1.0],[0.3025, 1.0],[0.3282, 1.0],[0.1426, 0.9281],[0.0, 0.835],[0.3298, 0.9568],[0.3519, 0.7618],[0.3344, 0.8931],[0.3293, 1.0],[0.1878, 0.9539],[0.2146, 0.7193],[0.2192, 0.8795],[0.2346, 1.0],[0.0495, 0.9799],[0.0582, 0.7141],[0.103, 0.872],[0.1328, 1.0],[0.0, 1.0],[0.0, 0.9487],[0.0634, 1.0],[0.0994, 1.0]
[0.1086, 1.0],[0.302, 1.0],[0.3246, 1.0],[0.1333, 0.9279],[0.0, 0.8414],[0.3246, 0.9452],[0.3503, 0.7578],[0.3354, 0.8937],[0.3308, 1.0],[0.1842, 0.9429],[0.2135, 0.7152],[0.2207, 0.8775],[0.2357, 1.0],[0.0464, 0.9715],[0.0587, 0.7103],[0.1045, 0.8654],[0.1333, 1.0],[0.0, 1.0],[0.0, 0.9493],[0.0639, 1.0],[0.0973, 1.0]
[0.1061, 1.0],[0.2999, 1.0],[0.3215, 1.0],[0.1338, 0.9261],[0.0, 0.8347],[0.319, 0.9527],[0.3462, 0.7612],[0.3303, 0.8952],[0.3231, 1.0],[0.1796, 0.9507],[0.2094, 0.7201],[0.2161, 0.8813],[0.2295, 1.0],[0.0433, 0.9782],[0.0572, 0.7109],[0.103, 0.8659],[0.1307, 1.0],[0.0, 1.0],[0.0, 0.9493],[0.0572, 1.0],[0.0911, 1.0]
[0.1066, 1.0],[0.303, 1.0],[0.3246, 1.0],[0.1462, 0.9316],[0.0, 0.8396],[0.3143, 0.9504],[0.3426, 0.7635],[0.3257, 0.8975],[0.3185, 1.0],[0.1775, 0.9469],[0.2074, 0.7181],[0.2141, 0.8807],[0.229, 1.0],[0.0438, 0.9718],[0.0618, 0.7118],[0.1107, 0.87],[0.1421, 1.0],[0.0, 1.0],[0.0, 0.942],[0.0639, 1.0],[0.0983, 1.0]
[0.1169, 1.0],[0.3128, 1.0],[0.3334, 1.0],[0.1441, 0.9302],[0.0, 0.8425],[0.3185, 0.9484],[0.3534, 0.7595],[0.3344, 0.8978],[0.3226, 1.0],[0.1827, 0.9498],[0.2166, 0.7184],[0.2218, 0.8821],[0.2331, 1.0],[0.0479, 0.9773],[0.0665, 0.7135],[0.1158, 0.8732],[0.1462, 1.0],[0.0, 1.0],[0.0001, 0.9412],[0.0706, 1.0],[0.1045, 1.0]
[0.1199, 1.0],[0.3128, 1.0],[0.3426, 1.0],[0.158, 0.9299],[0.0027, 0.8405],[0.3323, 0.9527],[0.3591, 0.7549],[0.337, 0.8839],[0.3267, 1.0],[0.193, 0.9519],[0.2218, 0.7126],[0.2223, 0.8712],[0.2372, 1.0],[0.0577, 0.9765],[0.0695, 0.7126],[0.1158, 0.8726],[0.1508, 1.0],[0.0, 1.0],[0.0001, 0.9316],[0.0665, 1.0],[0.1045, 1.0]
[0.1184, 1.0],[0.3179, 1.0],[0.3416, 1.0],[0.159, 0.9151],[0.0, 0.826],[0.3375, 0.9365],[0.3642, 0.7508],[0.3462, 0.8824],[0.3354, 1.0],[0.1976, 0.9334],[0.2249, 0.7037],[0.23, 0.8625],[0.2434, 1.0],[0.0598, 0.9585],[0.0742, 0.7051],[0.1225, 0.8659],[0.1544, 1.0],[0.0, 1.0],[0.0099, 0.9351],[0.0798, 1.0],[0.1169, 1.0]
[0.1117, 1.0],[0.3102, 1.0],[0.339, 1.0],[0.1616, 0.9368],[0.0, 0.8671],[0.3241, 0.9336],[0.3509, 0.7459],[0.3401, 0.8793],[0.3339, 1.0],[0.1858, 0.9348],[0.2074, 0.7034],[0.2233, 0.8642],[0.2413, 1.0],[0.0505, 0.964],[0.0665, 0.7005],[0.1235, 0.8564],[0.159, 0.9976],[0.0, 1.0],[0.0053, 0.9293],[0.0788, 1.0],[0.1148, 1.0]
[0.1143, 1.0],[0.3082, 1.0],[0.3303, 1.0],[0.1518, 0.9218],[0.0, 0.8408],[0.3221, 0.9299],[0.3457, 0.7482],[0.3349, 0.8798],[0.3298, 1.0],[0.1847, 0.9296],[0.2105, 0.7039],[0.2213, 0.8651],[0.2357, 1.0],[0.05, 0.9591],[0.0665, 0.7022],[0.1189, 0.859],[0.1508, 1.0],[0.0, 1.0],[0.0, 0.9299],[0.0737, 1.0],[0.1133, 1.0]
