"[0.4138, 0.7812]","[0.5865, 0.738]","[0.6774, 0.6064]","[0.6126, 0.5272]","[0.5007, 0.4878]","[0.6469, 0.4127]","[0.6837, 0.2795]","[0.6648, 0.4081]","[0.6471, 0.5391]","[0.5173, 0.4007]","[0.5385, 0.2297]","[0.5389, 0.3804]","[0.5486, 0.5188]","[0.3976, 0.4279]","[0.4034, 0.2437]","[0.4304, 0.3864]","[0.4543, 0.5104]","[0.2869, 0.4991]","[0.3226, 0.4475]","[0.3753, 0.5711]","[0.4163, 0.6734]"
"[0.4298, 0.8921]","[0.6154, 0.8372]","[0.684, 0.6325]","[0.5475, 0.4895]","[0.4104, 0.43]","[0.641, 0.4614]","[0.6634, 0.3031]","[0.6562, 0.3966]","[0.6502, 0.5219]","[0.5079, 0.4495]","[0.5313, 0.2532]","[0.5389, 0.3732]","[0.5491, 0.5111]","[0.381, 0.4787]","[0.3994, 0.2558]","[0.4295, 0.3865]","[0.4553, 0.5136]","[0.2554, 0.5464]","[0.3216, 0.4601]","[0.3835, 0.578]","[0.4243, 0.6869]"
"[0.4347, 0.9399]","[0.6211, 0.8358]","[0.6727, 0.6186]","[0.5104, 0.4769]","[0.3657, 0.4159]","[0.6437, 0.4699]","[0.6639, 0.2966]","[0.6513, 0.4069]","[0.6484, 0.5381]","[0.5107, 0.4664]","[0.5404, 0.2542]","[0.5469, 0.3886]","[0.5573, 0.5361]","[0.383, 0.4979]","[0.3955, 0.2526]","[0.4329, 0.3858]","[0.4583, 0.5175]","[0.2562, 0.5693]","[0.3161, 0.4654]","[0.3856, 0.5798]","[0.428, 0.6883]"
"[0.4225, 0.9635]","[0.6123, 0.8513]","[0.6693, 0.6293]","[0.5063, 0.4801]","[0.3656, 0.4041]","[0.6451, 0.4813]","[0.6716, 0.29]","[0.6541, 0.4096]","[0.646, 0.5431]","[0.5101, 0.4775]","[0.5413, 0.2489]","[0.5481, 0.3852]","[0.5611, 0.5297]","[0.3811, 0.5053]","[0.3954, 0.2496]","[0.4347, 0.3824]","[0.46, 0.511]","[0.2545, 0.5706]","[0.3173, 0.4599]","[0.3821, 0.5729]","[0.4183, 0.6777]"
"[0.4227, 0.9729]","[0.6158, 0.8392]","[0.6672, 0.6285]","[0.5138, 0.4839]","[0.3793, 0.4057]","[0.6438, 0.4798]","[0.6712, 0.2904]","[0.6539, 0.4127]","[0.6466, 0.5449]","[0.5112, 0.4754]","[0.5397, 0.2447]","[0.5455, 0.383]","[0.5592, 0.5273]","[0.3819, 0.5021]","[0.3979, 0.2524]","[0.4371, 0.3863]","[0.4648, 0.5159]","[0.2561, 0.5669]","[0.3147, 0.462]","[0.378, 0.5704]","[0.4165, 0.6705]"
"[0.4169, 0.9773]","[0.6133, 0.8414]","[0.6687, 0.6352]","[0.5176, 0.4919]","[0.3866, 0.4128]","[0.649, 0.4794]","[0.6761, 0.29]","[0.6561, 0.411]","[0.6467, 0.5423]","[0.5151, 0.474]","[0.543, 0.2432]","[0.5464, 0.3821]","[0.5598, 0.5249]","[0.3847, 0.5008]","[0.4017, 0.2549]","[0.4403, 0.3904]","[0.469, 0.5199]","[0.258, 0.567]","[0.3148, 0.4615]","[0.3757, 0.5691]","[0.4136, 0.6672]"
"[0.4211, 0.9808]","[0.6171, 0.8401]","[0.6695, 0.6307]","[0.5188, 0.4902]","[0.3848, 0.4138]","[0.6456, 0.4808]","[0.6742, 0.2885]","[0.6552, 0.4096]","[0.6469, 0.5407]","[0.5127, 0.4764]","[0.5423, 0.2434]","[0.5449, 0.3835]","[0.5567, 0.5249]","[0.3825, 0.5028]","[0.4004, 0.2573]","[0.4401, 0.3955]","[0.4688, 0.5257]","[0.2579, 0.5681]","[0.3184, 0.4651]","[0.3806, 0.5729]","[0.4175, 0.6704]"
"[0.4193, 0.981]","[0.6142, 0.8454]","[0.6689, 0.6361]","[0.5186, 0.4932]","[0.3858, 0.4134]","[0.6435, 0.4851]","[0.6703, 0.2916]","[0.6544, 0.4065]","[0.6471, 0.5353]","[0.5107, 0.4793]","[0.5401, 0.2449]","[0.5459, 0.3808]","[0.5572, 0.5223]","[0.3804, 0.5052]","[0.3997, 0.255]","[0.4423, 0.3882]","[0.4704, 0.5159]","[0.2543, 0.5691]","[0.3171, 0.4654]","[0.3819, 0.5721]","[0.419, 0.6692]"
"[0.414, 0.9781]","[0.6099, 0.8434]","[0.6661, 0.6341]","[0.5165, 0.4903]","[0.3846, 0.4098]","[0.6457, 0.4814]","[0.6719, 0.2911]","[0.6513, 0.4076]","[0.641, 0.537]","[0.5116, 0.4753]","[0.5376, 0.2434]","[0.5404, 0.3802]","[0.552, 0.5219]","[0.3805, 0.5013]","[0.3987, 0.2547]","[0.439, 0.3904]","[0.467, 0.5191]","[0.2541, 0.5656]","[0.316, 0.4651]","[0.3789, 0.5738]","[0.4157, 0.6709]"
"[0.4161, 0.9797]","[0.612, 0.84]","[0.6671, 0.6302]","[0.5151, 0.4905]","[0.3809, 0.4153]","[0.6463, 0.4798]","[0.6736, 0.2888]","[0.6526, 0.4063]","[0.6428, 0.5361]","[0.5118, 0.4753]","[0.5403, 0.2435]","[0.5424, 0.3814]","[0.5541, 0.5234]","[0.3802, 0.5023]","[0.4003, 0.2558]","[0.4395, 0.3917]","[0.467, 0.521]","[0.2542, 0.5679]","[0.3202, 0.4656]","[0.3816, 0.5751]","[0.417, 0.6737]"
"[0.4179, 0.9777]","[0.6147, 0.8366]","[0.6702, 0.6278]","[0.5173, 0.4899]","[0.3813, 0.4171]","[0.6444, 0.4744]","[0.6716, 0.289]","[0.654, 0.4064]","[0.646, 0.5364]","[0.5104, 0.4708]","[0.5403, 0.2427]","[0.5449, 0.3824]","[0.5573, 0.5265]","[0.3792, 0.4987]","[0.4012, 0.2538]","[0.4418, 0.389]","[0.4698, 0.5188]","[0.2534, 0.5657]","[0.3204, 0.4647]","[0.3818, 0.5736]","[0.4167, 0.6717]"
