"[0.4861, 0.8667]","[0.3444, 0.7536]","[0.3392, 0.5491]","[0.4692, 0.4204]","[0.5833, 0.3487]","[0.347, 0.4356]","[0.3815, 0.2822]","[0.4121, 0.3816]","[0.4219, 0.4981]","[0.4688, 0.4551]","[0.5049, 0.2652]","[0.5059, 0.354]","[0.4986, 0.4693]","[0.5731, 0.5025]","[0.5948, 0.4274]","[0.5515, 0.5683]","[0.5114, 0.6779]","[0.6632, 0.5685]","[0.6607, 0.4981]","[0.6234, 0.5914]","[0.5954, 0.669]"
"[0.4936, 0.9044]","[0.352, 0.7853]","[0.3405, 0.5731]","[0.461, 0.4287]","[0.5735, 0.3348]","[0.3343, 0.4476]","[0.379, 0.285]","[0.4091, 0.3773]","[0.4166, 0.491]","[0.4591, 0.4636]","[0.506, 0.2548]","[0.507, 0.3475]","[0.4952, 0.4684]","[0.5669, 0.5118]","[0.5946, 0.4256]","[0.5505, 0.57]","[0.5043, 0.677]","[0.658, 0.5793]","[0.6584, 0.5022]","[0.6169, 0.5973]","[0.5797, 0.6723]"
"[0.4949, 0.9256]","[0.3543, 0.7839]","[0.339, 0.5738]","[0.458, 0.4233]","[0.5718, 0.3268]","[0.3389, 0.4508]","[0.3778, 0.2791]","[0.411, 0.3726]","[0.4214, 0.4889]","[0.4597, 0.4705]","[0.5075, 0.2551]","[0.5109, 0.348]","[0.5004, 0.4701]","[0.5682, 0.5227]","[0.5933, 0.4373]","[0.5497, 0.5792]","[0.5046, 0.6868]","[0.6611, 0.5939]","[0.6581, 0.5067]","[0.6164, 0.6021]","[0.5802, 0.6834]"
"[0.4989, 0.9301]","[0.3612, 0.7789]","[0.3465, 0.5737]","[0.4646, 0.4231]","[0.5793, 0.3317]","[0.3382, 0.4467]","[0.3807, 0.2804]","[0.4131, 0.3749]","[0.4228, 0.4904]","[0.4591, 0.468]","[0.5074, 0.2552]","[0.5116, 0.3495]","[0.5022, 0.4715]","[0.5674, 0.5223]","[0.5936, 0.4415]","[0.5512, 0.58]","[0.5059, 0.6848]","[0.6567, 0.5962]","[0.6573, 0.5098]","[0.6166, 0.6059]","[0.5792, 0.6889]"
"[0.4935, 0.9246]","[0.3571, 0.768]","[0.3452, 0.5631]","[0.465, 0.4185]","[0.582, 0.3302]","[0.3415, 0.442]","[0.3787, 0.278]","[0.4091, 0.3734]","[0.4189, 0.4881]","[0.4612, 0.465]","[0.5096, 0.2549]","[0.5097, 0.3509]","[0.4979, 0.4734]","[0.5696, 0.5206]","[0.5924, 0.4414]","[0.5466, 0.5807]","[0.5023, 0.6865]","[0.6601, 0.5951]","[0.6559, 0.5068]","[0.6139, 0.6007]","[0.5792, 0.6834]"
"[0.4982, 0.932]","[0.3612, 0.7814]","[0.3465, 0.5721]","[0.4649, 0.4242]","[0.5799, 0.3363]","[0.336, 0.4501]","[0.3784, 0.2778]","[0.4113, 0.3725]","[0.4195, 0.4872]","[0.4556, 0.4706]","[0.5062, 0.2558]","[0.5118, 0.35]","[0.5016, 0.4705]","[0.5635, 0.5242]","[0.5912, 0.4433]","[0.5511, 0.581]","[0.507, 0.6856]","[0.6539, 0.596]","[0.6541, 0.5112]","[0.6147, 0.6055]","[0.5788, 0.6873]"
"[0.4983, 0.929]","[0.3602, 0.7769]","[0.3454, 0.5687]","[0.4644, 0.4213]","[0.5776, 0.3298]","[0.3392, 0.4449]","[0.3751, 0.2782]","[0.4032, 0.3731]","[0.4131, 0.4873]","[0.4581, 0.4673]","[0.5069, 0.2545]","[0.5075, 0.3499]","[0.498, 0.4715]","[0.5658, 0.5224]","[0.5904, 0.4404]","[0.5482, 0.5785]","[0.5077, 0.6823]","[0.6568, 0.5961]","[0.6535, 0.5074]","[0.6133, 0.6043]","[0.5813, 0.6872]"
"[0.5025, 0.9312]","[0.3646, 0.7801]","[0.3472, 0.5741]","[0.4642, 0.4237]","[0.5771, 0.3309]","[0.3384, 0.4477]","[0.3751, 0.2775]","[0.4061, 0.3722]","[0.4157, 0.4866]","[0.4575, 0.4704]","[0.5066, 0.2557]","[0.5091, 0.3522]","[0.4986, 0.4736]","[0.5654, 0.5257]","[0.5899, 0.4398]","[0.5491, 0.5762]","[0.5085, 0.6792]","[0.6567, 0.5996]","[0.654, 0.5081]","[0.6142, 0.6046]","[0.5814, 0.6883]"
"[0.4994, 0.9256]","[0.3603, 0.7723]","[0.344, 0.5673]","[0.4612, 0.4204]","[0.5734, 0.3304]","[0.3387, 0.4446]","[0.3743, 0.279]","[0.4042, 0.3734]","[0.4137, 0.4874]","[0.458, 0.4674]","[0.5075, 0.2562]","[0.5098, 0.3501]","[0.4994, 0.4692]","[0.5662, 0.5227]","[0.5903, 0.443]","[0.5477, 0.5806]","[0.5049, 0.6839]","[0.6577, 0.5967]","[0.6541, 0.5094]","[0.6137, 0.6059]","[0.5791, 0.6895]"
"[0.501, 0.9262]","[0.3621, 0.7771]","[0.344, 0.5718]","[0.4601, 0.4225]","[0.5743, 0.332]","[0.337, 0.4493]","[0.3748, 0.2813]","[0.4076, 0.3749]","[0.4187, 0.4895]","[0.4565, 0.4706]","[0.5062, 0.2566]","[0.5115, 0.3515]","[0.5026, 0.4733]","[0.5647, 0.5238]","[0.593, 0.4426]","[0.5526, 0.5815]","[0.5094, 0.6866]","[0.6563, 0.5966]","[0.6559, 0.5104]","[0.6172, 0.6064]","[0.5827, 0.6899]"
"[0.4964, 0.9238]","[0.3574, 0.7716]","[0.3428, 0.5643]","[0.4629, 0.419]","[0.5793, 0.333]","[0.337, 0.4445]","[0.3747, 0.2799]","[0.404, 0.3769]","[0.4133, 0.4911]","[0.4567, 0.4678]","[0.5044, 0.2544]","[0.5062, 0.3521]","[0.4963, 0.4752]","[0.5657, 0.5222]","[0.5918, 0.4402]","[0.549, 0.5826]","[0.5057, 0.6899]","[0.6584, 0.5953]","[0.655, 0.5072]","[0.6148, 0.6038]","[0.5816, 0.687]"
"[0.4963, 0.9212]","[0.3581, 0.7692]","[0.3435, 0.5653]","[0.4586, 0.4183]","[0.5729, 0.3327]","[0.3326, 0.4445]","[0.3707, 0.279]","[0.4056, 0.3743]","[0.4161, 0.4878]","[0.452, 0.4678]","[0.4991, 0.2537]","[0.5035, 0.351]","[0.4926, 0.4739]","[0.5606, 0.522]","[0.5851, 0.4402]","[0.5452, 0.581]","[0.5026, 0.6873]","[0.6518, 0.5951]","[0.6499, 0.507]","[0.6116, 0.6041]","[0.578, 0.6888]"
"[0.486, 0.9161]","[0.3534, 0.7643]","[0.3414, 0.5652]","[0.4602, 0.4236]","[0.5745, 0.3365]","[0.3288, 0.4413]","[0.3682, 0.2792]","[0.402, 0.3737]","[0.4107, 0.4864]","[0.4501, 0.4618]","[0.4947, 0.2512]","[0.4987, 0.3478]","[0.4888, 0.4692]","[0.5604, 0.5149]","[0.5881, 0.4409]","[0.5473, 0.5807]","[0.5021, 0.6846]","[0.6506, 0.586]","[0.6506, 0.5097]","[0.6104, 0.6045]","[0.573, 0.6838]"
"[0.4908, 0.918]","[0.3575, 0.7644]","[0.3468, 0.5647]","[0.4664, 0.4231]","[0.5816, 0.3398]","[0.3299, 0.442]","[0.373, 0.28]","[0.4055, 0.3735]","[0.4133, 0.4858]","[0.4518, 0.4628]","[0.4966, 0.2515]","[0.5008, 0.3471]","[0.491, 0.4677]","[0.5629, 0.516]","[0.5878, 0.438]","[0.5463, 0.5769]","[0.5005, 0.681]","[0.6527, 0.5877]","[0.6511, 0.51]","[0.6098, 0.6044]","[0.5715, 0.6831]"
"[0.4863, 0.9215]","[0.3526, 0.7641]","[0.3425, 0.5631]","[0.464, 0.4239]","[0.5829, 0.344]","[0.3297, 0.4401]","[0.3739, 0.2817]","[0.4038, 0.376]","[0.4103, 0.4888]","[0.4524, 0.4615]","[0.4993, 0.2514]","[0.5014, 0.3422]","[0.4917, 0.46]","[0.5643, 0.517]","[0.5873, 0.4399]","[0.5428, 0.5771]","[0.4955, 0.6811]","[0.6544, 0.5916]","[0.6504, 0.5097]","[0.6072, 0.6014]","[0.5681, 0.6803]"
"[0.4877, 0.9215]","[0.3529, 0.7618]","[0.3429, 0.5582]","[0.465, 0.4188]","[0.5821, 0.338]","[0.3309, 0.4379]","[0.3736, 0.2815]","[0.4061, 0.375]","[0.4148, 0.4873]","[0.4522, 0.4595]","[0.4975, 0.2528]","[0.5013, 0.3444]","[0.4929, 0.4623]","[0.5625, 0.5135]","[0.5854, 0.4376]","[0.5424, 0.5729]","[0.4966, 0.6768]","[0.6524, 0.584]","[0.6451, 0.5125]","[0.6014, 0.6071]","[0.5641, 0.6859]"
