"[0.5587, 0.8536]","[0.5804, 0.8319]","[0.5867, 0.7808]","[0.5666, 0.7458]","[0.5487, 0.7297]","[0.5811, 0.739]","[0.5762, 0.6969]","[0.5697, 0.7224]","[0.5675, 0.755]","[0.5613, 0.7439]","[0.5543, 0.6928]","[0.5516, 0.7208]","[0.5539, 0.7543]","[0.5438, 0.7559]","[0.5385, 0.7452]","[0.545, 0.7862]","[0.5525, 0.8148]","[0.5282, 0.7731]","[0.5271, 0.7617]","[0.5339, 0.7921]","[0.5404, 0.8132]"
"[0.5557, 0.8671]","[0.5776, 0.8381]","[0.5837, 0.7813]","[0.5609, 0.7421]","[0.543, 0.7199]","[0.581, 0.7438]","[0.5777, 0.6989]","[0.5705, 0.7269]","[0.5682, 0.7611]","[0.5612, 0.7491]","[0.5555, 0.6912]","[0.5533, 0.7208]","[0.5559, 0.7561]","[0.5436, 0.7611]","[0.5394, 0.741]","[0.5459, 0.7827]","[0.5529, 0.8118]","[0.528, 0.7777]","[0.5294, 0.7615]","[0.536, 0.7952]","[0.5413, 0.8177]"
"[0.5538, 0.873]","[0.5769, 0.8361]","[0.5826, 0.7798]","[0.5595, 0.7393]","[0.5419, 0.7156]","[0.581, 0.7457]","[0.5773, 0.6991]","[0.5688, 0.7285]","[0.5663, 0.7631]","[0.5617, 0.7503]","[0.5558, 0.6913]","[0.5527, 0.7223]","[0.5554, 0.7586]","[0.5443, 0.7606]","[0.5394, 0.7408]","[0.5458, 0.7831]","[0.5532, 0.813]","[0.5286, 0.7755]","[0.5299, 0.7608]","[0.5365, 0.7932]","[0.5423, 0.8149]"
"[0.5535, 0.8767]","[0.5766, 0.8387]","[0.5841, 0.7819]","[0.5625, 0.7389]","[0.5443, 0.716]","[0.5814, 0.7481]","[0.577, 0.6988]","[0.5683, 0.7266]","[0.566, 0.7619]","[0.5621, 0.7531]","[0.5553, 0.6921]","[0.5518, 0.7201]","[0.5542, 0.7554]","[0.5447, 0.7639]","[0.5393, 0.7446]","[0.546, 0.7861]","[0.5539, 0.8165]","[0.529, 0.7788]","[0.5291, 0.7612]","[0.5356, 0.7918]","[0.5414, 0.8142]"
"[0.5535, 0.879]","[0.5763, 0.8394]","[0.5832, 0.7821]","[0.5619, 0.7389]","[0.5444, 0.7137]","[0.5815, 0.7492]","[0.5774, 0.6981]","[0.5689, 0.7257]","[0.5665, 0.7618]","[0.5621, 0.7539]","[0.5557, 0.6927]","[0.5521, 0.7207]","[0.5542, 0.7565]","[0.5446, 0.7646]","[0.5392, 0.7447]","[0.5454, 0.7866]","[0.5531, 0.8173]","[0.5289, 0.779]","[0.5288, 0.7603]","[0.5352, 0.7916]","[0.5409, 0.8145]"
"[0.5538, 0.8783]","[0.5766, 0.8399]","[0.5837, 0.7823]","[0.5617, 0.7388]","[0.5429, 0.7153]","[0.5815, 0.749]","[0.5777, 0.6982]","[0.5687, 0.7257]","[0.5661, 0.762]","[0.5617, 0.7534]","[0.5558, 0.6921]","[0.5518, 0.7202]","[0.5539, 0.7563]","[0.544, 0.7635]","[0.5389, 0.746]","[0.5454, 0.7878]","[0.5534, 0.8181]","[0.5285, 0.7773]","[0.5287, 0.763]","[0.535, 0.7951]","[0.5406, 0.8175]"
"[0.5543, 0.8783]","[0.5772, 0.8391]","[0.5837, 0.782]","[0.5617, 0.7394]","[0.5439, 0.7147]","[0.5819, 0.748]","[0.5777, 0.6986]","[0.5695, 0.7258]","[0.5672, 0.7618]","[0.5622, 0.7532]","[0.5561, 0.6923]","[0.5526, 0.719]","[0.5548, 0.7542]","[0.5445, 0.7641]","[0.5396, 0.746]","[0.5461, 0.7876]","[0.5537, 0.8181]","[0.5287, 0.7792]","[0.5296, 0.7637]","[0.5363, 0.7962]","[0.5418, 0.8193]"
"[0.5547, 0.8782]","[0.5769, 0.8392]","[0.5831, 0.7826]","[0.5614, 0.7402]","[0.5438, 0.7142]","[0.5821, 0.7476]","[0.5779, 0.6989]","[0.5699, 0.7251]","[0.5677, 0.761]","[0.5626, 0.7524]","[0.5572, 0.6922]","[0.5533, 0.7179]","[0.5549, 0.7527]","[0.5448, 0.7629]","[0.5405, 0.7447]","[0.5464, 0.7862]","[0.5535, 0.817]","[0.5289, 0.7777]","[0.53, 0.7628]","[0.5363, 0.796]","[0.5418, 0.8193]"
"[0.5554, 0.8777]","[0.5777, 0.8392]","[0.5846, 0.7825]","[0.5633, 0.7403]","[0.5453, 0.7161]","[0.582, 0.7471]","[0.5779, 0.6984]","[0.5704, 0.7254]","[0.5685, 0.7619]","[0.5623, 0.7521]","[0.5566, 0.6916]","[0.5531, 0.718]","[0.5551, 0.7532]","[0.5443, 0.7628]","[0.5404, 0.7451]","[0.5467, 0.787]","[0.5542, 0.8178]","[0.5283, 0.7777]","[0.5299, 0.7637]","[0.5366, 0.7972]","[0.5421, 0.8207]"
"[0.555, 0.877]","[0.5771, 0.8387]","[0.5832, 0.7825]","[0.5617, 0.7403]","[0.544, 0.715]","[0.5819, 0.7473]","[0.5781, 0.6987]","[0.5687, 0.7264]","[0.5658, 0.7628]","[0.5623, 0.7519]","[0.5564, 0.6909]","[0.5518, 0.7179]","[0.5537, 0.7542]","[0.5446, 0.7624]","[0.5396, 0.7465]","[0.5454, 0.7883]","[0.5529, 0.8188]","[0.5289, 0.7767]","[0.5292, 0.762]","[0.5351, 0.7946]","[0.5405, 0.8176]"
