"[0.4997, 0.8242]","[0.6174, 0.7319]","[0.6446, 0.5682]","[0.5297, 0.4539]","[0.4353, 0.3885]","[0.6351, 0.4538]","[0.6146, 0.3139]","[0.5767, 0.3984]","[0.5688, 0.4983]","[0.5323, 0.4663]","[0.5047, 0.2933]","[0.4869, 0.3731]","[0.4996, 0.4676]","[0.4379, 0.4988]","[0.4147, 0.4406]","[0.4441, 0.5541]","[0.4799, 0.634]","[0.3559, 0.5433]","[0.3621, 0.5023]","[0.3927, 0.5933]","[0.4205, 0.6569]"
"[0.4872, 0.8341]","[0.6013, 0.7271]","[0.6391, 0.569]","[0.5297, 0.4466]","[0.4385, 0.3749]","[0.636, 0.4597]","[0.6132, 0.3178]","[0.5702, 0.4031]","[0.5596, 0.5054]","[0.5352, 0.4705]","[0.5017, 0.2974]","[0.4835, 0.3816]","[0.495, 0.4821]","[0.4439, 0.4999]","[0.4149, 0.4516]","[0.4453, 0.5718]","[0.4829, 0.6559]","[0.3646, 0.5427]","[0.3626, 0.5043]","[0.3927, 0.595]","[0.4202, 0.6562]"
"[0.4855, 0.837]","[0.6001, 0.7257]","[0.6373, 0.5643]","[0.5325, 0.4393]","[0.447, 0.3654]","[0.6348, 0.4585]","[0.6118, 0.3153]","[0.5692, 0.3937]","[0.5586, 0.4984]","[0.5336, 0.4729]","[0.4987, 0.303]","[0.4793, 0.3757]","[0.4909, 0.4714]","[0.4428, 0.5048]","[0.4129, 0.4581]","[0.4426, 0.5758]","[0.4812, 0.6615]","[0.3635, 0.5489]","[0.3619, 0.5045]","[0.3905, 0.598]","[0.4175, 0.6644]"
"[0.4853, 0.8359]","[0.6012, 0.7265]","[0.6407, 0.5654]","[0.5327, 0.4398]","[0.4446, 0.3689]","[0.6356, 0.4582]","[0.6134, 0.3166]","[0.5697, 0.3963]","[0.5599, 0.5004]","[0.5332, 0.4737]","[0.4987, 0.3025]","[0.4795, 0.379]","[0.4926, 0.4769]","[0.4415, 0.505]","[0.4135, 0.4585]","[0.445, 0.5779]","[0.4856, 0.664]","[0.3621, 0.5478]","[0.3625, 0.5072]","[0.3912, 0.6013]","[0.4189, 0.6667]"
"[0.4847, 0.8372]","[0.6009, 0.7301]","[0.6393, 0.5663]","[0.5283, 0.4413]","[0.4408, 0.3683]","[0.6353, 0.4623]","[0.6127, 0.316]","[0.5679, 0.397]","[0.5562, 0.5017]","[0.5331, 0.4766]","[0.4987, 0.3022]","[0.479, 0.3814]","[0.4913, 0.4811]","[0.4421, 0.5067]","[0.4129, 0.4571]","[0.4438, 0.5778]","[0.4837, 0.6636]","[0.3628, 0.5482]","[0.3624, 0.5057]","[0.3912, 0.6007]","[0.4186, 0.6656]"
"[0.4894, 0.8407]","[0.6043, 0.7315]","[0.6438, 0.5638]","[0.5342, 0.4359]","[0.4462, 0.3628]","[0.6373, 0.4604]","[0.6164, 0.3163]","[0.5724, 0.398]","[0.5614, 0.5024]","[0.535, 0.4756]","[0.5015, 0.302]","[0.4837, 0.3837]","[0.4965, 0.4851]","[0.4436, 0.5073]","[0.4158, 0.4567]","[0.4484, 0.5776]","[0.4882, 0.664]","[0.3638, 0.5506]","[0.3654, 0.5073]","[0.3962, 0.6028]","[0.4239, 0.6689]"
"[0.4899, 0.8424]","[0.6037, 0.7327]","[0.6405, 0.5669]","[0.5345, 0.4387]","[0.4477, 0.3636]","[0.6376, 0.4614]","[0.6159, 0.3157]","[0.5747, 0.3964]","[0.5651, 0.5013]","[0.5358, 0.4773]","[0.5016, 0.3042]","[0.4847, 0.3849]","[0.498, 0.4855]","[0.4444, 0.5089]","[0.4181, 0.4579]","[0.4496, 0.5789]","[0.4881, 0.6667]","[0.3646, 0.552]","[0.3675, 0.5078]","[0.3974, 0.6038]","[0.4235, 0.6721]"
"[0.4893, 0.8422]","[0.6037, 0.7304]","[0.6409, 0.5656]","[0.5348, 0.4371]","[0.4485, 0.3603]","[0.6375, 0.4627]","[0.6163, 0.317]","[0.5742, 0.3962]","[0.564, 0.5009]","[0.5361, 0.4781]","[0.5041, 0.3048]","[0.4854, 0.3831]","[0.4969, 0.483]","[0.4445, 0.509]","[0.4175, 0.458]","[0.4476, 0.579]","[0.486, 0.6672]","[0.3643, 0.5511]","[0.3664, 0.5076]","[0.396, 0.6047]","[0.423, 0.6736]"
"[0.491, 0.8415]","[0.6045, 0.7317]","[0.6448, 0.5651]","[0.5402, 0.4371]","[0.4516, 0.3648]","[0.6365, 0.4612]","[0.6152, 0.3157]","[0.5767, 0.3953]","[0.5689, 0.5003]","[0.5347, 0.4772]","[0.5024, 0.3038]","[0.4859, 0.3836]","[0.4989, 0.4838]","[0.4432, 0.5088]","[0.4175, 0.4564]","[0.4492, 0.5782]","[0.4886, 0.666]","[0.363, 0.5516]","[0.3652, 0.5086]","[0.3958, 0.6063]","[0.4234, 0.6748]"
"[0.4914, 0.8408]","[0.6057, 0.7302]","[0.6465, 0.565]","[0.5416, 0.4382]","[0.4517, 0.3675]","[0.6351, 0.4608]","[0.6136, 0.3157]","[0.5697, 0.3954]","[0.5588, 0.5003]","[0.5335, 0.4766]","[0.5002, 0.3032]","[0.4815, 0.3815]","[0.4936, 0.4824]","[0.4425, 0.5084]","[0.4176, 0.4559]","[0.4487, 0.5767]","[0.4872, 0.6653]","[0.3629, 0.5516]","[0.3662, 0.5084]","[0.3961, 0.6044]","[0.4225, 0.6722]"
"[0.4925, 0.8398]","[0.6072, 0.728]","[0.6449, 0.5635]","[0.5364, 0.4367]","[0.4464, 0.3618]","[0.6362, 0.4612]","[0.6141, 0.3189]","[0.5714, 0.3973]","[0.5614, 0.5016]","[0.5348, 0.4771]","[0.5031, 0.3034]","[0.4842, 0.381]","[0.4956, 0.4825]","[0.4437, 0.5092]","[0.4182, 0.4575]","[0.4484, 0.5782]","[0.4861, 0.6663]","[0.3636, 0.5529]","[0.3665, 0.5072]","[0.397, 0.6027]","[0.4237, 0.6698]"
