"[0.4971, 0.8506]","[0.5303, 0.81]","[0.5512, 0.7722]","[0.5694, 0.7399]","[0.5731, 0.7032]","[0.5099, 0.7019]","[0.5314, 0.6562]","[0.553, 0.6651]","[0.5652, 0.6848]","[0.5009, 0.6968]","[0.5278, 0.6449]","[0.5513, 0.656]","[0.5646, 0.6826]","[0.4944, 0.6958]","[0.5233, 0.645]","[0.547, 0.6545]","[0.56, 0.6785]","[0.4917, 0.7001]","[0.5167, 0.6543]","[0.5369, 0.6535]","[0.5513, 0.6667]"
"[0.4961, 0.8511]","[0.5309, 0.8091]","[0.5518, 0.7705]","[0.5694, 0.7406]","[0.5742, 0.7087]","[0.5122, 0.7016]","[0.5332, 0.6562]","[0.5554, 0.6663]","[0.5686, 0.689]","[0.5034, 0.6967]","[0.5298, 0.6478]","[0.5542, 0.6605]","[0.5679, 0.689]","[0.497, 0.6967]","[0.525, 0.6472]","[0.5497, 0.6583]","[0.5628, 0.6851]","[0.494, 0.7013]","[0.5172, 0.6537]","[0.5381, 0.6542]","[0.5529, 0.6706]"
"[0.4955, 0.8505]","[0.5312, 0.8095]","[0.553, 0.7713]","[0.571, 0.7404]","[0.5746, 0.7049]","[0.5117, 0.7039]","[0.5331, 0.6581]","[0.5546, 0.6672]","[0.5671, 0.6887]","[0.5028, 0.698]","[0.5284, 0.6479]","[0.5521, 0.6581]","[0.5657, 0.6855]","[0.4963, 0.6971]","[0.5232, 0.6466]","[0.5477, 0.6552]","[0.561, 0.6799]","[0.4939, 0.7009]","[0.5177, 0.6539]","[0.5386, 0.6532]","[0.5531, 0.6674]"
"[0.4951, 0.8535]","[0.5313, 0.8096]","[0.5528, 0.7717]","[0.5704, 0.7426]","[0.575, 0.7082]","[0.5095, 0.7036]","[0.5321, 0.6574]","[0.5544, 0.6663]","[0.5674, 0.6884]","[0.5005, 0.6986]","[0.5278, 0.6483]","[0.5522, 0.6583]","[0.5662, 0.6856]","[0.4951, 0.6984]","[0.5228, 0.6477]","[0.5475, 0.6559]","[0.5606, 0.6798]","[0.494, 0.7028]","[0.5177, 0.6555]","[0.5385, 0.6542]","[0.5528, 0.6674]"
"[0.4966, 0.8525]","[0.5324, 0.8089]","[0.5536, 0.7715]","[0.5713, 0.7413]","[0.5751, 0.7057]","[0.5133, 0.7032]","[0.534, 0.6583]","[0.5554, 0.6677]","[0.5682, 0.6892]","[0.504, 0.698]","[0.5295, 0.6475]","[0.5535, 0.6588]","[0.5674, 0.6873]","[0.497, 0.6975]","[0.5239, 0.6471]","[0.5486, 0.6566]","[0.5623, 0.6823]","[0.4942, 0.7022]","[0.518, 0.6546]","[0.5391, 0.6538]","[0.5542, 0.6682]"
"[0.4965, 0.8526]","[0.5305, 0.8128]","[0.5532, 0.7742]","[0.5714, 0.7428]","[0.5755, 0.7065]","[0.509, 0.7043]","[0.5323, 0.6558]","[0.5551, 0.6653]","[0.5683, 0.6871]","[0.5006, 0.6991]","[0.5285, 0.6475]","[0.5532, 0.6592]","[0.5669, 0.6867]","[0.4954, 0.6992]","[0.5241, 0.6482]","[0.5483, 0.6572]","[0.5612, 0.6823]","[0.4942, 0.7037]","[0.5179, 0.6574]","[0.5389, 0.6566]","[0.5533, 0.671]"
"[0.4952, 0.8521]","[0.5314, 0.81]","[0.5531, 0.7733]","[0.5709, 0.7427]","[0.5752, 0.7075]","[0.5112, 0.7039]","[0.5333, 0.6568]","[0.5559, 0.6663]","[0.5694, 0.6884]","[0.5021, 0.6986]","[0.5296, 0.648]","[0.5544, 0.659]","[0.5686, 0.6877]","[0.4963, 0.6984]","[0.5248, 0.6487]","[0.5496, 0.6579]","[0.563, 0.6831]","[0.4947, 0.7031]","[0.5188, 0.6566]","[0.5397, 0.6563]","[0.5543, 0.6709]"
"[0.4955, 0.8506]","[0.5343, 0.8054]","[0.554, 0.7705]","[0.5715, 0.7417]","[0.5757, 0.7075]","[0.5146, 0.7048]","[0.5356, 0.6602]","[0.5571, 0.6692]","[0.5698, 0.6911]","[0.505, 0.6994]","[0.5308, 0.6495]","[0.5553, 0.6607]","[0.5696, 0.6906]","[0.498, 0.6974]","[0.5251, 0.6483]","[0.5508, 0.6592]","[0.5645, 0.6855]","[0.4951, 0.7006]","[0.5199, 0.6535]","[0.5414, 0.6538]","[0.5562, 0.6689]"
"[0.4972, 0.8507]","[0.5343, 0.8069]","[0.5547, 0.7713]","[0.572, 0.7422]","[0.5762, 0.7082]","[0.5136, 0.7052]","[0.5351, 0.6604]","[0.5568, 0.669]","[0.5699, 0.69]","[0.5045, 0.6997]","[0.5304, 0.6493]","[0.5548, 0.6599]","[0.5692, 0.6888]","[0.4977, 0.6986]","[0.5245, 0.6486]","[0.5498, 0.6577]","[0.5638, 0.6823]","[0.4947, 0.7025]","[0.5193, 0.6569]","[0.5408, 0.656]","[0.5561, 0.6686]"
"[0.4972, 0.8503]","[0.5337, 0.8074]","[0.5544, 0.7709]","[0.572, 0.7418]","[0.5765, 0.7078]","[0.515, 0.7033]","[0.5351, 0.6594]","[0.5564, 0.6681]","[0.5695, 0.6888]","[0.5055, 0.6981]","[0.5305, 0.6485]","[0.5544, 0.6593]","[0.569, 0.6873]","[0.498, 0.6974]","[0.5249, 0.6481]","[0.5499, 0.6571]","[0.5642, 0.6816]","[0.4945, 0.7021]","[0.5192, 0.6568]","[0.5407, 0.6561]","[0.5562, 0.6692]"
"[0.4979, 0.8493]","[0.5342, 0.8068]","[0.5546, 0.7704]","[0.572, 0.7412]","[0.5763, 0.7065]","[0.5164, 0.7033]","[0.5358, 0.6601]","[0.5569, 0.669]","[0.5698, 0.6894]","[0.507, 0.698]","[0.531, 0.6489]","[0.5548, 0.6598]","[0.5692, 0.6878]","[0.4992, 0.697]","[0.5255, 0.6484]","[0.5507, 0.6584]","[0.5651, 0.6839]","[0.4954, 0.7013]","[0.52, 0.6553]","[0.5417, 0.6556]","[0.5574, 0.6703]"
