"[0.8132, 0.7727]","[0.6369, 0.7966]","[0.4583, 0.7372]","[0.3359, 0.6491]","[0.2694, 0.5679]","[0.5988, 0.4809]","[0.441, 0.3986]","[0.348, 0.4325]","[0.2979, 0.4848]","[0.6226, 0.4158]","[0.4325, 0.349]","[0.3253, 0.4107]","[0.2822, 0.4859]","[0.6283, 0.3964]","[0.4235, 0.3285]","[0.3215, 0.4027]","[0.276, 0.4881]","[0.6112, 0.4191]","[0.4278, 0.3731]","[0.3319, 0.4147]","[0.2875, 0.4784]"
"[0.7509, 0.9424]","[0.5414, 0.8421]","[0.4146, 0.7124]","[0.3144, 0.626]","[0.271, 0.5295]","[0.7183, 0.4877]","[0.5497, 0.3596]","[0.4049, 0.3817]","[0.3148, 0.4407]","[0.7739, 0.4689]","[0.5569, 0.3123]","[0.3919, 0.3558]","[0.3004, 0.433]","[0.7963, 0.4762]","[0.5627, 0.3187]","[0.3917, 0.3674]","[0.2901, 0.44]","[0.7752, 0.5111]","[0.5578, 0.3845]","[0.4162, 0.4035]","[0.3281, 0.454]"
"[0.7765, 0.9764]","[0.5506, 0.8641]","[0.4269, 0.7445]","[0.3056, 0.6604]","[0.2767, 0.5567]","[0.769, 0.4843]","[0.571, 0.3396]","[0.4167, 0.3717]","[0.3149, 0.4424]","[0.8185, 0.4729]","[0.5578, 0.3047]","[0.3889, 0.357]","[0.3025, 0.447]","[0.8267, 0.4843]","[0.5645, 0.3207]","[0.386, 0.3716]","[0.294, 0.4555]","[0.7766, 0.5153]","[0.5598, 0.3939]","[0.4145, 0.4081]","[0.3264, 0.4571]"
"[0.7902, 0.9968]","[0.5476, 0.8541]","[0.4267, 0.7386]","[0.307, 0.66]","[0.2776, 0.5517]","[0.767, 0.4896]","[0.5619, 0.3435]","[0.4121, 0.3777]","[0.313, 0.4433]","[0.8162, 0.4775]","[0.5451, 0.3104]","[0.3789, 0.3651]","[0.2969, 0.4515]","[0.8237, 0.4855]","[0.5513, 0.3193]","[0.3747, 0.3794]","[0.2848, 0.4659]","[0.7792, 0.5125]","[0.55, 0.3932]","[0.4052, 0.4085]","[0.316, 0.4538]"
"[0.8103, 1.0196]","[0.5598, 0.8664]","[0.4333, 0.7415]","[0.3119, 0.664]","[0.2721, 0.5537]","[0.769, 0.493]","[0.5594, 0.3464]","[0.4085, 0.3833]","[0.3121, 0.4505]","[0.8117, 0.4803]","[0.5462, 0.3093]","[0.3734, 0.3668]","[0.289, 0.4551]","[0.8137, 0.4874]","[0.5472, 0.316]","[0.375, 0.3827]","[0.291, 0.4696]","[0.7658, 0.5115]","[0.5375, 0.3894]","[0.3937, 0.4118]","[0.3075, 0.459]"
"[0.8126, 1.023]","[0.5661, 0.8679]","[0.4297, 0.7429]","[0.3053, 0.6622]","[0.2714, 0.5568]","[0.7748, 0.4887]","[0.5486, 0.3396]","[0.3985, 0.3882]","[0.3084, 0.4621]","[0.818, 0.4743]","[0.5371, 0.2981]","[0.3688, 0.3644]","[0.2934, 0.459]","[0.8165, 0.4861]","[0.546, 0.301]","[0.3761, 0.3701]","[0.2953, 0.4618]","[0.7632, 0.5188]","[0.539, 0.3785]","[0.4026, 0.403]","[0.3231, 0.4591]"
"[0.8214, 1.0298]","[0.5757, 0.8702]","[0.4363, 0.7474]","[0.3142, 0.6687]","[0.2746, 0.5591]","[0.7592, 0.493]","[0.5472, 0.3454]","[0.3987, 0.3924]","[0.3083, 0.4633]","[0.7995, 0.4797]","[0.5392, 0.304]","[0.3689, 0.3671]","[0.2895, 0.4585]","[0.8009, 0.4872]","[0.5496, 0.3054]","[0.3833, 0.3715]","[0.3031, 0.4623]","[0.7587, 0.5107]","[0.5425, 0.3795]","[0.4031, 0.4073]","[0.3208, 0.4622]"
"[0.8051, 1.0215]","[0.5695, 0.8618]","[0.4318, 0.742]","[0.3093, 0.6577]","[0.2722, 0.549]","[0.7631, 0.4919]","[0.5499, 0.3413]","[0.4057, 0.3829]","[0.3144, 0.45]","[0.8112, 0.4755]","[0.5442, 0.3055]","[0.3822, 0.3618]","[0.3036, 0.4495]","[0.8142, 0.4855]","[0.5599, 0.3067]","[0.3942, 0.3647]","[0.3085, 0.4477]","[0.7674, 0.5185]","[0.5594, 0.3769]","[0.4234, 0.3965]","[0.3364, 0.4486]"
"[0.8168, 1.0219]","[0.5756, 0.8755]","[0.4355, 0.7494]","[0.3065, 0.668]","[0.269, 0.5669]","[0.7721, 0.4904]","[0.5458, 0.3394]","[0.3965, 0.393]","[0.3071, 0.4691]","[0.8153, 0.4738]","[0.5329, 0.2997]","[0.3659, 0.3693]","[0.2917, 0.4648]","[0.8142, 0.486]","[0.5472, 0.3027]","[0.3791, 0.3696]","[0.299, 0.4626]","[0.7629, 0.5166]","[0.5435, 0.3776]","[0.4071, 0.4025]","[0.3269, 0.4598]"
"[0.8189, 1.0253]","[0.5777, 0.8758]","[0.4384, 0.7525]","[0.3118, 0.6749]","[0.2668, 0.5737]","[0.7616, 0.4917]","[0.541, 0.3414]","[0.3931, 0.3933]","[0.3074, 0.469]","[0.8045, 0.4744]","[0.5295, 0.302]","[0.3629, 0.3697]","[0.2903, 0.4651]","[0.8051, 0.4843]","[0.5425, 0.3046]","[0.3758, 0.372]","[0.2975, 0.4656]","[0.7604, 0.5119]","[0.5426, 0.3771]","[0.4056, 0.4041]","[0.3255, 0.4621]"
"[0.8029, 1.0199]","[0.5617, 0.8596]","[0.4251, 0.7376]","[0.3067, 0.6566]","[0.266, 0.5533]","[0.7507, 0.4842]","[0.5346, 0.3377]","[0.3906, 0.3847]","[0.3047, 0.4565]","[0.8016, 0.4711]","[0.5298, 0.3025]","[0.3655, 0.3632]","[0.2899, 0.4564]","[0.8084, 0.4872]","[0.5492, 0.3087]","[0.3817, 0.3676]","[0.2977, 0.4545]","[0.7674, 0.5231]","[0.5615, 0.387]","[0.4272, 0.3996]","[0.3432, 0.4452]"
