[0.4579, 0.7072],[0.4968, 0.6644],[0.518, 0.63],[0.5378, 0.6034],[0.5427, 0.5698],[0.4629, 0.5453],[0.4975, 0.5081],[0.5241, 0.5203],[0.5402, 0.5405],[0.4552, 0.5434],[0.4984, 0.4988],[0.5277, 0.5161],[0.5442, 0.545],[0.4546, 0.5483],[0.4986, 0.5086],[0.5274, 0.5247],[0.5419, 0.5506],[0.4612, 0.5599],[0.4963, 0.5288],[0.5184, 0.532],[0.5329, 0.5447]
[0.4603, 0.706],[0.4972, 0.664],[0.5217, 0.6253],[0.5409, 0.5975],[0.5456, 0.5658],[0.4652, 0.5432],[0.4986, 0.5032],[0.5249, 0.5191],[0.5389, 0.5427],[0.4563, 0.5421],[0.4996, 0.4969],[0.5273, 0.5186],[0.5409, 0.548],[0.4553, 0.5483],[0.4987, 0.504],[0.5258, 0.5229],[0.5398, 0.5507],[0.4617, 0.5617],[0.4968, 0.5282],[0.5195, 0.5339],[0.5352, 0.5491]
[0.4587, 0.7093],[0.4966, 0.6652],[0.5202, 0.6267],[0.5394, 0.6001],[0.5469, 0.5684],[0.4646, 0.5447],[0.4979, 0.5053],[0.5241, 0.5192],[0.5386, 0.5421],[0.4562, 0.5433],[0.4988, 0.4984],[0.5268, 0.5175],[0.541, 0.5459],[0.4558, 0.5495],[0.4985, 0.5062],[0.526, 0.5235],[0.5403, 0.5499],[0.4627, 0.5627],[0.4972, 0.5288],[0.5195, 0.5341],[0.5346, 0.5485]
[0.4593, 0.7094],[0.4961, 0.6657],[0.5197, 0.6271],[0.5385, 0.6012],[0.5464, 0.5711],[0.4648, 0.5437],[0.4984, 0.5041],[0.5245, 0.5195],[0.5388, 0.5426],[0.4559, 0.5428],[0.4992, 0.4988],[0.5269, 0.519],[0.5409, 0.5477],[0.4552, 0.5497],[0.4987, 0.5066],[0.5256, 0.5243],[0.5398, 0.5508],[0.4619, 0.5634],[0.4968, 0.5293],[0.519, 0.5346],[0.5344, 0.5492]
[0.4593, 0.7089],[0.4956, 0.6665],[0.5192, 0.6273],[0.5385, 0.6011],[0.5466, 0.5702],[0.4643, 0.5447],[0.4984, 0.5035],[0.5247, 0.5202],[0.5387, 0.5448],[0.4555, 0.5437],[0.4992, 0.4974],[0.5275, 0.5194],[0.541, 0.5493],[0.4548, 0.5501],[0.4987, 0.5047],[0.5262, 0.5241],[0.5399, 0.5523],[0.4616, 0.5636],[0.4966, 0.5278],[0.5195, 0.5345],[0.5348, 0.5508]
[0.4577, 0.7097],[0.4954, 0.6659],[0.519, 0.6272],[0.5382, 0.6015],[0.5463, 0.5706],[0.4634, 0.5452],[0.4979, 0.5042],[0.5241, 0.5201],[0.5379, 0.5438],[0.4549, 0.5447],[0.4988, 0.4981],[0.5266, 0.5195],[0.5402, 0.5486],[0.455, 0.5516],[0.4982, 0.5062],[0.5254, 0.5244],[0.5391, 0.551],[0.4628, 0.5657],[0.4969, 0.5299],[0.5191, 0.5356],[0.5343, 0.5506]
[0.458, 0.7092],[0.496, 0.6639],[0.5194, 0.6261],[0.5385, 0.601],[0.546, 0.5703],[0.4624, 0.5443],[0.4972, 0.5041],[0.5239, 0.5203],[0.5381, 0.5448],[0.4542, 0.5434],[0.4988, 0.498],[0.5269, 0.5198],[0.5406, 0.5497],[0.4544, 0.5502],[0.4988, 0.5055],[0.5261, 0.525],[0.5396, 0.553],[0.4621, 0.5639],[0.4971, 0.5286],[0.5195, 0.5354],[0.5345, 0.5518]
[0.4585, 0.7083],[0.4965, 0.6641],[0.5203, 0.6261],[0.5395, 0.6005],[0.5461, 0.5693],[0.4624, 0.5444],[0.4976, 0.5033],[0.5241, 0.5198],[0.5383, 0.5447],[0.4542, 0.544],[0.499, 0.4975],[0.5271, 0.5192],[0.5408, 0.5493],[0.4545, 0.5508],[0.4988, 0.5055],[0.5262, 0.5244],[0.54, 0.5525],[0.4622, 0.5646],[0.497, 0.5292],[0.5196, 0.5353],[0.5351, 0.5514]
[0.4594, 0.7082],[0.4959, 0.6653],[0.5197, 0.6261],[0.5389, 0.5997],[0.5462, 0.5675],[0.463, 0.5449],[0.4979, 0.5043],[0.5246, 0.5199],[0.5388, 0.5437],[0.4547, 0.5441],[0.4988, 0.4984],[0.5271, 0.5192],[0.541, 0.5483],[0.4548, 0.5508],[0.4982, 0.5057],[0.526, 0.5236],[0.5403, 0.5508],[0.4625, 0.5646],[0.4971, 0.5289],[0.5199, 0.5348],[0.5355, 0.5505]
[0.4592, 0.7083],[0.4963, 0.6649],[0.52, 0.6258],[0.5389, 0.5997],[0.5464, 0.5674],[0.4634, 0.5448],[0.4979, 0.5041],[0.5244, 0.5199],[0.5388, 0.5442],[0.4549, 0.5438],[0.4988, 0.4977],[0.5268, 0.5186],[0.5409, 0.5482],[0.4546, 0.5503],[0.4982, 0.5048],[0.5256, 0.5229],[0.54, 0.5503],[0.4617, 0.5637],[0.4968, 0.529],[0.5197, 0.5348],[0.5354, 0.5499]
[0.4586, 0.7083],[0.4969, 0.6638],[0.5202, 0.6256],[0.5391, 0.5996],[0.5467, 0.5679],[0.4629, 0.5445],[0.4984, 0.504],[0.5249, 0.5201],[0.5391, 0.5443],[0.4548, 0.5437],[0.4992, 0.4976],[0.5273, 0.5189],[0.5414, 0.5484],[0.4551, 0.5505],[0.4988, 0.5051],[0.5262, 0.5235],[0.5403, 0.5509],[0.4628, 0.5646],[0.4972, 0.529],[0.5199, 0.5351],[0.5355, 0.5507]
[0.4587, 0.7083],[0.497, 0.6641],[0.5203, 0.6261],[0.5392, 0.6003],[0.5472, 0.5689],[0.4622, 0.5445],[0.4979, 0.5038],[0.5243, 0.5196],[0.5386, 0.5434],[0.4541, 0.5439],[0.4989, 0.4976],[0.5267, 0.5185],[0.5408, 0.548],[0.4548, 0.5509],[0.4986, 0.5057],[0.5257, 0.5235],[0.5397, 0.5506],[0.463, 0.5648],[0.4974, 0.5296],[0.5196, 0.535],[0.535, 0.5496]
[0.4596, 0.7082],[0.4963, 0.6643],[0.5208, 0.6258],[0.5405, 0.5988],[0.5471, 0.5662],[0.464, 0.5448],[0.4989, 0.5043],[0.5253, 0.5205],[0.5395, 0.5439],[0.4555, 0.5438],[0.4997, 0.4976],[0.5277, 0.5194],[0.5421, 0.5489],[0.4551, 0.5504],[0.4988, 0.5063],[0.5265, 0.5247],[0.5413, 0.5518],[0.4619, 0.5644],[0.497, 0.531],[0.5199, 0.5357],[0.536, 0.5496]
[0.4595, 0.7096],[0.4963, 0.6663],[0.5201, 0.6268],[0.5394, 0.6],[0.5475, 0.5687],[0.4638, 0.5449],[0.4981, 0.5047],[0.5245, 0.5199],[0.5388, 0.5431],[0.4555, 0.5441],[0.4989, 0.4984],[0.5268, 0.5187],[0.5413, 0.5472],[0.4552, 0.5506],[0.4985, 0.5068],[0.5261, 0.5244],[0.5408, 0.5508],[0.4624, 0.5641],[0.497, 0.5302],[0.5198, 0.5349],[0.5359, 0.5487]
