"[0.3806, 0.1299]","[0.4651, 0.2147]","[0.5449, 0.3689]","[0.5856, 0.5274]","[0.6385, 0.6502]","[0.7223, 0.435]","[0.7541, 0.6541]","[0.7693, 0.7855]","[0.778, 0.9016]","[0.6193, 0.4594]","[0.5365, 0.6607]","[0.4326, 0.7656]","[0.3553, 0.8435]","[0.5143, 0.4543]","[0.4207, 0.5355]","[0.3502, 0.4188]","[0.3169, 0.3232]","[0.4317, 0.435]","[0.3596, 0.4834]","[0.3042, 0.3903]","[0.2741, 0.3095]"
"[0.3543, 0.1023]","[0.445, 0.2181]","[0.5358, 0.3706]","[0.5933, 0.5167]","[0.6548, 0.6435]","[0.7197, 0.4254]","[0.7589, 0.6428]","[0.7775, 0.7787]","[0.7916, 0.8975]","[0.6185, 0.4453]","[0.5398, 0.6397]","[0.4433, 0.7641]","[0.3631, 0.8509]","[0.5152, 0.4433]","[0.4101, 0.5349]","[0.3467, 0.426]","[0.3257, 0.3389]","[0.4337, 0.4301]","[0.3698, 0.492]","[0.3258, 0.4046]","[0.3107, 0.3387]"
"[0.3362, 0.0963]","[0.4298, 0.2112]","[0.5275, 0.3644]","[0.5923, 0.5122]","[0.6585, 0.6381]","[0.7104, 0.4185]","[0.7535, 0.6411]","[0.7712, 0.7787]","[0.783, 0.8984]","[0.6083, 0.4426]","[0.5414, 0.6367]","[0.4499, 0.7632]","[0.3718, 0.8501]","[0.5071, 0.4452]","[0.405, 0.5329]","[0.3371, 0.4236]","[0.311, 0.3308]","[0.428, 0.4363]","[0.3597, 0.4903]","[0.314, 0.403]","[0.297, 0.3321]"
"[0.3393, 0.0865]","[0.4315, 0.2051]","[0.5287, 0.356]","[0.594, 0.5017]","[0.6585, 0.6324]","[0.7089, 0.4097]","[0.7555, 0.6324]","[0.7738, 0.7677]","[0.7883, 0.885]","[0.6072, 0.4275]","[0.5403, 0.6299]","[0.4442, 0.7589]","[0.361, 0.8432]","[0.5054, 0.4237]","[0.4043, 0.5158]","[0.3354, 0.4114]","[0.3096, 0.3237]","[0.4258, 0.4124]","[0.3589, 0.4735]","[0.3112, 0.3915]","[0.2925, 0.326]"
"[0.345, 0.0795]","[0.4357, 0.1965]","[0.5311, 0.3482]","[0.5946, 0.4956]","[0.6599, 0.6274]","[0.7125, 0.4045]","[0.7572, 0.632]","[0.776, 0.7691]","[0.7902, 0.8871]","[0.6082, 0.423]","[0.5389, 0.6288]","[0.4429, 0.7575]","[0.3588, 0.84]","[0.5055, 0.4206]","[0.401, 0.5121]","[0.333, 0.4067]","[0.3071, 0.3174]","[0.4265, 0.4107]","[0.3576, 0.4725]","[0.3118, 0.3868]","[0.2952, 0.3177]"
"[0.337, 0.0775]","[0.4276, 0.1981]","[0.5228, 0.3523]","[0.5878, 0.5021]","[0.6539, 0.6304]","[0.7083, 0.4043]","[0.7521, 0.6335]","[0.7719, 0.771]","[0.7862, 0.8898]","[0.607, 0.4255]","[0.5377, 0.6288]","[0.4449, 0.7572]","[0.3635, 0.8444]","[0.5057, 0.4269]","[0.4002, 0.5229]","[0.3345, 0.415]","[0.3072, 0.321]","[0.4266, 0.4192]","[0.3543, 0.476]","[0.3092, 0.3946]","[0.2902, 0.3277]"
"[0.3288, 0.0756]","[0.4214, 0.1975]","[0.518, 0.352]","[0.5829, 0.5027]","[0.6466, 0.6346]","[0.7052, 0.4081]","[0.7497, 0.6372]","[0.7688, 0.7754]","[0.7824, 0.8943]","[0.6011, 0.4265]","[0.5296, 0.63]","[0.4372, 0.7583]","[0.357, 0.8463]","[0.4971, 0.4241]","[0.3965, 0.5232]","[0.33, 0.4163]","[0.3016, 0.325]","[0.4159, 0.4131]","[0.3515, 0.477]","[0.3071, 0.3969]","[0.2873, 0.3317]"
"[0.3313, 0.0759]","[0.4217, 0.2002]","[0.5167, 0.3546]","[0.5817, 0.5052]","[0.6472, 0.6382]","[0.7057, 0.4073]","[0.7504, 0.641]","[0.7686, 0.7815]","[0.7812, 0.9024]","[0.6011, 0.4264]","[0.5305, 0.6336]","[0.4378, 0.7646]","[0.3575, 0.8526]","[0.4974, 0.4253]","[0.3953, 0.5248]","[0.3289, 0.4146]","[0.304, 0.3206]","[0.4176, 0.4159]","[0.3494, 0.4793]","[0.3045, 0.3948]","[0.2878, 0.326]"
"[0.3327, 0.0783]","[0.4244, 0.2007]","[0.5194, 0.3561]","[0.5832, 0.5079]","[0.6462, 0.6416]","[0.7047, 0.4111]","[0.7503, 0.6431]","[0.7693, 0.7833]","[0.783, 0.9054]","[0.5993, 0.4315]","[0.5266, 0.6361]","[0.4345, 0.7649]","[0.356, 0.8536]","[0.4953, 0.4311]","[0.3945, 0.5281]","[0.3288, 0.4143]","[0.3031, 0.3186]","[0.415, 0.4213]","[0.3496, 0.4837]","[0.3052, 0.3985]","[0.2873, 0.3288]"
"[0.3323, 0.0778]","[0.4243, 0.2002]","[0.5204, 0.3558]","[0.5842, 0.5071]","[0.6479, 0.6406]","[0.7053, 0.4088]","[0.751, 0.6415]","[0.7704, 0.7816]","[0.786, 0.903]","[0.5974, 0.43]","[0.5301, 0.6372]","[0.4374, 0.7653]","[0.3583, 0.8514]","[0.4903, 0.4292]","[0.3939, 0.5264]","[0.3272, 0.4124]","[0.3017, 0.3172]","[0.4063, 0.4188]","[0.3444, 0.4843]","[0.3007, 0.3961]","[0.284, 0.3245]"
"[0.3296, 0.0775]","[0.4184, 0.2026]","[0.5157, 0.3568]","[0.5812, 0.504]","[0.6464, 0.6363]","[0.7006, 0.4123]","[0.7488, 0.643]","[0.7682, 0.7823]","[0.7842, 0.9027]","[0.5961, 0.4305]","[0.5268, 0.637]","[0.4305, 0.7673]","[0.348, 0.8536]","[0.4917, 0.426]","[0.3907, 0.5195]","[0.3217, 0.4108]","[0.2954, 0.3193]","[0.4095, 0.4126]","[0.342, 0.4751]","[0.296, 0.3902]","[0.2787, 0.3216]"
